conv:people_2019081901_108:aug_0:chat_0:chataug_0| gregory malcolm| [person:gregory m 0-0][person:malcolm m 1-1]
steven| We also used to play it often remember till the board collapsed I will head to the store and get one right away It s gonna be a great day Cya soon| [person:we g(susie:steven:kate:cheryl) 0-0][person:steven m 12-12]

conv:people_2019081902_78:aug_0:chat_0:chataug_0| cynthia megan| [person:cynthia f 0-0][person:megan f 1-1]
cynthia| Hey I meant to tell you I ran into Jacob Clark a little while ago| [person:cynthia f 1-1][person:megan f 5-5][person:cynthia f 6-6][person:jacob m 9-9]
megan| Oh how nice Did he say where they wanted to go for dinner| [person:jacob m 4-4][person:they g(jacob) 7-7]
cynthia| No there s bad news about that They had something come up and we have to cancel dinner| [person:they g(jacob) 7-7][person:we g(cynthia:megan:jacob) 13-13]
megan| That s disappointing I was looking forward to it I hope everything s all right with them| [person:megan f 3-3][person:megan f 9-9][person:they g(jacob) 16-16]
cynthia| No just something with Jennifer s job that night We ll do it some other time with them| [person:jennifer f 4-4][person:we g(cynthia:megan:jacob) 9-9][person:they g(jacob) 17-17]
megan| Cool Well I guess it s just you and me then Why don t we have dinner that night| [person:megan f 2-2][person:cynthia f 7-7][person:megan f 9-9][person:we2 g(cynthia:megan) 14-14]
cynthia| Sounds good Should we do it a little earlier than we were planning then| [person:we2 g(cynthia:megan) 3-3][person:we2 g(cynthia:megan) 10-10]
megan| Why not How do you feel about going to that new steakhouse| [person:cynthia f 4-4][location:steakhouse s 11-11]
cynthia| Great idea We deserve a treat and that seems like a nice place for it| [person:we2 g(cynthia:megan) 2-2][location:steakhouse s 12-12]
megan| Yeah we haven t had a nice dinner out in too long That s going to be fun| [person:we2 g(cynthia:megan) 1-1]

conv:people_2019081902_79:aug_0:chat_0:chataug_0| evelyn kathryn| [person:evelyn f 0-0][person:kathryn f 1-1]
kathryn| hai evelyn how are you i missed you a lot for the past few days| [person:evelyn f 1-1][person:evelyn f 4-4][person:kathryn f 5-5][person:evelyn f 7-7]
evelyn| Oh great i am fine kathyrn what about you i hope you will be fine| [person:evelyn f 2-2][person:kathryn f 8-8][person:evelyn f 9-9][person:kathryn f 11-11]
kathryn| actually i am interested to going for a workout will you join along with me| [person:kathryn f 1-1][person:evelyn f 10-10][person:kathryn f 14-14]
evelyn| sorry kathryn i have other works today i am not willing| [person:kathryn f 1-1][person:evelyn f 2-2][person:evelyn f 7-7]
kathryn| No evelyn you should not tell me like that i love to go along with you| [person:evelyn f 1-1][person:evelyn f 2-2][person:kathryn f 6-6][person:kathryn f 9-9][person:evelyn f 15-15]
evelyn| sorry once again kathryn i need to complete my work today itself i can t able to postponed it| [person:kathryn f 3-3][person:evelyn f 4-4][person:evelyn f 8-8][person:evelyn f 12-12]
kathryn| oh no evelyn i will help you in doing that after finish my workout along with you| [person:evelyn f 2-2][person:kathryn f 3-3][person:evelyn f 6-6][person:kathryn f 12-12][person:evelyn f 16-16]
evelyn| sorry da please understand me i will give my friend katherine number i will inform her to join along with you| [person:evelyn f 4-4][person:evelyn f 5-5][person:evelyn f 8-8][person:katherine f 9-9][person:katherine f 10-10][person:evelyn f 12-12][person:katherine f 15-15][person:kathryn f 20-20]
kathryn| ok evelyn i missed you a lot whether katherine is interested in doing workout| [person:evelyn f 1-1][person:kathryn f 2-2][person:evelyn f 4-4][person:katherine f 8-8]
evelyn| yes ofcourse kathryn she will not avoid workout she like it most| [person:kathryn f 2-2][person:katherine f 3-3][person:katherine f 8-8]

conv:people_2019081902_80:aug_0:chat_0:chataug_0| nicholas walt| [person:nicholas m 0-0][person:walt m 1-1]
nicholas| I m really looking forward to the game today| [person:nicholas m 0-0]
walt| Me too Benjamin and Wayne are going to hook up with us too don t forget| [person:walt m 0-0][person:benjamin m 2-2][person:wayne m 4-4][person:us g(nicholas:walt) 11-11]
nicholas| Right I know Did they have any thoughts on where we should go to watch it| [person:nicholas m 1-1][person:they g(benjamin:wayne) 4-4][person:we g(nicholas:walt:benjamin:wayne) 10-10]
walt| They suggested a couple of places but I didn t think their ideas were great| [person:they g(benjamin:wayne) 0-0][location:places g() 5-5][person:wayne m 7-7][person:they g(benjamin:wayne) 11-11]
nicholas| Well I don t really care where we go as long as they have good things to eat| [person:nicholas m 1-1][person:we g(nicholas:walt:benjamin:wayne) 7-7][person:they g(benjamin:wayne) 12-12]
walt| Agreed I don t really care either I just don t want to go any place too far away| [person:walt m 1-1][person:walt m 7-7][location:place s 15-15]
nicholas| There s a sports bar about halfway between our place and their place if I could just remember the name of it| [location:sports_bar s 3-4][person:us g(nicholas:walt) 8-8][location:place s 9-9][person:they g(benjamin:wayne) 11-11][location:place s 12-12][person:nicholas m 14-14]
walt| Are you talking about that one on Blatchford Avenue The place with the pool tables| [person:nicholas m 1-1][location:blatchford_avenue s 7-8][location:blatchford_avenue s 10-10]
nicholas| That s the one They ve got those great wings and burgers and really good drinks|
walt| Yeah I like that place I m pretty sure those guys will like it too| [person:walt m 1-1][location:blatchford_avenue s 4-4][person:walt m 5-5]

conv:people_2019081902_81:aug_0:chat_0:chataug_0| chris timothy| [person:chris m 0-0][person:timothy m 1-1]
chris| Hey Timothy you know any good bars around your office| [person:timothy m 1-1][person:timothy m 2-2][location:bars g() 6-6][person:timothy m 8-8][location:office s 9-9]
timothy| No you know me Chris I never drink| [person:chris m 1-1][person:timothy m 3-3][person:chris m 4-4][person:timothy m 5-5]
chris| LOL Just give me a name or two TMan I got to show Sam and Johnathan a good time| [person:chris m 3-3][person:chris m 9-9][person:sam m 13-13]
timothy| Your neighbors They guys who hosted that threekegger last week| [person:timothy m 0-0][person:neighbors g(sam) 1-1][person:they g(sam) 2-2]
chris| Yeah those dudes You wanna join us| [person:timothy m 3-3][person:us g(chris:sam) 6-6]
timothy| I don t know I m still hungover from last night We got to stop going out every night Man| [person:timothy m 0-0][person:timothy m 4-4][person:we g(chris:timothy) 11-11]
chris| I hear you Timmy Lets agree to start stopping that next month| [person:chris m 0-0][person:timothy m 2-2]
timothy| LOL Agreed I ll put it on my calendar and send you a reminder| [person:timothy m 2-2][person:timothy m 7-7][person:chris m 11-11]
chris| Sounds good So what about tonight You in Its me the neighbors and maybe those cheerleaders from the kegger| [person:timothy m 6-6][person:chris m 9-9][person:neighbors g(sam) 11-11]
timothy| Cheerleaders Man I love you neighbors| [person:timothy m 2-2][person:chris m 4-4][person:neighbors g(sam) 5-5]
chris| See you tonight then Let me know when you come up with a place| [person:timothy m 1-1][person:chris m 5-5][person:timothy m 8-8][location:place s 13-13]

conv:people_2019081902_82:aug_0:chat_0:chataug_0| cathy wayne| [person:cathy f 0-0][person:wayne m 1-1]
cathy| Hello my friend Wayne I will be having a barbecue with Paul next week and I wanted to invite you to come| [person:cathy f 1-1][person:wayne m 2-2][person:wayne m 3-3][person:cathy f 4-4][person:paul m 11-11][person:cathy f 15-15][person:wayne m 19-19]
wayne| Hey Cathy That would be so nice I haven t met Paul in a long time so I really would like meeting him again| [person:cathy f 1-1][person:wayne m 7-7][person:paul m 11-11][person:wayne m 17-17][person:paul m 22-22]
cathy| I am sure he will be happy to meet you too| [person:cathy f 0-0][person:paul m 3-3][person:wayne m 9-9]
wayne| He doesn t come from Seattle often so I must not lose the opportunity though a friend of mine called Arthur will be in town on the same day so I was wondering if he can come too| [person:paul m 0-0][location:seattle s 5-5][person:wayne m 8-8][person:arthur m 16-16][person:wayne m 18-18][person:arthur m 20-20][person:wayne m 30-30][person:arthur m 34-34]
cathy| I don t think I know Arthur| [person:cathy f 0-0][person:cathy f 4-4][person:arthur m 6-6]
wayne| Well actually you don t and he doesn t know you either so do you think it can be a good idea to invite him too| [person:cathy f 2-2][person:arthur m 6-6][person:cathy f 10-10][person:cathy f 14-14][person:arthur m 24-24]
cathy| Well since we don t know him then we better get to know him New people usually seem interesting| [person:we g(cathy:paul) 2-2][person:arthur m 6-6][person:we g(cathy:paul) 8-8][person:arthur m 13-13]
wayne| Yes Arthur is a nice guys and has quite appropriate behavior| [person:arthur m 1-1]
cathy| Bring him too then| [person:arthur m 1-1]
wayne| I will since you agree| [person:wayne m 0-0][person:cathy f 3-3]
cathy| See you at the barbecue then| [person:wayne m 1-1]
wayne| Yes I can t wait for the food and the drinks and the meeting with Paul| [person:wayne m 1-1][person:paul m 15-15]

conv:people_2019081902_83:aug_0:chat_0:chataug_0| kenneth marie| [person:kenneth m 0-0][person:marie f 1-1]
marie| Hellow Kenneth where are you now| [person:kenneth m 1-1][person:kenneth m 4-4]
kenneth| I am now at market to buy something What Marrie| [person:kenneth m 0-0][location:market s 4-4]
marie| See Kenneth I am in a mess can you help me| [person:kenneth m 1-1][person:marie f 2-2][person:kenneth m 8-8][person:marie f 10-10]
kenneth| Oh Marrie why do you so formal Tell what should I do for you| [person:marie f 4-4][person:kenneth m 10-10][person:marie f 13-13]
marie| I went yesterday to Lauren s home and forgot my shoes there If you are through that way can you pick it up| [person:marie f 0-0][person:lauren f 4-4][location:home s 6-6][person:marie f 9-9][location:home s 11-11][person:kenneth m 13-13][person:kenneth m 19-19]
kenneth| It is not a problem I can do it But I have some other places to go to and it will take some time| [person:kenneth m 5-5][person:kenneth m 10-10][location:places g() 14-14]
marie| Its alright You get it when you are free I may need it in the evening| [person:kenneth m 2-2][person:kenneth m 6-6][person:marie f 9-9]
kenneth| Then it is not a problem I shall drive through Lauren s house and get it| [person:kenneth m 6-6][person:lauren f 10-10][location:home s 12-12]
marie| Oh thank you Kenneth Sweet you are| [person:kenneth m 2-2][person:kenneth m 3-3][person:kenneth m 5-5]
kenneth| Welcome But I need a treat| [person:kenneth m 2-2]
marie| Why not with pleasure We shall meet at restaurant| [person:we g(marie:kenneth) 4-4][location:restaurant s 8-8]
kenneth| Ok See you dear| [person:marie f 2-2]

conv:people_2019081902_85:aug_0:chat_0:chataug_0| juan raymond| [person:juan m 0-0][person:raymond m 1-1]
juan| Hey Raymond how are you| [person:raymond m 1-1][person:raymond m 4-4]
raymond| Good man you| [person:juan m 2-2]
juan| I m good You still up for dinner tomorrow| [person:juan m 0-0][person:raymond m 3-3]
raymond| Yep sounds good I was thinking we could invite Scott and Matt| [person:raymond m 3-3][person:we g(juan:raymond) 6-6][person:scott m 9-9][person:matt m 11-11]
juan| Sure thing Although weren t we going to try that new Chinese place I think Matt really prefers Italian food so he may not be interested| [person:we g(juan:raymond) 5-5][location:place s 12-12][person:juan m 13-13][person:matt m 15-15][person:matt m 21-21]
raymond| Ohhh right I forgot about that| [person:raymond m 2-2]
raymond| In that case let s just see if Scott wants to come| [person:scott m 8-8]
juan| Okay cool So the group will be you me and Scott And you want that new Chinese place on 5th right| [person:raymond m 7-7][person:juan m 8-8][person:scott m 10-10][person:raymond m 12-12][location:place s 17-17]
raymond| Yeah that s what I was thinking I can make reservations| [person:raymond m 4-4][person:raymond m 7-7]
juan| Okay awesome thanks I ll call Scott and see if he s free for tomorrow night| [person:juan m 3-3][person:scott m 6-6][person:scott m 10-10]
raymond| Great thanks It should be fun|

conv:people_2019081902_86:aug_0:chat_0:chataug_0| jacqueline thomas| [person:jacqueline f 0-0][person:thomas m 1-1]
thomas| Jacqueline you have to come to the concert with us You ll has so much fun| [person:jacqueline f 0-0][person:jacqueline f 1-1][person:us g(thomas) 9-9][person:jacqueline f 10-10]
jacqueline| Who are you going to see| [person:thomas m 2-2]
thomas| Queen with Adam Lambert as the lead singer| [person:adam m 2-2]
jacqueline| oooh awesome what day|
thomas| This weekend we re driving down to Las Vegas the show is Saturday at 8pm| [person:us g(thomas) 2-2][location:las_vegas s 7-8]
jacqueline| That does sound like it s going to be fun Who s all going|
thomas| It will be me Kimberly Charlotte and Tyler| [person:thomas m 3-3][person:kimberly f 4-4][person:tyler m 7-7]
jacqueline| Hmmm I don t know I really don t know them that well What are they like| [person:jacqueline f 1-1][person:jacqueline f 5-5][person:us g(thomas:kimberly:tyler) 10-10][person:us g(thomas:kimberly:tyler) 15-15]
thomas| So much fun and everyone s very friendly| [person:us g(thomas:kimberly:tyler) 4-4]
thomas| Kimberly is like a mother figure she s the responsible one Charlotte is a party animal but she knows her limits And Tyler is just a very chill guy You ll really like them| [person:kimberly f 0-0][person:kimberly f 6-6][person:charlotte f 17-17][person:charlotte f 19-19][person:tyler m 22-22][person:jacqueline f 29-29]
thomas| And if it makes you feel better I m the one that will be driving You can sit in the front| [person:jacqueline f 4-4][person:thomas m 7-7][person:jacqueline f 15-15]
jacqueline| Hmm ok Maybe I will go after all| [person:jacqueline f 3-3]
jacqueline| How much are tickets|
thomas| Don t worry about that I have you covered| [person:thomas m 5-5][person:jacqueline f 7-7]
jacqueline| Ok haha I m in| [person:jacqueline f 2-2]
thomas| Sweet I ll pick you up Friday after work| [person:thomas m 1-1][person:jacqueline f 4-4]
jacqueline| See you then| [person:thomas m 1-1]

conv:people_2019081902_87:aug_0:chat_0:chataug_0| jack jerry| [person:jack m 0-0][person:jerry m 1-1]
jack| Hey Jerry how s it going| [person:jerry m 1-1]
jerry| It s going well just been busy with work but all is good how about yourself| [person:jack m 15-15]
jack| It s good I feel like we haven t caught up in a while| [person:jack m 3-3][person:we g(jack:jerry) 6-6]
jack| So I wanted to invite you Mike and Christine out for lunch It would be like old times| [person:jack m 1-1][person:jerry m 5-5][person:mike m 6-6][person:christine f 8-8]
jerry| Hahah that would be awesome What day were you planning on| [person:jack m 8-8]
jack| Hmmm I m not sure yet what day works for you| [person:jack m 1-1][person:jerry m 10-10]
jack| I know that you and Christine are always so busy She mentioned that Sunday would be a great day| [person:jack m 0-0][person:jerry m 3-3][person:christine f 5-5][person:christine f 10-10]
jerry| Hmmmm I actually think I can do Sunday I have nothing going on that day| [person:jerry m 1-1][person:jerry m 4-4][person:jerry m 8-8]
jack| Perfect Sunday is it What time|
jerry| How about anytime after noon|
jerry| I like to enjoy my mornings and sleep in on Sunday| [person:jerry m 0-0][person:jerry m 4-4]
jack| You ve got it meet at SUR restaurant around 130pm for lunch with the others| [person:jerry m 0-0][location:restaurant s 6-6][location:restaurant s 7-7][person:other g() 14-14]
jerry| Sweet thanks for inviting me I ll see you on Sunday| [person:jerry m 4-4][person:jerry m 5-5][person:jack m 8-8]

conv:people_2019081902_88:aug_0:chat_0:chataug_0| cathy peter| [person:cathy f 0-0][person:peter m 1-1]
cathy| Hey Peter are you free right now| [person:peter m 1-1][person:peter m 3-3]
peter| Yes Do you need anything from me| [person:cathy f 2-2][person:peter m 6-6]
cathy| Remember that we talked about inviting Howards and Gregs to our place| [person:we g(cathy:peter) 2-2][person:howards g() 6-6][person:gregs g() 8-8][person:we g(cathy:peter) 10-10][location:place s 11-11]
cathy| When do you think we should invite them over| [person:peter m 2-2][person:we g(cathy:peter) 4-4][person:howards g() 7-7]
peter| You are free this Sunday right I am also free on that day so how about we invite them on that day| [person:cathy f 0-0][person:peter m 6-6][person:we g(cathy:peter) 16-16][person:gregs g() 18-18]
cathy| Yes that will be great for me I think they are free on Sundays too if I remember correctly| [person:cathy f 6-6][person:cathy f 7-7][person:gregs g() 9-9][person:cathy f 16-16]
peter| Which of us should invite who then| [person:we g(cathy:peter) 2-2]
cathy| How about you invite the Howards and I invite the Gregs over| [person:cathy f 2-2][person:howards g() 5-5][person:cathy f 7-7][person:gregs g() 10-10]
peter| Sure I will contact them right this instant then| [person:peter m 1-1][person:howards g() 4-4]
cathy| Thank you very much Inform me when you are done| [person:peter m 1-1][person:cathy f 5-5][person:peter m 7-7]
peter| Sure thing can t wait to meet them it has been a while| [person:howards g() 7-7]

conv:people_2019081902_89:aug_0:chat_0:chataug_0| melinda virginia| [person:melinda f 0-0][person:virginia f 1-1]
melinda| Hey Virginia It s game night remember We re going to the Greg s place| [person:virginia f 1-1][person:we g(melinda:virginia) 7-7][person:greg m 12-12][location:place s 14-14]
virginia| Oh yeah They have the best TV We should get them something What do you think| [person:they g(greg) 2-2][person:we g(melinda:virginia) 7-7][person:they g(greg) 10-10][person:melinda f 14-14]
melinda| Good idea But what should we get for them A bottle of wine| [person:we g(melinda:virginia) 5-5][person:they g(greg) 8-8]
virginia| That would leave Andrew out 14 year olds don t drink you know| [person:andrew m 3-3][person:melinda f 11-11]
melinda| Speak for yourself I would ve loved that at 14 Maybe we could pick up Andrew a new football Nancy mentions that he lost his at the beach| [person:virginia f 2-2][person:melinda f 3-3][person:we g(melinda:virginia) 11-11][person:andrew m 15-15][person:nancy f 19-19][person:andrew m 22-22][person:andrew m 24-24]
virginia| You got a great memory for someone who is always drunk But what about Marcus He is so picky| [person:melinda f 0-0][person:melinda f 6-6][person:marcus m 14-14][person:marcus m 15-15]
melinda| Lets get him a cleaning service for the day You know how much he hates to clean up They should all appreciate that| [person:marcus m 2-2][person:virginia f 9-9][person:marcus m 13-13][person:they g(greg) 18-18]
virginia| Yeah Nancy is always left with all the work So that takes care of both of them| [person:nancy f 1-1][person:them g(andrew:marcus) 16-16]
melinda| I think we got this under our control I can arrange the service| [person:melinda f 0-0][person:we g(melinda:virginia) 2-2][person:we g(melinda:virginia) 6-6][person:melinda f 8-8]
virginia| OK So I ll pick up the football for Andrew Are we all set here| [person:virginia f 2-2][person:andrew m 9-9][person:we g(melinda:virginia) 11-11]
melinda| I think so See you at home We should leave by 7| [person:melinda f 0-0][person:virginia f 4-4][location:home s 6-6][person:we g(melinda:virginia) 7-7]

conv:people_2019081902_90:aug_0:chat_0:chataug_0| dave juan| [person:dave m 0-0][person:juan m 1-1]
juan| Hey man do you want to get breakfast next week| [person:dave m 3-3]
dave| I m down Grace and Dwayne are also going to be in town We should get a table for four| [person:dave m 0-0][person:grace f 3-3][person:dwayne m 5-5][location:town s 12-12][person:we g(juan:dave:grace:dwayne) 13-13]
juan| Okay cool That sounds fun Where should we go| [person:we g(juan:dave:grace:dwayne) 7-7]
dave| I m not sure Grace is gluten free We should probably go to somewhere that has gluten free options| [person:dave m 0-0][person:grace f 4-4][person:we g(juan:dave:grace:dwayne) 8-8]
juan| Okay Do you know if Dwayne is still vegan| [person:dave m 2-2][person:dwayne m 5-5]
dave| I don t know He was vegan last time I saw him Are there any good options uptown| [person:dave m 0-0][person:dwayne m 4-4][person:dave m 9-9][person:dwayne m 11-11]
juan| How about Felipe s Tacqueria They have gluten free and vegan options|
dave| That sounds perfect They have the best tacos in town| [location:town s 9-9]
juan| Okay cool Do you want to let Grace and Dwayne know I ll book a table for 10 am| [person:dave m 3-3][person:grace f 7-7][person:dwayne m 9-9][person:juan m 11-11]
dave| Awesome Yeah I ll text them See you then| [person:dave m 2-2][person:them g(grace:dwayne) 5-5][person:juan m 7-7]

conv:people_2019081902_91:aug_0:chat_0:chataug_0| amanda dwayne| [person:amanda f 0-0][person:dwayne m 1-1]
dwayne| I can t wait for game night Let s get a plan together so we have everything we need| [person:dwayne m 0-0][person:we g(dwayne:amanda) 14-14][person:we g(dwayne:amanda) 17-17]
amanda| Sounds good to me I think we should have a variety of games I can bring Monopoly Scrabble and UNO| [person:amanda f 3-3][person:amanda f 4-4][person:we g(dwayne:amanda) 6-6][person:amanda f 13-13]
dwayne| I think that will be enough Maria said that she was bringing Cards Against Humanity too| [person:dwayne m 0-0][person:maria f 6-6][person:amanda f 9-9]
amanda| I think we could order some pizzas Should we get pepperoni| [person:amanda f 0-0][person:we g(dwayne:amanda:maria) 2-2][person:we g(dwayne:amanda:maria) 8-8]
dwayne| We will have to get some plain pizzas too Charles doesn t eat meat| [person:we g(dwayne:amanda:maria) 0-0][person:charles m 9-9]
amanda| That s right I had forgotten Kimberly and Kyle said they are bringing soda and juice| [person:amanda f 3-3][person:kimberly f 6-6][person:kyle m 8-8][person:they g(dwayne:amanda:maria:charles) 10-10]
dwayne| Good I already have chips and pretzels| [person:dwayne m 1-1]
amanda| I ll make cookies for dessert Do you think we need anything else| [person:amanda f 0-0][person:dwayne m 7-7][person:we g(dwayne:amanda:maria:charles:kimberly) 9-9]
dwayne| I don t think so I have paper plates napkins and cups I think we are good| [person:dwayne m 0-0][person:dwayne m 5-5][person:dwayne m 12-12][person:we g(dwayne:amanda:maria:charles:kimberly) 14-14]
amanda| Great It s going to be a good time|

conv:people_2019081902_92:aug_0:chat_0:chataug_0| paul peter| [person:paul m 0-0][person:peter m 1-1]
peter| Hey lets have a movie night tonight Paul| [person:peter m 7-7]
paul| That sounds like a lot of fun Peter Let s do it| [person:peter m 7-7]
peter| How about we invite Donald Shane and Daniel| [person:we g(peter:paul) 2-2][person:donald m 4-4][person:shane m 5-5][person:daniel m 7-7]
paul| I like those friends but Donald is kind of loud| [person:paul m 0-0][person:friends g(donald:shane:daniel) 3-3][person:donald m 5-5]
peter| Okay well we could just invite Shane and Daniel| [person:we g(peter:paul) 2-2][person:shane m 6-6][person:daniel m 8-8]
paul| Yes that sounds like a plan to me| [person:paul m 7-7]
peter| Who should I call and who will you call| [person:peter m 2-2][person:paul m 7-7]
paul| I will call both of them today| [person:paul m 0-0][person:them g(donald:shane:daniel) 5-5]
peter| Okay that sounds good I m looking forward to it| [person:peter m 4-4]
paul| Great me too We have so much fun together| [person:paul m 1-1][person:we g(peter:paul) 3-3]

conv:people_2019081902_94:aug_0:chat_0:chataug_0| shirley victoria| [person:shirley f 0-0][person:victoria f 1-1]
shirley| Vicotria Can you render me a help| [person:victoria f 2-2][person:shirley f 4-4]
victoria| With pleasure How can I help you| [person:victoria f 4-4][person:shirley f 6-6]
shirley| See Jerry and Dwayne are visiting my home They are my childhood friends and meeting me after a long time| [person:jerry m 1-1][person:dwayne m 3-3][person:shirley f 6-6][person:they g(jerry:dwayne) 8-8][person:shirley f 10-10][person:they g(jerry:dwayne) 12-12][person:shirley f 15-15]
victoria| Great then what is the problem|
shirley| I am very busy with my work I have to finish my work within two days urgently But I wish to get them to some interesting places here Can you spend some time for that| [person:shirley f 0-0][person:shirley f 5-5][person:shirley f 7-7][person:shirley f 11-11][person:shirley f 18-18][person:they g(jerry:dwayne) 22-22][location:places g() 26-26][person:victoria f 29-29]
victoria| Dont worry they are my friends too I shall take care of them Which places do they like| [person:they g(jerry:dwayne) 2-2][person:victoria f 4-4][person:they g(jerry:dwayne) 5-5][person:victoria f 7-7][person:they g(jerry:dwayne) 12-12][person:they g(jerry:dwayne) 16-16]
shirley| Zoo and Beach will make them happy Visit to the museum also will be interesting for them| [location:zoo s 0-0][location:beach s 2-2][person:they g(jerry:dwayne) 5-5][location:museum s 10-10][person:they g(jerry:dwayne) 16-16]
victoria| Fine but I think museum will be closed tomorrow| [person:victoria f 2-2][location:museum s 4-4]
shirley| Ok then you take them to the palace| [person:victoria f 2-2][person:they g(jerry:dwayne) 4-4][location:palace s 7-7]
victoria| Thats a great idea I am also going to offer them a treat at City Hotel| [person:victoria f 4-4][person:they g(jerry:dwayne) 10-10][location:hotel s 14-14][location:hotel s 15-15]
shirley| Great thank you very much Victoria| [person:victoria f 2-2][person:victoria f 5-5]

conv:people_2019081902_96:aug_0:chat_0:chataug_0| alex gabriel| [person:alex m 0-0][person:gabriel m 1-1]
alex| Gabriel Do you want to go out on Friday night| [person:gabriel m 0-0][person:gabriel m 2-2]
gabriel| I definitely do I talked to Pedro at the gym yesterday and it sounds like wants to also| [person:gabriel m 0-0][person:gabriel m 3-3][person:pedro m 6-6][location:gym s 9-9]
alex| I m cool with that If Pedro is coming out should we invite Scott and Michael as well| [person:alex m 0-0][person:pedro m 6-6][person:we g(alex:gabriel) 11-11][person:scott m 13-13][person:michael m 15-15]
gabriel| Don t forget Eduardo| [person:eduardo m 3-3]
alex| Good call Where do you guys want to go| [person:gabriel m 4-4]
gabriel| Well you know I always like Club Zero| [person:alex m 1-1][person:gabriel m 3-3][location:club s 6-6]
alex| Me too But that s like an hour drive for Scott Let s do something closer| [person:alex m 0-0][person:scott m 10-10]
gabriel| Good point I keep forgetting he moved What about The Fireside| [person:gabriel m 2-2][person:scott m 5-5][location:fireside s 10-10]
alex| The Fireside is perfect Nice central location for everyone| [location:fireside s 1-1][person:everyone g(alex:gabriel:pedro:scott:michael:eduardo) 8-8]
gabriel| Sounds good Let s plan on that You let Scott and Michael know and I ll talk to Pedro and Eduardo| [person:alex m 7-7][person:scott m 9-9][person:michael m 11-11][person:gabriel m 14-14][person:pedro m 18-18][person:eduardo m 20-20]
alex| Will do See you Friday| [person:gabriel m 3-3]

conv:people_2019081902_97:aug_0:chat_0:chataug_0| dwight ryan| [person:dwight m 0-0][person:ryan m 1-1]
ryan| Hi where can we watch superbowl| [person:we g(ryan:dwight) 3-3]
dwight| We can go for a place which is closer to both of us| [person:we g(ryan:dwight) 0-0][location:place s 5-5][person:we g(ryan:dwight) 12-12]
ryan| Its not only we two but craig and jim are also joining us| [person:we g(ryan:dwight) 3-3][person:craig m 6-6][person:jim m 8-8][person:we g(ryan:dwight) 12-12]
dwight| That s great Then please decide a place which is closer to all four of us and food is good| [location:place s 7-7][person:us g(ryan:dwight:craig:jim) 15-15]
dwight| How about New Jersey| [location:new_jersey s 2-3]
ryan| That s fine by me Should I book the tickets| [person:ryan m 4-4][person:ryan m 6-6]
dwight| Yes Ryan Please let me know the billing amount so that we can split it equally among all of us| [person:ryan m 1-1][person:dwight m 4-4][person:us g(ryan:dwight:craig:jim) 11-11][person:us g(ryan:dwight:craig:jim) 19-19]
ryan| Yes No problem I have booked the ticket for 5 pm| [person:ryan m 3-3]
dwight| Great Ryan I will meet you outside the movie hall at 445 pm along with Craig and Jim| [person:ryan m 1-1][person:dwight m 2-2][person:ryan m 5-5][location:hall s 9-9][person:craig m 15-15][person:jim m 17-17]
ryan| That s perfect Thanks for coordinating with everyone Dwight| [person:everyone g(ryan:dwight:craig:jim) 7-7][person:dwight m 8-8]
dwight| No worries Ryan See you at the movie Goodbye| [person:ryan m 2-2][person:ryan m 4-4]
ryan| Goodbye Dwight| [person:dwight m 1-1]

conv:people_2019081902_98:aug_0:chat_0:chataug_0| steven walt| [person:steven m 0-0][person:walt m 1-1]
walt| Hey Steven I got the movie ready and got a bunch of snacks and drinks| [person:steven m 1-1][person:walt m 2-2]
steven| Good deal I m hyped for it Starship Troopers is my favorite movie| [person:steven m 2-2][person:steven m 10-10]
walt| Yeah its a good one You know Ben AND Eric both told me they ve never seen it| [person:steven m 5-5][person:ben m 7-7][person:eric m 9-9][person:walt m 12-12][person:they g(ben:eric) 13-13]
steven| What You re kidding me Invite them over I ll pick up some extra snacks on the way| [person:walt m 1-1][person:steven m 4-4][person:they g(ben:eric) 6-6][person:steven m 8-8]
walt| Well if we invite Ben then we have to invite Bruce too They go everywhere together| [person:we g(walt:steven) 2-2][person:ben m 4-4][person:we g(walt:steven) 6-6][person:bruce m 10-10][person:they g(ben:bruce) 12-12]
steven| Hmm Well I got the sales bonus at work today so how about I just pick up some pizza and we ll invite all three| [person:steven m 2-2][person:steven m 13-13][person:we g(walt:steven) 20-20]
walt| Yeah that sounds awesome I m still at work with Ben so I ll go ask him Will you ask Eric if he can make it| [person:walt m 4-4][person:ben m 10-10][person:walt m 12-12][person:ben m 16-16][person:steven m 18-18][person:eric m 20-20][person:eric m 22-22]
steven| I got you Texting him now What kind of pizza should I get| [person:steven m 0-0][person:walt m 2-2][person:eric m 4-4][person:steven m 11-11]
walt| Definitely get pepperoni and extra cheese I know Ben and Bruce love that kind Oh and by the way Ben says him and Bruce are free tonight so they ll be there| [person:walt m 6-6][person:ben m 8-8][person:bruce m 10-10][person:ben m 19-19][person:eric m 21-21][person:bruce m 23-23][person:they g(ben:bruce) 28-28]
steven| Eric and I also like pepperoni That works out perfectly Eric just texted me back and says he ll be there This is going to be great| [person:eric m 0-0][person:steven m 2-2][person:eric m 10-10][person:steven m 13-13][person:eric m 17-17]

conv:people_2019081902_99:aug_0:chat_0:chataug_0| doug stanley| [person:doug m 0-0][person:stanley m 1-1]
