conv:chats_1126_306:aug_0:chat_0:chataug_0| philip sandy| [person:philip m 0-0][person:sandy f 1-1]
deborah| Okay then I will get mom and ask her to play y side| [person:deborah f 2-2][person:mom f 5-5][person:mom f 8-8]
philip| You cant do that If you do it so I am going to loose the match cause mom plays better than dad| [person:philip m 0-0][person:deborah f 5-5][person:philip m 9-9][person:mom f 17-17][person:dad m 21-21]

conv:chats_1127_32:aug_0:chat_0:chataug_0| maddison wilson| [person:maddison f 0-0][person:wilson m 1-1]
maddison| Hey Wilson come fast You still need to pack your bags I flight is arriving 1 hour early than it s original time| [person:wilson m 1-1][person:wilson m 4-4][person:wilson m 9-9][person:maddison f 11-11]
wilson| I m on way Maddison I m trying to figure out what can we gift our grand parents this time| [person:wilson m 0-0][person:maddison f 4-4][person:wilson m 5-5][person:we g(maddison:wilson) 13-13][person:we g(maddison:wilson) 15-15][person:parents g() 17-17]
maddison| This time we will try to give something healthy Do you remember the sweets we took last time Grand ma just loved it| [person:we g(maddison:wilson) 2-2][person:wilson m 10-10][person:we g(maddison:wilson) 14-14]
wilson| Yeah I remember but why do we again give sweets They are getting older and too much of sugar is not all good for their health| [person:wilson m 1-1][person:we g(maddison:wilson) 6-6][person:parents g() 10-10][person:parents g() 24-24]
maddison| So what do you think we can give How about Dry fruits Grand pa loves dry fruits| [person:wilson m 3-3][person:we g(maddison:wilson) 5-5]
wilson| Yes dry fruits are fine I will take it And also how about seasonal desserts| [person:wilson m 5-5]
maddison| Yes desserts will be a great idea Since they live in a village and they cannot access these desserts in village we can gift them now| [person:parents g() 8-8][person:parents g() 14-14][person:we g(maddison:wilson) 21-21][person:parents g() 24-24]
wilson| That s a great idea I will take extra desserts and also Grand pa loves chocolates So please try taking Dark chocolates for Grand Pa| [person:wilson m 5-5]
maddison| I cannot take it Wilson I have my luggage to pack Please you try taking while coming| [person:maddison f 0-0][person:wilson m 4-4][person:maddison f 5-5][person:maddison f 7-7][person:wilson m 12-12]
wilson| Sure Maddison I m really really excited to see our Grand parents See you in a while| [person:maddison f 1-1][person:wilson m 2-2][person:we g(maddison:wilson) 9-9][person:parents g() 11-11][person:maddison f 13-13]

conv:chats_1127_33:aug_0:chat_0:chataug_0| frank nathan| [person:frank m 0-0][person:nathan m 1-1]
nathan| Hello I want to talk to you about our football coach Jeremy| [person:nathan m 1-1][person:frank m 6-6][person:our g(nathan:frank) 8-8][person:jeremy m 11-11]
frank| What else is there to discuss I am really upset| [person:frank m 6-6]
nathan| All those days he used to appreciated us but now he made us second string| [person:jeremy m 3-3][person:our g(nathan:frank) 7-7][person:jeremy m 10-10][person:our g(nathan:frank) 12-12]
frank| Today I am feeling betrayed by him| [person:frank m 1-1][person:jeremy m 6-6]
nathan| I think discussing with him regarding this was not at all a good idea| [person:nathan m 0-0][person:jeremy m 4-4]
frank| May be you are right but I couldn t control myself questioning him regarding his decision| [person:nathan m 2-2][person:frank m 6-6][person:frank m 10-10][person:jeremy m 12-12][person:jeremy m 14-14]
nathan| Already he threw us to the second string now he have a chance to complain against us| [person:jeremy m 1-1][person:our g(nathan:frank) 3-3][person:jeremy m 9-9][person:our g(nathan:frank) 16-16]
frank| eah now he got a chance to complain as well as to take decision against us| [person:jeremy m 2-2][person:our g(nathan:frank) 15-15]
nathan| All we can do now is wait| [person:our g(nathan:frank) 1-1]
frank| Right we have to wait for our next surprise from him| [person:our g(nathan:frank) 1-1][person:our g(nathan:frank) 6-6][person:jeremy m 10-10]

conv:chats_1127_34:aug_0:chat_0:chataug_0| ellie lara| [person:ellie f 0-0][person:lara f 1-1]
ellie| Hey dude how s the practice is going on|
lara| Hello dude yeah its going quiet good How about you| [person:ellie f 9-9]
ellie| Yeah its the same from my side and even working hard for the victory| [person:ellie f 5-5]
lara| Yeah Ellie this time we have to win the tennis match at any cost by offending the two players Frances and Elsa| [person:ellie f 1-1][person:we g(ellie:lara) 4-4][person:frances f 19-19][person:elsa f 21-21]
ellie| Absolutely correct Lara We cant again loose the match this year People have expectations on us we need to reach them at any cost| [person:lara f 2-2][person:we g(ellie:lara) 3-3][person:we g(ellie:lara) 15-15][person:we g(ellie:lara) 16-16]
lara| Exactly we need to practice for the whole day by cut shorting our breaks And should even increase workouts level which gives fitnees to our body| [person:we g(ellie:lara) 1-1][person:we g(ellie:lara) 12-12][person:we g(ellie:lara) 24-24]
ellie| Thats true Lara And we even need to meditate which increases our concentration levels| [person:lara f 2-2][person:we g(ellie:lara) 4-4][person:we g(ellie:lara) 11-11]
lara| We even need to rectify our flaws so that we donot repeat and loose the competition| [person:we g(ellie:lara) 0-0][person:we g(ellie:lara) 5-5][person:we g(ellie:lara) 9-9]
ellie| Yes Lara this actually help us and will be reason for our victory See you in the competition All the best Lara Give your best| [person:lara f 1-1][person:we g(ellie:lara) 5-5][person:we g(ellie:lara) 11-11][person:lara f 14-14][person:lara f 21-21][person:lara f 23-23]
lara| Thank you Ellie and all the best for you even| [person:ellie f 1-1][person:ellie f 2-2][person:ellie f 8-8]

conv:chats_1127_36:aug_0:chat_0:chataug_0| bobby kevin| [person:bobby m 0-0][person:kevin m 1-1]
bobby| Hi Kevin What do you think of the coach Scott s decision| [person:kevin m 1-1][person:kevin m 4-4][person:scott m 9-9]
kevin| Hey I couldn t believe that he made us the second string| [person:kevin m 1-1][person:scott m 6-6][person:us g(bobby:kevin:scott) 8-8]
bobby| Yeah it s unbelievable that he put us as the second string| [person:scott m 5-5][person:us g(bobby:kevin:scott) 7-7]
kevin| I think that he is biased towards few players And we should talk to him regarding this| [person:kevin m 0-0][person:scott m 3-3][person:we g(bobby:kevin:scott) 10-10][person:scott m 14-14]
bobby| Yeah I think we should confront him about this| [person:bobby m 1-1][person:we g(bobby:kevin:scott) 3-3][person:scott m 6-6]
kevin| Yeah that s right But I am scared to talk to him| [person:kevin m 5-5][person:scott m 11-11]
bobby| What if he gets angry on us He might not let us play in the upcoming matches| [person:scott m 2-2][person:us g(bobby:kevin:scott) 6-6][person:scott m 7-7][person:us g(bobby:kevin:scott) 11-11]
kevin| We should talk to him in a way that he won t get angry| [person:we g(bobby:kevin:scott) 0-0][person:scott m 4-4][person:scott m 9-9]
bobby| We shall not disobey him and shall not go to him regarding this as he knows better| [person:we g(bobby:kevin:scott) 0-0][person:scott m 4-4][person:scott m 10-10][person:scott m 14-14]
kevin| Yeah what you said is correct and we shall be ready to play whenever we get the chance to play| [person:bobby m 2-2][person:we g(bobby:kevin:scott) 7-7][person:we g(bobby:kevin:scott) 14-14]

conv:chats_1127_37:aug_0:chat_0:chataug_0| ron troy| [person:ron m 0-0][person:troy m 1-1]
ron| Lets go to the lake this weekend with Zach and Meredith| [person:zach m 8-8][person:meredith f 10-10]
troy| We can plan for a picnic swimming and fishing too| [person:we g(ron:troy) 0-0]
ron| Okay that will also be a great thing Zach and Meredith will have a amazing time then| [person:zach m 8-8][person:meredith f 10-10]
troy| For a long time they have not gone for an outing| [person:they g(zach:meredith) 4-4]
ron| We need to think that we have to teach Zach swimming As he don t know how to swim| [person:we g(ron:troy) 0-0][person:we g(ron:troy) 5-5][person:zach m 9-9][person:zach m 12-12]
troy| That wont be an issue we will be there We can teach him swimming there| [person:we g(ron:troy) 5-5][person:we g(ron:troy) 9-9][person:zach m 12-12]
ron| Meredith loves fishing and she also wants to know it properly| [person:meredith f 0-0][person:meredith f 4-4]
troy| Well then it will be a great fun by teaching and enjoying the day|
ron| Okay today only I will inform them about the weekend| [person:ron m 3-3][person:they g(zach:meredith) 6-6]
troy| I think they will be very glad and excited to here it| [person:troy m 0-0][person:they g(zach:meredith) 2-2]

conv:chats_1127_39:aug_0:chat_0:chataug_0| april brandon| [person:april f 0-0][person:brandon m 1-1]
brandon| Hi April The plan to go to the lake house this weekend is on right| [person:april f 1-1]
april| Yes we are all set We will have so much fun| [person:we g(brandon:april) 1-1][person:we g(brandon:april) 5-5]
brandon| Do you think we should invite Deborah and James too| [person:april f 1-1][person:we g(brandon:april) 3-3][person:deborah f 6-6][person:james m 8-8]
april| That sounds like a good idea will they be interested| [person:they g(deborah:james) 7-7]
brandon| I am sure they will be If they come this will be their first time at a lake house| [person:brandon m 0-0][person:they g(deborah:james) 3-3][person:they g(deborah:james) 7-7][person:they g(deborah:james) 12-12]
april| In that case we should make it special for them| [person:we g(brandon:april) 3-3][person:they g(deborah:james) 9-9]
brandon| Okay what do you have in mind| [person:april f 3-3]
april| How about renting their favorite movies and getting their favorite food| [person:they g(deborah:james) 3-3][person:they g(deborah:james) 8-8]
brandon| Okay I ll take care of the arrangements You invite them| [person:brandon m 1-1][person:april f 8-8][person:they g(deborah:james) 10-10]
april| Alright I ll talk to them and let you know what they say| [person:april f 1-1][person:they g(deborah:james) 5-5][person:brandon m 8-8][person:they g(deborah:james) 11-11]

conv:chats_1127_40:aug_0:chat_0:chataug_0| eric zachary| [person:eric m 0-0][person:zachary m 1-1]
eric| Hello are you busy I need you help| [person:zachary m 2-2][person:eric m 4-4][person:zachary m 6-6]
zachary| I just heard that you and Katy went for fruits shopping for office| [person:zachary m 0-0][person:eric m 4-4][person:katy f 6-6][location:office s 12-12]
eric| Right but I cant make out how much quantity should I take As I don t have any idea regarding this i| [person:eric m 2-2][person:eric m 10-10][person:eric m 13-13]
zachary| Katy is with you You should take her advice too Girls have better idea about this| [person:katy f 0-0][person:eric m 3-3][person:eric m 4-4][person:katy f 7-7][person:girls g(katy) 10-10]
eric| I already asked her she said that she was good in estimating but not in this| [person:eric m 0-0][person:katy f 3-3][person:katy f 4-4][person:katy f 7-7]
zachary| I think you should count atleast one for each of the members and then you calculate the number of days accordingly| [person:zachary m 0-0][person:eric m 2-2][person:eric m 14-14]
eric| How you are so good in this All the day we find you working in office| [person:zachary m 1-1][person:we g(eric) 10-10][person:zachary m 12-12][location:office s 15-15]
zachary| Well all this credit goes to my wife June She is very good and perfect| [person:zachary m 6-6][person:june f 7-7][person:june f 9-9]
eric| Then I think I should thank June for this| [person:eric m 1-1][person:eric m 3-3]
zachary| Okay I will definitely convey your message to her| [person:zachary m 1-1][person:eric m 5-5][person:june f 8-8]

conv:chats_1127_41:aug_0:chat_0:chataug_0| aaron denise| [person:aaron m 0-0][person:denise f 1-1]
aaron| Hey Denise what s up How about both of us going to gym in the evening| [person:denise f 1-1][person:us g(aaron:denise) 9-9][location:gym s 12-12]
denise| Hey Aaron What s up Yes buddy I m up for gym any day| [person:aaron m 1-1][person:denise f 6-6][person:denise f 7-7][location:gym s 11-11]
aaron| That s why I ask only you You re such a freak and you motivate me to push harder| [person:aaron m 3-3][person:denise f 6-6][person:denise f 7-7][person:denise f 13-13][person:aaron m 15-15]
denise| Thanks for those words I already started to gym See you in gym| [person:denise f 4-4][location:gym s 8-8][person:aaron m 10-10][location:gym s 12-12]
aaron| Yes I will be in five minutes Meanwhile you start doing warm up| [person:aaron m 1-1][person:denise f 8-8]
denise| The class energy is really good and I enjoyed this session What about you| [person:denise f 7-7][person:aaron m 13-13]
aaron| I liked it as well Britney and Terry are outstanding The power they generate from their legs is terrific to see| [person:aaron m 0-0][person:britney f 5-5][person:terry m 7-7][person:they g(britney:terry) 12-12][person:their g(britney:terry) 15-15]
denise| Yes terry has good core strength And the way they had kept up with the rest of class is outstanding| [person:terry m 1-1][person:they g(britney:terry) 9-9]
aaron| They prove that fitness is not only working out and but being fit also enhances your mood and personality| [person:they g(britney:terry) 0-0][person:denise f 15-15]
denise| I agree with you mate It is all about focusing on the process rather than focusing on the results| [person:denise f 0-0][person:aaron m 3-3]

conv:chats_1127_42:aug_0:chat_0:chataug_0| clary vincent| [person:clary f 0-0][person:vincent m 1-1]
vincent| Hello Clary How are you doing| [person:clary f 1-1][person:clary f 4-4]
clary| Hey I a doing well How about you| [person:clary f 1-1][person:vincent m 7-7]
vincent| Yeah I am even doing well| [person:vincent m 1-1]
clary| Tell me It s been long time talking to you| [person:clary f 1-1][person:vincent m 9-9]
vincent| Feeling same here Actually I need a small suggestion from you Clary| [location:here s 2-2][person:vincent m 4-4][person:clary f 10-10][person:clary f 11-11]
clary| Tell me Vincent I would I help you| [person:clary f 1-1][person:vincent m 2-2][person:clary f 3-3][person:clary f 5-5][person:vincent m 7-7]
vincent| Actually my siblings Vincenttian and Cette are visiting my place for a visit and I am confused about the place totake them| [person:vincent m 1-1][person:cette f 5-5][person:vincent m 8-8][location:place s 9-9][person:vincent m 14-14][location:place s 19-19][person:them g(cette) 21-21]
clary| My suggestion would be take them to the place which they had alrteady visited and what do they really like So that you can decide| [person:clary f 0-0][person:them g(cette) 5-5][location:place s 8-8][person:them g(cette) 10-10][person:them g(cette) 17-17][person:vincent m 22-22]
vincent| Yeah thatt would be really better and I will ask them where they really want to visit and we shall leave there Thank you for the suggestion Meet you soon| [person:vincent m 7-7][person:them g(cette) 10-10][person:them g(cette) 12-12][person:we g(vincent:cette) 18-18][location:there s 21-21][person:clary f 23-23][person:clary f 28-28]
clary| Perfect go a head Have a safe and joyfull trip See you soon| [person:vincent m 11-11]

conv:chats_1127_43:aug_0:chat_0:chataug_0| anna mark| [person:anna f 0-0][person:mark m 1-1]
anna| Hey Mark are you done with the work| [person:mark m 1-1][person:mark m 3-3]
mark| Hello Anna yeah I am working Tell what is the matter| [person:anna f 1-1][person:mark m 3-3]
anna| As this is the first week at work lets have food out What do you say| [person:mark m 14-14]
mark| Yeah I am ready for that But where shall we go to have food| [person:mark m 1-1][person:we g(anna:mark) 9-9]
anna| Lets go to the restaurant which is besides our office Is that okay for you| [location:restaurant s 4-4][person:we g(anna:mark) 8-8][location:office s 9-9][person:mark m 14-14]
mark| Ha I am okay with it and only we both are going to have food| [person:mark m 1-1][person:we g(anna:mark) 8-8]
anna| Ha mostly Why do you any people to suggest| [person:mark m 4-4]
mark| Yeah I do have our colleagues Tania and Derrick| [person:mark m 1-1][person:we g(anna:mark) 4-4][person:colleagues g() 5-5][person:tania f 6-6][person:derrick m 8-8]
anna| I dont feel like hanging out with them as I dont have impression on them| [person:anna f 0-0][person:colleagues g(tania:derrick) 7-7][person:anna f 9-9][person:colleagues g(tania:derrick) 14-14]
mark| There i snothing like that they are fun to hang out with we will definetly have good time| [person:colleagues g(tania:derrick) 5-5][person:we g(anna:mark) 12-12]

conv:chats_1127_45:aug_0:chat_0:chataug_0| lawrence marilyn| [person:lawrence m 0-0][person:marilyn f 1-1]
marilyn| I was planning to invite Evelyn and Joseph to lakehouse| [person:marilyn f 0-0][person:evelyn f 5-5][person:joseph m 7-7]
lawrence| Even I was also thinking the same| [person:lawrence m 1-1]
marilyn| Lets plan a surprise for them in this weekend| [person:them g(evelyn:joseph) 5-5]
lawrence| We should arrange those things that they like the most| [person:we g(marilyn:lawrence) 0-0][person:they g(evelyn:joseph) 6-6]
marilyn| You are right as this is their first visit to lakehouse| [person:lawrence m 0-0][person:their g(evelyn:joseph) 6-6][location:lakehouse s 10-10]
lawrence| Evelyn used to say that she always dreamed of a barbecue beside a water body| [person:evelyn f 0-0][person:evelyn f 5-5]
marilyn| In the evening we can prepare an area beside the lake for barbecue specially for Evelyn| [person:we g(marilyn:lawrence) 3-3][person:evelyn f 15-15]
lawrence| We will arrange all their favorite dishes in the dinner| [person:we g(marilyn:lawrence) 0-0][person:their g(evelyn:joseph) 4-4]
marilyn| At last after dinner we may plan for a camp fire| [person:we g(marilyn:lawrence) 4-4]
lawrence| There we all will share our different tour experiences| [person:we g(marilyn:lawrence:evelyn:joseph) 1-1][person:our g(marilyn:lawrence:evelyn:joseph) 5-5]

conv:chats_1127_46:aug_0:chat_0:chataug_0| aiden beverly| [person:aiden m 0-0][person:beverly f 1-1]
aiden| Hey Beverly Where are you now| [person:beverly f 1-1][person:beverly f 4-4]
beverly| Hey Aiden I am in the office still Why What happened| [person:aiden m 1-1][person:beverly f 2-2][location:office s 6-6]
aiden| Have you forgot That we were planned to spend a day in zoo| [person:beverly f 1-1][person:aiden_and_beverly g(aiden:beverly) 4-4][location:zoo s 12-12]
beverly| Oops I forget completely Because of my work pressure| [person:beverly f 1-1][person:beverly f 6-6]
aiden| Come fast we need to pack things and our children are waiting for you| [person:aiden_and_beverly g(aiden:beverly) 2-2][person:aiden_and_beverly g(aiden:beverly) 8-8][person:beverly f 13-13]
beverly| Okay I will be in home with in 2 hours Please provide chocolate for Sarah So she will be remains calm until I reach home| [person:beverly f 1-1][location:home s 5-5][person:sarah f 14-14][person:sarah f 16-16][person:beverly f 22-22][location:home s 24-24]
aiden| Okay Don t worry I will take care of our children Sarah and Kathryn Come fast| [person:aiden m 4-4][person:aiden_and_beverly g(aiden:beverly) 9-9][person:sarah f 11-11][person:kathryn f 13-13]
beverly| Yeah I am on the way Find a game which will helps to keep Kathryn engaged As Kathryn likes the game| [person:beverly f 1-1][person:kathryn f 14-14][person:kathryn f 17-17]
aiden| Yeah Sure I will do that and also purchase some snacks for tomorrow s trip| [person:aiden m 2-2]
beverly| Okay I will purchase it and meet you in the home| [person:beverly f 1-1][person:aiden m 7-7][location:home s 10-10]

conv:chats_1127_49:aug_0:chat_0:chataug_0| don marilyn| [person:don m 0-0][person:marilyn f 1-1]
don| Hey Marilyn these days you re least bothered about our pets You re not even showing proper interest in raising them| [person:marilyn f 1-1][person:marilyn f 4-4][person:our g(don:marilyn) 9-9][person:marilyn f 11-11]
marilyn| What happened Don Why is this all of a sudden I believe our pets are doing good| [person:marilyn f 10-10][person:our g(don:marilyn) 12-12]
don| I took our cat for a bath and I found there is no shampoo in the rack| [person:don m 0-0][person:our g(don:marilyn) 2-2][person:don m 8-8]
marilyn| I have told you the last time and you must have forgotten it So don t blame me now| [person:marilyn f 0-0][person:don m 3-3][person:don m 8-8][person:marilyn f 17-17]
don| Honey why will I blame you No I will not Can you get shampoo while coming back home| [person:don m 3-3][person:marilyn f 5-5][person:don m 7-7][person:marilyn f 11-11][location:home s 17-17]
marilyn| Sorry Don I going to meet my friend Pedro and I will be late for sure| [person:marilyn f 2-2][person:marilyn f 6-6][person:pedro m 7-7][person:pedro m 8-8][person:marilyn f 10-10]
don| I find no cabs here or else I would have gone by myself to get shampoo Please come fast honey| [person:don m 0-0][location:here u 4-4][person:don m 7-7][person:don m 12-12]
marilyn| Wait I remember Sherrie telling me that she will be going to the store today If she had not gone I will ask her to get it| [person:marilyn f 1-1][person:sherrie f 3-3][person:marilyn f 5-5][person:sherrie f 7-7][location:store s 13-13][person:sherrie f 16-16][person:marilyn f 20-20][person:sherrie f 23-23]
don| Okay I will also check with Sherrie I think she is not started yet I saw her Instagram story clicking her kitchen a few minutes back| [person:don m 1-1][person:sherrie f 6-6][person:don m 7-7][person:sherrie f 9-9][person:don m 14-14][person:sherrie f 16-16][person:sherrie f 20-20][location:kitchen s 21-21]
marilyn| Yes she is starting now Don t worry she will go and get shampoo Collect it from her See you soon| [person:sherrie f 1-1][person:sherrie f 8-8][person:sherrie f 17-17][person:don m 19-19]

conv:chats_1127_50:aug_0:chat_0:chataug_0| anthony cheryl| [person:anthony m 0-0][person:cheryl f 1-1]
cheryl| Hey Anthony did you leave the ground| [person:anthony m 1-1][person:anthony m 3-3]
anthony| Yes mom sorry for what had happened earlier| [person:mom f 1-1]
cheryl| You don t feel my son there is a long way for you and I will talk then| [person:anthony m 0-0][person:cheryl f 4-4][person:son m 5-5][person:anthony m 12-12][person:cheryl f 14-14]
anthony| I had a discussion with my coach as well He is disgusting| [person:anthony m 0-0][person:anthony m 5-5][person:son m 9-9]
cheryl| I know my son Let s go and talk tomorrow| [person:cheryl f 0-0][person:cheryl f 2-2][person:son m 3-3]
anthony| What is his problem if you come and helping me out I really don t get it| [person:son m 2-2][person:cheryl f 5-5][person:anthony m 9-9][person:anthony m 11-11]
cheryl| You need to work on your fitness first and we can answer anyone in this world Focus on it| [person:anthony m 0-0][person:anthony m 5-5][person:we g(cheryl:anthony) 9-9][person:anyone u 12-12]
anthony| Sure mom I will keep working| [person:mom f 1-1][person:anthony m 2-2]
cheryl| You come home I made pasta for you| [person:anthony m 0-0][location:home s 2-2][person:cheryl f 3-3][person:anthony m 7-7]
anthony| Sure mom I m on my way home| [person:mom f 1-1][person:anthony m 2-2][person:anthony m 5-5][location:home s 7-7]

conv:chats_1127_51:aug_0:chat_0:chataug_0| harry vincent| [person:harry m 0-0][person:vincent m 1-1]
vincent| I m facing some problem in the small cubicle| [person:vincent m 0-0]
harry| I can understand but I think you want to say something specifically| [person:harry m 0-0][person:harry m 4-4][person:vincent m 6-6]
vincent| You are right Whenever Linda talks around I cant concentrate in work for that my task are incomplete| [person:harry m 0-0][person:linda f 4-4][person:vincent m 7-7][person:vincent m 14-14]
harry| Hope you are right but I think we should talk with her regarding this| [person:vincent m 1-1][person:harry m 5-5][person:we g(vincent:harry) 7-7][person:linda f 11-11]
vincent| I have decided to email our Team Leader Donna regarding this matter| [person:vincent m 0-0][person:our g(vincent:harry:linda) 5-5][person:team g(vincent:harry:linda) 6-6][person:donna f 8-8]
harry| You should first discuss with Linda without involving Donna| [person:vincent m 0-0][person:linda f 5-5][person:donna f 8-8]
vincent| Okay I will try your idea first| [person:vincent m 1-1][person:harry m 4-4]
harry| I heard that you have already complained to Donna and you are waiting for a positive response| [person:harry m 0-0][person:vincent m 3-3][person:donna f 8-8][person:vincent m 10-10]
vincent| Actually I did so that they can provide us a larger cubicle to work| [person:vincent m 1-1][person:they g(donna) 5-5][person:us g(vincent:harry:linda) 8-8]
harry| You should understand that Linda can have bad impression due to this| [person:vincent m 0-0][person:linda f 4-4]

conv:chats_1127_52:aug_0:chat_0:chataug_0| jerry kevin| [person:jerry m 0-0][person:kevin m 1-1]
jerry| Hey Kevin you re all set for the dinner party tonight| [person:kevin m 1-1][person:kevin m 2-2]
kevin| Yes of course Jerry how can I miss it| [person:jerry m 3-3][person:kevin m 6-6]
jerry| Great I was thinking to invite our neighbors Alexis and Abigail for the dinner party too| [person:jerry m 1-1][person:our g(jerry:kevin) 6-6][person:neighbors g() 7-7][person:alexis f 8-8][person:abigail f 10-10]
kevin| Yeah that is a good idea but I don t think that Alexis will agree for it| [person:kevin m 7-7][person:alexis f 12-12]
kevin| Yeah but I m excited that Abigail would join us for the party| [person:kevin m 2-2][person:abigail f 6-6][person:our g(jerry:kevin) 9-9]
jerry| I think that opposite of this will happen| [person:jerry m 0-0]
kevin| What do you mean Jerry| [person:jerry m 2-2][person:jerry m 4-4]
jerry| I mean Alexis would turn up for the party but Abigail might not| [person:jerry m 0-0][person:alexis f 2-2][person:abigail f 10-10]
kevin| But still invite both of them for the party We ll see who turns up and who does not at the end| [person:neighbors g(alexis:abigail) 5-5][person:our g(jerry:kevin) 9-9]
jerry| Yeah I ll do it now| [person:jerry m 1-1]

conv:chats_1127_54:aug_0:chat_0:chataug_0| julia robert| [person:julia f 0-0][person:robert m 1-1]
julia| Firstly happy married life dear Praying god we should be happy together for life time| [person:we g(julia:robert) 7-7]
robert| Thank youand wishing the same even|
julia| Dear what do you think or in which way you want our wedding reception should be| [person:robert m 3-3][person:robert m 9-9][person:we g(julia:robert) 11-11]
robert| Any way but that should be joyful and colorful|
julia| Oh yeah it is going to be in the same way but at which place you would like to celebrate| [location:place s 14-14][person:robert m 15-15]
robert| Any place which costs low in price and mostly not in china because inviting all the guests and celebrating would costs us high in price| [location:place s 1-1][location:china s 11-11][person:we g(julia:robert) 21-21]
julia| I dont think that would cost high but as you said I agree and I will talk to the wedding planner June to see if she could shop around for a discount on china| [person:julia f 0-0][person:robert m 9-9][person:julia f 11-11][person:julia f 14-14][person:june f 25-25][location:china s 33-33]
robert| That s actually cool We will even make our wedding reception little intresting so for that I would even like to talk with June| [person:we g(julia:robert) 4-4][person:we g(julia:robert) 8-8][person:robert m 16-16]
julia| Sure why not lets make it intresting by planning and discussing together with June|
robert| Okay dear as you say and looking forward for the wedding reception day| [person:julia f 3-3]

conv:chats_1127_57:aug_0:chat_0:chataug_0| kathleen luara| [person:kathleen f 0-0][person:luara f 1-1]
luara| Hope you got the invitation of the pool party at Adam s house| [person:kathleen f 1-1][person:adam m 10-10]
kathleen| Yeah I am really excited for you Do you have a perfect swimsuit or you have to buy| [person:kathleen f 1-1][person:luara f 6-6][person:luara f 8-8][person:luara f 14-14]
luara| No I have one Although I am excited but what am I going to do| [person:luara f 1-1][person:luara f 5-5][person:luara f 11-11]
kathleen| You are going to enjoy in the party dear| [person:luara f 0-0]
luara| I want to spend my most of the time with Nick but I don t want to ruin my chance with Adam too| [person:luara f 0-0][person:luara f 4-4][person:nick m 10-10][person:luara f 12-12][person:luara f 18-18][person:adam m 21-21]
kathleen| That means you need some idea so that you can manage time for both of them| [person:luara f 2-2][person:luara f 8-8][person:them g(adam:nick) 15-15]
luara| You are right I don t want to loose any of the possibility| [person:kathleen f 0-0][person:luara f 3-3]
kathleen| Divide the time Just find out when Nick is coming and then you decide which time you want to give to whom Simple| [person:nick m 7-7][person:luara f 12-12][person:luara f 16-16]
luara| Thank you dear Let me check out with Nick| [person:kathleen f 1-1][person:luara f 4-4][person:nick m 8-8]
kathleen| Don t be formal dear I m always there for you| [person:kathleen f 5-5][person:luara f 10-10]

conv:chats_1127_58:aug_0:chat_0:chataug_0| candice scott| [person:candice f 0-0][person:scott m 1-1]
candice| I was thinking to invite Joann and Bobby to lakehouse| [person:candice f 0-0][person:joann f 5-5][person:bobby m 7-7][location:lakehouse s 9-9]
scott| Hey I was about to say you this Even they also once told me regarding this| [person:scott m 1-1][person:candice f 6-6][person:they g(joann:bobby) 9-9][person:scott m 13-13]
candice| Our holidays have started so we can plan properly for this get together| [person:our g(candice:scott) 0-0][person:our g(candice:scott) 5-5]
scott| I think we should think of all those things that they like that most| [person:scott m 0-0][person:our g(candice:scott) 2-2][person:they g(joann:bobby) 10-10]
candice| You are right This is their first time in the lakehouse| [person:scott m 0-0][person:they g(joann:bobby) 5-5][location:lakehouse s 10-10]
scott| All the dishes will be of their choices| [person:they g(joann:bobby) 6-6]
candice| Lets plan for a barbecue beside the lake side| [location:barbecue s 4-4]
scott| Bobby will be surprised seeing that| [person:bobby m 0-0]
candice| Also at night we can plan for camp fire| [person:our g(candice:scott) 3-3]
scott| There we will recall all our school memories It will be a great time if we can plan in this manner| [person:our g(candice:scott) 1-1][person:our g(candice:scott) 5-5][location:school s 6-6][person:our g(candice:scott) 15-15]

conv:chats_1127_62:aug_0:chat_0:chataug_0| henry phillip| [person:henry m 0-0][person:phillip m 1-1]
henry| What are you doing in the weekend Are you free| [person:phillip m 2-2][person:phillip m 8-8]
phillip| I don t have any plans in the weekend| [person:phillip m 0-0]
henry| Lets go to the next town to attend the carnival| [location:town s 5-5]
phillip| Well that s a good idea We can call the whole group We will be having great fun| [person:we g(henry:phillip) 6-6][person:we g(henry:phillip) 12-12]
henry| I am inviting them lets see what they response| [person:henry m 0-0][person:we g(henry:phillip) 3-3][person:we g(henry:phillip) 7-7]
phillip| Oh I forgot I don t thing Jon and Louis will come| [person:phillip m 1-1][person:phillip m 3-3][person:jon m 7-7][person:louis m 9-9]
henry| Why do you think so They will definitely come After so many years we are planning for a meet| [person:phillip m 2-2][person:they g(jon:louis) 5-5][person:we g(henry:phillip:jon:louis) 13-13]
phillip| I think you forgot Last day of the school you had a bad conversation with them which ended with a great fight| [person:phillip m 0-0][person:henry m 2-2][location:school s 8-8][person:henry m 9-9][person:they g(jon:louis) 15-15]
henry| Yeah that s true but it happened so many years ago I don t think they will remember that They also might have forgotten it| [person:henry m 11-11][person:they g(jon:louis) 15-15][person:they g(jon:louis) 19-19]
phillip| I got a reply from Julia Doris and Rose They are coming and asked for the time| [person:phillip m 0-0][person:julia f 5-5][person:doris f 6-6][person:rose f 8-8][person:they g(julia:doris:rose) 9-9]

