conv:people_1011_1528_50:aug_0:chat_0:chataug_0| bob dom| [person:bob m 0-0][person:dom m 1-1]
peggy| Yum I can t wait Can we rent a tiller| [person:peggy f 1-1][person:we g(peggy:andy) 6-6]
andy| Sure can Home Depot or Lowes rents them| [location:home s 2-2]
peggy| Good we will need one See you later XXOO| [person:we g(peggy:andy) 1-1][person:andy m 6-6]

conv:people_1011_1528_142:aug_0:chat_0:chataug_0| harry jerry| [person:harry m 0-0][person:jerry m 1-1]
jerry| I really like Melinda| [person:jerry m 0-0][person:melinda f 3-3]
harry| I noticed that you two seem to be getting close| [person:harry m 0-0][person:jerry m 3-3]
jerry| Yeah I m planning a date night for us this Saturday| [person:jerry m 1-1][person:us g(jerry:melinda) 8-8]
harry| Cool What are you guys doing| [person:jerry m 3-3]
jerry| I don t know that s why I m asking you You know that Melinda and Oliver used to date right| [person:jerry m 0-0][person:jerry m 7-7][person:harry m 10-10][person:harry m 11-11][person:melinda f 14-14][person:oliver m 16-16]
harry| Yeah They dated for a minute| [person:they g(melinda:oliver) 1-1]
jerry| You were tight with Oliver Did he talk about what she liked to do| [person:harry m 0-0][person:oliver m 4-4][person:oliver m 6-6][person:melinda f 10-10]
harry| Oliver and Melinda liked hiking and craft beer| [person:oliver m 0-0][person:melinda f 2-2]
jerry| Yes See I don t want to do what Oliver did with Melinda| [person:jerry m 2-2][person:oliver m 9-9][person:melinda f 12-12]
harry| I understand that How about taking her to a play She likes musicals Oliver hated that type of stuff and never did it with her| [person:harry m 0-0][person:melinda f 6-6][person:melinda f 10-10][person:oliver m 13-13][person:melinda f 24-24]
jerry| Yeah that sounds good Anything else|
harry| Yeah She liked to rollerskate but Oliver said that it was too childish and never took her| [person:melinda f 1-1][person:oliver m 6-6][person:melinda f 16-16]
jerry| This is great Thanks man I can plan our date night now| [person:jerry m 5-5][person:our g(jerry:melinda) 8-8]
harry| You re welcome Have fun| [person:jerry m 0-0]

conv:people_1011_1528_143:aug_0:chat_0:chataug_0| caroline eugene| [person:caroline f 0-0][person:eugene m 1-1]
eugene| So are you ready for the movie tonight| [person:caroline f 2-2]
caroline| Yes I can t wait The movie is supposed to be really terrifying Oh I saw Bryan this morning and asked if he and Judy want to watch as well| [person:caroline f 1-1][person:caroline f 14-14][person:bryan m 16-16][person:bryan m 22-22][person:judy f 24-24]
eugene| Really did he say yes I thought he told me once that he never cared for horror movies| [person:bryan m 2-2][person:eugene m 5-5][person:bryan m 7-7][person:eugene m 9-9][person:bryan m 12-12]
caroline| That explains him being noncommittal| [person:bryan m 2-2]
eugene| He mentioned that he really enjoys comedies Maybe we should see the scary movie next week and find another movie for tonight| [person:bryan m 0-0][person:bryan m 3-3][person:we g(eugene:caroline) 8-8]
caroline| I am sure Judy will be fine with any movie| [person:caroline f 0-0][person:judy f 3-3]
eugene| Drama is always good You decide on the genre since we are skipping your favorite tonight| [person:caroline f 4-4][person:we g(eugene:caroline) 10-10][person:caroline f 13-13]
caroline| I think everyone will enjoy a comedy How about the one with Jason Bateman| [person:caroline f 0-0][person:everyone g() 2-2][person:jason m 12-12]
eugene| That does look good Final answer is the comedy|
caroline| Great I will let Bryan and Judy know about the change of plans| [person:caroline f 1-1][person:bryan m 4-4][person:judy f 6-6]
eugene| Call me when you are on your way| [person:eugene m 1-1][person:caroline f 3-3][person:caroline f 6-6]

conv:people_1011_1528_144:aug_0:chat_0:chataug_0| brian zach| [person:brian m 0-0][person:zach m 1-1]
zach| Hi Brian remember Jean s baby shower is this Sunday| [person:brian m 1-1][person:jean f 3-3]
brian| Oh is it I nearly forgot about it Thank you for reminding me about it| [person:brian m 3-3][person:zach m 9-9][person:brian m 12-12]
zach| No worries what should we get her for her baby shower| [person:we g(zach:brian) 4-4][person:jean f 6-6][person:jean f 8-8]
brian| I texted Timothy to ask what they needed for their child and what Jean liked| [person:brian m 0-0][person:timothy m 2-2][person:they g(jean:timothy) 6-6][person:their g(jean:timothy) 9-9][person:jean f 13-13]
zach| I see and what did he say| [person:zach m 0-0][person:timothy m 5-5]
brian| He mentioned that she needed some new baby clothes as the baby couldn t fit in his current one| [person:timothy m 0-0][person:jean f 3-3][person:baby m 16-16]
zach| I see why not we give them something useful like diapers or something| [person:zach m 0-0][person:we g(zach:brian) 4-4][person:them g(jean:timothy) 6-6]
brian| That sounds interesting let me ask Timothy about it then| [person:brian m 4-4][person:timothy m 6-6]
zach| Sure just update me when you hear from him again then| [person:zach m 3-3][person:brian m 5-5][person:timothy m 8-8]
brian| Will do we should get this settled soon as her baby shower is really soon| [person:we g(zach:brian) 2-2][person:jean f 9-9]

conv:people_1011_1528_145:aug_0:chat_0:chataug_0| diane jackie| [person:diane f 0-0][person:jackie f 1-1]
diane| Hi Jackie I m at the department group lunch| [person:jackie f 1-1][person:diane f 2-2]
jackie| Oh how is it going|
diane| Mostly okay There are some things that I wondered about| [location:there u 2-2][person:diane f 7-7]
jackie| Who all is there What did you wonder about| [location:there u 3-3][person:diane f 6-6]
diane| Well Mindy is there and Joyce and Donna But Mindy took me aside and confided in me that Joyce didn t wash her hands in the restroom| [person:mindy f 1-1][person:joyce f 5-5][person:donna f 7-7][person:mindy f 9-9][person:diane f 11-11][person:diane f 16-16][person:joyce f 18-18][person:joyce f 22-22]
diane| I don t like to gossip about people but it bothered me because she prepared some of the food and beverages and she shares the phone and keyboard in the print room| [person:diane f 0-0][person:diane f 11-11][person:joyce f 13-13][person:joyce f 22-22][location:print_room s 30-31]
jackie| Yeah I don t think you are gossiping because that s a real concern Actually| [person:jackie f 1-1][person:diane f 5-5]
diane| Oh what is it|
jackie| Well a couple weeks ago Donna told me something similar| [person:donna f 5-5][person:jackie f 7-7]
diane| What happened that time|
jackie| Donna thought she saw Joyce leave the restroom without washing her hands too| [person:donna f 0-0][person:donna f 2-2][person:joyce f 4-4][location:restroom s 7-7][person:joyce f 10-10]
diane| I guess we need to take extra vitamins and wash our own hands more often and use sanitizer| [person:diane f 0-0][person:we g(diane:jackie) 2-2][person:our g(diane:jackie) 10-10]

conv:people_1011_1528_146:aug_0:chat_0:chataug_0| melissa ronald| [person:melissa f 0-0][person:ronald m 1-1]
ronald| I can t believe you want full custody| [person:ronald m 0-0][person:melissa f 4-4]
melissa| Of course I do You can t be trusted with our daughter| [person:melissa f 2-2][person:ronald m 4-4][person:our g(ronald:melissa) 10-10][person:donna f 11-11]
ronald| Donna wouldn t agree She loves being at my house| [person:donna f 0-0][person:donna f 4-4][person:ronald m 8-8][location:house s 9-9]
melissa| Because you just feed her sugar She s not safe there| [person:ronald m 1-1][person:donna f 4-4][person:donna f 6-6][location:house s 10-10]
ronald| Obviously we re not going to agree on this Maybe we should get a lawyer| [person:we g(ronald:melissa) 1-1][person:we g(ronald:melissa) 10-10][person:eugene m 14-14]
melissa| That s the first thing we ve agreed on| [person:we g(ronald:melissa) 5-5]
ronald| I ll set an appointment with Eugene to go over this| [person:ronald m 0-0][person:eugene m 6-6]
melissa| Of course you d pick Eugene he s your buddy We need a new lawyer| [person:ronald m 2-2][person:eugene m 5-5][person:eugene m 6-6][person:ronald m 8-8][person:eugene m 9-9][person:we g(ronald:melissa) 10-10][person:lawyer u 14-14]
ronald| Fine you find someone and tell me when to be there| [person:melissa f 1-1][person:someone u 3-3][person:ronald m 6-6][location:there u 10-10]
melissa| I will let you know| [person:melissa f 0-0][person:ronald m 3-3]

conv:people_1011_1528_147:aug_0:chat_0:chataug_0| mark stacy| [person:mark m 0-0][person:stacy f 1-1]
stacy| So I wanna go to Howard and Valerie s for the fourth of July| [person:stacy f 1-1][person:howard m 5-5][person:valerie f 7-7]
mark| So do I since our plans went array| [person:mark m 2-2][person:our g(stacy:mark) 4-4]
stacy| should we ask them| [person:we g(stacy:mark) 1-1][person:them g(howard:valerie) 3-3]
mark| maybe we should give them a call| [person:we g(stacy:mark) 1-1][person:them g(howard:valerie) 4-4]
stacy| what should we say| [person:we g(stacy:mark) 2-2]
mark| Just ask if we can join them| [person:we g(stacy:mark) 3-3][person:them g(howard:valerie) 6-6]
stacy| I will I mean we do a lot with them| [person:stacy f 0-0][person:stacy f 2-2][person:we g(stacy:mark) 4-4][person:them g(howard:valerie) 9-9]
mark| Yeah we have a lot of fun camping and stuff| [person:we g(stacy:mark) 1-1]
stacy| I am sure they want us there| [person:stacy f 0-0][person:they g(howard:valerie) 3-3][person:us g(stacy:mark) 5-5][location:there u 6-6]
mark| Howard and Valerie are great people| [person:howard m 0-0][person:valerie f 2-2]
stacy| Yes they sure are| [person:they g(howard:valerie) 1-1]

conv:people_1011_1528_148:aug_0:chat_0:chataug_0| melinda rusell| [person:melinda f 0-0][person:rusell m 1-1]
rusell| What should we get Dad for his birthday this year I want to make it super special| [person:we g(rusell:melinda) 2-2][person:dad m 4-4][person:dad m 6-6][person:rusell m 10-10]
melinda| He s had a hard year What about some of the gifts he mentioned| [person:dad m 0-0][person:dad m 12-12]
rusell| He said something about a new power drill| [person:dad m 0-0]
melinda| We can always call and ask Willie and Jeffrey what they think| [person:we g(rusell:melinda) 0-0][person:willie m 6-6][person:jeffrey m 8-8][person:they g(willie:jeffrey) 10-10]
rusell| That s a good idea Let me call them real quick| [person:rusell m 6-6][person:them g(willie:jeffrey) 8-8]
melinda| I think Willie is out of the country| [person:melinda f 0-0][person:willie m 2-2][location:country s 7-7]
rusell| I ll call Jeffrey then He knows Dad well| [person:rusell m 0-0][person:jeffrey m 3-3][person:jeffrey m 5-5][person:dad m 7-7]
melinda| That s a good idea Maybe some fishing gear|
rusell| That s exactly what Jeffrey suggested| [person:jeffrey m 4-4]
melinda| Great We can go to the outdoor sports store later| [person:we g(rusell:melinda) 1-1][location:outdoor_sports_store s 6-8]

conv:people_1011_1528_149:aug_0:chat_0:chataug_0| danielle jeff| [person:danielle f 0-0][person:jeff m 1-1]
jeff| Danie its our special day do you remember| [person:our g(jeff:danielle) 2-2][person:danielle f 6-6]
danielle| How can we forget our beloved dad s birthday| [person:we g(jeff:danielle) 2-2][person:our g(jeff:danielle) 4-4][person:dad m 6-6]
jeff| What should we buy for him on this special day| [person:we g(jeff:danielle) 2-2][person:dad m 5-5]
danielle| I am also thinking about it| [person:danielle f 0-0]
jeff| What about buying some pastries and cakes he likes it| [person:dad m 7-7]
danielle| Thats a good idea but he is also fond of books Shall we purchase some books for him| [person:dad m 5-5][person:we g(jeff:danielle) 12-12][person:dad m 17-17]
jeff| Seems great See dad s friends Bradley and Jamie are more aware of his likes He had them during his hard years| [person:dad m 3-3][person:friends g() 5-5][person:bradley m 6-6][person:jamie m 8-8][person:dad m 13-13][person:dad m 15-15][person:them g(bradley:jamie) 17-17]
danielle| Surely thats a good idea But who of them is best to find a suitable gift| [person:them g(bradley:jamie) 8-8]
jeff| I think Jamie will be right choice| [person:jeff m 0-0][person:jamie m 2-2]
danielle| Yeah we can meet him| [person:we g(jeff:danielle) 1-1][person:jamie m 4-4]

conv:people_1011_1528_150:aug_0:chat_0:chataug_0| carol stephen| [person:carol f 0-0][person:stephen m 1-1]
carol| Hello stephen how are you| [person:stephen m 1-1][person:stephen m 4-4]
stephen| I m good but what s up with Donna our coworker| [person:stephen m 0-0][person:donna f 8-8][person:our g(carol:stephen) 9-9][person:donna f 10-10]
carol| what do you mean stephen| [person:stephen m 2-2][person:stephen m 4-4]
stephen| don t you think she asks too many questions| [person:carol f 2-2][person:donna f 4-4]
carol| I guess so maybe it s because she is new| [person:carol f 0-0][person:donna f 7-7]
stephen| yeah but by now she should know the answers| [person:donna f 4-4]
carol| yes i suppose you are right is there any other problems you have with her| [person:carol f 1-1][person:stephen m 3-3][person:stephen m 11-11][person:donna f 14-14]
stephen| come to think of it she always invades my personal space| [person:donna f 5-5][person:stephen m 8-8]
carol| does it make you uncomortable| [person:stephen m 3-3]
stephen| yes it does and on top of that she smells horrible| [person:donna f 8-8]

conv:people_1011_1528_151:aug_0:chat_0:chataug_0| christina mike| [person:christina f 0-0][person:mike m 1-1]
mike| What s up Christina| [person:christina f 3-3]
christina| Hey Mike Not much Just got done at the gym| [person:mike m 1-1]
mike| You have any plans for the weekend| [person:christina f 0-0]
christina| Church on Sunday morning Other than that not much going on|
mike| Me neither I think we should put something fun together| [person:mike m 0-0][person:mike m 2-2][person:we g(mike:christina) 4-4]
christina| I m down There s the opening of that new brewery over on the north side| [person:christina f 0-0]
mike| I totally forgot about that Yes Let s do that for sure| [person:mike m 0-0]
christina| Well that was easy Let s invite Lucas too You know he loves beer| [person:lucas m 7-7][person:mike m 9-9][person:lucas m 11-11]
mike| Ughhhhh I love Lucas but not a big fan of his new girlfriend Lily| [person:mike m 1-1][person:lucas m 3-3][person:lucas m 10-10][person:lily f 12-12][person:lily f 13-13]
christina| Do you think she would come| [person:mike m 1-1][person:lily f 3-3]
mike| Yes She follows Mike around like a puppy dog Maybe I could just tell him it is a guys thing and you could just happen to show up| [person:lily f 1-1][person:mike m 3-3][person:mike m 10-10][person:lucas m 14-14][person:christina f 21-21]
christina| Is that dishonest What if you asked him casually what he s doing this weekend Maybe he would mention that Lily is busy and then we would know it is safe to invite him| [person:mike m 5-5][person:lucas m 7-7][person:lucas m 10-10][person:lucas m 16-16][person:lily f 20-20][person:we g(mike:christina) 25-25][person:lucas m 33-33]
mike| But if he doesn t mention that then it puts me in an awkward position Is there anyone else we could invite that would help distract us from Lily| [person:lucas m 2-2][person:mike m 10-10][person:anyone u 17-17][person:we g(mike:christina) 19-19][person:us g(mike:christina) 26-26][person:lily f 28-28]
christina| I know What if we invite Tom and Julie Julie is a teacher same as Lily They could talk about teacher stuff while the rest of us hang out like the old days| [person:christina f 0-0][person:we g(mike:christina) 4-4][person:tom m 6-6][person:julie f 8-8][person:julie f 9-9][person:lily f 15-15][person:they g(lily:julie) 16-16]
mike| Great idea I ll text Tom and Lucas now I ll let you know what I hear| [person:mike m 2-2][person:tom m 5-5][person:lucas m 7-7][person:mike m 9-9][person:christina f 12-12][person:mike m 15-15]

conv:people_1011_1528_152:aug_0:chat_0:chataug_0| barry roger| [person:barry m 0-0][person:roger m 1-1]
roger| Hey Barry I wanted to ask your thought about Michelle| [person:barry m 1-1][person:roger m 2-2][person:barry m 6-6][person:michelle f 9-9]
barry| Hey Roger yeah sure man I think she s really cool and funny| [person:roger m 1-1][person:barry m 5-5][person:michelle f 7-7]
roger| I feel the same way in fact I think I have feelings for her| [person:roger m 0-0][person:roger m 7-7][person:roger m 9-9][person:michelle f 13-13]
barry| Really That s great Are you going to tell her| [person:roger m 5-5][person:michelle f 9-9]
roger| I want to but I m afraid it ll ruin our friendship| [person:roger m 0-0][person:roger m 4-4][person:our g(roger:barry) 10-10]
barry| Just speak from the heart I m sure she will understand| [person:barry m 5-5][person:michelle f 8-8]
roger| What kind of topic should I bring up you know to get her more interested in me| [person:roger m 5-5][person:barry m 8-8][person:michelle f 12-12][person:roger m 16-16]
barry| Talk to her about music she really loves music| [person:michelle f 2-2][person:michelle f 5-5]
roger| OK thanks for the information it s a big help|
barry| Good luck to you hope she likes you back| [person:roger m 3-3][person:michelle f 5-5][person:roger m 7-7]

conv:people_1011_1528_153:aug_0:chat_0:chataug_0| clary ellie| [person:clary f 0-0][person:ellie f 1-1]
clary| I wont be able to go to Church with you this week Dwight has a basketball game across town| [person:clary f 0-0][location:church s 7-7][person:ellie f 9-9][person:dwight m 12-12][location:town s 18-18]
ellie| On a Sunday That s awful they shouldn t have it during church time| [person:they g(dwight) 6-6][location:church s 12-12]
clary| It s not really during church Its just a long drive to get there and we have to leave early| [location:church s 5-5][location:there u 13-13][person:we g(clary:dwight) 15-15]
ellie| Well I think he should skip the game and come to church with us| [person:ellie f 1-1][person:dwight m 3-3][location:church s 11-11][person:us g(clary:ellie) 13-13]
clary| His team is counting on him It s just one Sunday| [person:dwight m 0-0][person:team g() 1-1][person:dwight m 5-5]
ellie| Can t he ride with one of his friends so you at least can go to church| [person:dwight m 2-2][person:dwight m 7-7][person:friends g() 8-8][person:clary f 10-10][location:church s 16-16]
clary| It s an important game I want to be there to support him| [person:clary f 5-5][location:there u 9-9][person:dwight m 12-12]
ellie| And church isn t important| [location:church s 1-1]
clary| Of course it is Mom but we re just talking about missing one Sunday It s really not that big a deal Why don t you come with us| [location:church s 2-2][person:ellie f 4-4][person:we g(clary:dwight) 6-6][person:ellie f 25-25][person:us g(clary:dwight) 28-28]
ellie| No thanks I want to go to church I guess I ll just go alone| [person:ellie f 2-2][location:church s 7-7][person:ellie f 8-8][person:ellie f 10-10]
clary| Why don t you come over for dinner this evening I m making a lasagna| [person:ellie f 3-3][person:clary f 10-10]
ellie| With salad and garlic bread|
clary| Of course|
ellie| Okay I ll make my special blueberry pie for desert| [person:ellie f 1-1][person:ellie f 4-4]
clary| Great we ll see you around 5 then| [person:we g(clary:dwight) 1-1][person:ellie f 4-4]

conv:people_1011_1528_154:aug_0:chat_0:chataug_0| emma william| [person:emma f 0-0][person:william m 1-1]
emma| hi william how are you i hope the you will be fine over there| [person:william m 1-1][person:william m 4-4][person:emma f 5-5][person:william m 8-8][location:there u 13-13]
william| hi emma i am fine thank you i hope the same from yourside| [person:emma f 1-1][person:william m 2-2][person:emma f 6-6][person:william m 7-7]
emma| i like to meet you lisa and don at the upcoming sunday brunch| [person:emma f 0-0][person:william m 4-4][person:lisa f 5-5]
william| wow what a lovely message i will be very much happy to see you over there| [person:william m 5-5][person:emma f 13-13][location:there u 15-15]
emma| but i am quite nervous because how i will share my thoughts with lisa and dom| [person:emma f 1-1][person:emma f 7-7][person:emma f 10-10][person:lisa f 13-13][person:dom m 15-15]
william| why emma what is there to meet them they are also like me| [person:emma f 1-1][person:them g(lisa:dom) 7-7][person:they g(lisa:dom) 8-8][person:william m 12-12]
emma| no william you are different because i know you over a long time but lisa and dom for a past few days only i know them| [person:william m 1-1][person:william m 2-2][person:emma f 6-6][person:william m 8-8][person:lisa f 14-14][person:dom m 16-16][person:emma f 23-23][person:them g(lisa:dom) 25-25]
william| oh no emma they are very kind person they have very good qualities and they are very much fond of having friendship with you| [person:emma f 2-2][person:they g(lisa:dom) 3-3][person:they g(lisa:dom) 8-8][person:they g(lisa:dom) 14-14][person:emma f 23-23]
emma| ok william i will come and meet them but you have to support me a lot| [person:william m 1-1][person:emma f 2-2][person:them g(lisa:dom) 7-7][person:william m 9-9][person:emma f 13-13]
william| ok emma it is not at all problem we will meet at sunday brunch see you there| [person:emma f 1-1][person:we g(emma:william) 8-8][person:emma f 15-15][location:there u 16-16]

conv:people_1011_1528_155:aug_0:chat_0:chataug_0| clary rodger| [person:clary f 0-0][person:rodger m 1-1]
rodger| Hey Clary I gotta ask you something do you mind if I do| [person:clary f 1-1][person:rodger m 2-2][person:clary f 5-5][person:clary f 8-8][person:rodger m 11-11]
clary| Hey Rodger what did you want to ask me about| [person:rodger m 1-1][person:rodger m 4-4][person:clary f 8-8]
rodger| Well you know how we always head to the library after school| [person:clary f 1-1][person:we g(rodger:clary) 4-4][location:library s 9-9][location:school s 11-11]
clary| Yeah what about it Is there something wrong with our schedule| [person:our g(rodger:clary) 9-9]
rodger| No that s not it at all it s actually about that couple that always sits near us all the time| [person:us g(rodger:clary) 17-17]
clary| Oh that s Matt and Catherine I ve talked to them once before they seem like cool people| [person:matt m 3-3][person:catherine f 5-5][person:clary f 6-6][person:them g(matt:catherine) 10-10][person:they g(matt:catherine) 13-13]
rodger| I wonder if they d be interested in starting a book club what do you think| [person:rodger m 0-0][person:they g(matt:catherine) 3-3][location:club s 11-11][person:clary f 14-14]
clary| Yeah they seem like the kind of people how do we ask them| [person:they g(matt:catherine) 1-1][person:we g(rodger:clary) 10-10][person:them g(matt:catherine) 12-12]
rodger| Let s just talk to them next time we see them in the library| [person:them g(matt:catherine) 5-5][person:we g(rodger:clary) 8-8][person:them g(matt:catherine) 10-10][location:library s 13-13]
clary| OK that sounds good see you soon Rodger| [person:rodger m 5-5][person:rodger m 7-7]

conv:people_1011_1528_156:aug_0:chat_0:chataug_0| frank jeffrey| [person:frank m 0-0][person:jeffrey m 1-1]
frank| Hey Jeffrey how are you doing| [person:jeffrey m 1-1][person:jeffrey m 4-4]
jeffrey| I am doing fine Frank thanks for asking what s up| [person:jeffrey m 0-0][person:frank m 4-4]
frank| Damn man I keep thinking about Susie| [person:frank m 2-2][person:susie f 6-6]
jeffrey| What do you mean Frank| [person:frank m 2-2][person:frank m 4-4]
frank| I really am into her| [person:frank m 0-0][person:susie f 4-4]
jeffrey| Are you sure it is specifically about her Maybe you just feel lonely| [person:frank m 1-1][person:susie f 7-7][person:frank m 9-9]
frank| I am sure that I am into Susie| [person:frank m 0-0][person:frank m 4-4][person:susie f 7-7]
jeffrey| Frank maybe she is not the right girl for you| [person:frank m 0-0][person:susie f 2-2][person:frank m 9-9]
frank| What do you mean Jeffrey| [person:jeffrey m 2-2][person:jeffrey m 4-4]
jeffrey| I mean you would already be with her if it would be working| [person:jeffrey m 0-0][person:frank m 2-2][person:susie f 7-7]
frank| I know that this is not going anywhere but I really like her| [person:frank m 0-0][person:frank m 9-9][person:susie f 12-12]
jeffrey| You are better off to look for a girl that likes you too so it would not be just you liking her| [person:frank m 0-0][person:frank m 11-11][person:frank m 19-19][person:susie f 21-21]
frank| You are right Jeffrey| [person:jeffrey m 0-0][person:jeffrey m 3-3]

conv:people_1011_1528_157:aug_0:chat_0:chataug_0| joe peggy| [person:joe m 0-0][person:peggy f 1-1]
joe| so did you see the new horror advertised in the cinema| [person:peggy f 2-2]
peggy| yes i did and I just thought of you Do you want to go to see it tonight| [person:peggy f 1-1][person:peggy f 4-4][person:joe m 8-8][person:joe m 10-10]
joe| I would love to but I dont get paid until Friday| [person:joe m 0-0][person:joe m 5-5]
peggy| Sure it is student night buy one ticket get one free so we may as well go| [person:we g(joe:peggy) 12-12]
joe| great I forgot about that Here do you think we should invite the neighbours| [person:joe m 1-1][location:here u 5-5][person:peggy f 7-7][person:we g(joe:peggy) 9-9]
peggy| Not peter nad Ann I dont really like them but what about inviting the other neighbours Joseph and Christina| [person:peter m 1-1][person:ann f 3-3][person:peggy f 4-4][person:them g(peter:ann) 8-8][person:joseph m 16-16][person:christina f 18-18]
joe| Yes we do get on well with them but I know for a fact that Joe hates horror flicks| [person:we g(joe:peggy) 1-1][person:them g(joseph:christina) 7-7][person:joe m 9-9][person:joseph m 15-15]
peggy| Well what else is on that they may like| [person:they g(joseph:christina) 6-6]
joe| There is that new romcom and I think that science fiction one is still on What do you think they would like| [person:joe m 6-6][person:peggy f 17-17][person:they g(joseph:christina) 19-19]
peggy| Possibly the science fiction one as I remember Joseph talking about a few scifi classics before| [person:peggy f 6-6][person:joseph m 8-8]
joe| What do you think then should we say to them| [person:peggy f 2-2][person:we g(joe:peggy) 6-6][person:them g(joseph:christina) 9-9]
peggy| It is up to you since it is you that is keen to go| [person:joe m 4-4][person:joe m 8-8]
joe| Well if you dont mind then can it just be us two I have been looking forward to this horror being released and I cant wait to watch it| [person:peggy f 2-2][person:us g(joe:peggy) 10-10][person:joe m 12-12][person:joe m 23-23]
peggy| sure why not We can always ask them next week| [person:we g(joe:peggy) 3-3][person:them g(joseph:christina) 7-7]
joe| Agreed right go and get yourself ready and I will get on the computer and book us tickets| [person:peggy f 5-5][person:joe m 8-8][person:us g(joe:peggy) 16-16]
peggy| Deal I will be back in half an hour| [person:peggy f 1-1]

conv:people_1011_1528_158:aug_0:chat_0:chataug_0| bill martha| [person:bill m 0-0][person:martha f 1-1]
bill| Hey Martha let s do something fun this weekend| [person:martha f 1-1]
martha| Sure I would love to I need a break I ve been wanting to try out that new brewery downtown| [person:martha f 1-1][person:martha f 5-5][person:martha f 9-9][location:brewery s 18-18][location:downtown s 19-19]
bill| Oh yeah I did hear about that Let s do it| [person:bill m 2-2]
martha| I know Evan wanted to go too I guess I ll invite him| [person:martha f 0-0][person:evan m 2-2][person:martha f 7-7][person:martha f 9-9][person:evan m 12-12]
bill| Awww do we really have to invite Evan He hates Janet and I would really like her to come too| [person:we g(bill:martha) 2-2][person:evan m 7-7][person:evan m 8-8][person:janet f 10-10][person:bill m 12-12][person:janet f 16-16]
martha| Sorry I forgot how Evan feels about your girlfriend We don t have to invite him| [person:martha f 1-1][person:evan m 4-4][person:bill m 7-7][person:janet f 8-8][person:we g(bill:martha) 9-9][person:evan m 15-15]
bill| Thanks for understanding|
martha| Should we invite Tom I think he gets along with everyone| [person:we g(bill:martha) 1-1][person:tom m 3-3][person:martha f 4-4][person:tom m 6-6][person:everyone g() 10-10]
bill| Yeah I m fine with Tom Do you want to invite Tom and Janet or just one of them| [person:bill m 1-1][person:tom m 5-5][person:martha f 7-7][person:tom m 11-11][person:janet f 13-13][person:them g(janet:tom) 18-18]
martha| I think we should invite both Then it will be a double date| [person:martha f 0-0][person:we g(bill:martha) 2-2]
bill| Interesting I didn t know you were dating Tom| [person:bill m 1-1][person:martha f 5-5][person:tom m 8-8]

conv:people_1011_1528_159:aug_0:chat_0:chataug_0| kenneth vince| [person:kenneth m 0-0][person:vince m 1-1]
vince| Hi Kenneth You remember Amelie I found out that she like football and hockey can you believe it| [person:kenneth m 1-1][person:kenneth m 2-2][person:amelie f 4-4][person:vince m 5-5][person:amelie f 9-9][person:kenneth m 15-15]
kenneth| Yeah I know that she dated Gary for a while and they use to go to some football and hockey games| [person:kenneth m 1-1][person:amelie f 4-4][person:gary m 6-6][person:they g(amelie:gary) 11-11]
vince| Nice I think Amelie and I are going to go to the hockey game Friday night then out on the town for a while| [person:vince m 1-1][person:amelie f 3-3][person:vince m 5-5][location:town s 20-20]
vince| I do know that she doesn t like pizza| [person:vince m 0-0][person:amelie f 4-4]
kenneth| I hear you Apparently Gary ate a lot of pizza and that is one reason they broke up I do know that she likes sushi though| [person:kenneth m 0-0][person:vince m 2-2][person:gary m 4-4][person:they g(amelie:gary) 15-15][person:kenneth m 18-18][person:amelie f 22-22]
vince| Great I love sushi Maybe her and I will go get some| [person:vince m 1-1][person:amelie f 5-5][person:vince m 7-7]
kenneth| That was apparently another thing that Gary didn t like was sushi He also listened to heavy metal a lot and I think that Amelie didn t like that either| [person:gary m 6-6][person:gary m 12-12][person:kenneth m 21-21][person:amelie f 24-24]
kenneth| She also like hiking and surfing I think| [person:amelie f 0-0][person:kenneth m 6-6]
vince| Very cool Her and I will get along great| [person:amelie f 2-2][person:vince m 4-4]
kenneth| Have fun at the hockey game and let me know how its going| [person:kenneth m 8-8]
vince| Will do thanks|

conv:people_1011_1528_160:aug_0:chat_0:chataug_0| cameron jen| [person:cameron f 0-0][person:jen f 1-1]
jen| Hi how are you| [person:cameron f 3-3]
cameron| Hi I am fine What about you| [person:cameron f 1-1][person:jen f 6-6]
jen| I am also fine What things are you going to buy for groceries today| [person:jen f 0-0][person:cameron f 7-7]
cameron| Well i am thinking of buying some fresh vegetables and fruits What about you| [person:cameron f 1-1][person:jen f 13-13]
jen| I am also thinking for buying the same Also i am thinking of buying two chocolates for my twin What are you going to buy for your twins| [person:jen f 0-0][person:jen f 9-9][person:jen f 17-17][person:cameron f 21-21][person:cameron f 26-26][person:twins g() 27-27]
cameron| I am thinking of buying candies as they don t like chocolates| [person:cameron f 0-0][person:twins g() 7-7]
jen| Good choice Cameron So are you leaving now for groceries or in evening| [person:cameron f 2-2][person:cameron f 5-5]
cameron| I am going now What about you| [person:cameron f 0-0][person:jen f 6-6]
jen| I will be going in the evening itself| [person:jen f 0-0]
cameron| Have a great day|
jen| You too have a great day ahead Goodbye| [person:cameron f 0-0]

conv:people_1011_1528_161:aug_0:chat_0:chataug_0| bruce judy| [person:bruce m 0-0][person:judy f 1-1]
judy| Hey Bruce how are you doing| [person:bruce m 1-1][person:bruce m 4-4]
bruce| I am doing quite good thanks for asking Judy| [person:bruce m 0-0][person:judy f 8-8]
