conv:chats_1126_86:aug_0:chat_0:chataug_0| mark rusell| [person:mark m 0-0][person:rusell m 1-1]
zach| And what were they saying| [person:pamela f 3-3]
kate| They want to know some details about the house they have a lot of questions| [person:pamela f 0-0][person:pamela f 9-9]
zach| Alright what do they want to know| [person:pamela f 3-3]
kate| They want to know what type of material the roof is made of| [person:pamela f 0-0]
zach| I don t know I ll talk to the contractor and let you know| [person:zach m 0-0][person:zach m 4-4][person:kate f 12-12]
kate| Do you think these are the right people to sell our house to| [person:zach m 1-1][person:our g(kate:zach) 10-10]
zach| It doesn t matter as long as they agree to our price| [person:pamela f 7-7][person:our g(kate:zach) 10-10]
kate| You are right we will answer all their questions when we ll meet them this weekend| [person:zach m 0-0][person:our g(kate:zach) 3-3][person:pamela f 7-7][person:our g(kate:zach) 10-10][person:pamela f 13-13]
zach| Alright we will do that| [person:our g(kate:zach) 1-1]

conv:chats_1126_195:aug_0:chat_0:chataug_0| claire stacy| [person:claire f 0-0][person:stacy f 1-1]
stacy| Hi Claire what do you think about going to neighborhood pool| [person:claire f 1-1][person:claire f 4-4][location:pool s 10-10]
claire| Hey Stacy yes I was thinking about going to the pool It s so hot today| [person:stacy f 1-1][person:claire f 3-3][location:pool s 10-10]
stacy| I heard a good review about that pool from Sam and Jordan| [person:stacy f 0-0][location:pool s 7-7][person:sam m 9-9][person:jordan m 11-11]
claire| Really Shall we go then It s kind of surprising that you heard from them though They re not good at swimming| [person:we g(stacy:claire) 2-2][person:stacy f 11-11][person:them g(sam:jordan) 14-14][person:them g(sam:jordan) 16-16]
stacy| Yes i am pretty much interested to go there And what about the lessons they offer over there that also we need to think about| [person:stacy f 1-1][location:pool s 8-8][person:them g(sam:jordan) 14-14][location:pool s 17-17][person:we g(stacy:claire) 20-20]
claire| We need to see if the lessons offered there are great They could be useful for the boys don t you think| [person:we g(stacy:claire) 0-0][location:pool s 8-8][person:them g(sam:jordan) 11-11][person:them g(sam:jordan) 17-17][person:stacy f 20-20]
stacy| Yea so that we can convince the boys more easily and make them join as soon as possible| [person:we g(stacy:claire) 3-3][person:them g(sam:jordan) 7-7][person:them g(sam:jordan) 12-12]
claire| I m not sure they would listen to us that easily Convincing them might be little difficult But we got to try don t we| [person:claire f 0-0][person:them g(sam:jordan) 4-4][person:we g(stacy:claire) 8-8][person:them g(sam:jordan) 12-12][person:we g(stacy:claire) 18-18][person:we g(stacy:claire) 24-24]
stacy| Do not worry we can convince them at any cost there are many ways| [person:we g(stacy:claire) 3-3][person:them g(sam:jordan) 6-6]
claire| Yes We ll see Let s decide on it once we ve seen the lessons For now let s go the pool shall we| [person:we g(stacy:claire) 1-1][person:we g(stacy:claire) 10-10][person:we g(stacy:claire) 23-23]
stacy| yea sure lets go now|

conv:chats_1126_197:aug_0:chat_0:chataug_0| melissa tom| [person:melissa f 0-0][person:tom m 1-1]
melissa| Hey Tom how does a vacation in Europe sound| [person:tom m 1-1][location:europe s 7-7]
tom| Europe would be great That sounds like a wonderful idea| [location:europe s 0-0]
melissa| Yeah but I was thinking if we can take Doris along| [person:melissa f 2-2][person:we g(melissa:tom) 6-6][person:doris f 9-9]
tom| Isn t she too young to travel| [person:doris f 2-2]
melissa| l think she is old enough but she might be annoying for everybody on the plane| [person:doris f 2-2][person:doris f 7-7][person:everybody g() 12-12]
tom| Also I don t want her ruining Jonathan s first trip to Europe by crying throughout the airplane ride| [person:tom m 1-1][person:doris f 5-5][person:jonathan m 7-7][location:europe s 12-12]
melissa| That is exactly what I was thinking May be we can ask my sister to look after her while we are gone| [person:melissa f 4-4][person:we g(melissa:tom) 9-9][person:melissa f 12-12][person:sister f 13-13][person:doris f 17-17][person:we g(melissa:tom) 19-19]
tom| Sounds good But will she be okay with it| [person:sister f 4-4]
melissa| I ll ask her tomorrow I think she will agree| [person:melissa f 0-0][person:sister f 3-3][person:melissa f 5-5][person:sister f 7-7]
tom| Great We ll finalize the trip after you talk to her| [person:we g(melissa:tom) 1-1][person:melissa f 7-7][person:sister f 10-10]

conv:chats_1126_199:aug_0:chat_0:chataug_0| cecil troy| [person:cecil f 0-0][person:troy m 1-1]
troy| Hey Cecil What do you think about day out in zoo| [person:cecil f 1-1][person:cecil f 4-4][location:zoo s 10-10]
cecil| Yes Troy That will be a great idea When shall we plan the trip| [person:troy m 1-1][person:we g(troy:cecil) 10-10]
troy| We shall plan by this weekend Our children will also enjoy it| [person:we g(troy:cecil) 0-0][person:we g(troy:cecil) 6-6]
cecil| Okay Then find a game which Catherine will like| [person:catherine f 6-6]
troy| Okay Let us play hide and seek Our children Martha and Catherine both will like it| [person:us g(troy:cecil:catherine) 2-2][person:we g(troy:cecil) 7-7][person:martha f 9-9][person:catherine f 11-11]
cecil| Yeah That would be a great idea I had bought a chocolate to Martha where is she| [person:cecil f 7-7][person:martha f 13-13][person:martha f 16-16]
troy| She went for a class Keep the chocolate a side she will come and have it| [person:martha f 0-0][person:martha f 10-10]
cecil| Okay Then let us plan for the trip by tomorrow evening| [person:we g(troy:cecil) 3-3]
troy| Fine I will be at home by 400 PM tomorrow| [person:troy m 1-1][location:home s 5-5]
cecil| Okay I will join you tomorrow| [person:cecil f 1-1][person:troy m 4-4]

conv:chats_1126_200:aug_0:chat_0:chataug_0| jenny patrick| [person:jenny f 0-0][person:patrick m 1-1]
patrick| Hey Jenny my siblings Jacob and Brenda are visiting me next week and I m supposed to take them somewhere Any ideas| [person:jenny f 1-1][person:patrick m 2-2][person:jacob m 4-4][person:brenda f 6-6][person:patrick m 9-9][person:patrick m 13-13][person:them g(jacob:brenda) 18-18]
jenny| Oh really that s great there are pretty good places but what are your preferences| [location:places g() 9-9][person:patrick m 13-13]
patrick| There aren t any preferences in particular Anything good is perfect|
jenny| Ok can i know what they like do most| [person:jenny f 2-2][person:they g(jacob:brenda) 5-5]
patrick| They like exhilarating rides tons of junk food and ridiculously overpriced products for sale| [person:they g(jacob:brenda) 0-0]
jenny| OK OK do you remember what they have done in last visited place| [person:patrick m 3-3][person:they g(jacob:brenda) 6-6][location:place s 12-12]
patrick| Um maybe they visited the amusement park in the town nearby and the ghost house park by the beach plaza| [person:they g(jacob:brenda) 2-2][location:amusement_park s 5-6][location:town s 9-9][location:house_park s 14-15][location:beach s 18-18][location:plaza s 19-19]
jenny| Fine here there is nice amusement park with good water slides and also so many thrilling rides too| [location:here u 1-1][location:amusement_park s 5-6]
patrick| That looks like a good place for a visit Thanks for the idea Jenny| [location:amusement_park s 5-5][person:jenny f 13-13]
jenny| It s ok Patrick no need of thanks| [person:patrick m 3-3]

conv:chats_1126_203:aug_0:chat_0:chataug_0| arthur carol| [person:arthur m 0-0][person:carol f 1-1]
carol| Hey Arthur what do you think about a double date with Paula and Daniel| [person:arthur m 1-1][person:arthur m 4-4][person:paula f 11-11][person:daniel m 13-13]
arthur| No Carol I don t think this is a good idea| [person:carol f 1-1][person:arthur m 2-2]
carol| But what is the problem|
arthur| You know I get uncomfortable around your friends| [person:carol f 0-0][person:arthur m 2-2][person:carol f 6-6][person:friends g() 7-7]
carol| But you had fun last time we went out| [person:arthur m 1-1][person:we g(carol:arthur:paula:daniel) 6-6]
arthur| You re right that day was fun| [person:carol f 0-0]
carol| See we will have a great time this time too Daniel and Paula are both great company to have around| [person:we g(carol:arthur:paula:daniel) 1-1][person:daniel m 10-10][person:paula f 12-12]
arthur| Alright we ll go Where are we going| [person:we g(carol:arthur:paula:daniel) 1-1][person:we g(carol:arthur:paula:daniel) 6-6]
carol| Great we did not decide the place yet| [person:we g(carol:arthur:paula:daniel) 1-1][location:place s 6-6]
arthur| Alright just inform me after you guys decide| [person:arthur m 3-3][person:carol f 5-5]

conv:chats_1126_207:aug_0:chat_0:chataug_0| diane stephanie| [person:diane f 0-0][person:stephanie f 1-1]
diane| Hey Stephaine Are you interested in playing soccer now| [person:stephanie f 3-3]
stephanie| Of course I would love to play that sport But I need to ask my Dad s permission for that| [person:stephanie f 2-2][person:stephanie f 10-10][person:stephanie f 14-14][person:dad m 15-15]
diane| Fine then try to go and convince him Tell him that we are playing in my house and we ll be very careful| [person:dad m 7-7][person:dad m 9-9][person:we g(diane:stephanie) 11-11][person:diane f 15-15][person:we g(diane:stephanie) 18-18]
stephanie| I have informed him and he has agreed for that I am very happy about it| [person:stephanie f 0-0][person:dad m 3-3][person:dad m 5-5][person:stephanie f 10-10]
diane| What did you ask to Marcus Was he really happy about it| [person:stephanie f 2-2][person:marcus m 5-5][person:marcus m 7-7]
stephanie| I told him that I am going to play along with Diane at his home He was very normal about it| [person:stephanie f 0-0][person:marcus m 2-2][person:stephanie f 4-4][person:diane f 11-11][person:marcus m 13-13][location:home s 14-14][person:marcus m 15-15]
diane| Did he give you any kind of warnings as all parent does| [person:marcus m 1-1][person:stephanie f 3-3][person:parent g() 10-10]
stephanie| Yes he told me to be careful and not to go outside your compound wall| [person:marcus m 1-1][person:stephanie f 3-3][person:diane f 12-12]
diane| That s what I was wondering I d have really surprised if he d have forgotten those statements| [person:diane f 3-3][person:diane f 6-6][person:marcus m 12-12]
stephanie| Very funny Come let s go and play|

conv:chats_1126_208:aug_0:chat_0:chataug_0| barbara daniel| [person:barbara f 0-0][person:daniel m 1-1]
barbara| Daniel I am so excited for our trip to London| [person:daniel m 0-0][person:barbara f 1-1][person:our g(barbara:daniel) 6-6][location:london s 9-9]
daniel| Me too I was thinking about asking Matt and Cindy to watch over our home while we are gone| [person:daniel m 0-0][person:daniel m 2-2][person:matt m 7-7][person:cindy f 9-9][person:our g(barbara:daniel) 13-13][location:home s 14-14][person:we g(barbara:daniel) 16-16]
barbara| Yes we will ask them after getting home from work| [person:we g(barbara:daniel) 1-1][person:them g(matt:cindy) 4-4][location:home s 7-7]
barbara| Also we could ask Cindy to water our plants I do not want them to die| [person:plants u 0-0][person:we g(barbara:daniel) 1-1][person:cindy f 4-4][person:our g(barbara:daniel) 7-7][person:barbara f 9-9][person:them g(plants) 13-13]
daniel| I think it will be rude to ask them to do so much| [person:daniel m 0-0][person:them g(matt:cindy) 8-8]
barbara| You are right We could get them a small gift in return for the favor| [person:daniel m 0-0][person:we g(barbara:daniel) 3-3][person:them g(matt:cindy) 6-6]
daniel| What do you think we should get them| [person:barbara f 2-2][person:we g(barbara:daniel) 4-4][person:them g(matt:cindy) 7-7]
barbara| How about getting them a souvenir from London| [person:them g(matt:cindy) 3-3][location:london s 7-7]
daniel| That is a great idea|
daniel| We will talk to them when we get home| [person:we g(barbara:daniel) 0-0][person:them g(matt:cindy) 4-4][person:we g(barbara:daniel) 6-6][location:home s 8-8]

conv:chats_1126_209:aug_0:chat_0:chataug_0| christian madison| [person:christian m 0-0][person:madison f 1-1]
madison| Hi Christian I am in the hospital now| [person:christian m 1-1][person:madison f 2-2][location:hospital s 6-6]
christian| Hey Christian Why What is the matter| [person:christian m 1-1]
madison| I got my fingers cut off wile I am slicing the vegetables| [person:madison f 0-0][person:madison f 2-2][person:madison f 7-7]
christian| Oh We have a meeting today How can you attend| [person:we g(madison:christian) 1-1][person:madison f 8-8]
madison| Yeah I know that but I cant attend it now| [person:madison f 1-1][person:madison f 5-5]
christian| Okay What shall we do now as this meeting is very important everyone should attend| [person:we g(madison:christian) 3-3][person:everyone g(madison:christian) 12-12]
madison| Can you ask our teacher Mr Derek about the reschedule| [person:christian m 1-1][person:we g(madison:christian) 3-3][person:derek m 6-6]
christian| Yeah sure Mr Derek is a good person He will understand your situation| [person:derek m 3-3][person:derek m 8-8][person:madison f 11-11]
madison| Yeah I know that That is why I am asking you to ask him and I am waiting for your reply| [person:madison f 1-1][person:madison f 7-7][person:derek m 13-13][person:madison f 15-15][person:christian m 19-19]
christian| Okay I will inform you by end of the day| [person:christian m 1-1][person:madison f 4-4]

conv:chats_1126_211:aug_0:chat_0:chataug_0| christine john| [person:christine f 0-0][person:john m 1-1]
john| Hey Christine how about we play basketball today after finishing homework| [person:christine f 1-1][person:we g(john:christine) 4-4]
christine| Sure thing John That s a nice idea| [person:john m 2-2]
john| How about we get partners Could be a lot of fun| [person:we g(john:christine) 2-2]
john| I m gonna get our dad to play for my side| [person:john m 0-0][person:our g(john:christine) 4-4][person:dad m 5-5][person:john m 9-9]
christine| That sure sounds nice So dad plays for your team| [person:dad m 5-5][person:john m 8-8][person:team g(john:christine:dad) 9-9]
christine| If that s the case I m gonna get our mom to play for my side| [person:christine f 5-5][person:our g(john:christine) 9-9][person:mom f 10-10][person:christine f 14-14]
john| Hey that s unfair You can t do that| [person:christine f 4-4]
christine| And why exactly can I not do that| [person:christine f 4-4]
john| You can t since mom is better at basketball than dad Getting her to play is unfair| [person:christine f 0-0][person:mom f 4-4][person:dad m 10-10][person:mom f 12-12]
christine| If you get father to play I ll get mother to play That s the deal| [person:john m 1-1][person:christine f 6-6]

conv:chats_1126_212:aug_0:chat_0:chataug_0| edgar lori| [person:edgar m 0-0][person:lori f 1-1]
edgar| Hello Lori When will you come home today| [person:lori f 1-1][person:lori f 4-4][location:home s 6-6]
lori| Hi Edgar I will come home around 700 PM Why What happened| [person:edgar m 1-1][person:lori f 2-2][location:home s 5-5]
edgar| Nothing Big I want you to buy a shampoo for the cat| [person:edgar m 2-2][person:lori f 4-4]
lori| Sorry I am little busy with some work I will be late to home| [person:lori f 1-1][person:lori f 8-8][location:home s 13-13]
edgar| That s okay While you return you can get it| [person:lori f 4-4][person:lori f 6-6]
lori| I feel sorry that I can t get it Because I am going to meet my friend Malcolm| [person:lori f 0-0][person:lori f 4-4][person:lori f 10-10][person:lori f 15-15][person:malcolm m 16-16][person:malcolm m 17-17]
lori| I think our roommate Carrie is going for the shopping today Ask her to get it| [person:lori f 0-0][person:our g(edgar:lori) 2-2][person:carrie f 4-4][person:carrie f 12-12]
edgar| Okay then I will ask her to get it Thanks for the information| [person:edgar m 2-2][person:carrie f 5-5]
lori| That is fine See you in the room| [person:edgar m 4-4]
edgar| Okay We will meet at the night bye| [person:we g(edgar:lori) 1-1]

conv:chats_1126_214:aug_0:chat_0:chataug_0| lucas sue| [person:lucas m 0-0][person:sue f 1-1]
sue| Hey Lucas Shall we plan a surprise birthday party for Mark| [person:lucas m 1-1][person:we g(sue:lucas) 3-3][person:mark m 10-10]
lucas| That s a good idea Did you think of anything special| [person:sue f 6-6]
sue| Yeah I have some ideas But first we need to prepare the guest list| [person:sue f 1-1][person:we g(sue:lucas) 7-7]
lucas| We will invite all of Mark s friends| [person:we g(sue:lucas) 0-0][person:mark m 5-5][person:friends g() 7-7]
sue| But do you think we should invite Randy| [person:lucas m 2-2][person:we g(sue:lucas) 4-4][person:randy m 7-7]
lucas| Do you have a problem with him| [person:sue f 1-1][person:randy m 6-6]
sue| Don t you remember how he got out of hand in the last two parties| [person:lucas m 2-2][person:randy m 5-5]
lucas| You are right we do not want him to spoil our party| [person:sue f 0-0][person:we g(sue:lucas) 3-3][person:randy m 7-7][person:we g(sue:lucas) 10-10]
sue| Yeah it s better if we don t invite him We ll just convince Mark later that it was a good idea to not invite him| [person:we g(sue:lucas) 5-5][person:randy m 9-9][person:we g(sue:lucas) 10-10][person:mark m 14-14][person:randy m 25-25]
lucas| That sounds good We will start planning tomorrow| [person:we g(sue:lucas) 3-3]

conv:chats_1126_215:aug_0:chat_0:chataug_0| jesse linda| [person:jesse m 0-0][person:linda f 1-1]
linda| Hello Jesse How are you doing| [person:jesse m 1-1][person:jesse m 4-4]
jesse| Hi Linda I am doing well and hoping the same is happening with you| [person:linda f 1-1][person:jesse m 2-2][person:linda f 13-13]
linda| Thank you and yeah I m even doing well| [person:jesse m 1-1][person:linda f 4-4]
jesse| Tell me Linda Its been long time taking to you| [person:jesse m 1-1][person:linda f 2-2][person:linda f 9-9]
linda| Feeling the same Actually I need a small suggestion from you| [person:linda f 4-4][person:jesse m 10-10]
jesse| Yeah tell me I will definitely help you| [person:jesse m 2-2][person:jesse m 3-3][person:linda f 7-7]
linda| Actually my siblings Liam and Marilyn are visiting this weekend and I m confused about the place| [person:linda f 1-1][person:liam m 3-3][person:marilyn f 5-5][person:linda f 11-11][location:place s 16-16]
jesse| My suggestion would be ask them whether they would like to visit the same place they went last time So that you can decide| [person:jesse m 0-0][person:them g(liam:marilyn) 5-5][person:them g(liam:marilyn) 7-7][location:place s 14-14][person:them g(liam:marilyn) 15-15][person:linda f 21-21]
linda| Yeah that would be really better I will ask them where they are actually willing to visit Thank you for the suggestion Meet you soon| [person:linda f 6-6][person:them g(liam:marilyn) 9-9][person:them g(liam:marilyn) 11-11][person:jesse m 18-18][person:jesse m 23-23]
jesse| Perfect go a head Have a safe and joyfull trip See you soon| [person:linda f 11-11]

conv:chats_1126_218:aug_0:chat_0:chataug_0| juan philip| [person:juan m 0-0][person:philip m 1-1]
philip| Hey Juan Good Evening Bonnie has made some extra food for supper Would you be interested to join us| [person:juan m 1-1][person:bonnie f 4-4][person:juan m 13-13][person:we g(philip:juan:bonnie) 18-18]
juan| Hey Philip Good Evening I am outside right now Give me some time so that I will ask Hannah and get back to you| [person:philip m 1-1][person:juan m 4-4][person:juan m 10-10][person:juan m 15-15][person:hannah f 18-18][person:philip m 23-23]
philip| Sure Do tell me once she responds| [person:philip m 3-3][person:bonnie f 5-5]
juan| Yeah Sure Philip| [person:philip m 2-2]
juan| Hey Hannah said fine we are very happy to pick up the food from your place| [person:hannah f 1-1][person:we g(philip:juan:bonnie:hannah) 4-4][person:philip m 14-14][location:place s 15-15]
philip| That s great I will ask Bonnie to pack that food for you so that it will be easier for you| [person:philip m 3-3][person:bonnie f 6-6][person:juan m 12-12][person:juan m 20-20]
juan| Yeah but we may come little late as I am outside| [person:we g(philip:juan:bonnie:hannah) 2-2][person:juan m 8-8]
philip| That s totally fine I am very excited to meet you| [person:philip m 4-4][person:juan m 10-10]
juan| Yeah me too We will meet at your place Bye| [person:juan m 1-1][person:we g(philip:juan:bonnie:hannah) 3-3][person:philip m 7-7][location:place s 8-8]
philip| See you at my place Bye| [person:juan m 1-1][person:philip m 3-3][location:place s 4-4]
juan| Yeah It will be bon appetite for Us See you| [person:we g(philip:juan:bonnie:hannah) 7-7][person:philip m 9-9]

conv:chats_1126_219:aug_0:chat_0:chataug_0| karen mindy| [person:karen f 0-0][person:mindy f 1-1]
karen| Hi Mindy Isn t Mr Smith being unfair by making us do those horrible workouts| [person:mindy f 1-1][person:smith m 5-5][person:us g(karen:mindy) 10-10]
mindy| I am sure that he isn t a gym master He was some kind of ringmaster in some circus I feel being treated like an animal l| [person:mindy f 0-0][person:smith m 4-4][location:gym s 8-8][person:smith m 10-10][person:mindy f 19-19]
karen| You re right Somebody will end up getting injured if he continues these terrible workouts| [person:mindy f 0-0][person:smith m 10-10]
mindy| Now I completely understood the value of our old coach Mr Johnson He was very polite to us| [person:mindy f 1-1][person:us g(karen:mindy) 7-7][person:johnson u 11-11][person:johnson m 12-12][person:us g(karen:mindy) 17-17]
karen| Yes We used to complain about Mr Johnson but he was clearly a better coach| [person:us g(karen:mindy) 1-1][person:johnson m 7-7][person:johnson m 9-9]
mindy| He would never make us to do all this things I don t think that Mr Smith doesn t deserve to get compared with Mr Johnson| [person:johnson m 0-0][person:us g(karen:mindy) 4-4][person:mindy f 10-10][person:smith m 16-16][person:johnson m 25-25]
karen| Exactly Everybody hates Mr Smith People are hardly coming to the gym these days because of him| [person:everybody g(karen:mindy) 1-1][person:smith m 4-4][location:gym s 11-11][person:smith m 16-16]
mindy| I think he has started counting his days That s why he is acting so weird We should find someone better to replace him| [person:mindy f 0-0][person:smith m 2-2][person:smith m 6-6][person:smith m 11-11][person:us g(karen:mindy) 16-16][person:someone u 19-19][person:smith m 23-23]
karen| Yes We should talk to the authorities and ask for a coach like Mr Johnson| [person:us g(karen:mindy) 1-1][person:johnson m 14-14]
mindy| Better we will discuss about this in the next union meeting We should make sure that we get enough support from rest of the people also| [person:us g(karen:mindy) 1-1][person:us g(karen:mindy) 11-11][person:us g(karen:mindy) 16-16]

conv:chats_1126_220:aug_0:chat_0:chataug_0| luis sherrie| [person:luis m 0-0][person:sherrie f 1-1]
luis| Hey Sherrie isn t it weird we haven t seen our manager Jade for over a week now| [person:sherrie f 1-1][person:luis___sherrie g(luis:sherrie) 6-6][person:luis___sherrie g(luis:sherrie) 10-10][person:jade f 11-11][person:jade f 12-12]
sherrie| Yes Luis it s so weird and I wish he d come back soon| [person:luis m 1-1][person:sherrie f 7-7][person:jade f 9-9]
luis| I wish that too Jade s replacement Sean is being too rude to us| [person:luis m 0-0][person:jade f 4-4][person:sean m 7-7][person:luis___sherrie g(luis:sherrie) 13-13]
sherrie| Yep I also had a terrible experience with Sean I agree with you| [person:sherrie f 1-1][person:sean m 8-8][person:sherrie f 9-9][person:luis m 12-12]
luis| Should we check on Jade Got to check if she s okay and if she might need help| [person:luis___sherrie g(luis:sherrie) 1-1][person:jade f 4-4][person:jade f 9-9][person:jade f 14-14]
sherrie| Yes we need to but how do we check on her I don t have her number| [person:luis___sherrie g(luis:sherrie) 1-1][person:luis___sherrie g(luis:sherrie) 7-7][person:jade f 10-10][person:sherrie f 11-11][person:jade f 15-15]
luis| I don t have her number too How do we get to her now| [person:luis m 0-0][person:jade f 4-4][person:luis___sherrie g(luis:sherrie) 9-9][person:jade f 12-12]
sherrie| We ll see if her deputies or her friends have her number| [person:luis___sherrie g(luis:sherrie) 0-0][person:jade f 4-4][person:jade f 7-7][person:friends g() 8-8][person:jade f 10-10]
luis| If all else fails we ll go check on her at her home Sounds good right| [person:luis___sherrie g(luis:sherrie) 4-4][person:jade f 9-9][person:jade f 11-11][location:home s 12-12]
sherrie| Right That s a very good plan We ll do that| [person:luis___sherrie g(luis:sherrie) 7-7]

conv:chats_1126_221:aug_0:chat_0:chataug_0| kathryn tyler| [person:kathryn f 0-0][person:tyler m 1-1]
tyler| Hey Kathryn I ll not be able to make it to George s birthday party| [person:kathryn f 1-1][person:tyler m 2-2][person:george m 11-11]
kathryn| What made you change your mind| [person:tyler m 2-2][person:tyler m 4-4]
tyler| Some important work came up I am sorry| [person:tyler m 5-5]
kathryn| Why don t you show just for a short while George will be happy if you come| [person:tyler m 3-3][person:george m 10-10][person:tyler m 15-15]
tyler| Like I said I cannot I have to go out of the state for a couple of days| [person:tyler m 1-1][person:tyler m 3-3][person:tyler m 5-5][location:state s 12-12]
kathryn| Alright but we ll miss you at the party| [person:we g(kathryn:george) 2-2][person:tyler m 5-5]
tyler| Ivy will be at the party instead of me| [person:ivy f 0-0][person:tyler m 8-8]
kathryn| We d be delighted to have her| [person:we g(kathryn:george) 0-0][person:ivy f 6-6]
tyler| Alright congratulate George on my behalf| [person:george m 2-2][person:tyler m 4-4]
kathryn| I sure will See you| [person:kathryn f 0-0][person:tyler m 4-4]

conv:chats_1126_223:aug_0:chat_0:chataug_0| angela derrick| [person:angela f 0-0][person:derrick m 1-1]
angela| Hey Derrick I don t think Dwight did a fair job He was very harsh on Luke| [person:derrick m 1-1][person:angela f 2-2][person:dwight m 6-6][person:dwight m 11-11][person:luke m 16-16]
derrick| Look Angela I never felt in that way You saw the game in your son s perspective That s what made you think like that| [person:angela f 1-1][person:derrick m 2-2][person:angela f 8-8][person:angela f 13-13][person:son m 14-14][person:angela f 21-21]
angela| How can you say like that Do you consider that foul also in the same way| [person:derrick m 2-2][person:derrick m 7-7]
derrick| Every matches has very crucial moments in which the referee has to go on with one side It was just that kind of moment|
angela| I think you trust Referee Dwight much more than your wife and children I am much happy for that| [person:angela f 0-0][person:derrick m 2-2][person:dwight m 5-5][person:dwight m 9-9][person:wife f 10-10][person:angela f 13-13]
derrick| Its not that Angela I have seen his games for the past many years He s not someone whom you think| [person:angela f 3-3][person:derrick m 4-4][person:son m 7-7][person:son m 14-14][person:son m 17-17][person:angela f 19-19]
angela| Alright I don t want to fight anymore for a person whom I don t even know very well Just ignore it| [person:angela f 1-1][person:angela f 12-12]
derrick| Don t just give it up Angela I want to to see his next game and come up with your decision I ll agree to whatever to decide| [person:angela f 6-6][person:derrick m 7-7][person:son m 12-12][person:angela f 19-19][person:derrick m 21-21]
angela| Fine When is his next game Is it by today itself| [person:son m 3-3]
derrick| No It s by day after tomorrow We ll surely enjoy it|

conv:chats_1126_227:aug_0:chat_0:chataug_0| janet michael| [person:janet f 0-0][person:michael m 1-1]
janet| Hey Michael I am going to buy dinner for the night| [person:michael m 1-1][person:janet f 2-2]
michael| That s great mom what are you bringing for the dinner| [person:janet f 3-3][person:janet f 6-6]
janet| I want you to suggest me for what you wanted| [person:janet f 0-0][person:michael m 2-2][person:janet f 5-5][person:michael m 8-8]
michael| I need pizza I ve been craving for it since morning| [person:michael m 0-0][person:michael m 3-3]
janet| Okay Just check with Walt and Bonnie about what they would like| [person:walt m 4-4][person:bonnie f 6-6][person:they g(walt:bonnie) 9-9]
michael| Okay mom I ll ask them and tell you| [person:janet f 1-1][person:michael m 2-2][person:they g(walt:bonnie) 5-5][person:janet f 8-8]
janet| Okay Get that to me as soon as possible| [person:janet f 4-4]
michael| They both are willing to have hamburgers with some fries| [person:they g(walt:bonnie) 0-0]
janet| Okay I will be back there in a hour| [person:janet f 1-1][location:there s 5-5]
michael| Okay mom get the dinner soon I just can t wait| [person:janet f 1-1][person:michael m 6-6]

conv:chats_1126_228:aug_0:chat_0:chataug_0| joann marissa| [person:joann f 0-0][person:marissa f 1-1]
joann| Hey Marissa Shall we play soccer now| [person:marissa f 1-1][person:we g(joann:marissa) 3-3]
marissa| Yes I would like that very much but I should ask my dad first| [person:marissa f 1-1][person:marissa f 8-8][person:marissa f 11-11][person:dad m 12-12]
joann| Okay And also mention that we would be paying at my house| [person:we g(joann:marissa) 5-5][person:joann f 10-10]
marissa| I ll do that But I cannot be sure he will allow it| [person:marissa f 0-0][person:marissa f 5-5][person:dad m 9-9]
joann| Oh Don t forget tell that we will be careful while playing| [person:we g(joann:marissa) 6-6]
marissa| Okay I ll talk to him now and see what he says| [person:marissa f 1-1][person:dad m 5-5][person:dad m 10-10]
joann| Alright ask you father I will be waiting for you here| [person:marissa f 2-2][person:joann f 4-4][person:joann f 9-9]
marissa| Great he said yes We can play at your house now| [person:dad m 1-1][person:we g(joann:marissa) 4-4][person:joann f 8-8]
joann| Okay give me a minute to get ready for playing| [person:joann f 2-2]
marissa| Alright I ll join at your house in few minutes| [person:marissa f 1-1][person:joann f 5-5]

conv:chats_1126_230:aug_0:chat_0:chataug_0| hannah stephanie| [person:hannah f 0-0][person:stephanie f 1-1]
hannah| Hey Stephanie I want to take my revenge on them Have you forgotten what happened last year| [person:stephanie f 1-1][person:hannah f 2-2][person:hannah f 6-6][person:them g() 9-9][person:stephanie f 11-11]
stephanie| Hey Hannah Are you talking about Harriet and Amanda| [person:hannah f 1-1][person:hannah f 3-3][person:harriet f 6-6][person:amanda f 8-8]
hannah| Of course They are the only pair to beat us in doubles What do you think about their strategy s| [person:them g(harriet:amanda) 2-2][person:us g(hannah:stephanie) 9-9][person:stephanie f 14-14][person:them g(harriet:amanda) 17-17]
stephanie| In the last tennis match we lost to them because we had played after a long time| [person:us g(hannah:stephanie) 5-5][person:them g(harriet:amanda) 8-8][person:us g(hannah:stephanie) 10-10]
hannah| There will be hundreds of reasons to say about our failure But I am just thinking about their success I am sure that they already had a good plan for us| [person:us g(hannah:stephanie) 9-9][person:hannah f 12-12][person:them g(harriet:amanda) 17-17][person:hannah f 19-19][person:them g(harriet:amanda) 23-23]
stephanie| You re right We need to beat them in the coming competition We can plan better this time and increase our chances of winning| [person:hannah f 0-0][person:us g(hannah:stephanie) 3-3][person:them g(harriet:amanda) 7-7][person:us g(hannah:stephanie) 12-12]
