conv:people_2019082001_6:aug_0:chat_0:chataug_0| benjamin mike| [person:benjamin m 0-0][person:mike m 1-1]
eugene| Alright so are sandwiches ok Do we have bread| [person:we g(eugene:lucy) 6-6]
lucy| Eugene are you kidding me No this is Dave and Mary we re talking about We need to do something less plain| [person:eugene m 0-0][person:eugene m 2-2][person:lucy f 4-4][person:dave m 8-8][person:mary f 10-10][person:we g(eugene:lucy) 11-11][person:we g(eugene:lucy) 15-15]
eugene| Well what do they like Dave told me that Anna is a picky eater Do you think they d like my famous french toast| [person:they g(dave:mary) 3-3][person:dave m 5-5][person:eugene m 7-7][person:anna f 9-9][person:lucy f 15-15][person:they g(dave:mary) 17-17][person:eugene m 20-20]
lucy| Yes That would be perfect We already have eggs powdered sugar and syrup Maybe get some bacon to go with it and some whipped cream and fresh strawberries| [person:we g(eugene:lucy) 5-5]
eugene| Yes ma am I ll do that berry reduction I did for our anniversary breakfast last spring I ll see you guys soon| [person:eugene m 3-3][person:eugene m 9-9][person:we g(eugene:lucy) 12-12][person:eugene m 17-17][person:lucy f 20-20]
lucy| Amazing Can t wait They re going to love it Love you Eugene| [person:they g(dave:mary) 4-4][person:eugene m 11-11][person:eugene m 12-12]

conv:people_2019082001_108:aug_0:chat_0:chataug_0| douglas tyler| [person:douglas m 0-0][person:tyler m 1-1]
douglas| Hello Tyler When are you guys free I am so eager to grab a drink| [person:tyler m 1-1][person:tyler m 4-4][person:douglas m 7-7]
tyler| Me too It really depends on when both me and Catherine are free at the same day| [person:tyler m 0-0][person:tyler m 8-8][person:catherine f 10-10]
douglas| What about Ben What s his situation| [person:ben m 2-2][person:ben m 5-5]
tyler| Oh i didn t mention Ben because he is free all the time Don t worry he is coming along too| [person:tyler m 1-1][person:ben m 5-5][person:ben m 7-7][person:ben m 16-16]
douglas| Which days of next week are you free| [person:tyler m 6-6]
tyler| I am free on Wednesday Friday and Saturday| [person:tyler m 0-0]
douglas| Could you ask Catherine the same thing I am eager to know| [person:tyler m 1-1][person:catherine f 3-3][person:douglas m 7-7]
tyler| I was doing the same thing You really seem thirsty for that drink| [person:tyler m 0-0][person:douglas m 6-6]
douglas| You have no idea It s been months since I had a proper drink| [person:tyler m 0-0][person:douglas m 9-9]
tyler| She says she is free on Tuesday and Friday| [person:catherine f 0-0][person:catherine f 2-2]
douglas| Hell yeah So Friday it is Can t wait to see you guys| [person:tyler m 11-11]
tyler| I shall try my very best See you Friday| [person:tyler m 0-0][person:tyler m 3-3][person:douglas m 7-7]

conv:people_2019082001_109:aug_0:chat_0:chataug_0| jacqueline virginia| [person:jacqueline f 0-0][person:virginia f 1-1]
jacqueline| I am so excited for our weekend trip| [person:jacqueline f 0-0][person:our g(jacqueline:virginia) 5-5]
virginia| oh yeah me too i am so excited too| [person:virginia f 2-2][person:virginia f 4-4]
jacqueline| Do you think we should invite Lara Grace and Debra| [person:virginia f 1-1][person:we g(jacqueline:virginia) 3-3][person:lara f 6-6][person:grace f 7-7][person:debra f 9-9]
virginia| Oh yeah sure it will be fun|
jacqueline| But where should we go we only have very limit ticket to the park| [person:we g(jacqueline:virginia) 3-3][person:we g(jacqueline:virginia) 5-5][location:park s 13-13]
virginia| Yea that s a good point and we dont know what everyone likes too| [person:we g(jacqueline:virginia) 7-7][person:everyone g() 11-11]
jacqueline| Maybe we should talk to them individually and decide from there| [person:we g(jacqueline:virginia) 1-1][person:them g(lara:grace:debra) 5-5]
virginia| Yea i think that will be a good idea| [person:virginia f 1-1]
jacqueline| Lets find out from them first and we will decide| [person:them g(lara:grace:debra) 4-4][person:we g(jacqueline:virginia) 7-7]
virginia| Ok cool i will call up the grils and let you know| [person:virginia f 2-2][person:jacqueline f 10-10]
jacqueline| sounds like a plan|

conv:people_2019082001_110:aug_0:chat_0:chataug_0| johnny sam| [person:johnny m 0-0][person:sam m 1-1]
johnny| Hey Sam did you decide which concert we will go to| [person:sam m 1-1][person:johnny m 3-3][person:we g(johnny:sam) 7-7]
sam| I don t know man it s really upto you guys| [person:sam m 0-0][person:johnny m 9-9]
johnny| We can t seem to come to an agreement for some reason| [person:we g(johnny:sam) 0-0]
sam| I do realise that I just hope i don t get caught in the crossfire Have we atleast set a day| [person:sam m 0-0][person:sam m 4-4][person:sam m 7-7][person:we g(johnny:sam) 16-16]
johnny| Yes I ve spoken to Nicholas and Jon We ve decided on Thursday evening Jon had to reschedule one of his clients| [person:johnny m 1-1][person:nicholas m 5-5][person:jon m 7-7][person:we g(johnny:sam) 8-8][person:jon m 14-14][person:jon m 20-20][person:clients g() 21-21]
sam| Great that s a start Any clues as to which concert we will be going to| [person:we g(johnny:sam) 11-11]
johnny| None i m afraid I want to go to watch some jazz while Nicholas and Jon are set on hip hop music| [person:johnny m 1-1][person:johnny m 4-4][person:nicholas m 13-13][person:jon m 15-15]
sam| I just want to go out with you guys Is this jazz concert important| [person:sam m 0-0][person:johnny m 7-7]
johnny| It most definitely is They are gonna be here all month| [person:they g(nicholas:jon) 4-4]
sam| Great there you have it Let s just go to this hip hop concert for Nicholas and Jon You and I could go to the Jazz concert later this month my treat| [person:johnny m 2-2][person:nicholas m 15-15][person:jon m 17-17][person:johnny m 18-18][person:sam m 20-20][person:sam m 30-30]
johnny| That does sound like fun You ve always been so good at this sort of thing Alright later then have a nice day| [person:sam m 5-5]
sam| Glad to be of service Have a nice day too|

conv:people_2019082001_112:aug_0:chat_0:chataug_0| dan martin| [person:dan m 0-0][person:martin m 1-1]
martin| hey we should get a pizza before the show| [person:we g(martin:dan) 1-1]
dan| where do you want to get one| [person:dan m 2-2]
martin| whatever place is convenient for everyone| [location:place s 1-1][person:everyone g(martin:dan) 5-5]
dan| we can just go to Giordano s then| [person:we g(martin:dan) 0-0]
martin| do they sell thin crust pizza|
dan| yes they sell both deep dish and thin crust| [location:giordano_s s 1-1]
martin| okay so who s going to pick me up| [person:martin m 7-7]
dan| let me text Jerry and Darren| [person:dan m 1-1][person:jerry m 3-3][person:darren m 5-5]
dan| Jerry says he ll pick you up| [person:jerry m 0-0][person:jerry m 2-2][person:martin m 5-5]
martin| okay thanks for everything|

conv:people_2019082001_114:aug_0:chat_0:chataug_0| melinda rafael| [person:melinda f 0-0][person:rafael m 1-1]
melinda| Now that Stella and Diane are visiting any suggestion on what we should do| [person:stella f 2-2][person:diane f 4-4][person:we g(melinda:rafael) 11-11]
rafael| I am happy to see them so I think we should take them to disneyland| [person:rafael m 0-0][person:them g(stella:diane) 5-5][person:rafael m 7-7][person:we g(melinda:rafael) 9-9][person:them g(stella:diane) 12-12][location:disneyland s 14-14]
melinda| It is great to see them again after such a long interim Disneyland sounds great but how about taking them out to the local pub tonight then Disney land| [person:them g(stella:diane) 5-5][location:disneyland s 12-12][person:them g(stella:diane) 19-19][location:local_pub s 23-24][location:disneyland s 27-28]
rafael| That s a great idea When should be meet up|
melinda| How about 6pm tomorrow night I will pick you up and the girls| [person:melinda f 5-5][person:rafael m 8-8][person:them g(stella:diane) 12-12]
rafael| Great and the drinks are on me| [person:rafael m 6-6]
melinda| I won t argue on that how about the disneyland trip| [person:melinda f 0-0][location:disneyland s 9-9]
rafael| I will check out some dates and times and let you know| [person:rafael m 0-0][person:melinda f 10-10]
melinda| sounds good Let me know what the dates are and we will just split the cost for the trip| [person:melinda f 3-3][person:we g(melinda:rafael) 10-10]
rafael| I am ok with that and I will send the date and time to you later today| [person:rafael m 0-0][person:rafael m 6-6][person:melinda f 14-14]
melinda| great I know we will enjoy ourselves immensely on this trip| [person:melinda f 1-1][person:we g(melinda:rafael) 3-3]
rafael| me too| [person:rafael m 0-0]

conv:people_2019082001_116:aug_0:chat_0:chataug_0| andrea dorothy| [person:andrea f 0-0][person:dorothy f 1-1]
dorothy| Hey i am visiting New Orleans next week| [person:dorothy f 1-1][location:new_orleans s 4-5]
andrea| I know i can t wait to see you| [person:andrea f 0-0][person:andrea f 2-2][person:dorothy f 8-8]
dorothy| Me too i am also wanting to meet with Stella Walter and jeff| [person:dorothy f 0-0][person:dorothy f 2-2][person:stella f 9-9][person:walter m 10-10][person:jeff m 12-12]
andrea| that soud be fun too|
dorothy| Where do you think i should meet them| [person:andrea f 2-2][person:dorothy f 4-4][person:them g(stella:walter:jeff) 7-7]
andrea| I know that Walter doesn t like to drive too far so maybe somewhere that is close to everyone| [person:andrea f 0-0][person:walter m 3-3][person:everyone g() 18-18]
dorothy| Yea i am down for that but where do you suggest| [person:dorothy f 1-1][person:andrea f 9-9]
andrea| I suggest that Starbucks near the highway of 35 and Westhimer This is close to every body| [person:andrea f 0-0][location:starbucks s 3-3][location:highway_of_35 s 6-8][location:westhimer s 10-10]
dorothy| Ok i can do that| [person:dorothy f 1-1]
andrea| Cool i will send you the address and we can all set up a time to meet there| [person:andrea f 1-1][person:dorothy f 4-4][person:we g(dorothy:andrea) 8-8][location:starbucks s 17-17]
dorothy| sounds great i will see you guys there then| [person:dorothy f 2-2][person:andrea f 5-5][location:starbucks s 7-7]
andrea| Perfect|

conv:people_2019082001_117:aug_0:chat_0:chataug_0| deborah phil| [person:deborah f 0-0][person:phil m 1-1]
phil| I wish to visit some casino Can you recommend me one| [person:phil m 0-0][location:casino s 5-5][person:deborah f 7-7][person:phil m 9-9]
deborah| I have been to some with Clyde and April recently I think one at the central park will be fine| [person:deborah f 0-0][person:clyde m 6-6][person:april f 8-8][person:deborah f 10-10][location:central_park s 16-16]
phil| What about the one near to the Central station| [location:central_station s 8-8]
deborah| That is not fine Some antisocials are always there| [location:central_station s 0-0][location:central_station s 8-8]
phil| oh right is there any one near to the market I can also purchase something| [location:market s 9-9][person:phil m 10-10]
deborah| There is one near to the post office there But it is very crowded always| [location:post_office s 7-7][location:market s 8-8][location:post_office s 10-10]
phil| Oh I hate much crowd| [person:phil m 1-1]
deborah| The one I mentioned first is the right one It is very lovely place| [person:deborah f 2-2][location:casino s 9-9][location:casino s 13-13]
phil| Is it very crowded| [location:casino s 1-1]
deborah| No since it is located in a lonely place there is ample space for parking| [location:casino s 2-2][location:casino s 8-8]

conv:people_2019082001_118:aug_0:chat_0:chataug_0| harry meredith| [person:harry m 0-0][person:meredith f 1-1]
harry| Hey Merredith when are you available for the visit| [person:meredith f 4-4]
meredith| You mean to see Darren and jessica| [person:harry m 0-0][person:darren m 4-4][person:jessica f 6-6]
harry| Yes we should go this summer| [person:we g(harry:meredith) 1-1]
meredith| I think you are right It is long overdue| [person:meredith f 0-0][person:harry m 2-2]
harry| How about Labor day weekend|
meredith| let me check my schedule I am free at that time period| [person:meredith f 1-1][person:meredith f 3-3][person:meredith f 5-5]
harry| Great Now we have to decide on what gifts to bring| [person:we g(harry:meredith) 2-2]
meredith| I think we should being a wine basket assortment for them| [person:meredith f 0-0][person:we g(harry:meredith) 2-2][person:them g(darren:jessica) 10-10]
harry| that sounds great I will get one at the wine shop on my way to meet you on that day| [person:harry m 3-3][person:harry m 12-12][person:meredith f 16-16]
meredith| fine I will reimburse you when you arrive| [person:meredith f 1-1][person:harry m 4-4][person:harry m 6-6]
harry| that s fine see you then| [person:meredith f 4-4]
meredith| take care|

conv:people_2019082001_119:aug_0:chat_0:chataug_0| billy matt| [person:billy m 0-0][person:matt m 1-1]
matt| So where you invited to Smith s place for breakfast as well this weekend| [person:billy m 2-2][person:smith m 5-5][location:smith_s_place s 7-7]
billy| Yeah he gave me an invite yesterday and said it would be a casual gettogether| [person:smith m 1-1][person:billy m 3-3]
matt| Do you know what we should bring along I m stumped on what food Smith and his family likes| [person:billy m 1-1][person:we g(matt:billy) 4-4][person:matt m 8-8][person:smith m 14-14][person:smith m 16-16][person:family g() 17-17]
billy| Same I think something typical might work out at least as long as it is a breakfast item| [person:billy m 1-1]
matt| Like some assorted fruit or even some pastries could work|
billy| I think in general something that doesn t require preparation or cooking so no meats or egg products| [person:billy m 0-0]
matt| Agreed it will make it much more difficult to transport and they might already have some at their home| [person:family g() 11-11][person:family g() 17-17][location:home s 18-18]
matt| You know we should ask David on what we should bring to the event| [person:billy m 0-0][person:we g(matt:billy) 2-2][person:david m 5-5][person:we g(matt:billy) 8-8]
billy| Why s that does David know Smith well enough to know what he likes| [person:david m 4-4][person:smith m 6-6][person:smith m 12-12]
matt| Definitely you should send him a text asking him for advice on what to bring for breakfast| [person:billy m 1-1][person:david m 4-4][person:david m 8-8]
billy| I ll send one right away he should respond in a couple of minutes or so| [person:billy m 0-0][person:david m 6-6]

conv:people_2019082001_121:aug_0:chat_0:chataug_0| ivan ralph| [person:ivan m 0-0][person:ralph m 1-1]
ralph| Hey Ivan We are going to go for drinks tomorrow night right| [person:ivan m 1-1][person:we g(ralph:ivan) 2-2]
ivan| Yes that is correct|
ralph| Though our friends Ethan Larry and Sean will be joining us too| [person:our g(ralph:ivan) 1-1][person:ethan m 3-3][person:larry m 4-4][person:sean m 6-6][person:us g(ralph:ivan) 10-10]
ivan| That is great|
ralph| But I was wondering who should invite whom from them| [person:ralph m 1-1][person:them g(larry:sean:ethan) 9-9]
ivan| Well you know I usually hang out with Ethan as with Larry and Sean not so much| [person:ralph m 1-1][person:ivan m 3-3][person:ethan m 8-8][person:larry m 11-11][person:sean m 13-13]
ralph| Then I can invite Larry and Sean and you can invite Ethan| [person:ralph m 1-1][person:larry m 4-4][person:sean m 6-6][person:ivan m 8-8][person:ethan m 11-11]
ivan| Yes I can do that| [person:ivan m 1-1]
ralph| Alright It s good we sorted this out| [person:we g(ralph:ivan) 4-4]
ivan| Yes can t wait to have a good time with all of us together| [person:us g(ralph:ivan:larry:sean:ethan) 12-12]
ralph| Sure it s going to be fun|
ivan| See you tomorrow then Ralph| [person:ralph m 1-1][person:ralph m 4-4]
ralph| See you Ivan| [person:ivan m 1-1][person:ivan m 2-2]

conv:people_2019082001_123:aug_0:chat_0:chataug_0| rafael victoria| [person:rafael m 0-0][person:victoria f 1-1]
rafael| Isn t Sarah a Vegan| [person:sarah f 2-2]
victoria| Yes she is So we ll have to get some vegan foods for her| [person:sarah f 1-1][person:we g(rafael:victoria) 4-4][person:sarah f 13-13]
rafael| What about Greg| [person:greg m 2-2]
victoria| Greg is gluten free so we have to keep that in mind| [person:greg m 0-0][person:we g(rafael:victoria) 5-5]
rafael| Jill only eats Kosher meats She is also sensitive to soy dairy sugar and HFCS| [person:jill f 0-0][person:jill f 5-5]
victoria| And Harry Any special requests from him| [person:harry m 1-1][person:harry m 6-6]
rafael| No Harry has a cast iron stomach and will eat anything He has that Youtube channel where he eats old rations remember that| [person:harry m 1-1][person:harry m 11-11][person:harry m 17-17]
victoria| Oh yeah Good old Harry| [person:harry m 4-4]
rafael| So we need meat free meat Kosher meat gluten free soy dairy sugar and HFCS free foods| [person:we g(rafael:victoria) 1-1]
victoria| Yep And we can get anything for Harry Maybe some nice hot dogs burgers ribs and potato salad| [person:we g(rafael:victoria) 2-2][person:harry m 7-7]
rafael| Sounds good|

conv:people_2019082001_124:aug_0:chat_0:chataug_0| angela nancy| [person:angela f 0-0][person:nancy f 1-1]
angela| Hi Nancy I m looking for recommendations for places to visit in Seattle Any ideas| [person:nancy f 1-1][person:angela f 2-2][location:places g() 8-8][location:seattle s 12-12]
nancy| Sure I d be happy to help What kind of thing are you looking for If you want to go for something to eat I know a great place| [person:nancy f 1-1][person:angela f 12-12][person:angela f 16-16][person:nancy f 24-24][location:place s 28-28]
angela| I know that Linda and Ashley love Italian food and so do I but I d also like to do something fun| [person:angela f 0-0][person:linda f 3-3][person:ashley f 5-5][person:angela f 12-12][person:angela f 14-14]
nancy| I know a great Italian place in the city centre that s pretty affordable but great pizza and pasta It s also close to the theatre if you want to see a show| [person:nancy f 0-0][location:place s 5-5][location:city_centre s 8-8][location:place s 19-19][location:theatre s 25-25][person:angela f 27-27]
angela| That sounds great I m sure the guys would love that Are there any good shows on at the moment| [person:angela f 3-3]
nancy| Happy to help Yeah there are a couple of musicals on Do Linda and Ashley like musicals| [location:musicals s 9-9][person:linda f 12-12][person:ashley f 14-14]
angela| I know Ashley does but I m not sure about Linda I ll ask her but I m sure she will be fine with it| [person:angela f 0-0][person:ashley f 2-2][person:angela f 5-5][person:linda f 10-10][person:angela f 11-11][person:linda f 14-14][person:angela f 16-16][person:linda f 19-19]
nancy| Well if that doesn t suit there are a few nice bars not too far from the restaurant| [location:bars g() 11-11][location:place s 17-17]
angela| It sounds like a plan Do you have the address for the restaurant We will use that as a base and explore from there| [person:nancy f 6-6][location:place s 12-12][person:we g(angela:linda:ashley) 13-13][location:place s 23-23]
nancy| Sure thing I ll email you the link to the place so that you can check out the menu| [person:nancy f 2-2][person:angela f 5-5][location:place s 10-10][person:angela f 13-13]
angela| That s perfect Thanks for your help Nancy| [person:nancy f 5-5][person:nancy f 7-7]

conv:people_2019082001_127:aug_0:chat_0:chataug_0| charlotte ellen| [person:charlotte f 0-0][person:ellen f 1-1]
ellen| I bumped into Phil this morning and he said he can t make it to lunch| [person:ellen f 0-0][person:phil m 3-3][person:phil m 7-7][person:phil m 9-9]
charlotte| Oh no I was looking forward to hanging out with Phil and Julie| [person:charlotte f 2-2][person:phil m 10-10][person:julie f 12-12]
ellen| Yeah I know Let s set up a different time to meet up with them How does that sound| [person:ellen f 1-1][person:them g(phil:julie) 14-14]
charlotte| Yeah sure I have to look at my calendar to see when I can meet up| [person:charlotte f 2-2][person:charlotte f 7-7][person:charlotte f 12-12]
ellen| Sounds good I m free on Saturday if that s a good day for you| [person:ellen f 2-2][person:charlotte f 14-14]
charlotte| Let me see Saturday works I have pilates in the morning and a doctor visit at 1pm| [person:charlotte f 1-1][person:charlotte f 5-5][location:pilates s 7-7]
ellen| Okay That s fine I m spending some time with my parents that morning so I m free afterwards| [person:ellen f 4-4][person:ellen f 10-10][person:parents g() 11-11][person:ellen f 15-15]
charlotte| Okay Do you want to meet up in the evening around 6pm Will that work| [person:ellen f 2-2]
ellen| Sure Hm what do you want to do Maybe some dinner| [person:charlotte f 4-4]
charlotte| Okay What about the new Italian restaurant Luigi s I heard it s really good| [location:restaurant s 6-6][person:charlotte f 9-9][location:restaurant s 11-11]
ellen| Yeah I heard about it too I can t wait Let me ask the Clarks if that s a good day for them| [person:ellen f 1-1][location:restaurant s 4-4][person:ellen f 6-6][person:ellen f 11-11][person:them g() 22-22]

conv:people_2019082001_128:aug_0:chat_0:chataug_0| denise jason| [person:denise f 0-0][person:jason m 1-1]
jason| what is a good beach to go to| [location:beach s 4-4]
denise| I am not sure to be honest Maybe Huntington Beach| [person:denise f 0-0][location:huntington_beach s 9-9]
jason| Is that in Cali| [location:cali s 3-3]
denise| Yes it is| [location:huntington_beach s 1-1]
jason| Maybe I will go there| [person:jason m 1-1][location:huntington_beach s 4-4]
denise| I actually went there with Jack and Mary recently| [person:denise f 0-0][location:huntington_beach s 3-3][person:jack m 5-5][person:mary f 7-7]
jason| was it a lot of fun| [location:huntington_beach s 1-1]
denise| Yes it was| [location:huntington_beach s 1-1]
jason| I definitely wanna go then| [person:jason m 0-0]
denise| We went to the pier and a lot of different shops too| [person:we g(denise:jack:mary) 0-0][location:the_pier s 4-4][location:shops g() 10-10]
jason| is the water good|
denise| Yes very cold but nice|

conv:people_2019082001_130:aug_0:chat_0:chataug_0| howard thomas| [person:howard m 0-0][person:thomas m 1-1]
howard| Hello Thomas I wanted to ask a favor from you| [person:thomas m 1-1][person:howard m 2-2][person:thomas m 9-9]
thomas| Sure Howard Tell me what I can do for you| [person:howard m 1-1][person:thomas m 3-3][person:thomas m 5-5][person:howard m 9-9]
howard| My friends Martin and Karan are coming to visit me here in Seattle where I live though I would want you to show them around| [person:howard m 0-0][person:friends g() 1-1][person:martin m 2-2][person:karan m 4-4][person:howard m 9-9][person:howard m 14-14][person:howard m 17-17][person:thomas m 20-20]
thomas| How come you asking me about showing them around you are their friend right| [person:howard m 2-2][person:thomas m 4-4][person:friends g(martin:karan) 7-7][person:howard m 9-9][person:friends g(martin:karan) 11-11][person:howard m 12-12]
howard| I know it sounds strange but I got this deadline of a project ending on that day and I really need to work moreover you are great at showing people around| [person:howard m 0-0][person:howard m 6-6][person:howard m 18-18][person:thomas m 24-24]
thomas| Well you are right about the fact that I know how to make people have a good time| [person:howard m 1-1][person:thomas m 8-8]
howard| That is true|
thomas| Though can you tell me what are they interested in usually so I can find things they might enjoy| [person:howard m 2-2][person:thomas m 4-4][person:friends g(martin:karan) 7-7][person:thomas m 12-12][person:friends g(martin:karan) 16-16]
howard| I know for a fact that they both are bowling addicts and also enjoy museums| [person:howard m 0-0][person:friends g(martin:karan) 6-6][location:museums g() 14-14]
thomas| Okay then I will go with them at a museum first and then will be going to play with them at the best bowling area| [person:thomas m 2-2][person:friends g(martin:karan) 6-6][location:museum s 9-9][person:friends g(martin:karan) 19-19][location:bowling_area s 23-24]
howard| That sounds amazing|
thomas| Yes I am pretty sure we will have fun| [person:thomas m 1-1][person:we g(thomas:martin:karan) 5-5]
howard| Thank you again Thomas you are the best| [person:thomas m 1-1][person:thomas m 3-3][person:thomas m 4-4]
thomas| No problem you are welcome| [person:howard m 2-2]

conv:people_2019082001_133:aug_0:chat_0:chataug_0| carol sophia| [person:carol f 0-0][person:sophia f 1-1]
carol| Hi Sophia We made it to Dallas finally| [person:sophia f 1-1][person:we g(carol) 2-2][location:dallas s 6-6]
sophia| Great what are your plans| [person:carol f 3-3]
carol| Not too sure Michelle and Marilyn like opposite things as you know| [person:michelle f 3-3][person:marilyn f 5-5][person:sophia f 10-10]
sophia| Yes I know Marilyn is more go with the flow see a museum while Michelle likes high energy| [person:sophia f 1-1][person:marilyn f 3-3][location:museum s 12-12][person:michelle f 14-14]
carol| You nailed it It is hard to find common ground with them| [person:sophia f 0-0][person:them g(michelle:marilyn) 11-11]
sophia| What about a winery tour or a bike tour|
carol| That sounds like fun I know Michelle enjoys wine and may be okay with a leisurely afternoon if wine is involved| [person:carol f 4-4][person:michelle f 6-6]
sophia| That will be my selling point| [person:sophia f 3-3]
carol| Maybe there is a city tour or something that is bit faster paced for another day for Michelle| [location:city s 4-4][person:michelle f 17-17]
sophia| I agree something like that should be good| [person:sophia f 0-0]
carol| Wish you were with us though Thanks for the advice| [person:sophia f 1-1][person:we g(carol:michelle:marilyn) 4-4]

conv:people_2019082001_136:aug_0:chat_0:chataug_0| debra julia| [person:debra f 0-0][person:julia f 1-1]
debra| HI Julia Can you help me plan the lunch for Grace Samantha Julie and yourself| [person:julia f 1-1][person:julia f 3-3][person:debra f 5-5][person:grace f 10-10][person:samantha f 11-11][person:julie f 12-12][person:julia f 14-14]
julia| Sure What do you need help with Debra| [person:debra f 3-3][person:debra f 7-7]
debra| Can you tell me what Jen Grace and Samantha like to eat| [person:julia f 1-1][person:debra f 3-3][person:jen f 5-5][person:grace f 6-6][person:samantha f 8-8]
julia| I know Jen likes Italian food while Samantha and Grace prefer dinner type meals| [person:julia f 0-0][person:jen f 2-2][person:samantha f 7-7][person:grace f 9-9]
debra| Hm ok lets think of a nice place for our lunch that would have dinner type items as well| [location:place s 7-7][person:our g(debra:julia:grace:samantha:julie:jen) 9-9]
julia| What about a pasta place That would have Italian dishes| [location:place s 4-4]
debra| Yes but only if they also serve dinner type| [person:they g() 4-4]
julia| What about the new restaurant on 5th st I think they do| [location:restaurant s 4-4][person:julia f 8-8][person:they g() 10-10]
debra| That s a great idea thanks I will make reservations| [person:debra f 6-6]
julia| Your welcome glad I could help| [person:debra f 0-0][person:julia f 3-3]

conv:people_2019082001_139:aug_0:chat_0:chataug_0| april dennis| [person:april f 0-0][person:dennis m 1-1]
april| We have to figure out the picnic plans| [person:we g(april:dennis) 0-0]
dennis| Okay let s divide and conquer Usually picnic fare or something else|
april| Well Janet Andrew and Kayla eat meat but Albert does not| [person:janet f 1-1][person:andrew m 2-2][person:kayla f 4-4][person:albert m 8-8]
dennis| OK we could get a separate sandwich fixings for Albert without meat Does he eat dairy| [person:we g(april:dennis) 1-1][person:albert m 9-9][person:albert m 13-13]
april| Yes so cheeses would be good|
dennis| Maybe a veggie tray too for all What about drinks|
april| I don t think Janet drinks alcohol but we ll have water and soda| [person:april f 0-0][person:janet f 4-4][person:we g(april:dennis) 8-8]
dennis| Any idea about wine or beer|
april| Andrew and Kayla love white wine| [person:andrew m 0-0][person:kayla f 2-2]
dennis| Done I ll get a big cooler and fill it with ice water soda and some white wine Anything else| [person:dennis m 1-1]
april| I ll get the bread and the rest of the sandwich fixings and chips Sounds good| [person:april f 0-0]
dennis| Paper plates and utensils and we are all set| [person:we g(april:dennis) 5-5]

conv:people_2019082001_140:aug_0:chat_0:chataug_0| chris phillip| [person:chris m 0-0][person:phillip m 1-1]
chris| Hey Phillip are you and your roommates still going to the game| [person:phillip m 1-1][person:phillip m 3-3][person:phillip m 5-5]
phillip| Yeah of course We re all set| [person:we g(phillip) 3-3]
chris| Cool I wanted to know if you wanted to get food before the game| [person:chris m 1-1][person:phillip m 6-6]
phillip| Well Jeremy and Nicholas are on their way to the stadium| [person:jeremy m 1-1][person:nicholas m 3-3][person:their g(jeremy:nicholas) 6-6][location:stadium s 10-10]
phillip| Do you know where you want to eat| [person:chris m 1-1][person:chris m 4-4]
chris| I was thinking pizza if its okay with you| [person:chris m 0-0][person:phillip m 8-8]
chris| Also can you check to see if someone can pick me up| [person:phillip m 2-2][person:their g(jeremy:nicholas) 7-7][person:chris m 10-10]
phillip| Yes pizza sounds great|
phillip| Let me text Jeremy and Nicholas separately to see who can pick you up| [person:phillip m 1-1][person:jeremy m 3-3][person:nicholas m 5-5][person:chris m 12-12]
chris| Ok thanks|
phillip| They are both busy I can pick you up from your apartment in 30 minutes| [person:their g(jeremy:nicholas) 0-0][person:phillip m 4-4][person:chris m 7-7][person:chris m 10-10][location:apartment s 11-11]
chris| Great thanks I ll be ready| [person:chris m 2-2]

conv:people_2019082001_141:aug_0:chat_0:chataug_0| cynthia howard| [person:cynthia f 0-0][person:howard m 1-1]
howard| What are you up to this weekend| [person:cynthia f 2-2]
cynthia| Not a lot What about you| [person:howard m 5-5]
howard| Im having a few friends over for a BBQ on Saturday You should come| [person:friends g() 4-4][person:cynthia f 11-11]
cynthia| That sounds fun Who s goung to be there|
howard| Lisa Carol and Keith They all work the same shift with me| [person:lisa f 0-0][person:carol f 1-1][person:keith m 3-3][person:friends g(lisa:carol:keith) 4-4][person:howard m 11-11]
howard| I think you have met them before| [person:howard m 0-0][person:cynthia f 2-2][person:friends g(lisa:carol:keith) 5-5]
cynthia| I dont remember them| [person:cynthia f 0-0][person:friends g(lisa:carol:keith) 3-3]
cynthia| I appreciate the invite but dont want to crash your work party| [person:cynthia f 0-0][person:howard m 9-9][location:party s 11-11]
howard| I want you to come you would like them| [person:howard m 0-0][person:cynthia f 2-2][person:cynthia f 5-5][person:friends g(lisa:carol:keith) 8-8]
cynthia| You know how shy i get when i don t know anyone| [person:howard m 0-0][person:cynthia f 4-4][person:cynthia f 7-7][person:friends g(lisa:carol:keith) 11-11]
howard| You and Carol have a lot in common She s a runner too You could talk about your marathon next month| [person:cynthia f 0-0][person:carol f 2-2][person:carol f 8-8][person:cynthia f 13-13][person:cynthia f 17-17]
howard| Lisa and Keith are really chill and easy to talk to| [person:lisa f 0-0][person:keith m 2-2]
cynthia| I ll think about it| [person:cynthia f 0-0]
howard| I m making bbq ribs You know you want some| [person:howard m 0-0][person:cynthia f 5-5][person:cynthia f 7-7]
cynthia| Lol Ok I ll try to stop by| [person:cynthia f 2-2]
cynthia| What time|
howard| They are comimg over at 300 and we ll probably eat at 500| [person:friends g(lisa:carol:keith) 0-0][person:we g(howard:lisa:carol:keith) 7-7]
cynthia| Ok Do you want me to bring anything| [person:howard m 2-2][person:cynthia f 4-4]
howard| No just yourself| [person:cynthia f 2-2]
cynthia| I will bring some drinks See you then| [person:cynthia f 0-0][person:howard m 6-6]
