conv:people_2019081201_158:aug_0:chat_0:chataug_0| jerry timothy| [person:jerry m 0-0][person:timothy m 1-1]
olivia| There are two guys from work Gary and Howard that are supposed to come visit me but I can t go due to work| [person:gary m 6-6][person:howard m 8-8][person:olivia f 15-15][person:olivia f 17-17]
angela| So you want me to go out with these strange guys| [person:olivia f 1-1][person:angela f 3-3]
olivia| You would be doing me a big favor Besides both of them are single You might get lucky| [person:angela f 0-0][person:olivia f 4-4][person:them g(gary:howard) 11-11][person:angela f 14-14]
angela| You know I am not looking for anyone else right now| [person:olivia f 0-0][person:angela f 2-2][person:anyone u 7-7]
olivia| You need to forget Ryan and these guys might just be the cure| [person:angela f 0-0][person:ryan m 4-4]
angela| Maybe you are right Tell me about them| [person:olivia f 1-1][person:angela f 5-5][person:them g(gary:howard) 7-7]
olivia| They are sweet You would like them Thanks a bunch| [person:they g(gary:howard) 0-0][person:angela f 3-3][person:them g(gary:howard) 6-6]
angela| You owe me big time| [person:olivia f 0-0][person:angela f 2-2]

conv:people_2019081401_61:aug_0:chat_0:chataug_0| judy margaret| [person:judy f 0-0][person:margaret f 1-1]
margaret| Hey do you remember my friend Lucy| [person:judy f 2-2][person:margaret f 4-4][person:lucy f 5-5][person:lucy f 6-6]
judy| I think so Really tall right| [person:judy f 0-0]
margaret| That s the one She s in town for the weekend and needs to be picked up at school at 4 I can t make it could you pick her up| [person:lucy f 4-4][location:town s 7-7][location:school s 18-18][person:margaret f 21-21][person:judy f 27-27][person:lucy f 29-29]
judy| I wish I could But I m meeting Edward at 430 and don t want to be late| [person:judy f 0-0][person:judy f 2-2][person:judy f 5-5][person:edward m 8-8]
margaret| Please She ll be stranded if no one picks her up Maybe you could meet Edward at 5 instead| [person:lucy f 1-1][person:lucy f 9-9][person:judy f 12-12][person:edward m 15-15]
judy| Ok I ll ask him It ll probably be fine| [person:judy f 1-1][person:edward m 4-4]
margaret| Thanks a million You re the best| [person:judy f 3-3]
judy| No problem Edward said it s ok to do 5| [person:edward m 2-2]
margaret| I owe you big time| [person:margaret f 0-0][person:judy f 2-2]
judy| You can buy me dinner lol| [person:margaret f 0-0][person:judy f 3-3]

conv:people_2019081401_62:aug_0:chat_0:chataug_0| mark samantha| [person:mark m 0-0][person:samantha f 1-1]
mark| Hey Samantha how you ve been| [person:samantha f 1-1][person:samantha f 3-3]
samantha| Hey Mark I ve been well thanks for asking| [person:mark m 1-1][person:samantha f 2-2]
mark| Great I wanted to know if you were interested in visiting our relatives Christopher and Marie this summer| [person:mark m 1-1][person:samantha f 6-6][person:our g() 11-11][person:christopher m 13-13][person:marie f 15-15]
samantha| Yeah I would love to visit them I have seen them in years| [person:samantha f 1-1][person:our g(christopher:marie) 6-6][person:our g(christopher:marie) 7-7][person:our g(christopher:marie) 10-10]
samantha| When were you thinking about going to visit| [person:mark m 2-2]
mark| I was thinking maybe for the 4th of July it would be a lot of fun| [person:mark m 0-0]
samantha| Ok that sounds nice do you think we should bring anything for them| [person:mark m 5-5][person:we g(mark:samantha) 7-7][person:our g(christopher:marie) 12-12]
mark| Well since it will be a holiday I think a BBQ would be nice| [person:mark m 7-7]
mark| I could grab a few beers and hamburgers maybe you could get a couple of hot dogs too to throw on the grill| [person:mark m 0-0][person:samantha f 9-9]
samantha| Yes I would love to sounds like a great idea| [person:samantha f 1-1]
mark| Great I ll text Christopher and Marie now to let them know were coming down| [person:mark m 1-1][person:christopher m 4-4][person:marie f 6-6][person:our g(christopher:marie) 10-10]

conv:people_2019081401_64:aug_0:chat_0:chataug_0| judith tara| [person:judith f 0-0][person:tara f 1-1]
judith| Hey so i ran into Jim Turns out they can t do lunch this week| [person:judith f 2-2][person:jim m 5-5][person:they g(jim) 8-8]
tara| Oh that s too bad Should we do something else instead| [person:we g(judith:tara) 6-6]
judith| I d like to Which day is better for you| [person:judith f 0-0][person:tara f 9-9]
tara| Saturday works better for me| [person:tara f 4-4]
judith| Great me too What time should we meet| [person:judith f 1-1][person:we g(judith:tara) 6-6]
tara| How about noon|
judith| Perfect Where do you want to go| [person:tara f 3-3]
tara| That new cafe opened on second do you want to try that| [location:cafe s 2-2][person:judith f 7-7]
judith| That s great Sophia wanted to try it too she ll be sad she missed it| [person:sophia f 3-3][person:sophia f 9-9][person:sophia f 13-13]
tara| We ll take her again if we like it| [person:we g(judith:tara) 0-0][person:sophia f 3-3][person:we g(judith:tara) 6-6]
judith| Sounds like a plan|

conv:people_2019081401_66:aug_0:chat_0:chataug_0| danielle marie| [person:danielle f 0-0][person:marie f 1-1]
marie| I m excited for the party this weekend| [person:marie f 0-0]
danielle| So am I Are Carolyn Olivia and Lisa going to help| [person:danielle f 2-2][person:carolyn f 4-4][person:olivia f 5-5][person:lisa f 7-7]
marie| Yes they are What should Carolyn bring| [person:they g(carolyn:olivia:lisa) 1-1][person:carolyn f 5-5]
danielle| She s always late Just have her bring ice| [person:carolyn f 0-0][person:carolyn f 6-6]
marie| Good idea What about Olivia| [person:olivia f 4-4]
danielle| She s a great baker Let s ask her to bring the desserts| [person:olivia f 0-0][person:olivia f 8-8]
marie| I ll do that Lisa wanted to be in charge of music| [person:marie f 0-0][person:lisa f 4-4]
danielle| Sure why not|
marie| Is there anything else we need| [person:we g(marie:danielle:carolyn:olivia:lisa) 4-4]
danielle| I don t think so| [person:danielle f 0-0]
marie| Great see you then| [person:danielle f 2-2]

conv:people_2019081401_69:aug_0:chat_0:chataug_0| bruce greg| [person:bruce m 0-0][person:greg m 1-1]
greg| Greg I d like to get together this weekend maybe lunch at a restaurant Are you up for it| [person:greg m 0-0][person:greg m 1-1][person:bruce m 15-15]
bruce| Sure I d very much like to Are you OK with inviting Madison and Chris| [person:bruce m 1-1][person:greg m 8-8][person:madison f 12-12][person:chris m 14-14]
bruce| You know how much fun they are| [person:greg m 0-0][person:they g(madison:chris) 5-5]
greg| Of course The more the merrier I always say| [person:greg m 6-6]
bruce| Perfect I ll invite them later today Where would you like to go| [person:bruce m 1-1][person:them g(madison:chris) 4-4][person:greg m 9-9]
greg| I think we should pick a restaurant that everyone will like| [person:greg m 0-0][person:we g(greg:bruce) 2-2][location:restaurant s 6-6][person:everyone g(greg:bruce:madison:chris) 8-8]
greg| As far as I know Madison and Chris really like Italian food and come to think about it I d like to try some nice pasta How about you| [person:greg m 3-3][person:madison f 5-5][person:chris m 7-7][person:greg m 18-18][person:bruce m 28-28]
bruce| Sure Italian sounds perfect I can t wait to taste some pizza| [person:bruce m 4-4]
greg| Perfect So Italian it is As we all now in this case Gianni s PizzaPasta is the place to be Can you call them and book a table for 4 this Saturday at noon| [person:we g(greg:bruce:madison:chris) 6-6][location:place s 17-17][person:bruce m 21-21][person:them g(madison:chris) 23-23]
bruce| Of course I ll call them Consider it done| [person:bruce m 2-2][person:them g(madison:chris) 5-5]

conv:people_2019081401_71:aug_0:chat_0:chataug_0| abigail dorothy| [person:abigail f 0-0][person:dorothy f 1-1]
dorothy| Hey Abigail| [person:abigail f 1-1]
abigail| Hellos how is the going|
dorothy| Guess what we are going to san francisco with sara and janet| [person:we g(dorothy:abigail) 2-2][location:san_francisco s 6-7][person:sara f 9-9][person:janet f 11-11]
abigail| Ooh thats nice whats the occassion|
dorothy| Nothing much just a visit And by the way hows Los Angelese| [location:los_angelese s 10-11]
abigail| Its fun here| [location:los_angelese s 2-2]
dorothy| Wow so we like zip lining sara loves swimming and janet enjoys the beach Any ideas of wherewe can visit| [person:we g(dorothy:abigail) 2-2][person:sara f 6-6][person:janet f 10-10][location:beach s 13-13]
abigail| Yeah You also like swimming| [person:dorothy f 1-1]
dorothy| Yes a lot Reccomend a place| [location:place s 5-5]
abigail| You can go to the beach or get a hotel with swimming pool and a sauna| [person:abigail f 0-0][location:beach s 5-5][location:hotel s 9-9]
abigail| Ensure you send me pics too| [person:dorothy f 1-1][person:abigail f 3-3]
dorothy| Thats a good idea i will| [person:dorothy f 4-4]
abigail| We also have good pizza there Try it| [person:we g(dorothy:abigail) 0-0]
dorothy| Thanks i will| [person:dorothy f 1-1]
abigail| Ok Bye have fun|

conv:people_2019081401_72:aug_0:chat_0:chataug_0| jim justin| [person:jim m 0-0][person:justin m 1-1]
justin| Hi Jim do you want to go out with Kevin Edward and Chris tonight| [person:jim m 1-1][person:jim m 3-3][person:kevin m 9-9][person:edward m 10-10][person:chris m 12-12]
jim| That sounds awesome I have so much fun together with them| [person:jim m 3-3][person:them g(kevin:edward:chris) 10-10]
justin| Me too Where do you think we should go| [person:justin m 0-0][person:jim m 4-4][person:we g(justin:jim) 6-6]
jim| How about we go out to eat with them to Chinese| [person:we g(justin:jim) 2-2][person:them g(kevin:edward:chris) 8-8]
justin| I love that idea Can you call Kevin and I ll call the other two| [person:justin m 0-0][person:jim m 5-5][person:kevin m 7-7][person:justin m 9-9]
jim| Yes what time do you want to go with them| [person:justin m 4-4][person:them g(kevin:edward:chris) 9-9]
justin| I d like to go around 800 PM tonight does that sound good| [person:justin m 0-0]
jim| Yes that sounds like a good plan|
justin| Sure thing Let s call them now| [person:them g(kevin:edward:chris) 5-5]
jim| Sure thing I will see if they are interested| [person:jim m 2-2][person:them g(kevin:edward:chris) 6-6]

conv:people_2019081401_73:aug_0:chat_0:chataug_0| jack roy| [person:jack m 0-0][person:roy m 1-1]
jack| NBA finals are you excited| [person:roy m 3-3]
roy| Excited It feels like Christmas morning In other words yes I m thrilled I can t wait| [person:roy m 10-10][person:roy m 13-13]
jack| Me neither now if only we could all decide on a good location that has great food| [person:jack m 0-0][person:we g(jack:roy) 5-5]
roy| Roger and Nate live close to downtown so maybe we should search somewhere in their area since they have all the good bars| [person:roger m 0-0][person:nate m 2-2][location:downtown s 6-6][person:we g(jack:roy:roger:nate) 9-9][person:their g(roger:nate) 14-14][person:their g(roger:nate) 17-17]
jack| Good point how about the sports bar called Wings| [location:sports_bar s 5-6][location:sports_bar s 8-8]
roy| No there are too frat boys| [location:sports_bar s 1-1][person:boys g() 5-5]
jack| Ok hmmm Wait are we looking for a party atmosphere or a sophisticated place| [person:we g(jack:roy:roger:nate) 4-4][location:place s 13-13]
roy| I d say more a mixture of both| [person:roy m 0-0]
jack| ok|
jack| How about Blondies it s on the Upper West Side and it s a great place| [location:blondies s 2-2][location:blondies s 3-3][location:blondies s 11-11][location:blondies s 15-15]
roy| Now you re talking I ve heard amazing things about that place| [person:jack m 1-1][person:roy m 4-4][location:blondies s 11-11]
jack| Great although it s not close to downtown| [location:blondies s 2-2][location:downtown s 7-7]
roy| That s ok because Roger and Nate actually work uptown so they can swing by after work| [person:roger m 4-4][person:nate m 6-6][person:their g(roger:nate) 11-11]
jack| Perfect I ll let them know| [person:jack m 1-1][person:their g(roger:nate) 4-4]
roy| See you at Blondies later| [person:jack m 1-1][location:blondies s 3-3]

conv:people_2019081401_76:aug_0:chat_0:chataug_0| bradley roy| [person:bradley m 0-0][person:roy m 1-1]
bradley| Hey Roy I can t wait to watch the match today at the Parkers but I am wondering what should we bring to them| [person:roy m 1-1][person:bradley m 2-2][person:parkers g() 13-13][person:bradley m 15-15][person:we g(bradley:roy) 20-20][person:parkers g() 23-23]
roy| The Parkers do not drink alcohol so we should not consider alcohol for them and regarding food I just don t know| [person:parkers g() 1-1][person:we g(bradley:roy) 7-7][person:parkers g() 13-13][person:roy m 17-17]
bradley| Well I can get some beers for us and some sodas for them| [person:bradley m 1-1][person:we g(bradley:roy) 7-7][person:parkers g() 12-12]
roy| I am not sure if they like sodas too what about food| [person:roy m 0-0][person:parkers g() 5-5]
bradley| Well they seem not to like alcohol and neither sodas so I really have no clue what kind of food they might or might not like| [person:parkers g() 1-1][person:bradley m 11-11][person:parkers g() 20-20]
roy| Yeah I do not know much them either so I can t recommend something| [person:roy m 1-1][person:parkers g() 6-6][person:roy m 9-9]
bradley| Well Eugene knows them better than us so maybe you can ask him what should we bring with us| [person:eugene m 1-1][person:parkers g() 3-3][person:we g(bradley:roy) 6-6][person:roy m 9-9][person:eugene m 12-12][person:we g(bradley:roy) 15-15][person:we g(bradley:roy) 18-18]
roy| That is a terrific idea|
bradley| Give him a call then and then call me back| [person:eugene m 1-1][person:bradley m 8-8]
roy| Alright will do catch to you later then| [person:bradley m 5-5]

conv:people_2019081401_77:aug_0:chat_0:chataug_0| cameron tom| [person:cameron f 0-0][person:tom m 1-1]
cameron| It is a great time for us as our cousins are visiting us| [person:us g(cameron:tom) 6-6][person:our g(cameron:tom) 8-8][person:cousins g() 9-9][person:us g(cameron:tom) 12-12]
tom| I ma very excited in having this get together| [person:tom m 0-0]
cameron| How do we enjoy maximum together| [person:we g(cameron:tom) 2-2]
tom| I think we have to make a list of our get together| [person:tom m 0-0][person:we g(cameron:tom) 2-2][person:our g(cameron:tom) 9-9]
cameron| We can go to a beach together and have lot of fun| [person:we g(cameron:tom) 0-0][location:beach s 5-5]
tom| That is a great idea nad we will do that| [person:we g(cameron:tom) 6-6]
cameron| Do we carry food or have it in nearby place| [person:we g(cameron:tom) 1-1][location:place s 9-9]
tom| I think carrying food will be more fun| [person:tom m 0-0]
cameron| I will prepare some chicken dish and you get some soft drinks| [person:cameron f 0-0][person:tom m 7-7]
tom| Okay this looks perfect foe me| [person:tom m 5-5]

conv:people_2019081401_81:aug_0:chat_0:chataug_0| gloria ralph| [person:gloria f 0-0][person:ralph m 1-1]
gloria| hello|
ralph| hey Gloria what s going on| [person:gloria f 1-1]
gloria| i m hanging out with Eugene next week do you wanna join us| [person:gloria f 0-0][person:eugene m 5-5][person:ralph m 9-9][person:us g(gloria:eugene) 12-12]
ralph| definitely I haven t seen Eugene in forever| [person:ralph m 1-1][person:eugene m 5-5]
gloria| okay we ll see you there then| [person:us g(gloria:eugene) 1-1][person:ralph m 4-4][location:there u 5-5]
ralph| i just remembered that Ron is going to be in town also should he come along also| [person:ralph m 0-0][person:ron m 4-4][location:town s 10-10][person:ron m 13-13]
gloria| i don t know Ron would it be a good idea for him to come along| [person:gloria f 0-0][person:ron m 4-4][person:ron m 12-12]
ralph| that s a good point it would be too awkward for him| [person:ron m 11-11]
gloria| i don t think Eugene knows who he is either| [person:gloria f 0-0][person:eugene m 4-4][person:ron m 7-7]
ralph| i ll just hang out with Ron on my own time then| [person:ralph m 0-0][person:ron m 6-6][person:ralph m 8-8]
gloria| that s a good idea see you later| [person:ralph m 6-6]

conv:people_2019081401_82:aug_0:chat_0:chataug_0| rebecca rusell| [person:rebecca f 0-0][person:rusell m 1-1]
rusell| So what was your favorite casino| [person:rebecca f 3-3][location:casino s 5-5]
rebecca| I really like the Meadows| [person:rebecca f 0-0]
rusell| Cool Where s that at|
rebecca| Washington It s really great| [location:washington s 0-0]
rusell| Awesome What did you like about it| [person:rebecca f 3-3]
rebecca| The blackjack tables are really great|
rusell| That s cool What about drinks|
rebecca| Yeah they have servers that walk around and bring people drinks| [person:they g() 1-1]
rusell| That s cool You don t even have to get up| [person:rebecca f 3-3]
rebecca| I know it s awesome| [person:rebecca f 0-0]

conv:people_2019081401_85:aug_0:chat_0:chataug_0| jack james| [person:jack m 0-0][person:james m 1-1]
james| Hi Jack I d like to invite you with Arthur and Olivia for a drink| [person:jack m 1-1][person:james m 2-2][person:jack m 7-7][person:arthur m 9-9][person:olivia f 11-11]
jack| Hi James What a kind thought I accept the invitation| [person:james m 1-1][person:jack m 6-6]
james| I m happy When are you free this weekend| [person:james m 0-0][person:jack m 5-5]
jack| I am free Saturday evening and Sunday afternoon| [person:jack m 0-0]
jack| Arthur told me he has the whole weekend free| [person:arthur m 0-0][person:jack m 2-2][person:arthur m 3-3]
james| Ah perfect So any day and hour is good for him And Olivia When is it free| [person:arthur m 10-10][person:olivia f 12-12]
jack| I do not know I hope she doesn t already have commitments| [person:jack m 0-0][person:jack m 4-4][person:olivia f 6-6]
james| Then I phone Olivia and ask her if it s okay Saturday afternoon| [person:james m 1-1][person:olivia f 3-3][person:olivia f 6-6]
jack| Well If it s okay for her Saturday I will invite Arthur| [person:olivia f 6-6][person:jack m 8-8][person:arthur m 11-11]
james| Good idea Talk to you later| [person:jack m 4-4]

conv:people_2019081401_86:aug_0:chat_0:chataug_0| megan stephanie| [person:megan f 0-0][person:stephanie f 1-1]
megan| Hey stephanie what s up| [person:stephanie f 1-1]
stephanie| Hey Megan I was wondering if I could join y all in your game of basketball| [person:megan f 1-1][person:stephanie f 2-2][person:stephanie f 6-6][person:megan f 12-12]
megan| I m not sure I mean it s okay for me But I think I gotta run it by my friends Linda and Doris| [person:megan f 0-0][person:megan f 4-4][person:megan f 10-10][person:megan f 12-12][person:megan f 14-14][person:megan f 19-19][person:linda f 21-21][person:doris f 23-23]
stephanie| Okay cool I was wondering if I could bring along my friend Victoria too| [person:stephanie f 2-2][person:stephanie f 6-6][person:stephanie f 10-10][person:victoria f 11-11][person:victoria f 12-12]
megan| Of course they said they re good with you joining us and should be fine with her too| [person:friends g(linda:doris) 2-2][person:friends g(linda:doris) 4-4][person:stephanie f 8-8][person:us g(megan:stephanie) 10-10][person:victoria f 16-16]
stephanie| Okay cool one thing though She s not the best at basketball right now and needs to learn Is that okay| [person:victoria f 5-5]
megan| Yeah of course She s new right| [person:victoria f 3-3]
stephanie| Yeah she s pretty new| [person:victoria f 1-1]
megan| That s alright my friends are pretty new too They re learning so they can learn with her| [person:megan f 3-3][person:friends g(linda:doris) 4-4][person:friends g(linda:doris) 9-9][person:friends g(linda:doris) 13-13][person:victoria f 17-17]
stephanie| Alright awesome Thanks so much Megan| [person:megan f 5-5]

conv:people_2019081401_87:aug_0:chat_0:chataug_0| andy april| [person:andy m 0-0][person:april f 1-1]
april| So they big dinner is tonight I am still trying to decide if I should do beef or chicken I know Rachel and Ron eat red meat what about Sara and Patrick| [person:they g(april:andy) 1-1][person:april f 6-6][person:april f 13-13][person:april f 19-19][person:rachel f 21-21][person:ron m 23-23][person:sara f 29-29][person:patrick m 31-31]
andy| Well to tell you the truth its just never come up in conversation between the two of us He s never said he doesn t eat red meat| [person:andy m 3-3][person:us g(april:rachel:ron:sara:patrick) 17-17][person:april f 18-18][person:april f 22-22]
april| Oh no they aren t vegans or something are they| [person:they g(andy:rachel:ron:sara:patrick) 2-2][person:they g(andy:rachel:ron:sara:patrick) 9-9]
andy| No I m pretty sure the sandwiches I ve seen him eat at work had meat on them| [person:andy m 1-1][person:andy m 7-7][person:april f 10-10][person:them g(andy:rachel:ron:sara:patrick) 17-17]
april| It s just so many people are watching their diets I guess I should make chicken that s usually pretty safe All breast meat would be best and all I have are a couple whole chickens in the freezer Do you think you could save me and pick up some boneless skinless breast on your way home| [person:their g(andy:rachel:ron:sara:patrick) 8-8][person:april f 10-10][person:april f 12-12][person:april f 29-29][person:andy m 40-40][person:andy m 42-42][person:april f 45-45]
andy| Yeah I could probably do that what were you planning to do with it| [person:andy m 1-1][person:april f 8-8]
april| What do you think of a big chicken salad I could make a basic one and cut up a bunch of different things everybody could add to their salads if they want too| [person:april f 2-2][person:april f 9-9][person:everybody g(april:andy:rachel:ron:sara:patrick) 23-23][person:their g(rachel:ron:sara:patrick) 27-27][person:they g(andy:rachel:ron:sara:patrick) 30-30]
andy| You re not going to show off your culinary skills and make some fancy souffle or something like you usually do| [person:april f 0-0][person:april f 7-7][person:april f 18-18]
april| Well I thought about it but it has been just unbearably hot and I won t have the chicken til you get home so after you stop at the store I only have an hour before they get here to cook The salad stuff I could have already and in the frig and then I just have to cube up the chicken and cook it and toss it in with the greens| [person:andy m 1-1][person:andy m 13-13][person:april f 20-20][person:april f 25-25][person:andy m 30-30][person:they g(andy:rachel:ron:sara) 36-36][person:april f 44-44]
andy| You are right it has been hot and you wouldn t have much time to make anything fancy I ll try to get off a little early and get to the store See you tonight honey| [person:april f 0-0][person:april f 8-8][person:andy m 18-18][person:april f 33-33]

conv:people_2019081401_88:aug_0:chat_0:chataug_0| austin walter| [person:austin m 0-0][person:walter m 1-1]
austin| Hey Walter how s it going Want to get some food and catch up tomorrow| [person:walter m 1-1]
walter| Yeah that sounds good Is it alright if I invite my two friends Sandra and Christopher they are visiting me from London| [person:walter m 8-8][person:walter m 10-10][person:friends g() 12-12][person:sandra f 13-13][person:christopher m 15-15][person:friends g(sandra:christopher) 16-16][person:walter m 19-19]
austin| Oh yeah I love Sandra and Christopher they are so fun| [person:austin m 2-2][person:sandra f 4-4][person:christopher m 6-6][person:friends g(sandra:christopher) 7-7]
walter| But Sandra can be a little picky| [person:sandra f 1-1]
austin| That s true the Chinese restaurant woudn t be a good idea would it| [location:restaurant s 5-5]
walter| No neither would the mexican restaurant because she hates spicy food| [location:restaurant s 5-5][person:sandra f 7-7]
austin| I think that french place would be the best everyone likes french food| [person:austin m 0-0][location:place s 4-4][person:everyone g(walter:sandra:christopher) 9-9]
walter| Okay yeah that sounds perfect|
austin| Well can you book it then for me| [person:walter m 2-2][person:austin m 7-7]
walter| Yeah sure I can I ll let you know when I ve done it| [person:walter m 2-2][person:walter m 4-4][person:austin m 7-7][person:walter m 10-10]

conv:people_2019081401_92:aug_0:chat_0:chataug_0| howard shane| [person:howard m 0-0][person:shane m 1-1]
howard| Shouldn t we bring snacks or something when we go to the Morgans| [person:we g(howard:shane) 2-2][person:we g(howard:shane) 8-8][person:morgans g() 12-12]
shane| Yeah we probably should Beer wine coolers| [person:we g(howard:shane) 1-1]
howard| Actually I don t think they drink alcohol or soda for that matter| [person:howard m 1-1][person:morgans g() 5-5]
shane| Well that kind of limits things doesn t it Candy popcorn chips and dips|
howard| Those are all pretty usual things but I don t think they do usual things| [person:howard m 7-7][person:morgans g() 11-11]
shane| Well I haven t heard you come up with any ideas about your idea so what do you think we should bring| [person:shane m 1-1][person:howard m 5-5][person:howard m 12-12][person:howard m 17-17][person:we g(howard:shane) 19-19]
howard| That s why I asked you I couldn t think of anything on my own But we should bring something| [person:howard m 3-3][person:shane m 5-5][person:howard m 6-6][person:howard m 13-13][person:we g(howard:shane) 16-16]
shane| Yeah it would be pretty rude not to|
howard| Wait you know Jack and he knows them pretty well goes over there pretty often I bet he could give us some good ideas| [person:shane m 1-1][person:jack m 3-3][person:jack m 5-5][person:morgans g() 7-7][person:howard m 15-15][person:jack m 17-17][person:us g(howard:shane) 20-20]
shane| You re right I see almost every day we live in the same building so I will ask him and let you know what he suggests Bye| [person:howard m 0-0][person:shane m 3-3][person:we g(shane:jack) 8-8][location:building s 13-13][person:shane m 15-15][person:jack m 18-18][person:howard m 21-21][person:jack m 24-24]

conv:people_2019081401_93:aug_0:chat_0:chataug_0| douglas ronald| [person:douglas m 0-0][person:ronald m 1-1]
ronald| Hi Douglas how is it going| [person:douglas m 1-1]
ronald| Have you heard from Keith Randy Garrett and Michael lately| [person:douglas m 1-1][person:keith m 4-4][person:randy m 5-5][person:michael m 8-8]
douglas| Yes I heard from them the other week| [person:douglas m 1-1][person:them g(keith:randy:michael) 4-4]
ronald| What have they been up to lately| [person:them g(keith:randy:michael) 2-2]
douglas| Do you want to go out with them tomorrow night| [person:ronald m 1-1][person:them g(keith:randy:michael) 7-7]
ronald| Yes should we invite all of them| [person:we g(ronald:douglas) 2-2][person:them g(keith:randy:michael) 6-6]
douglas| Yes why don t we invite them all for a night out| [person:we g(ronald:douglas) 4-4][person:them g(keith:randy:michael) 6-6]
ronald| Where do you think they want to go| [person:douglas m 2-2][person:them g(keith:randy:michael) 4-4]
douglas| I think they all like Italian food How about we try that| [person:douglas m 0-0][person:them g(keith:randy:michael) 2-2][person:we g(ronald:douglas) 9-9]
ronald| Yes that sounds like a plan How about 500 at 5th Street restaurant|
douglas| Sure sounds good I ll call them to invite them| [person:douglas m 3-3][person:them g(keith:randy:michael) 6-6][person:them g(keith:randy:michael) 9-9]
ronald| Great see you then hopefully| [person:douglas m 2-2]

conv:people_2019081401_94:aug_0:chat_0:chataug_0| barbara justin| [person:barbara f 0-0][person:justin m 1-1]
justin| Would you like to spend some time with me and friends today| [person:barbara f 1-1][person:justin m 8-8][person:friends g() 10-10]
barbara| As i don t know your friends i may not be comfortable| [person:barbara f 1-1][person:justin m 5-5][person:friends g() 6-6][person:barbara f 7-7]
justin| These friends of mine are cool and you may not face any problem| [person:friends g() 1-1][person:justin m 3-3][person:barbara f 7-7]
barbara| How long you know them| [person:justin m 2-2][person:friends g() 4-4]
justin| They are all my childhood friends| [person:friends g() 0-0][person:justin m 3-3][person:friends g() 5-5]
barbara| In that case i think i may feel at ease| [person:barbara f 3-3][person:barbara f 5-5]
justin| So are you ready to join us| [person:barbara f 2-2][person:us g(justin) 6-6]
barbara| When do you want me to join you all| [person:justin m 2-2][person:barbara f 4-4][person:us g(justin) 7-7]
justin| Let us keep the get together for tomorrow evening| [person:us g(justin:barbara) 1-1]
barbara| Anyhow i will be free tomorrow and i will make it in the evening Bye| [person:barbara f 1-1][person:barbara f 7-7]

conv:people_2019081401_97:aug_0:chat_0:chataug_0| jeff johnny| [person:jeff m 0-0][person:johnny m 1-1]
johnny| Can you do one favor for me actually its for my brother| [person:jeff m 1-1][person:johnny m 6-6][person:johnny m 10-10][person:nick m 11-11]
jeff| Oh your brother Nick When did he return back from abroad| [person:johnny m 1-1][person:nick m 2-2][person:nick m 3-3][person:nick m 6-6]
johnny| a week ago He wants to go to the soccer game with his friend| [person:nick m 3-3][person:nick m 12-12][person:friend u 13-13]
johnny| I need your help to decide some places Can you recommend something| [person:johnny m 0-0][person:jeff m 2-2][location:places g() 7-7][person:jeff m 9-9]
jeff| Yes I know lot of places But ask them that they have any idea| [person:jeff m 1-1][location:places g() 5-5][person:them g(nick:friend) 8-8][person:them g(nick:friend) 10-10]
johnny| Yes they decided to go to Buffalo Wild wings and what about your opinion| [person:them g(nick:friend) 1-1][location:buffalo s 6-6][person:jeff m 12-12]
jeff| Yes that is also a nice place You can take them to that place| [location:buffalo s 6-6][person:johnny m 7-7][person:them g(nick:friend) 10-10][location:buffalo s 13-13]
jeff| You are also going there right| [person:johnny m 0-0][location:buffalo s 4-4]
johnny| Yes of course What about you can you join us| [person:jeff m 5-5][person:jeff m 7-7][person:us g(jeff:nick:friend) 9-9]
jeff| Yep I am also free now I can happily join with you| [person:jeff m 1-1][person:jeff m 6-6][person:johnny m 11-11]
johnny| sounds good|

conv:people_2019081401_99:aug_0:chat_0:chataug_0| carolyn helen| [person:carolyn f 0-0][person:helen f 1-1]
helen| Hi Carolyn| [person:carolyn f 1-1]
carolyn| Hey Helen| [person:helen f 1-1]
helen| Actually I wanted to ask you favor I want to practice a little more Can you join me| [person:helen f 1-1][person:carolyn f 5-5][person:helen f 7-7][person:carolyn f 15-15][person:helen f 17-17]
carolyn| Okay Who else will be joining|
helen| I will ask Amelie Eve and Jill If they can join| [person:helen f 0-0][person:amelie f 3-3][person:jill f 6-6][person:they g(amelie:jill) 8-8]
carolyn| Okay inform me when you finish talking to them| [person:carolyn f 2-2][person:helen f 4-4][person:them g(amelie:jill) 8-8]
carolyn| BTW Where should we meet for the practice| [person:we g(helen:carolyn) 3-3]
helen| We will meet at the basketball court| [person:we g(helen:carolyn) 0-0]
carolyn| That is fine with me I will be there| [person:carolyn f 4-4][person:carolyn f 5-5]
carolyn| And what time should I come| [person:carolyn f 4-4]
helen| Be there before 630 pm|
carolyn| Ok See you then| [person:helen f 2-2]
helen| See you| [person:carolyn f 1-1]

conv:people_2019081401_107:aug_0:chat_0:chataug_0| nathan scott| [person:nathan m 0-0][person:scott m 1-1]
scott| Do you think we should bring something when we go to the Winstons for coffee Like when you go to dinner you are supposed to bring wine or something| [person:nathan m 1-1][person:we g(scott:nathan) 3-3][person:we g(scott:nathan) 8-8][person:winstons g() 12-12][person:nathan m 17-17][person:scott m 21-21]
