conv:people_chats_0628_15:aug_0:chat_0:chataug_0| charlie emmett| [person:charlie f 0-0][person:emmett m 1-1]
lindsey| Hey you know I was joking| [person:claude m 1-1][person:lindsey f 3-3]
claude| Yeah yeah I know haha just let Jake know he better be healthy for his birthday or else| [person:claude m 2-2][person:jake m 7-7][person:jake m 9-9][person:jake m 14-14]
lindsey| I ll be sure to let him know LOL| [person:lindsey f 0-0][person:jake m 6-6]
lindsey| See you tomorrow| [person:claude m 1-1]
claude| See you| [person:lindsey f 1-1]

conv:people_chats_0629_16:aug_0:chat_0:chataug_0| matilda rosa| [person:matilda f 0-0][person:rosa f 1-1]
matilda| Hey Rosa| [person:rosa f 1-1]
rosa| Hey Matilda| [person:matilda f 1-1]
rosa| Did you see the old man Paul| [person:matilda f 1-1][person:paul m 6-6]
matilda| Yes he is always walking around our neighborhood| [person:paul m 1-1][person:our g(matilda:rosa) 6-6][location:neighborhood s 7-7]
rosa| Always pulling a cooler|
rosa| Jim told me that he lives with his kids in a close neighborhood| [person:jim m 0-0][person:rosa f 2-2][person:paul m 4-4][person:paul m 7-7][person:kids g() 8-8][location:neighborhood s 12-12]
matilda| I often ask myself where this man lives| [person:matilda f 0-0][person:matilda f 3-3]
rosa| Jim said that he gets out and walks everywhere to get out of the house and seems to have some mental issues but is harmless| [person:jim m 0-0][person:paul m 3-3][location:house s 14-14]
matilda| I d talk with him before| [person:matilda f 0-0][person:paul m 4-4]
rosa| And how was it|
matilda| He seemed a little off but nice and had a bunch of groceries he had gotten at HEB| [person:paul m 0-0][person:paul m 13-13]
rosa| He is probably a goodhearted person| [person:paul m 0-0]
matilda| Yes he is I saw him walking around HEB and Home Depot these days| [person:paul m 1-1][person:matilda f 3-3][person:paul m 5-5][location:home s 10-10]

conv:people_chats_0629_17:aug_0:chat_0:chataug_0| becker sydney| [person:becker m 0-0][person:sydney f 1-1]
sydney| Hey could you measure the shed door s opening| [person:becker m 2-2]
becker| Sure I can why do you need it| [person:becker m 1-1][person:sydney f 5-5]
sydney| I need the dimensions to buy the barn door tracks| [person:sydney f 0-0]
becker| Okay I measured it The door is 5 5 feet| [person:becker m 1-1]
sydney| Thanks I am just trying to figure out which brand to get| [person:sydney f 1-1]
becker| You should check out the National Hardware brand| [person:sydney f 0-0]
becker| Lindsey and Milton used it for their shed doors| [person:lindsey f 0-0][person:milton f 2-2][person:their g(lindsey:milton) 6-6]
sydney| I see and the quality was good| [person:sydney f 0-0]
becker| Yup they told me it was the best brand for outdoor use because it doesn t rust| [person:they g(lindsey:milton) 1-1][person:becker m 3-3]
sydney| I am looking but I can t find it| [person:sydney f 0-0][person:sydney f 4-4]
sydney| I don t think they sell the brand at this store Can you go online and look up who carries the brand in stores I can pick it up| [person:sydney f 0-0][person:they g() 4-4][person:becker m 12-12][person:sydney f 24-24]
becker| Sure no problem|
sydney| Thank you| [person:becker m 1-1]

conv:people_chats_0629_18:aug_0:chat_0:chataug_0| marcy miguel| [person:marcy f 0-0][person:miguel m 1-1]
marcy| Hey Miguel| [person:miguel m 1-1]
miguel| Hey Macy what s up| [person:marcy f 1-1]
marcy| I just wanted to let you know that I ll be working from home today| [person:marcy f 0-0][person:miguel m 5-5][person:marcy f 8-8][location:home s 13-13]
miguel| Thanks for letting me know| [person:miguel m 3-3]
marcy| You re welcome I ll be checking my email regularly but if you need something right away just reach out to my assistant AnnaMarie| [person:miguel m 0-0][person:marcy f 3-3][person:marcy f 7-7][person:miguel m 12-12][person:marcy f 21-21][person:anna_marie f 23-23]
miguel| Okay awesome I ll do that| [person:miguel m 2-2]
marcy| Great She ll be in the office regular hours today| [person:anna_marie f 1-1][location:office s 6-6]
miguel| Okay perfect|
marcy| If for some reason you need something while she s at lunch go ahead and connect with Allen| [person:miguel m 4-4][person:anna_marie f 8-8][person:allen m 17-17]
miguel| Okay I ll do that| [person:miguel m 1-1]
marcy| He comes in a little bit later so this way there s always someone at the office| [person:allen m 0-0][person:someone g(allen) 13-13][location:office s 16-16]
miguel| I appreciate all the information| [person:miguel m 0-0]
marcy| No problem|
miguel| Is everything ok Since you re working from home I just wanted to check| [person:marcy f 4-4][location:home s 8-8][person:miguel m 9-9]
marcy| Yup thanks for asking|

conv:people_chats_0629_19:aug_0:chat_0:chataug_0| ruby rudy| [person:ruby f 0-0][person:rudy m 1-1]
ruby| hi Rudy| [person:rudy m 1-1]
rudy| how are you Ruby| [person:ruby f 2-2][person:ruby f 3-3]
ruby| am doing good check out the photo i just sent| [person:ruby f 7-7]
rudy| how are Mariam and Russell are doing with him| [person:mariam f 2-2][person:russell m 4-4][person:puppy m 8-8]
ruby| now at 1 and 3 years they are doing great with him| [person:they g(mariam:russell) 6-6][person:him m 11-11]
ruby| though there is a little issue|
rudy| what is it|
ruby| Mariam petting him a little too roughly| [person:mariam f 0-0][person:puppy m 2-2]
rudy| how about son Rusell| [person:russell m 2-2][person:russell m 3-3]
rudy| how did you get him to be gentle with the puppy| [person:ruby f 2-2][person:russell m 4-4]
ruby| he is grown now he keeps learning how i handle him| [person:russell m 0-0][person:russell m 4-4][person:ruby f 8-8][person:puppy m 10-10]
rudy| hope Marriam catches up soon|

conv:people_chats_0629_20:aug_0:chat_0:chataug_0| caleb harriet| [person:caleb m 0-0][person:harriet f 1-1]
caleb| Harriet on the downlow need to ask you something Do you have any clue how I can get depleted uranium that wouldn t draw attention or get me put on any kind of list| [person:harriet f 0-0][person:harriet f 7-7][person:harriet f 10-10][person:caleb m 15-15][person:caleb m 27-27]
harriet| Hmmm curious and curiouser You ve piqued my interest What pray tell would you be needing that for| [person:caleb m 4-4][person:harriet f 7-7][person:caleb m 13-13]
caleb| Nothing too shady I really want to make my own armorpiercing munitions so that I can make my some videos and put them on the internet you know vids where I am shooting armored watermelons| [person:caleb m 3-3][person:caleb m 8-8][person:caleb m 14-14][person:caleb m 17-17][person:videos_not_a_person__but_a_pronoun_nonetheless_ f 22-22][person:harriet f 26-26][person:caleb m 30-30]
harriet| Gotcha I approve of your goal Here s what you need to do hit up the local convenience store and ask for DOUG in the Sports Section| [person:harriet f 1-1][person:caleb m 4-4][person:caleb m 9-9][person:doug m 22-22]
caleb| How would Doug be able to help me get illegal and unregistered goods if he works in a convenience store| [person:doug m 2-2][person:caleb m 7-7][person:doug m 14-14]
harriet| Wise up bud Doug s convenience store is only a front| [person:doug m 3-3]
caleb| I m lost Fill in the blanks| [person:caleb m 0-0]
harriet| Listen up the store has a fake dumpster behind it with an elevator in it that leads directly to an underground market where you can buy illegal goods It s run by a woman named Anita| [person:caleb m 23-23][person:anita f 35-35]
caleb| Okay got it Do I really need to know her name though That doesn t make me seem suspicious Like I m a newbie| [person:caleb m 4-4][person:anita f 9-9][person:caleb m 16-16][person:caleb m 20-20]
harriet| No it would be much more shady if you showed up there and DIDN T know the name of the woman running the operation| [person:caleb m 8-8]
caleb| That makes sense So do I need to do anything when I get there| [person:caleb m 5-5][person:caleb m 11-11]
harriet| You mean besides bringing cash to buy the goods| [person:caleb m 0-0]
caleb| Yeah I figured as much But should I flatter her to butter her up or anything before making my purchase| [person:caleb m 1-1][person:caleb m 7-7][person:anita f 9-9][person:anita f 12-12][person:caleb m 18-18]

conv:people_chats_0629_22:aug_0:chat_0:chataug_0| lori nelson| [person:lori f 0-0][person:nelson m 1-1]
lori| Hey there|
nelson| Hi how are you| [person:lori f 3-3]
lori| Good going out tonight with Yasmine and Karim| [person:yasmine f 5-5][person:karim m 7-7]
nelson| Oh you finally got a hold of them| [person:lori f 1-1][person:them g(yasmine:karim) 7-7]
lori| Yeah Yasmine was stuck at work all day| [person:yasmine f 1-1]
lori| They are making up for missing out on my birthday dinner| [person:them g(yasmine:karim) 0-0][person:lori f 8-8]
nelson| Oh thats great you guys make a great trio| [person:lori f 3-3]
lori| haha thanks|
nelson| When do you think that you will be home| [person:lori f 2-2][person:lori f 5-5][location:home s 8-8]
lori| Im not sure you know how they are| [person:nelson m 3-3][person:them g(yasmine:karim) 6-6]
nelson| Yeah Yeah i know that Karim can drink like a fish| [person:nelson m 2-2][person:karim m 5-5]
nelson| I just want you to be careful i know you have to go to work early tomorrow| [person:nelson m 0-0][person:lori f 3-3][person:nelson m 7-7][person:lori f 9-9]

conv:people_chats_0629_24:aug_0:chat_0:chataug_0| douglas marissa| [person:douglas m 0-0][person:marissa f 1-1]
marissa| I just got word from Dr Brock| [person:marissa f 0-0][person:dr__brock m 6-6]
marissa| it seems he ll be running a bit late| [person:dr__brock m 2-2]
douglas| Oh no why is that|
douglas| He s usually never late for anything| [person:dr__brock m 0-0]
marissa| He s still in surgery with another patient| [person:dr__brock m 0-0]
douglas| okay Is there any other doctor available| [person:dr__shay f 5-5]
marissa| Can you contact Dr Shay| [person:douglas m 1-1][person:dr__shay f 4-4]
douglas| Yes Do you think she will be available| [person:marissa f 2-2][person:dr__shay f 4-4]
marissa| Yes She s the oncall doctor| [person:dr__shay f 1-1][person:doctor u 5-5]
marissa| She lives nearby so the patient will not have to wait too long| [person:dr__shay f 0-0]
douglas| That sounds perfect|
douglas| What is the next patient coming in for| [person:patient u 4-4]

conv:people_chats_0629_26:aug_0:chat_0:chataug_0| lou nala| [person:lou m 0-0][person:nala f 1-1]
nala| Hey Lou are you hungery| [person:lou m 1-1][person:lou m 3-3]
lou| Well yes I suppose I am| [person:nala f 2-2][person:lou m 4-4]
nala| Do you like sushi| [person:lou m 1-1]
lou| I love sushi why what are you thinking| [person:lou m 0-0][person:nala f 6-6]
nala| There is a new place right down by the office I though we should hit it up for lunch| [location:office s 0-0][location:place s 4-4][location:office s 9-9][person:nala f 10-10][person:lou___nala g(nala:lou) 12-12][location:office s 15-15]
lou| Sounds fantastic I am so there| [person:lou m 2-2][location:place s 5-5]
nala| Im inviting Chloe and Jermaine too hmm not sure if they like sushi| [person:chloe f 2-2][person:jermaine m 4-4][person:chloe___jermaine g(chloe:jermaine) 10-10]
lou| Yeah they do I was with them at that place down town Misako s| [person:chloe___jermaine g(chloe:jermaine) 1-1][person:lou m 3-3][person:chloe___jermaine g(chloe:jermaine) 6-6][location:place s 9-9][location:town s 11-11]
nala| Oh well that settles that question I guess LOL| [person:nala f 6-6]
lou| Should I meet you at the new sushi place or at the office| [person:lou m 1-1][person:nala f 3-3][location:place s 8-8][location:office s 12-12]
nala| Hmm I think it would be nice if we all met out side the office at the little plaza with the statue Then we could walk down together| [person:nala f 1-1][person:lou___nala g(nala:lou) 8-8][location:office s 14-14][location:plaza s 18-18][person:lou___nala g(nala:lou) 23-23]
lou| That sounds nice The weather is awsome|
nala| Ok see you there Gonna messge Chloe and Jermane| [person:lou m 2-2][location:plaza s 3-3][person:chloe f 6-6]
lou| See you at lunch time| [person:nala f 1-1]

conv:people_chats_0629_28:aug_0:chat_0:chataug_0| alice natalya| [person:alice f 0-0][person:natalya f 1-1]
natalya| hey|
alice| hi how are you| [person:natalya f 3-3]
natalya| i m great how about you| [person:natalya f 0-0][person:alice f 5-5]
alice| not bad at all what are you up to| [person:natalya f 6-6]
natalya| i m getting the girls ready to go easter dress shopping would you like to join| [person:natalya f 0-0][person:girls g() 4-4][person:alice f 12-12]
alice| when were you planning on going| [person:natalya f 2-2]
natalya| probably in an hour or so|
alice| hm well my afternoon is a little booked and i have Logan s baseball game today then dinner with Keith at night i don t think i ll be able to make it sorry| [person:alice f 2-2][person:alice f 9-9][person:logan m 11-11][person:keith m 19-19][person:alice f 22-22][person:alice f 26-26]
natalya| that s alright where are you going to eat| [person:alice f 5-5]
alice| we re going out for chinese we re trying to get logan to come with us and try it but he s so picky| [person:we g(alice:keith) 0-0][person:we g(alice:keith) 6-6][person:logan m 11-11][person:we g(alice:keith) 15-15][person:logan m 20-20]
natalya| Hm well i d really love it if you came maybe we can try to go together tomorrow morning| [person:natalya f 2-2][person:alice f 8-8][person:we g(natalya:alice) 11-11]
alice| are you sure| [person:natalya f 1-1]
natalya| yes will you be available then| [person:alice f 2-2]
alice| i will i ll see you then bye| [person:alice f 0-0][person:alice f 2-2][person:natalya f 5-5]

conv:people_chats_0629_31:aug_0:chat_0:chataug_0| cassandra ellis| [person:cassandra f 0-0][person:ellis m 1-1]
ellis| Hey about out pool party have you check the weather for the weekend| [person:cassandra f 6-6]
cassandra| I actually have the forecast claims there is going to be a lot of rain and storms| [person:cassandra f 0-0]
cassandra| I think we might have to postpone the party| [person:cassandra f 0-0][person:we g(ellis:cassandra) 2-2]
ellis| I mean I feel like we can still have it we just have to go inside if it starts raining| [person:ellis m 0-0][person:ellis m 2-2][person:we g(ellis:cassandra) 5-5][person:we g(ellis:cassandra) 10-10]
cassandra| Sounds good to me| [person:cassandra f 3-3]
ellis| I am also gonna ask Willis and Maurie is i could borrow their canopies to put around the pool| [person:ellis m 0-0][person:willis m 5-5][person:maurie f 7-7][person:ellis m 9-9][person:their g(willis:maurie) 12-12][location:pool s 18-18]
ellis| So people would have other places to take cover from the rain too| [location:places g() 5-5]
ellis| Since they have let me borrow them before I am pretty sure that they won t mind if we take it for this weekend| [person:their g(willis:maurie) 1-1][person:ellis m 4-4][person:their g(willis:maurie) 6-6][person:ellis m 8-8][person:their g(willis:maurie) 13-13][person:we g(ellis:cassandra) 18-18]
cassandra| Okay tell me how that goes| [person:cassandra f 2-2]
ellis| Sure thing I also need to ask them where they even bought the canopies i think we should get some for ourselfs for next time they can also come in handy for many things| [person:ellis m 2-2][person:their g(willis:maurie) 7-7][person:their g(willis:maurie) 9-9][person:ellis m 14-14][person:we g(ellis:cassandra) 16-16][person:their g(willis:maurie) 25-25]
cassandra| Yeah I agree| [person:cassandra f 1-1]

conv:people_chats_0629_32:aug_0:chat_0:chataug_0| trudy wes| [person:trudy f 0-0][person:wes m 1-1]
trudy| Hey Wes I m not going to be coming home after work today| [person:wes m 1-1][person:trudy f 2-2][location:home s 9-9]
wes| Why not|
trudy| Chris and Lexus invited me to go to the gym with them They can take a guest for free with their membership| [person:chris m 0-0][person:lexus f 2-2][person:trudy f 4-4][location:gym s 9-9][person:them g(chris:lexus) 11-11][person:them g(chris:lexus) 12-12][person:them g(chris:lexus) 20-20]
wes| That s great You thinking of joining a gym| [person:trudy f 3-3][location:gym s 8-8]
trudy| Yeah I m going to see if I like it there before I get a membership| [person:trudy f 1-1][person:trudy f 7-7][location:gym s 9-9][location:gym s 10-10][person:trudy f 12-12]
wes| That s a good idea Take it easy though you don t want to overdo it| [person:trudy f 9-9]
trudy| Yeah I know I haven t worked out in a while| [person:trudy f 1-1][person:trudy f 3-3]
trudy| I m probably going to be really sore tomorrow| [person:trudy f 0-0]
wes| Well that s why you have to be careful and not go crazy| [person:trudy f 4-4]
trudy| Yeah I ll do my best| [person:trudy f 1-1][person:trudy f 4-4]
wes| Well hope you have fun and that you like the gym| [person:trudy f 2-2][person:trudy f 7-7][location:gym s 10-10]
wes| I ll call you later when you re done| [person:wes m 0-0][person:trudy f 3-3][person:trudy f 6-6]

conv:people_chats_0629_33:aug_0:chat_0:chataug_0| nora solenn| [person:nora f 0-0][person:solenn m 1-1]
nora| Hey I want to paint my bathroom tonight Do you think you can help me| [person:nora f 1-1][person:nora f 5-5][person:solenn m 9-9][person:solenn m 11-11][person:nora f 14-14]
solenn| That sounds fun Have you painted houses before| [person:nora f 4-4]
nora| Not really I ve never painted rooms before so I am bit nervous That s why I am just starting with my bathroom| [person:nora f 2-2][person:nora f 9-9][person:nora f 16-16][person:nora f 21-21]
solenn| Ha Okay That sounds like a good plan|
nora| That s why I am asking for your help I want to make sure I don t mess it up too badly| [person:nora f 3-3][person:solenn m 7-7][person:nora f 9-9][person:nora f 14-14]
solenn| Sure I can help| [person:solenn m 1-1]
nora| When do you think you can come over this evening| [person:solenn m 2-2][person:solenn m 4-4]
solenn| I won t be free until around 530 this evening Does that work| [person:solenn m 0-0]
nora| That sounds perfect|
solenn| Yeah I have to drop off my kids Jake and Tara at their mother s house That ll happened around 5pm They ll hang out there this weekend| [person:solenn m 1-1][person:solenn m 6-6][person:kids g() 7-7][person:jake m 8-8][person:tara f 10-10][person:kids g(jake:tara) 12-12][person:kids g(jake:tara) 21-21]
nora| Cool It s great they spend time with their mom too I ll see around 530 then Thanks| [person:kids g(jake:tara) 4-4][person:kids g(jake:tara) 8-8][person:mom f 9-9][person:nora f 11-11]

conv:people_chats_0629_34:aug_0:chat_0:chataug_0| nicolas timmy| [person:nicolas m 0-0][person:timmy m 1-1]
timmy| Hey Nicolas what are our plans for Saturday| [person:nicolas m 1-1][person:our g(timmy:nicolas) 4-4]
nicolas| We could go out on a double date with their girlfriends| [person:our g(timmy:nicolas) 0-0][person:our g(timmy:nicolas) 9-9]
timmy| Do you think Lori and Shawna will even get along| [person:nicolas m 1-1][person:lori f 3-3][person:shawna f 5-5]
nicolas| That ll be no problem Smooth sailing is all I can see happening| [person:nicolas m 9-9]
timmy| Are you really sure about that Lori seems kinda disagreeable| [person:nicolas m 1-1][person:lori f 6-6]
nicolas| On the contrary Lori is super laid back and chill| [person:lori f 3-3]
timmy| Okay then Where should we take them for the date| [person:our g(timmy:nicolas) 4-4][person:them g(lori:shawna) 6-6]
nicolas| Good question I want to think about it a little more| [person:nicolas m 2-2]
timmy| Will you let me know when you ve decided| [person:nicolas m 1-1][person:timmy m 3-3][person:nicolas m 6-6]
nicolas| Sure thing I ll try to narrow it down then ask you which one| [person:nicolas m 2-2][person:timmy m 11-11]
timmy| Okay keep me posted| [person:timmy m 2-2]

conv:people_chats_0629_35:aug_0:chat_0:chataug_0| nancy peter| [person:nancy f 0-0][person:peter m 1-1]
nancy| Hey|
peter| Hi Nancy| [person:nancy f 1-1]
nancy| I m going to the store do you need anything for your project| [person:nancy f 0-0][person:peter m 7-7][person:peter m 11-11]
peter| No I m pretty sure that I have everything| [person:peter m 1-1][person:peter m 6-6]
nancy| Well do you need me to pick anything up when I go out| [person:peter m 2-2][person:nancy f 4-4][person:nancy f 10-10]
peter| It would be great if you could get a coffee for Cameron and I| [person:nancy f 5-5][person:cameron f 11-11][person:peter m 13-13]
nancy| Sure|
peter| Thanks We are so tired hopefully the coffee helps us feel better| [person:we g(peter:cameron) 1-1][person:us g(peter:cameron) 9-9]
nancy| I ll get the coffee at Starbucks Ask Wendy if she wants something| [person:nancy f 0-0][person:wendy f 8-8][person:wendy f 10-10]
peter| She says she already had too much coffee this morning and that she s going to pass She also said that she was feeling pretty wired this morning| [person:wendy f 0-0][person:wendy f 2-2][person:wendy f 12-12][person:wendy f 17-17][person:wendy f 21-21]
nancy| That s fine I m on my way now| [person:nancy f 3-3][person:nancy f 6-6]
peter| Great thank you so much| [person:nancy f 2-2]
nancy| It s no problem I will always help when you guys need it| [person:nancy f 4-4][person:peter m 9-9]

conv:people_chats_0629_36:aug_0:chat_0:chataug_0| erica haiden| [person:erica f 0-0][person:haiden m 1-1]
haiden| One more meeting couldn t hurt it could only help us improve our presentation| [person:us g(haiden:erica) 10-10][person:us g(haiden:erica) 12-12]
erica| We could also try to help the new employees learn a few important things so things run smoothly for sure| [person:us g(haiden:erica) 0-0]
haiden| It sounds like we have everything pretty much covered just keep be our fingers crossed everything goes as planned| [person:us g(haiden:erica) 3-3][person:us g(haiden:erica) 12-12]
erica| I m so glad Sonia got all the links worked out so quickly shes great at her job| [person:erica f 0-0][person:sonia f 4-4][person:sonia f 13-13][person:sonia f 16-16]
erica| We need to tell Steven that was a great idea about the extra help is things go the way we plan we will definitely need them| [person:us g(haiden:erica) 0-0][person:steven m 4-4][person:us g(haiden:erica) 19-19][person:us g(haiden:erica) 21-21][person:them g(sonia:steven) 25-25]
haiden| Yeah Steven and Sonia should both be praised on what good work they ve done| [person:steven m 1-1][person:sonia f 3-3][person:them g(sonia:steven) 12-12]
haiden| Well let s plan a after party for everyone who had something to do with getting this accomplished| [person:everyone g() 8-8]
erica| Sounds like fun I m sure everyone would like to relax after these past few stressful weeks| [person:erica f 3-3][person:everyone g() 6-6]
haiden| Where is as good place to have this gathering| [location:place s 4-4]
haiden| Who should we get together to set this up right| [person:us g(haiden:erica) 2-2]
erica| Well Sonia is the social one but I want to try to surprise them since they worked so hard already| [person:sonia f 1-1][person:erica f 7-7][person:them g(sonia:steven) 13-13][person:them g(sonia:steven) 15-15]
haiden| Ok well I m done for tonight but forest thing tomorrow will get this on the ball| [person:haiden m 2-2][location:forest s 8-8]
erica| Sounds great have a good night|

conv:people_chats_0629_37:aug_0:chat_0:chataug_0| tommy trixie| [person:tommy m 0-0][person:trixie f 1-1]
trixie| Hello Tommy I am trying to schedule our family reunion| [person:tommy m 1-1][person:trixie f 2-2][person:our g(trixie:tommy) 7-7][person:family g(trixie:tommy) 8-8]
trixie| When will you be able to take time off of work| [person:tommy m 2-2]
tommy| I will have to look at my calendar| [person:trixie f 0-0][person:trixie f 6-6]
tommy| My daughter Nadine has a Scouts camping trip coming up| [person:tommy m 0-0][person:daughter f 1-1][person:nadine f 2-2][location:trip s 7-7]
tommy| She has been looking forward to the trip for months| [person:nadine f 0-0][location:trip s 7-7]
tommy| She has been talking about it nonstop| [person:nadine f 0-0][location:trip s 5-5]
tommy| I will ask her when the date of the trip is| [person:tommy m 0-0][person:nadine f 3-3][location:trip s 9-9]
tommy| We will have to schedule around it| [person:we g(trixie:tommy:nadine) 0-0][location:trip s 6-6]
trixie| I understand Camping is a lot of fun| [person:trixie f 0-0]
trixie| We can schedule around Nadine s camping trip| [person:we g(trixie:tommy:nadine) 0-0][person:nadine f 4-4][location:trip s 7-7]
trixie| Is your son Barry still going to summer camp in a week of July| [person:tommy m 1-1][person:son m 2-2][person:barry m 3-3]
trixie| If he is we will also have to schedule around his trip as well| [person:barry m 1-1][person:we g(trixie:tommy:nadine) 3-3][person:barry m 10-10][location:trip s 11-11]

conv:people_chats_0629_38:aug_0:chat_0:chataug_0| fran holden| [person:fran f 0-0][person:holden m 1-1]
fran| Hey Holden Guess what I ve got from Tessa and Nathaniel| [person:holden m 1-1][person:fran f 4-4][person:tessa f 8-8][person:nathaniel m 10-10]
holden| What did they bring over today| [person:they g(tessa:nathaniel) 2-2]
fran| They made pretzels from scratch They re still warm| [person:they g(tessa:nathaniel) 0-0]
holden| I can t wait to try one when I get home from work I love homemade pretzels| [person:holden m 0-0][person:holden m 8-8][location:home s 10-10][person:holden m 13-13]
fran| I m sorry it won t be as fresh when you get home| [person:fran f 0-0][person:holden m 10-10][location:home s 12-12]
holden| That s okay I ll just pop mine in the over It will still be good| [person:holden m 3-3][person:holden m 7-7]
fran| Would you mind if I ate one now| [person:holden m 1-1][person:fran f 4-4]
holden| Of course not I figured you already had one Just make sure you save me one| [person:holden m 3-3][person:fran f 5-5][person:fran f 12-12][person:holden m 14-14]
fran| No I really wanted to wait to have one with you but it s so tempting| [person:fran f 1-1][person:holden m 10-10]
holden| Fran go ahead and have one You can have another later with me haha Just don t eat them all now| [person:fran f 0-0][person:fran f 6-6][person:holden m 12-12]
fran| I ll do my best I m very excited to try a homemade pretzel| [person:fran f 0-0][person:fran f 3-3][person:fran f 5-5]
holden| Let me know how it is and let Nathaniel and Tessa know I said thank you| [person:holden m 1-1][person:nathaniel m 8-8][person:tessa f 10-10][person:holden m 12-12][person:they g(tessa:nathaniel) 15-15]

conv:people_chats_0629_41:aug_0:chat_0:chataug_0| horace solenn| [person:horace m 0-0][person:solenn m 1-1]
solenn| Hi Horace| [person:horace m 1-1]
solenn| Thanks for checking in aboutmy sister sorry i couldnt respond earllier I was a busy| [person:ellen f 5-5][person:solenn m 7-7][person:solenn m 11-11]
horace| No Worries I wanted to see how Ellen is doing I figured you were all busy with her care at home| [person:horace m 2-2][person:ellen f 7-7][person:horace m 10-10][person:solenn m 12-12][person:ellen f 17-17][location:home s 20-20]
horace| How is Josh I bet this has been very hard on him| [person:josh m 2-2][person:horace m 3-3][person:josh m 11-11]
solenn| Yes it has been He is trying to be strong but I know he is overwhelmed and worried about Ellen| [person:josh m 4-4][person:solenn m 11-11][person:josh m 13-13][person:ellen f 19-19]
solenn| Luckily he is able to take time off of work to care for her| [person:josh m 1-1][person:ellen f 13-13]
horace| How long was she in the hospital| [person:ellen f 3-3][location:hospital s 6-6]
solenn| A little over two weeks|
solenn| It felt like it was much longer|
horace| That is a long time|
horace| I am happy that she is doing better and she is at home now| [person:horace m 0-0][person:ellen f 4-4][person:ellen f 9-9][location:home s 12-12]
horace| let me know when you are up for visitors I would like to drop off a care package for your family| [person:horace m 1-1][person:solenn m 4-4][person:horace m 9-9][person:solenn m 19-19][person:family g(solenn:ellen:josh) 20-20]
solenn| Thank you Horace I m sure Ellen and Josh will be very happy to see you| [person:horace m 1-1][person:horace m 2-2][person:solenn m 3-3][person:ellen f 6-6][person:josh m 8-8][person:horace m 15-15]
solenn| Stop by anytime just let us know you are coming| [person:family g(solenn:ellen:josh) 5-5][person:horace m 7-7]

conv:people_chats_0629_42:aug_0:chat_0:chataug_0| dwight felicia| [person:dwight m 0-0][person:felicia f 1-1]
dwight| hello|
felicia| hi|
dwight| how are you| [person:lisa f 2-2]
felicia| im good thanks|
felicia| is Lisa is still having unusually vivid nightmares| [person:lisa f 1-1]
dwight| yes she is| [person:lisa f 1-1]
felicia| thats so crazy|
dwight| im not sure what I can do| [person:dwight m 4-4]
felicia| have you tried talking to her| [person:dwight m 1-1][person:lisa f 5-5]
dwight| yes but im not sure what to say|
felicia| maybe try asking her if school is ok| [person:lisa f 3-3][location:school s 5-5]
dwight| thats a good idea|
felicia| im wondering if there are problems at school| [location:school s 3-3][location:school s 7-7]

conv:people_chats_0629_44:aug_0:chat_0:chataug_0| josh michelle| [person:josh m 0-0][person:michelle f 1-1]
josh| Hey Michelle| [person:michelle f 1-1]
michelle| Hi Josh| [person:josh m 1-1]
josh| I m wondering if you know any career paths that might be interesting to me| [person:josh m 0-0][person:michelle f 4-4][person:josh m 14-14]
josh| I just need something that could get me off of the couch| [person:josh m 0-0][person:josh m 7-7]
michelle| It s good you asked| [person:josh m 3-3]
michelle| My brother Bobert is actually starting a business| [person:josh m 0-0][person:brother m 1-1][person:brother m 2-2]
josh| That s great|
michelle| He needs to find people to work for him| [person:brother m 0-0][person:brother m 8-8]
josh| What type of things will I do| [person:josh m 5-5]
michelle| It is a monster slaying business|
michelle| He wants to travel the country and become the premier destroyer of unknowable abominations of the continent| [person:brother m 0-0][location:country s 5-5][location:continent s 16-16]
josh| Cool but has he ever even fought a monster| [person:brother m 3-3]
michelle| Yes he has He once battled an abominable thing named Elaine| [person:brother m 1-1][person:brother m 3-3][person:elaine f 10-10]
josh| I ve never heard of an Elaine How is it even impressive| [person:josh m 0-0][person:elaine f 6-6]
michelle| Elaine is a bloodsucking monstrosity It looks like a troll mixed with a gorilla| [person:elaine f 0-0]
josh| It does not sound that bad|
josh| If anything it is just ugly|
michelle| It is also angry and very dangerous|
michelle| Elaine is known to suck goats dry of blood like the chupacabra and spits venom like a cobra or a spiteful rapper| [person:elaine f 0-0]
josh| Okay now I am convinced| [person:josh m 2-2]
michelle| I knew it| [person:michelle f 0-0]
josh| Can I have Bobert s number| [person:josh m 1-1][person:brother m 3-3]
michelle| Of course|

conv:people_chats_0629_45:aug_0:chat_0:chataug_0| paris ralph| [person:paris f 0-0][person:ralph m 1-1]
paris| Hey Ralph As you may know my friends Kim and Jerry are hosting my grad party at their house Here is their address| [person:ralph m 1-1][person:ralph m 3-3][person:paris f 6-6][person:friends g() 7-7][person:kim f 8-8][person:jerry m 10-10][person:paris f 13-13][location:house s 18-18]
paris| 123 Main Street Anysmalltown CA 12345| [location:street s 2-2][location:anysmalltown s 3-3][location:ca s 4-4]
ralph| Thanks for the address How many other people are attending the party Would I know anyone there besides you Haha| [location:party s 11-11][person:ralph m 13-13][person:anyone u 15-15][location:party s 16-16][person:paris f 18-18]
