conv:task_oriented_1231_amt_22:aug_0:chat_0:chataug_0| margaret nicole| [person:margaret f 0-0][person:nicole f 1-1]
brendan| The girls are on vacation and will not be home for a while That s why I asked you for help| [person:roommates g(madeline:christine) 1-1][person:brendan m 16-16][person:logan m 18-18]
logan| Okay but it will take me some time I m not finished with my work| [person:logan m 5-5][person:logan m 8-8][person:logan m 13-13]
brendan| How long will it take you to finish your work| [person:logan m 5-5][person:logan m 8-8]
logan| It will take me another half an hour| [person:logan m 3-3]
brendan| Okay I ll wait Pick me as soon as you are done| [person:brendan m 1-1][person:brendan m 5-5][person:logan m 9-9]
logan| Alright I ll give you a call once I start from here| [person:logan m 1-1][person:brendan m 4-4][person:logan m 8-8]

conv:task_oriented_1231_amt_80:aug_0:chat_0:chataug_0| bella mellisa| [person:bella f 0-0][person:mellisa f 1-1]
bella| Mellisa have you figured out which car are you going to take| [person:mellisa f 0-0][person:mellisa f 2-2][person:mellisa f 8-8]
mellisa| I don t have knowledge of the car But the first car that we saw in black was looking classy| [person:mellisa f 0-0][person:we g(bella:mellisa) 13-13]
bella| That black car was classy but It doesn t give you good mileage| [person:mellisa f 10-10]
mellisa| Then for you which one will be the best for us| [person:bella f 2-2][person:we g(bella:mellisa) 10-10]
bella| The red colored Rolls Royce car that we saw at the entrance of the showroom will be perfect for us| [person:we g(bella:mellisa) 7-7][person:we g(bella:mellisa) 19-19]
mellisa| Don t you think we are exceeding our budget The salesmen Brandie and Rafael are not negotiating with the price| [person:bella f 2-2][person:we g(bella:mellisa) 4-4][person:we g(bella:mellisa) 7-7][person:brandie f 11-11][person:rafael m 13-13]
bella| But we don t require a new car Do we We can easily go on for the used cars| [person:we g(bella:mellisa) 1-1][person:we g(bella:mellisa) 9-9][person:we g(bella:mellisa) 10-10]
mellisa| But they are forcing us to buy a new car which is not in our budget| [person:they g(brandie:rafael) 1-1][person:we g(bella:mellisa) 4-4][person:we g(bella:mellisa) 14-14]
bella| We can not afford anything better than a slightly used car Let s go around have a look at the used cars| [person:we g(bella:mellisa) 0-0]
mellisa| Let s discuss with them about the used cars and negotiate it at a fair price| [person:they g(brandie:rafael) 4-4]

conv:task_oriented_1231_amt_81:aug_0:chat_0:chataug_0| anthony heather| [person:anthony m 0-0][person:heather f 1-1]
heather| Hello Anthony what are you doing what food shall we order for the party tonight| [person:anthony m 1-1][person:anthony m 4-4][person:we g(heather:anthony) 9-9][location:party s 13-13]
anthony| Hey we shall order pasta dishes for the party what do you say| [person:we g(heather:anthony) 1-1][location:party s 8-8][person:heather f 11-11]
heather| That s okay but I think our friends Diane and Tiffany prefer seafood| [person:heather f 4-4][person:we g(heather:anthony) 6-6][person:friends g() 7-7][person:diane f 8-8][person:tiffany f 10-10]
anthony| Yeah they prefer fish and they are even other people who prefer different cuisines of food| [person:friends g(diane:tiffany) 1-1][person:friends g(diane:tiffany) 5-5]
heather| Okay let s order several types of seafood pasta for the dinner party what do you say| [location:dinner_party_ s 11-12][location:party s 12-12][person:anthony m 15-15]
anthony| That s actually cool but I think that won t be sufficient for dinner| [person:anthony m 5-5][location:dinner_party_ s 13-13]
heather| Okay now you tell me what you want to order so I will order that| [person:anthony m 2-2][person:heather f 4-4][person:anthony m 6-6][person:heather f 11-11]
anthony| Let s order some calamari and shrimp for the dinner party| [location:dinner_party_ s 9-10]
heather| Okay I m ordering that for dinner and you make rest over arrangements for the party| [person:heather f 1-1][location:dinner_party_ s 6-6][person:anthony m 8-8][location:party s 15-15]
anthony| Sure everything will be ready for the party You don t worry about that| [location:party s 7-7][person:heather f 8-8]

conv:task_oriented_1231_amt_82:aug_0:chat_0:chataug_0| jackie lori| [person:jackie f 0-0][person:lori f 1-1]
jackie| Hi Lori What are you doing| [person:lori f 1-1][person:lori f 4-4]
lori| Nothing much thinking about what to buy for Todd and Jerry s birthday| [person:todd m 8-8][person:jerry m 10-10]
jackie| What have you decided to buy for them| [person:lori f 2-2][person:them g() 7-7]
lori| I want to get video games for Todd What do you say| [person:lori f 0-0][person:todd m 7-7][person:jackie f 10-10]
jackie| That s a good idea But I think Jerry would like some accessories| [person:jackie f 6-6][person:jerry m 8-8]
lori| Yeah you re right Jackie That sounds great| [person:jackie f 1-1][person:jackie f 4-4]
jackie| Let s get one of each for both the boys then| [person:boys g() 9-9]
lori| Okay then when shall we go shopping| [person:lori f 4-4]
jackie| Let s go today I m free at 6| [person:jackie f 4-4]
lori| Alright see you in the evening| [person:jackie f 2-2]

conv:task_oriented_1231_amt_84:aug_0:chat_0:chataug_0| andrew chuck| [person:andrew m 0-0][person:chuck m 1-1]
andrew| Hey Chuck Just want to remind you to pay the rent| [person:chuck m 1-1][person:chuck m 6-6]
chuck| Hi Andrew I don t know if I ll be able to pay my rent for this month| [person:andrew m 1-1][person:chuck m 2-2][person:chuck m 7-7][person:chuck m 13-13]
andrew| What s the matter Chuck Is everything alright| [person:chuck m 4-4]
chuck| I got fired from my job last week| [person:chuck m 0-0][person:chuck m 4-4]
andrew| That s unfortunate Why did they fire you| [person:they g() 5-5][person:chuck m 7-7]
chuck| It s a long story I m really worried about how to pay my rent though| [person:chuck m 5-5][person:chuck m 13-13]
andrew| You should talk to Francis and Zack and try to borrow money from them| [person:chuck m 0-0][person:francis m 4-4][person:zack m 6-6][person:them g(francis:zack) 13-13]
chuck| I really don t want to do that| [person:chuck m 0-0]
andrew| Why I think that s the best option for you right now| [person:andrew m 1-1][person:chuck m 9-9]
chuck| I just don t like to ask people for money especially my roommates| [person:chuck m 0-0][person:chuck m 11-11]

conv:task_oriented_1231_amt_86:aug_0:chat_0:chataug_0| margo millie| [person:margo f 0-0][person:millie f 1-1]
millie| Hey Margo what day are you coming for Christmas| [person:margo f 1-1][person:margo f 5-5]
margo| Hey Millie I m planning on coming for just Christmas Day| [person:millie f 1-1][person:margo f 2-2]
millie| Is that so That s very sad|
margo| Why What s sad about that|
millie| Kristian and Rodger are only going to be there on Christmas Eve| [person:kristian m 0-0][person:rodger m 2-2]
margo| Oh I had not known that| [person:margo f 1-1]
millie| Can t you try to come a day earlier| [person:margo f 2-2]
margo| Alright I ll try to finish my work and come on the 24th so that I can meet them| [person:margo f 1-1][person:margo f 6-6][person:margo f 15-15][person:them g(kristian:rodger) 18-18]
millie| Yeah the kids would love that| [person:them g(kristian:rodger) 2-2]
margo| You re right I ll try my best to come on Christmas Eve| [person:millie f 0-0][person:margo f 3-3][person:margo f 6-6]

conv:task_oriented_1231_amt_90:aug_0:chat_0:chataug_0| edwin jane| [person:edwin m 0-0][person:jane f 1-1]
edwin| Hey Jane where are you By what time will you reach home| [person:jane f 1-1][person:jane f 4-4][person:jane f 9-9][location:home s 11-11]
jane| Hi Edwin I am on the way home I will reach home in 1 hour| [person:edwin m 1-1][person:jane f 2-2][location:home s 7-7][person:jane f 8-8][location:home s 11-11]
edwin| Okay what are the plans for this Christmas|
jane| Putting the plans apart I heard that our nephews Deandre and Juan are not planning to come to visit over Christmas| [person:jane f 4-4][person:our g(edwin:jane) 7-7][person:deandre m 9-9][person:juan m 11-11]
edwin| Yeah I even heard about that why aren t they coming| [person:edwin m 1-1][person:they g(deandre:juan) 9-9]
jane| They said that they want to but they are very busy with work as they both work retail during the holidays| [person:they g(deandre:juan) 0-0][person:they g(deandre:juan) 3-3][person:they g(deandre:juan) 7-7][person:they g(deandre:juan) 14-14]
edwin| Okay we shall go and visit them and celebrate Christmas at their place| [person:our g(edwin:jane) 1-1][person:they g(deandre:juan) 6-6][person:they g(deandre:juan) 11-11][location:place s 12-12]
jane| That s a good idea It will be a big surprise for them| [person:they g(deandre:juan) 12-12]
edwin| Yeah I m excited about it| [person:edwin m 1-1]
jane| Yeah even me too let s celebrate together| [person:jane f 2-2]

conv:task_oriented_1231_amt_91:aug_0:chat_0:chataug_0| gus jude| [person:gus m 0-0][person:jude f 1-1]
jude| When will you be back from the office| [person:gus m 2-2][location:office s 7-7]
gus| I am on my way Is anything urgent| [person:gus m 0-0][person:gus m 3-3]
jude| I want to go to church with you| [person:jude f 0-0][location:church s 5-5][person:gus m 7-7]
gus| We can go What about our kids Will they go with us| [person:we g(jude:gus) 0-0][person:we g(jude:gus) 5-5][person:kids g() 6-6][person:kids g() 8-8][person:we g(jude:gus) 11-11]
jude| I thought to ask Mr and Mrs Winstons to take care of them| [person:jude f 0-0][person:mr_winston m 4-4][person:mrs_winston f 6-6][person:winstons g() 7-7][person:kids g() 12-12]
gus| You know that I don t like asking people to assist our kids| [person:jude f 0-0][person:gus m 3-3][person:we g(jude:gus) 11-11][person:kids g() 12-12]
jude| But they love our kids very much They will be glad to know this| [person:winstons g() 1-1][person:we g(jude:gus) 3-3][person:kids g() 4-4][person:winstons g() 7-7]
gus| I trust them Try to avoid this from next time| [person:gus m 0-0][person:winstons g() 2-2]
jude| I will I am getting ready then| [person:jude f 0-0][person:jude f 2-2]
gus| I will be there within 20 minutes| [person:gus m 0-0][location:there s 3-3]

conv:task_oriented_1231_amt_92:aug_0:chat_0:chataug_0| jim robert| [person:jim m 0-0][person:robert m 1-1]
jim| Hey Robert what are you doing are you busy| [person:robert m 1-1][person:robert m 4-4][person:robert m 7-7]
robert| Hi Jim I m not busy Tell me what s the matter| [person:jim m 1-1][person:robert m 2-2][person:robert m 7-7]
jim| Can you join yoga class this Thursday along with me it helps you| [person:robert m 1-1][person:jim m 9-9][person:robert m 12-12]
robert| Is it very necessary I mean I m a little nervous| [person:robert m 4-4][person:robert m 6-6]
jim| Don t worry Robert my yoga teachers Abraham and Clary are very patient and teach a very relaxed class| [person:robert m 3-3][person:jim m 4-4][person:abraham m 7-7][person:clary f 9-9]
robert| I never practiced yoga before that is the only reason I m thinking about| [person:robert m 0-0][person:robert m 10-10]
jim| Initially when I joined I was in the same thought but they helped me a lot and Abraham is a great teacher You shall not miss this chance| [person:jim m 2-2][person:jim m 4-4][person:abraham___clary g(abraham:clary) 11-11][person:jim m 13-13][person:abraham m 17-17][person:robert m 22-22]
robert| Okay I will join you on Thursday See you soon| [person:robert m 1-1][person:jim m 4-4][person:jim m 8-8]
jim| Cool I m sure you are going to have the best experience Meet you soon| [person:jim m 1-1][person:robert m 4-4][person:robert m 13-13]
robert| Thank you for suggesting hope everything goes well| [person:jim m 1-1]

conv:task_oriented_1231_amt_96:aug_0:chat_0:chataug_0| carmen ryan| [person:carmen f 0-0][person:ryan m 1-1]
carmen| Hello Ryan how are you What are you planning for this christmas| [person:ryan m 1-1][person:ryan m 4-4][person:ryan m 7-7]
ryan| Hi Carmen I m good Din t plan anything actually What are your plans by the way| [person:carmen f 1-1][person:ryan m 2-2][person:carmen f 12-12]
carmen| I m planning to celebrate this year Christmas at my grandparents place That would be great if you join us| [person:carmen f 0-0][person:carmen f 9-9][location:place s 11-11][person:ryan m 17-17][person:us g(carmen) 19-19]
ryan| That s actually good to hear but I m little nervous| [person:ryan m 7-7]
carmen| It s nothing like that My grand parents are very kind and they don t judge people Feel free to come| [location:place s 0-0][person:carmen f 5-5][person:carmen_s_grandparents g() 7-7][person:carmen_s_grandparents g() 12-12]
ryan| Okay give me some time so that I will let you know| [person:ryan m 2-2][person:ryan m 7-7][person:carmen f 10-10]
carmen| Take your own time but remember we are going to have best time if you join us I m sure about it| [person:ryan m 1-1][person:we g(carmen:ryan) 6-6][person:ryan m 14-14][person:us g(carmen) 16-16][person:carmen f 17-17][location:place s 21-21]
ryan| Sure thank you for inviting me Let us all celebrate together| [person:carmen f 2-2][person:ryan m 5-5][person:we g(carmen:ryan) 7-7]
carmen| Cool Okay we will meet at my grandparents place See you soon take care| [person:we g(carmen:ryan) 2-2][person:carmen f 6-6][location:place s 8-8][person:ryan m 10-10]
ryan| I m excited You even take care bye| [person:ryan m 0-0][person:carmen f 3-3]

conv:task_oriented_1231_amt_97:aug_0:chat_0:chataug_0| natasha pat| [person:natasha f 0-0][person:pat m 1-1]
natasha| Hi Pat what are you doing I want to talk to you| [person:pat m 1-1][person:pat m 4-4][person:natasha f 6-6][person:pat m 11-11]
pat| Hello Natasha I am doing my office work will complete within 5 minutes tell me what is the matter| [person:natasha f 1-1][person:pat m 2-2][person:natasha f 5-5][person:pat m 14-14]
natasha| Shall we plan for the trip to Europe this summer| [person:we g(natasha:pat) 1-1][location:trip s 5-5][location:europe s 7-7]
pat| Wow That is a great idea we shall go| [person:we g(natasha:pat) 6-6]
natasha| But we don t know about what we need for the trip| [person:we g(natasha:pat) 1-1][person:we g(natasha:pat) 7-7][location:trip s 11-11]
pat| Okay shall we invite our friends Julia and Ted for dinner| [person:we g(natasha:pat) 2-2][person:we g(natasha:pat) 4-4][person:friends g() 5-5][person:julia f 6-6][person:ted m 8-8]
natasha| Okay I think it s a good idea since they can also help out with planning the itinerary for their trip| [person:natasha f 1-1][person:friends g(julia:ted) 9-9][person:friends g(julia:ted) 19-19]
pat| Yes you are right I will invite them on Saturday| [person:natasha f 1-1][person:pat m 4-4][person:friends g(julia:ted) 7-7]
natasha| Okay once you get the reply to let me know| [person:pat m 2-2][person:natasha f 8-8]
pat| Okay I will call them by this evening| [person:pat m 1-1][person:friends g(julia:ted) 4-4]

conv:task_oriented_1231_amt_98:aug_0:chat_0:chataug_0| helen kristian| [person:helen f 0-0][person:kristian m 1-1]
kristian| Hey Helen I need to talk with you about something urgently| [person:helen f 1-1][person:kristian m 2-2][person:helen f 7-7]
helen| Yeah tell me What is it Kristian| [person:helen f 2-2][person:kristian m 6-6]
kristian| Our kids Bobby and Beverly are not interested in attending the state university| [person:our g(kristian:helen) 0-0][person:kids g() 1-1][person:bobby m 2-2][person:beverly f 4-4][location:state_university s 11-12][location:university s 12-12]
helen| Then what is it they want to do| [person:they g(bobby:beverly) 4-4]
kristian| They are interested in working at the local marina| [person:they g(bobby:beverly) 0-0][location:local_marina s 7-8]
helen| Are they out of their mind They are supposed to attend the school and have a good future| [person:they g(bobby:beverly) 1-1][person:their g(bobby:beverly) 4-4][person:they g(bobby:beverly) 6-6][location:state_university s 12-12]
kristian| But I am more concerned about their overall happiness| [person:kristian m 1-1][person:their g(bobby:beverly) 6-6]
helen| How do you think they ll be happy working at the local marina| [person:kristian m 2-2][person:they g(bobby:beverly) 4-4][location:local_marina s 11-12]
kristian| It is their desire to work instead of attending school and that itself will bring them happiness| [person:their g(bobby:beverly) 2-2][location:state_university s 9-9][person:them g(bobby:beverly) 15-15]
helen| Let s see whether they ll be happy or not| [person:they g(bobby:beverly) 4-4]

conv:task_oriented_1231_amt_99:aug_0:chat_0:chataug_0| nate vince| [person:nate m 0-0][person:vince m 1-1]
nate| I hope you remember that mom s birthday is in this week| [person:nate m 0-0][person:vince m 2-2][person:mom f 5-5]
vince| Yeah I was thinking to plan a surprise for her| [person:vince m 1-1][person:mom f 9-9]
nate| This is her 50th birthday Let s take her for dinner at her favorite restaurant| [person:mom f 2-2][person:mom f 8-8][person:mom f 12-12]
vince| Fix a date after consulting with her| [person:mom f 6-6]
nate| I tried many times to contact her but can t Please let me know if you can reach her| [person:nate m 0-0][person:mom f 6-6][person:nate m 12-12][person:vince m 15-15][person:mom f 18-18]
vince| I ask dad regarding her he told me that mom is in Mexico She will be unreachable until next week| [person:vince m 0-0][person:dad m 2-2][person:mom f 4-4][person:dad m 5-5][person:vince m 7-7][person:mom f 9-9][person:mom f 13-13]
nate| Well that s really a bad news|
vince| We can celebrate after she is back| [person:we g(nate:vince) 0-0][person:mom f 4-4]
nate| Fine with me I will confirm all the plans and inform you| [person:nate m 2-2][person:nate m 3-3][person:vince m 11-11]
vince| Great I will inform dad about our plannings After a long time we will have a great time together| [person:vince m 1-1][person:dad m 4-4][person:we g(nate:vince) 6-6][person:we g(nate:vince) 12-12]

conv:task_oriented_1231_amt_100:aug_0:chat_0:chataug_0| cindy karan| [person:cindy f 0-0][person:karan m 1-1]
karan| Hello Cindy how are you doing Did you come back to the city| [person:cindy f 1-1][person:cindy f 4-4][person:cindy f 7-7][location:city s 12-12]
cindy| Hey Karan I m doing well how are you| [person:karan m 1-1][person:cindy f 2-2][person:karan m 8-8]
karan| How are aunty and uncle It s been a long time I haven t met them| [person:aunty f 2-2][person:uncle m 4-4][person:karan m 11-11][person:them g(aunty:uncle) 15-15]
cindy| They are doing good but my dad Martin is acting erratically| [person:them g(aunty:uncle) 0-0][person:cindy f 5-5][person:uncle m 6-6][person:uncle m 7-7]
karan| Oh no That s so sad to hear don t worry everything will be alright soon|
cindy| Hoping for the best to happen and thank you for your concern| [person:karan m 8-8][person:karan m 10-10]
karan| How s aunty holding the situations| [person:aunty f 2-2]
cindy| She is dealing with them and our aunt Hannah offered her to stay with her until things calm down| [person:aunty f 0-0][person:them g(aunty:uncle) 4-4][person:our g(cindy) 6-6][person:aunt f 7-7][person:aunt f 8-8][person:aunty f 10-10][person:aunt f 14-14]
karan| That was sweet of aunt Hannah and take care of your self and your parents Don t worry everything will be alright soon| [person:aunt f 4-4][person:aunt f 5-5][person:cindy f 10-10][person:cindy f 13-13][person:them g(aunty:uncle) 14-14]
cindy| Thank you for your concern again and yeah I will take care of everything Bye see you soon| [person:karan m 1-1][person:karan m 3-3][person:cindy f 8-8][person:karan m 16-16]

conv:task_oriented_1231_amt_103:aug_0:chat_0:chataug_0| mary noah| [person:mary f 0-0][person:noah m 1-1]
mary| Hey Noah What are you planning to buy for Luke this Christmas| [person:noah m 1-1][person:noah m 4-4][person:luke m 9-9]
noah| I want to buy him candies and chocolate for Christmas He loves them| [person:noah m 0-0][person:luke m 4-4][person:luke m 10-10]
mary| He has enough of it and chocolates are unhealthy for a child| [person:luke m 0-0]
noah| Then what do you suggest I should get him| [person:mary f 3-3][person:noah m 5-5][person:luke m 8-8]
mary| Why don t you look for a new winter jacket for him| [person:noah m 3-3][person:luke m 11-11]
noah| Alright that s a good idea I ll buy him that| [person:noah m 6-6][person:luke m 9-9]
mary| Yeah that s a better gift than candies and chocolates|
noah| I will look for the Amelie because she knows what to recommend for a child| [person:noah m 0-0][person:amelie f 5-5][person:amelie f 7-7]
mary| Yes I love her recommendations She will pick a nice jacket for him| [person:mary f 1-1][person:amelie f 3-3][person:amelie f 5-5][person:luke m 12-12]
noah| Yeah Luke will definitely like it| [person:luke m 1-1]

conv:task_oriented_1231_amt_104:aug_0:chat_0:chataug_0| carly georgia| [person:carly f 0-0][person:georgia f 1-1]
georgia| Hey Carly Are we still on for swing dancing tonight after work| [person:carly f 1-1][person:we g(georgia:carly) 3-3]
carly| Yes of course I wouldn t miss that for anything| [person:carly f 3-3]
georgia| Great It will be packed as tonight is supposed to be their popular night of the week|
carly| Okay in that case I would like to bring my friends Rob and Harold| [person:carly f 4-4][person:carly f 9-9][person:friends g() 10-10][person:rob m 11-11][person:harold m 13-13]
georgia| Sure I would love to meet with them It s been a while since our last outing together| [person:georgia f 1-1][person:them g(rob:harold) 7-7][person:our g(georgia:carly) 14-14]
carly| Great Do you think your car would accommodate all of us| [person:georgia f 2-2][person:georgia f 4-4][person:us g(georgia:carly:rob:harold) 10-10]
georgia| That would not be a problem unless I don t have to make multiple stops| [person:georgia f 7-7]
carly| That s okay we all are meeting at my place before we head out| [person:we g(georgia:carly:rob:harold) 3-3][person:carly f 8-8][location:place s 9-9][person:we g(georgia:carly:rob:harold) 11-11]
georgia| Sounds like a plan I will meet you all there at 600 pm then| [person:georgia f 4-4][person:carly f 7-7][location:place s 9-9]
carly| Great I can t wait for all of us to have a good time at swing dancing tonight| [person:carly f 1-1][person:us g(georgia:carly:rob:harold) 8-8]

conv:task_oriented_1231_amt_107:aug_0:chat_0:chataug_0| robert samantha| [person:robert m 0-0][person:samantha f 1-1]
samantha| Hey Robert where do you think we should go for dinner tonight| [person:robert m 1-1][person:robert m 4-4][person:we g(samantha:robert) 6-6]
robert| Hey Samantha there are so many options to pick from Why don t we choose a restaurant by the beach| [person:samantha f 1-1][person:we g(samantha:robert) 13-13][location:restaurant s 16-16][location:beach s 19-19]
samantha| Great plan We should definitely go to the new seafood restaurant near the beach| [person:we g(samantha:robert) 2-2][location:restaurant s 10-10][location:beach s 13-13]
robert| That s a good idea but I was thinking to invite our friends Willie and Caroline to come along with us and Willie may be allergic to seafood| [person:robert m 6-6][person:we g(samantha:robert) 11-11][person:friends g() 12-12][person:willie m 13-13][person:caroline f 15-15][person:we g(samantha:robert) 20-20]
samantha| Awesome I haven t met them in a long time I do remember that last time Willie became very sick after eating seafood| [person:samantha f 1-1][person:friends g(willie:caroline) 5-5][person:samantha f 10-10][person:willie m 16-16]
robert| Yes So let s just pick another restaurant in that same area| [location:restaurant s 7-7]
samantha| I think we should go to an Italian restaurant| [person:samantha f 0-0][person:we g(samantha:robert) 2-2][location:restaurant s 8-8]
robert| I m fine with that but Caroline is on a lowcarb diet so Italian may not be a great idea for her Why don t we go to the steakhouse there I have yet to try that place| [person:robert m 0-0][person:caroline f 6-6][person:caroline f 21-21][person:we g(samantha:robert) 25-25][person:robert m 31-31]
samantha| Oh That sounds cool I haven t had steak in a long time| [person:samantha f 4-4]
robert| Sounds like a plan then I ll book a table for us four there at 800 pm| [person:robert m 5-5][person:we g(samantha:robert:willie:caroline) 11-11][location:beach s 13-13]

conv:task_oriented_1231_amt_108:aug_0:chat_0:chataug_0| dennis ollie| [person:dennis m 0-0][person:ollie m 1-1]
ollie| Hey Dennis How are you doing| [person:dennis m 1-1][person:dennis m 4-4]
dennis| I m good thank you and what about you Have you noticed that Patty and Cecil are spending a lot of time together| [person:dennis m 0-0][person:ollie m 4-4][person:ollie m 8-8][person:ollie m 10-10][person:patty f 13-13][person:cecil f 15-15]
ollie| Yes I have noticed that Isn t that nice| [person:ollie m 1-1]
dennis| Why would you say so| [person:ollie m 2-2]
ollie| I think it would be nice if our girlfriends got to know each other| [person:ollie m 0-0][person:our g(ollie:dennis) 7-7]
dennis| But I don t think it s a nice idea| [person:dennis m 1-1]
ollie| Why not If they become good friends we could go on double dates That would be so nice| [person:they g(patty:cecil) 3-3][person:friends g(patty:cecil) 6-6][person:we g(ollie:dennis:patty:cecil) 7-7]
dennis| What if they start sharing our secrets and spoil our friendship| [person:they g(patty:cecil) 2-2][person:our g(ollie:dennis:patty:cecil) 5-5][person:our g(ollie:dennis:patty:cecil) 9-9]
ollie| I think we share a strong bond Nobody can spoil our friendship| [person:ollie m 0-0][person:we g(ollie:dennis:patty:cecil) 2-2][person:our g(ollie:dennis:patty:cecil) 10-10]
dennis| Yeah you re right I was just overthinking the situation| [person:ollie m 1-1][person:dennis m 4-4]

conv:task_oriented_1231_amt_111:aug_0:chat_0:chataug_0| jerry robert| [person:jerry m 0-0][person:robert m 1-1]
robert| Hey Jerry Have you seen my calculator| [person:jerry m 1-1][person:jerry m 3-3][person:robert m 5-5]
jerry| Yes Robert I noticed you left it at the study group at Nolan s house| [person:robert m 1-1][person:jerry m 2-2][person:robert m 4-4][location:it s 6-6][person:nolan m 12-12]
robert| Thank God I didn t lose it I ve been searching for it| [person:robert m 2-2][location:it s 6-6][person:robert m 7-7][location:it s 12-12]
jerry| Nolan and I gave it to Jasmine so she could give it to you because she said she was seeing you first thing tomorrow in homeroom| [person:nolan m 0-0][person:jerry m 2-2][person:jasmine f 6-6][person:jasmine f 8-8][person:robert m 13-13][person:jasmine f 15-15][person:jasmine f 17-17][person:robert m 20-20]
robert| Actually I m seeing Nolan tonight at soccer practice I wonder if he forgot about that| [person:robert m 1-1][person:nolan m 4-4][person:robert m 9-9][person:nolan m 12-12]
jerry| Yeah he must have forgotten You should remind him about it You can take your calculator from Jasmine tomorrow| [person:nolan m 1-1][person:robert m 5-5][person:nolan m 8-8][location:it s 10-10][person:robert m 11-11][person:robert m 14-14][person:jasmine f 17-17]
robert| Yes that s fine Tomorrow morning is soon enough I don t need the calculator until then| [person:robert m 9-9]
jerry| You are right You don t have homework anyway| [person:robert m 0-0][person:robert m 3-3]
robert| Yes Thank you so much for your help Jerry I ll meet you tomorrow after school| [person:jerry m 2-2][person:jerry m 6-6][person:jerry m 8-8][person:robert m 9-9][person:jerry m 12-12][location:school s 15-15]
jerry| No problem It s a pleasure to help you See you tomorrow| [location:it s 2-2][person:robert m 8-8][person:robert m 10-10]

conv:task_oriented_1231_amt_114:aug_0:chat_0:chataug_0| joan mark| [person:joan f 0-0][person:mark m 1-1]
joan| Hey Mark I want to get my nails done today Do you want to come along| [person:mark m 1-1][person:joan f 2-2][person:joan f 6-6][person:mark m 11-11]
mark| Hey Mark I would love to come along with you| [person:mark m 1-1][person:mark m 2-2][person:joan f 9-9]
joan| Great We shall go after school is done| [person:we g(joan:mark) 1-1]
mark| Sounds good to me I m not sure what colors to get though| [person:mark m 3-3][person:mark m 4-4]
joan| Me neither We should talk to Russell and his girlfriend Betty about the colors| [person:joan f 0-0][person:we g(joan:mark) 2-2][person:russell m 6-6][person:russell m 8-8][person:betty f 9-9][person:betty f 10-10]
mark| Okay Why do you think they can help us with that| [person:joan f 3-3][person:they g(russell:betty) 5-5][person:us g(joan:mark:russell:betty) 8-8]
joan| They both dress very well and are always in pretty colored clothes| [person:they g(russell:betty) 0-0]
mark| Sounds great to me When are you going to ask them| [person:mark m 3-3][person:joan f 6-6][person:them g(russell:betty) 10-10]
joan| They are in the next class with us We can do that then| [person:they g(russell:betty) 0-0][person:us g(joan:mark:russell:betty) 7-7][person:we g(joan:mark:russell:betty) 8-8]
mark| Okay I m really excited about getting our nails done later| [person:mark m 1-1][person:our g(russell:betty) 7-7]

conv:task_oriented_1231_amt_116:aug_0:chat_0:chataug_0| brad brian| [person:brad m 0-0][person:brian m 1-1]
brad| Hey Brian where do you think we should go to play golf next week| [person:brian m 1-1][person:brian m 4-4][person:we g(brad:brian) 6-6]
brian| Hi Brad I know of a gold course in a neighboring town which should be fun What do you say| [person:brad m 1-1][person:brian m 2-2][location:gold_course s 6-7][location:town s 11-11][person:brad m 18-18]
brad| That sounds great but it s too far I have plans for that evening| [person:brad m 8-8]
brian| Oh okay Then we should just go to where we went last time which is closer to us| [person:we g(brad:brian) 3-3][location:where s 8-8][person:we g(brad:brian) 9-9][person:we g(brad:brian) 17-17]
brad| Yeah that would be perfect We could be back by evening| [person:we g(brad:brian) 5-5]
brian| Sounds great then By the way what plans do you have in the evening| [person:brad m 9-9]
brad| I have a date planned with my girlfriend Emma| [person:brad m 0-0][person:brad m 6-6][person:emma f 7-7][person:emma f 8-8]
brian| Nice That sounds like fun I m jealous| [person:brian m 5-5]
brad| You know what I could call Emma s friend Keira if you want to join us| [person:brian m 0-0][person:brad m 3-3][person:emma f 6-6][person:keira f 8-8][person:keira f 9-9][person:brian m 11-11][person:us g(brad:emma) 15-15]
brian| Sounds like a plan Yes I would love to join you guys| [person:brian m 5-5][person:us g(brad:emma) 10-10]

conv:task_oriented_1231_amt_117:aug_0:chat_0:chataug_0| darlene jody| [person:darlene f 0-0][person:jody f 1-1]
darlene| Jody have you completed your Christmas shopping| [person:jody f 0-0][person:jody f 2-2][person:jody f 4-4]
jody| Yes Darlene I ve finished shopping for myself but I m planning to shop for my boyfriend| [person:darlene f 1-1][person:jody f 2-2][person:jody f 7-7][person:jody f 9-9][person:jody f 15-15]
darlene| I ve neither completed shopping for myself nor for my boyfriend| [person:darlene f 0-0][person:darlene f 6-6][person:darlene f 9-9]
jody| Well in that case you need to hurry up because Christmas is already approaching| [person:jody f 4-4]
darlene| I need your help Jody I m so confused about shopping for my boyfriend| [person:darlene f 0-0][person:jody f 2-2][person:jody f 4-4][person:darlene f 5-5][person:darlene f 12-12]
jody| Even I m so confused in that case Darlene| [person:jody f 1-1][person:darlene f 8-8]
darlene| What do we do We need someone to help us in picking up gifts for them| [person:we g(darlene:jody) 2-2][person:we g(darlene:jody) 4-4][person:someone u 6-6][person:we g(darlene:jody) 9-9][person:them g() 15-15]
