conv:people_2019082201_69:aug_0:chat_0:chataug_0| ivan lawrence| [person:ivan m 0-0][person:lawrence m 1-1]
albert| The back parking lot is better|
derrick| Michael will be there at 530 in back He has a black Camaro| [person:michael m 0-0][location:there u 3-3][person:michael m 8-8]
albert| Thanks Looking forward to dinner and drinks|
derrick| Me too See ya soon| [person:derrick m 0-0]

conv:people_2019082201_175:aug_0:chat_0:chataug_0| greg stephen| [person:greg m 0-0][person:stephen m 1-1]
stephen| So are you ready to lose all your money to me again| [person:greg m 2-2][person:greg m 7-7][person:stephen m 10-10]
greg| Fat chance I m taking everyone s money tonight| [person:greg m 2-2][person:everyone g() 5-5]
stephen| We should probably bring some snacks and beverages What do the Smith s like| [person:we g(stephen:greg) 0-0][person:smith g() 11-11]
greg| I was going to ask you the same thing I have no clue| [person:greg m 0-0][person:stephen m 5-5][person:greg m 9-9]
stephen| Probably just some beer and chips would be fine|
greg| I wonder what kind of beer they drink They seem like hipsters so probably something that costs 15 a six pack| [person:greg m 0-0][person:smith g() 6-6][person:smith g() 8-8]
stephen| Actually Nate is really good friends with them He might know| [person:nate m 1-1][person:friends g() 5-5][person:smith g() 7-7][person:nate m 8-8]
greg| Oh that is a great idea I ll give Nate a call| [person:greg m 6-6][person:nate m 9-9]
stephen| Be sure to ask him about food too I think the Smith s might be vegetarian and gluten free| [person:nate m 4-4][person:smith g() 8-8][person:smith g() 11-11]
greg| Ha of course they would be I m going to enjoy cleaning them out tonight| [person:smith g() 3-3][person:greg m 6-6][person:smith g() 12-12]

conv:people_2019082201_176:aug_0:chat_0:chataug_0| greg tony| [person:greg m 0-0][person:tony m 1-1]
greg| So my brother and his friend will be visiting me next week| [person:greg m 1-1][person:brother m 2-2][person:brother m 4-4][person:friend u 5-5][person:greg m 9-9]
greg| They re really into football and were hoping to watch the Superbowl at some cool sports bar closeby| [person:they g(brother:friend) 0-0][location:sports_bar s 15-16]
greg| As you know I ve barley heard of sports So I was hoping you d know some place| [person:tony m 1-1][person:greg m 3-3][person:greg m 10-10][person:tony m 13-13][location:place s 17-17]
tony| That s sounds like so much fun|
tony| There s always the Tiki Bar It s Hawaaian themed It s a lot of fun and they have great TVs| [location:tiki_bar s 0-0][location:tiki_bar s 4-5][location:bar s 5-5][location:bar s 6-6][location:bar s 10-10][person:they g() 17-17]
greg| I ve heard that place good bad reviews about their food I have to go too and I m there just for the food| [person:greg m 0-0][location:bar s 4-4][person:they g() 9-9][person:greg m 11-11][person:greg m 17-17]
tony| Yeah their food is pretty bad| [person:they g() 1-1]
tony| What about Quinn s they ve got great food and drinks| [person:they g() 4-4]
greg| Hmm I think that might work for all of us| [person:greg m 1-1][person:us g(greg:tony:brother:friend) 9-9]
tony| Great Glad I could help| [person:tony m 2-2]
greg| Want to come out with us I think you d enjoy it too| [person:us g(greg:tony:brother:friend) 5-5][person:greg m 6-6][person:tony m 8-8]
tony| Sure I d love to Thanks for asking| [person:tony m 1-1]

conv:people_2019082201_177:aug_0:chat_0:chataug_0| dylan teresa| [person:dylan m 0-0][person:teresa f 1-1]
dylan| So your all set for the party this week at our place| [person:teresa f 1-1][person:our g(dylan:teresa) 10-10][location:place s 11-11]
teresa| Mostly ready we still haven t invited either the Bryants or the Winstons to the party| [person:we g(dylan:teresa) 2-2][person:bryants g() 9-9][person:winstons g() 12-12]
dylan| Oh I had almost forgotten I think they should be able to make it this weekend in the afternoon| [person:dylan m 1-1][person:dylan m 5-5][person:they g() 7-7]
teresa| If I recall correctly they don t work on the weekends usually unless they are called in for overtime| [person:teresa f 1-1][person:they g() 4-4][person:they g() 13-13]
dylan| Then they should have no problem making it for Saturday at 5 pm right| [person:they g() 1-1]
teresa| Sounds reasonable we should still invite them as soon as possible so they can make it to the party without much hassle| [person:we g(dylan:teresa) 2-2][person:them g() 6-6][person:they g() 12-12]
dylan| Agreed do you have their phone numbers or someway to contact them| [person:teresa f 2-2][person:their g() 4-4][person:them g() 11-11]
teresa| I do have the phone number of the Bryant s house I can call them later today to invite them to the party| [person:teresa f 0-0][person:bryants g() 8-8][location:house s 10-10][person:teresa f 11-11][person:bryants g() 14-14][person:bryants g() 19-19]
dylan| In that case I will try to invite the Winstons today to the party I ll call them in the afternoon| [person:dylan m 3-3][person:winstons g() 9-9][person:dylan m 14-14][person:winstons g() 17-17]
teresa| Sounds good be sure to give them the details of the party and directions if they need it| [person:them g() 6-6][person:they g() 15-15]
dylan| Of course although I think they both should know how to get to our place with no problem whatsoever| [person:dylan m 3-3][person:they g() 5-5][person:our g(dylan:teresa) 13-13][location:place s 14-14]

conv:people_2019082201_179:aug_0:chat_0:chataug_0| robert stanley| [person:robert m 0-0][person:stanley m 1-1]
robert| I can t wait for the Super Bowl this weekend it s going to be great| [person:robert m 0-0]
stanley| I feel the same We need to decide where we will watch the game| [person:stanley m 0-0][person:we g(robert:stanley) 4-4][person:we g(robert:stanley) 9-9]
robert| That s true It s going to be the four of us right Arthur and Tommy have said they re going| [person:us g(robert:stanley) 11-11][person:arthur m 13-13][person:tommy m 15-15][person:they g(arthur:tommy) 18-18]
stanley| Yes that s right It would be better if we went somewhere but it needs to be convenient to get to for all of us| [person:we g(robert:stanley) 9-9][person:us g(robert:stanley) 24-24]
robert| Hmm Arthur lives on the west side of town and Tommy lives north of downtown| [person:arthur m 1-1][location:town s 8-8][person:tommy m 10-10][location:downtown s 14-14]
stanley| There are some good sports bars up on the northwest side that would be pretty easy for them to get to| [location:northwest_side s 0-0][location:bars g() 5-5][location:northwest_side s 9-10][person:them g(arthur:tommy) 17-17]
robert| And since we re neighbors we can both get on the train The station is a couple of blocks from here and it can get to the northwest side pretty quickly| [person:we g(robert:stanley) 2-2][person:neighbors g(robert:stanley) 4-4][person:we g(robert:stanley) 5-5][location:station s 13-13][location:here u 20-20]
stanley| That works well for everyone I think Okay there are going to be a lot of people out that day so I think we should go to the sports bar on the corner of Western and Grand it s huge and has all kinds of food perfect for watching the game| [person:everyone g(robert:stanley:arthur:tommy) 4-4][person:stanley m 5-5][person:stanley m 21-21][person:we g(robert:stanley) 23-23][location:sports_bar s 28-29][location:western_and_grand s 34-36]
robert| Yeah I know that place I ve been there a few times The food and service are really good| [person:robert m 1-1][location:sports_bar s 4-4][person:robert m 5-5][location:sports_bar s 8-8]
stanley| Okay let s get in touch with Arthur and Tommy to confirm it I know Tommy will like the sports bar and Arthur always goes along with what Tommy wants to do| [person:arthur m 7-7][person:tommy m 9-9][person:stanley m 13-13][person:tommy m 15-15][location:sports_bar s 19-20][person:arthur m 22-22][person:tommy m 28-28]

conv:people_2019082201_180:aug_0:chat_0:chataug_0| clyde susie| [person:clyde m 0-0][person:susie f 1-1]
clyde| Hey Susie We should have a dinner party What do you think| [person:susie f 1-1][person:we g(clyde:susie) 2-2][person:susie f 10-10]
susie| I think that s a good idea Clyde Who should we invite| [person:susie f 0-0][person:clyde m 7-7][person:we g(clyde:susie) 10-10]
clyde| How about the Johnsons They always appreciate good food And they are great conversationalists| [person:johnsons g() 3-3][person:johnsons g() 4-4][person:johnsons g() 10-10]
susie| So true Let get the Andersons to come too They always appreciate good wine and they laugh at everyones jokes| [person:andersons g() 5-5][person:andersons g() 9-9][person:andersons g() 15-15]
clyde| I think those two points of yours are related But that s a good idea Everyone should get along| [person:clyde m 0-0][person:susie f 6-6][person:everyone g() 15-15]
susie| Yeah How about this Friday night Is that good for you| [person:clyde m 10-10]
clyde| I have yoga on Friday Lets make it Saturday instead The Andersons usually work late on weekdays anyway| [person:clyde m 0-0][person:andersons g() 11-11]
susie| OK Can you confirm with them then I ll get in touch with everyone else| [person:clyde m 2-2][person:andersons g() 5-5][person:susie f 7-7][person:johnsons g() 13-13]
clyde| You got it I ll try to let you know by tonight| [person:susie f 0-0][person:clyde m 3-3][person:susie f 8-8]
susie| Ok cool Make sure they know we are at the summer house They may go to the city instead| [person:andersons g() 4-4][person:we g(clyde:susie) 6-6][location:house s 11-11][person:andersons g() 12-12][location:city s 17-17]
clyde| Oh yeah Thanks for the reminder We could ve easily sent them to an empty pad| [person:we g(clyde:susie) 6-6][person:andersons g() 11-11]

conv:people_2019082201_181:aug_0:chat_0:chataug_0| april dennis| [person:april f 0-0][person:dennis m 1-1]
april| We have to figure out the picnic plans| [person:we g(april:dennis) 0-0]
dennis| Okay let s divide and conquer Usually picnic fare or something else|
april| Well Janet Andrew and Kayla eat meat but Albert does not| [person:janet f 1-1][person:andrew m 2-2][person:kayla f 4-4][person:albert m 8-8]
dennis| OK we could get a separate sandwich fixings for Albert without meat Does he eat dairy| [person:we g(april:dennis) 1-1][person:albert m 9-9][person:albert m 13-13]
april| Yes so cheeses would be good|
dennis| Maybe a veggie tray too for all What about drinks|
april| I don t think Janet drinks alcohol but we ll have water and soda| [person:april f 0-0][person:janet f 4-4][person:we g(april:dennis) 8-8]
dennis| Any idea about wine or beer|
april| Andrew and Kayla love white wine| [person:andrew m 0-0][person:kayla f 2-2]
dennis| Done I ll get a big cooler and fill it with ice water soda and some white wine Anything else| [person:dennis m 1-1]
april| I ll get the bread and the rest of the sandwich fixings and chips Sounds good| [person:april f 0-0]
dennis| Paper plates and utensils and we are all set| [person:we g(april:dennis) 5-5]

conv:people_2019082201_184:aug_0:chat_0:chataug_0| justin keith| [person:justin m 0-0][person:keith m 1-1]
justin| Hey Keith how have you been| [person:keith m 1-1][person:keith m 4-4]
keith| Great What s going on|
justin| Do you remember my friend s Bryan Davis and Charles Greene| [person:keith m 1-1][person:justin m 3-3][person:friend g() 4-4][person:bryan m 6-6][person:charles m 9-9]
keith| I sure do They were fun to get to know at your sister s wedding How are they doing| [person:keith m 0-0][person:they g(bryan:charles) 3-3][person:justin m 11-11][person:sister f 12-12][person:they g(bryan:charles) 17-17]
justin| Well they are going to be in Las Vegas the week after next and I was wondering if you would have time to go out with them one night| [person:they g(bryan:charles) 1-1][location:las_vegas s 7-8][person:justin m 14-14][person:keith m 18-18][person:them g(bryan:charles) 26-26]
keith| I can take a couple of days and show them around if they would like We could go to the casino s one night and I could take them to see Lake Mead| [person:keith m 0-0][person:them g(bryan:charles) 9-9][person:they g(bryan:charles) 12-12][person:we g(justin:keith) 15-15][person:keith m 25-25][person:them g(bryan:charles) 28-28]
justin| That would be awesome I m sure they would love to see Lake Mead They are really into water sports| [person:justin m 4-4][person:they g(bryan:charles) 7-7][location:lake_mead s 12-13][person:they g(bryan:charles) 14-14]
keith| Do you think they would like to go to the casino s too| [person:justin m 1-1][person:they g(bryan:charles) 3-3][location:casino g() 10-10]
justin| I don t think they ve ever been to a casino| [person:justin m 0-0][person:they g(bryan:charles) 4-4][location:casino s 10-10]
keith| I ll just ask them when they get here We could start off with the blackjack tables and the slot machines| [person:keith m 0-0][person:them g(bryan:charles) 4-4][person:they g(bryan:charles) 6-6][location:las_vegas s 8-8][person:we g(justin:keith) 9-9]
justin| They would probably appreciate that| [person:they g(bryan:charles) 0-0]
keith| There are a few shows they might be interested in Do you think they would like to see one of the Cirque de soleil shows| [person:they g(bryan:charles) 5-5][person:justin m 11-11][person:they g(bryan:charles) 13-13]
justin| I m sure they would both enjoy that They were both on the college gymnastics team so that would be something that they would like| [person:justin m 0-0][person:they g(bryan:charles) 3-3][person:they g(bryan:charles) 8-8][location:college s 13-13][person:they g(bryan:charles) 22-22]
keith| Okay Sounds like a plan Just send me their information I d love to show them around my hometown| [person:keith m 7-7][person:their g(bryan:charles) 8-8][person:keith m 10-10][person:them g(bryan:charles) 15-15][person:keith m 17-17][location:hometown s 18-18]
justin| Thanks a lot Keith They were wondering what they should do there I m glad you ll show them the sights| [person:keith m 3-3][person:they g(bryan:charles) 4-4][person:they g(bryan:charles) 8-8][location:las_vegas s 11-11][person:justin m 12-12][person:keith m 15-15][person:them g(bryan:charles) 18-18]
keith| Not a problem I m happy to do it Talk to you soon Bye| [person:keith m 3-3][person:justin m 11-11]
justin| Thanks Keith Bye| [person:keith m 1-1]

conv:people_2019082201_185:aug_0:chat_0:chataug_0| christopher ethan| [person:christopher m 0-0][person:ethan m 1-1]
ethan| Hey How are you| [person:christopher m 3-3]
christopher| Hey I am good How about you| [person:christopher m 1-1][person:ethan m 6-6]
ethan| I m good too| [person:ethan m 0-0]
ethan| You know my friends Craig and Steve Actually they are visiting Los Angeles| [person:christopher m 0-0][person:ethan m 2-2][person:friends g(ethan:christopher) 3-3][person:craig m 4-4][person:steve m 6-6][person:they g(craig:steve) 8-8][location:los_angeles s 11-12]
christopher| Oh I know When are they coming| [person:christopher m 1-1][person:they g(craig:steve) 5-5]
ethan| They are coming next week Can you help me| [person:they g(craig:steve) 0-0][person:christopher m 6-6][person:ethan m 8-8]
christopher| Yeah sure|
ethan| Can you just take them and show them around there| [person:christopher m 1-1][person:them g(craig:steve) 4-4][person:them g(craig:steve) 7-7][location:los_angeles s 9-9]
christopher| Sure What do they like| [person:they g(craig:steve) 3-3]
ethan| Take them to Italian and Chinese cuisine restaurants| [person:them g(craig:steve) 1-1][location:restaurants g() 7-7]
ethan| They like music and sports events| [person:they g(craig:steve) 0-0]
ethan| Show them some popular places there| [person:them g(craig:steve) 1-1][location:places g() 4-4][location:los_angeles s 5-5]
christopher| Okay sure|
ethan| Ok thank you so much| [person:christopher m 2-2]
ethan| See you then| [person:christopher m 1-1]
christopher| Bye|

conv:people_2019082201_186:aug_0:chat_0:chataug_0| cynthia howard| [person:cynthia f 0-0][person:howard m 1-1]
howard| What are you up to this weekend| [person:cynthia f 2-2]
cynthia| Not a lot What about you| [person:howard m 5-5]
howard| Im having a few friends over for a BBQ on Saturday You should come| [person:friends g() 4-4][person:cynthia f 11-11]
cynthia| That sounds fun Who s goung to be there|
howard| Lisa Carol and Keith They all work the same shift with me| [person:lisa f 0-0][person:carol f 1-1][person:keith m 3-3][person:they g(lisa:carol:keith) 4-4][person:howard m 11-11]
howard| I think you have met them before| [person:howard m 0-0][person:cynthia f 2-2][person:them g(lisa:carol:keith) 5-5]
cynthia| I dont remember them| [person:cynthia f 0-0][person:them g(lisa:carol:keith) 3-3]
cynthia| I appreciate the invite but dont want to crash your work party| [person:cynthia f 0-0][person:howard m 9-9]
howard| I want you to come you would like them| [person:howard m 0-0][person:cynthia f 2-2][person:cynthia f 5-5][person:them g(lisa:carol:keith) 8-8]
cynthia| You know how shy i get when i don t know anyone| [person:howard m 0-0][person:cynthia f 4-4][person:cynthia f 7-7][person:anyone u 11-11]
howard| You and Carol have a lot in common She s a runner too You could talk about your marathon next month| [person:cynthia f 0-0][person:carol f 2-2][person:carol f 8-8][person:cynthia f 13-13][person:cynthia f 17-17]
howard| Lisa and Keith are really chill and easy to talk to| [person:lisa f 0-0][person:keith m 2-2]
cynthia| I ll think about it| [person:cynthia f 0-0]
howard| I m making bbq ribs You know you want some| [person:howard m 0-0][person:cynthia f 5-5][person:cynthia f 7-7]
cynthia| Lol Ok I ll try to stop by| [person:cynthia f 2-2]
cynthia| What time|
howard| They are comimg over at 300 and we ll probably eat at 500| [person:they g(lisa:carol:keith) 0-0][person:we g(howard:lisa:carol:keith) 7-7]
cynthia| Ok Do you want me to bring anything| [person:howard m 2-2][person:cynthia f 4-4]
howard| No just yourself| [person:cynthia f 2-2]
cynthia| I will bring some drinks See you then| [person:cynthia f 0-0][person:howard m 6-6]
howard| Awesome I think you will really like the gang| [person:howard m 1-1][person:cynthia f 3-3]

conv:people_2019082201_188:aug_0:chat_0:chataug_0| jacqueline virginia| [person:jacqueline f 0-0][person:virginia f 1-1]
jacqueline| I am so excited for our weekend trip| [person:jacqueline f 0-0][person:our g(jacqueline:virginia) 5-5][location:trip s 7-7]
virginia| oh yeah me too i am so excited too| [person:jacqueline f 2-2][person:virginia f 4-4]
jacqueline| Do you think we should invite Lara Grace and Debra| [person:virginia f 1-1][person:we g(jacqueline:virginia) 3-3][person:lara f 6-6][person:grace f 7-7][person:debra f 9-9]
virginia| Oh yeah sure it will be fun|
jacqueline| But where should we go we only have very limit ticket to the park| [person:we g(jacqueline:virginia:lara:grace:debra) 3-3][person:we g(jacqueline:virginia:lara:grace:debra) 5-5][location:park s 13-13]
virginia| Yea that s a good point and we dont know what everyone likes too| [person:we g(jacqueline:virginia:lara:grace:debra) 7-7][person:everyone g() 11-11]
jacqueline| Maybe we should talk to them individually and decide from there| [person:we g(jacqueline:virginia:lara:grace:debra) 1-1]
virginia| Yea i think that will be a good idea| [person:virginia f 1-1]
jacqueline| Lets find out from them first and we will decide| [person:we g(virginia) 7-7]
virginia| Ok cool i will call up the grils and let you know| [person:virginia f 2-2][person:virginia f 10-10]
jacqueline| sounds like a plan|

conv:people_2019082201_189:aug_0:chat_0:chataug_0| howard tyler| [person:howard m 0-0][person:tyler m 1-1]
tyler| Hey Howard how are you today| [person:howard m 1-1][person:howard m 4-4]
howard| I m good just trying to figure out who to invite to the movie between Ronald Rodger and Matt| [person:howard m 0-0][person:ronald m 15-15][person:rodger m 16-16][person:matt m 18-18]
tyler| Oh yeah that s a good question Who do you want to invite| [person:howard m 9-9]
howard| I think Ronald and Rodger would enjoy it more than Matt| [person:howard m 0-0][person:ronald m 2-2][person:rodger m 4-4][person:matt m 10-10]
tyler| I don t know Matt really loves scifi movies| [person:tyler m 0-0][person:matt m 4-4]
howard| That s true but he doesn t really like Ronald that much| [person:matt m 4-4][person:ronald m 9-9]
tyler| That s fine they don t have to sit next to each other or anything I ll reach out to Matt| [person:ronald_and_matt g(ronald:matt) 3-3][person:tyler m 15-15][person:matt m 20-20]
howard| Okay I ll invite Ronald and Rodger| [person:howard m 1-1][person:ronald m 4-4][person:rodger m 6-6]
tyler| Cool let s meet there at 5|
howard| Alright see you then| [person:tyler m 2-2]

conv:people_2019082201_190:aug_0:chat_0:chataug_0| christian russell| [person:christian m 0-0][person:russell m 1-1]
christian| Hi dear are you free now| [person:russell m 3-3]
russell| Hi Yes I am free now Anything important| [person:russell m 2-2]
christian| We have planned to meet next week to play basketball Do you remember it| [person:we g(christian:russell) 0-0][person:russell m 11-11]
russell| Yes dear I remember it Any problem| [person:russell m 2-2]
christian| Yes dear One of our friends Samuel tole me that he can join with us after 6 pm| [person:our g(christian) 4-4][person:friends g(christian) 5-5][person:samuel m 6-6][person:christian m 8-8][person:samuel m 10-10][person:us g(christian:russell) 14-14]
russell| 6 pm Oh sorry dear The court will not be available at that time More teams will play at that time and we will not have any court to play| [person:we g(christian:russell) 22-22]
christian| Oh My God Do you have any other idea Definitely we have to play on that day Think some other options dear| [person:christian m 1-1][person:russell m 4-4][person:we g(christian:russell) 10-10]
russell| Shall we move to central court It will be free I think| [person:we g(christian:russell) 1-1][person:russell m 10-10]
christian| No dear It is also fully occupied at that time I know that| [person:christian m 10-10]
russell| Let us do one thing What about Ben s place| [person:us g(christian:russell) 1-1][person:ben m 7-7][location:place s 9-9]
christian| It is a good idea Is it free at that time| [location:place s 6-6]
russell| Yes He already told me once that the court will be free at that time| [person:ben m 1-1][person:russell m 4-4]
christian| Nice idea But it is too far for you Will you manage to come over there| [location:place s 3-3][person:russell m 8-8][person:russell m 10-10][location:place s 15-15]
russell| No problem for me dear I will be there at time| [person:russell m 3-3][person:russell m 5-5][location:place s 8-8]
christian| Bye dear|

conv:people_2019082201_192:aug_0:chat_0:chataug_0| catherine david| [person:catherine f 0-0][person:david m 1-1]
david| Hey Catherine do you want to hang out with me and my friend this weekend| [person:catherine f 1-1][person:catherine f 3-3][person:david m 9-9][person:david m 11-11][person:them g() 12-12]
catherine| I don t know Who all is going| [person:catherine f 0-0]
david| Evelyn Charlotte Sam and I| [person:evelyn f 0-0][person:sam m 2-2][person:david m 4-4]
catherine| I don t know them at all| [person:catherine f 0-0][person:them g(evelyn:sam) 4-4]
david| That s ok They are all very kind Sam is a joker he iwll make you laugh| [person:them g(evelyn:sam) 3-3][person:sam m 8-8][person:sam m 12-12][person:catherine f 15-15]
catherine| I would feel out of place| [person:catherine f 0-0][location:place s 5-5]
david| Evelyn and Charlotte don t know many around here so I m sure they would love to meet you| [person:evelyn f 0-0][location:here u 8-8][person:david m 10-10][person:they g(evelyn) 13-13][person:catherine f 18-18]
catherine| I don t know David I feel funny about it| [person:catherine f 0-0][person:david m 4-4][person:catherine f 5-5]
david| Oh come on it will be lots of fun I promise| [person:david m 9-9]
catherine| Well I guess it wouldn t hurt to give it a try| [person:catherine f 1-1]

conv:people_2019082201_193:aug_0:chat_0:chataug_0| amy danielle| [person:amy f 0-0][person:danielle f 1-1]
amy| Hey Danielle I have some bad news I ran into Ralph this morning and he said him and Elizabeth can t go to dinner this week| [person:danielle f 1-1][person:amy f 2-2][person:amy f 7-7][person:ralph m 10-10][person:ralph m 14-14][person:ralph m 16-16][person:elizabeth f 18-18]
danielle| I was really looking forward to dinner with the Clarks| [person:danielle f 0-0]
amy| Yeah it s a bummer We can still go out if you want to| [person:we g(amy:danielle) 5-5][person:danielle f 11-11]
danielle| Yeah that would be good Do you want to keep the reservation at the restaurant| [person:amy f 6-6][location:restaurant s 14-14]
amy| I was thinking of trying that new sushi place Elizabeth is allergic to fish so that was off the table| [person:amy f 0-0][location:place s 8-8][person:elizabeth f 9-9]
danielle| Yeah we can do that I ve been wanting to go there| [person:we g(amy:danielle) 1-1][person:danielle f 5-5][location:place s 11-11]
amy| Okay I ll make the reservation Same time as when we were going to meet the Clarks| [person:amy f 1-1][person:we g(amy:danielle) 10-10]
danielle| Same time would be perfect Or a little earlier if you can| [person:amy f 10-10]
amy| I can do a little earlier Like 30 minutes earlier| [person:amy f 0-0]
danielle| Yeah that would be great see you then| [person:amy f 6-6]

conv:people_2019082201_194:aug_0:chat_0:chataug_0| james zachary| [person:james m 0-0][person:zachary m 1-1]
zachary| Hey so you know the world series is coming up right| [person:james m 2-2]
james| Yeah we should go somewhere to watch it| [person:we g(zachary:james) 1-1]
zachary| Yeah but my brother Gary and his friend Vincent are staying with me right now| [person:zachary m 2-2][person:gary m 3-3][person:gary m 4-4][person:gary m 6-6][person:vincent m 7-7][person:vincent m 8-8][person:zachary m 12-12]
james| That s ok you can bring them too| [person:zachary m 3-3][person:them g(gary:vincent) 6-6]
zachary| Ok great Where do you think we should go| [person:james m 4-4][person:we g(zachary:james) 6-6]
james| There s a nice bar nearby just around the corner we should go there| [location:bar s 4-4][person:we g(zachary:james) 10-10][location:bar s 13-13]
zachary| Sounds good so when should we meet| [person:we g(zachary:james) 5-5]
james| I don t know talk to the others and ask what time is ok for them| [person:james m 0-0][person:them g(gary:vincent) 7-7][person:them g(gary:vincent) 15-15]
zachary| Ok I will Looking forward to it| [person:zachary m 1-1]
james| Me too We will talk soon| [person:james m 0-0][person:we g(zachary:james) 2-2]

conv:people_2019082201_196:aug_0:chat_0:chataug_0| rodger rusell| [person:rodger m 0-0][person:rusell m 1-1]
rodger| Hey Rusell would you like go watch a movie tomorrow| [person:rusell m 1-1][person:rusell m 3-3]
rusell| I thought you d never ask There s that new superhero movie that i really wanted to watch| [person:rusell m 0-0][person:rodger m 2-2][person:rusell m 13-13]
rodger| Exactly The movie is revolutionary It s beautiful what they ve created| [person:they g() 9-9]
rusell| I know right Would you mind if I invited Melinda and Keith| [person:rusell m 0-0][person:rodger m 4-4][person:rusell m 7-7][person:melinda f 9-9][person:keith m 11-11]
rodger| I don t see why not I was discussing the movie with them earlier today Sounds like a blast| [person:rodger m 0-0][person:rodger m 6-6][person:them g(melinda:keith) 12-12]
rusell| What kind of theater should we go to| [location:theater s 3-3][person:we g(rodger:rusell:melinda:keith) 5-5]
rodger| We should most definitely go to a place that has an IMAX| [person:we g(rodger:rusell:melinda:keith) 0-0][location:theater s 7-7][location:theater s 11-11]
rusell| What about the mall on Kitington Street| [location:mall s 3-3][location:street s 6-6]
rodger| Works for me Ask Melinda and Keith if they are ok with it| [person:rodger m 2-2][person:melinda f 4-4][person:keith m 6-6][person:them g(melinda:keith) 8-8][location:mall s 12-12]
rusell| Melinda wants to go to the one near the office but Keith is fine with the one on Kitington Street| [person:melinda f 0-0][location:office s 9-9][person:keith m 11-11][location:street s 19-19]
rodger| Three of us want to go to Kitington and it s close to my place We do live in a democracy| [person:us g(rodger:rusell:keith) 2-2][location:street s 7-7][location:street s 9-9][person:rodger m 13-13][location:place s 14-14][person:we g(rodger:rusell:melinda:keith) 15-15]
rusell| I will let Melinda know She is not going to be pleased but i know she won t miss the movie| [person:rusell m 0-0][person:melinda f 3-3][person:melinda f 5-5][person:rusell m 13-13][person:melinda f 15-15]
rodger| It s decided then Oh man I am so excited about this movie One last thing could you make the reservation I am a bit busy today| [person:rodger m 6-6][person:rusell m 17-17][person:rodger m 21-21]
rusell| Yeah man no problem I can t wait to watch the movie either Cya tomorrow| [person:rusell m 4-4]

conv:people_2019082201_197:aug_0:chat_0:chataug_0| barry christine| [person:barry m 0-0][person:christine f 1-1]
christine| Hey Barry where are you right now| [person:barry m 1-1][person:barry m 4-4]
barry| I m just finishing up at work Why What s up| [person:barry m 0-0]
christine| I m just at a party right now but I forgot my jacket and spare shoes at Tara s place| [person:christine f 0-0][person:christine f 9-9][person:christine f 11-11][person:tara f 17-17][location:place s 19-19]
barry| Oh no Are you going to go get them| [person:christine f 3-3]
christine| That s why I m talking to you I can t leave this party can you go pick them up for me| [person:christine f 3-3][person:barry m 7-7][person:christine f 8-8][person:barry m 15-15][person:christine f 21-21]
barry| I don t think so I m still at work| [person:barry m 0-0][person:barry m 5-5]
christine| How about when you get off of work| [person:barry m 3-3]
barry| Yeah ok I think I can do that I will drop them off to you| [person:barry m 2-2][person:barry m 4-4][person:barry m 8-8][person:christine f 14-14]
christine| Thank you so much I appreciate it| [person:barry m 1-1][person:christine f 4-4]
barry| No problem Christine I ll see you later| [person:christine f 2-2][person:barry m 3-3][person:christine f 6-6]

conv:people_2019082201_198:aug_0:chat_0:chataug_0| angela jill| [person:angela f 0-0][person:jill f 1-1]
jill| Hey are you still going to come to lunch with the rest of the girls| [person:angela f 2-2][person:girls g(jill:angela) 14-14]
angela| Yes we re very excited What s for lunch| [person:we g(jill:angela) 1-1]
jill| I havent decided yet Do you know what the other girls like to eat| [person:jill f 0-0][person:angela f 5-5][person:girls g(jill:angela) 10-10]
angela| I know Jackie and Melissa love burgers| [person:angela f 0-0][person:jackie f 2-2][person:melissa f 4-4]
jill| And what about Abigail| [person:abigail f 3-3]
angela| She definitely is a pizza fan| [person:abigail f 0-0]
jill| What if we made some homemade pizzas and then threw a few burgers on the grill We could do both with sides that would go equally as well with either one of them| [person:we g(jill:angela) 2-2][person:we g(jill:angela) 16-16][person:them g(jackie:melissa:abigail) 32-32]
angela| That s a great idea We could do fries salad and chips as a side so there s something for everyone| [person:we g(jill:angela) 5-5][person:everyone g(jill:angela:jackie:melissa:abigail) 20-20]
jill| I think that s a perfect idea I ll start working on that| [person:jill f 0-0][person:jill f 7-7]
angela| Great Looking forward to it|
jill| I think they will all be very happy| [person:jill f 0-0][person:they g(jackie:melissa:abigail) 2-2]
angela| I agree they will| [person:angela f 0-0][person:they g(jackie:melissa:abigail) 2-2]

conv:people_2019082201_199:aug_0:chat_0:chataug_0| aaron louis| [person:aaron m 0-0][person:louis m 1-1]
louis| Hey I am planning to go to a basketball game Would you like to join me| [person:louis m 1-1][person:aaron m 11-11][person:louis m 15-15]
aaron| Hey Sure Who else be joining us| [person:us g(louis:aaron) 6-6]
louis| Our friends Bradley and Phillip will be joining us| [person:us g(louis:aaron) 0-0][person:friends g() 1-1][person:bradley m 2-2][person:phillip m 4-4][person:us g(louis:aaron) 8-8]
aaron| That sounds like fun So When are we going to watch the game| [person:we g(louis:aaron:bradley:phillip) 7-7]
louis| You sound excited How about this weekend| [person:aaron m 0-0]
aaron| That s a great idea Sooner the better|
aaron| And which game are we going to watch| [person:we g(louis:aaron:bradley:phillip) 4-4]
louis| How about Boston Celtics|
