conv:people_chats_0520_54:aug_0:chat_0:chataug_0| edgar juan| [person:edgar m 0-0][person:juan m 1-1]
adam| Alright well if you re going to do it I need to be there as your backup| [person:john m 3-3][person:adam m 9-9][location:warehouse s 13-13][person:john m 15-15]
adam| When do you want to do this| [person:john m 2-2]
john| Meet me at 1 AM tonight around Charlotte Ave Don t tell Rita about what we re doing The last thing she needs is to get her hopes up| [person:john m 1-1][location:charlotte s 7-7][person:rita f 12-12][person:we g(adam:john) 15-15][person:rita f 21-21][person:rita f 26-26]
adam| I know I ll see you there| [person:adam m 0-0][person:adam m 2-2][person:john m 5-5][location:charlotte s 6-6]

conv:people_chats_0520_153:aug_0:chat_0:chataug_0| caitlyn henry| [person:caitlyn f 0-0][person:henry m 1-1]
caitlyn| Hey Henry would you like to go to a concert with me next weekend| [person:henry m 1-1][person:henry m 3-3][person:caitlyn f 11-11]
henry| That sounds absolutely great|
henry| Is it okay if my cousins Larisa and Albert join us| [person:henry m 4-4][person:cousins g() 5-5][person:larisa f 6-6][person:albert m 8-8][person:us g(caitlyn:henry) 10-10]
caitlyn| I am not really too comfortable with them joining I was looking forward to just us going| [person:caitlyn f 0-0][person:cousins g() 7-7][person:caitlyn f 9-9][person:us g(caitlyn:henry) 15-15]
henry| Oh I thought it would be fine| [person:henry m 1-1]
caitlyn| Did you already tell them| [person:henry m 1-1][person:cousins g(larisa:albert) 4-4]
henry| Yeah I apologize I thought it would be okay| [person:henry m 1-1][person:henry m 3-3]
caitlyn| Maybe say something has changed or just blame me| [person:caitlyn f 8-8]
caitlyn| They don t even really know who I am| [person:cousins g(larisa:albert) 0-0][person:caitlyn f 7-7]
henry| Usually they cancel on stuff like this don t worry too much| [person:cousins g(larisa:albert) 1-1]
caitlyn| Oh okay that makes me feel a little better| [person:caitlyn f 4-4]
henry| I ll think of a backup plan if they don t| [person:henry m 0-0][person:cousins g(larisa:albert) 8-8]
caitlyn| Sounds good|

conv:people_chats_0520_155:aug_0:chat_0:chataug_0| allen gary| [person:allen m 0-0][person:gary m 1-1]
allen| Hey Gary How are you doing| [person:gary m 1-1][person:gary m 4-4]
gary| I m great thanks Really looking forward to the Red Sox game| [person:gary m 0-0]
allen| That s what I was messaging you about I got the tickets| [person:allen m 3-3][person:gary m 6-6][person:allen m 8-8]
allen| It s this Saturday at JetBlue Park Stadium You me Josh and Abby| [location:jetblue_park s 5-6][person:gary m 8-8][person:allen m 9-9][person:josh m 10-10][person:abby f 12-12]
gary| Thanks for letting me know And thank you for picking up the tickets| [person:gary m 3-3][person:allen m 7-7]
allen| No problem|
gary| The seats in the second row will have a clear view of the infield and players|
gary| That will be great|
allen| I m so glad that you are happy with the seats I hope we have a great experience I know we will make some lifelong memories| [person:allen m 0-0][person:gary m 5-5][person:allen m 11-11][person:we g(allen:gary) 13-13][person:allen m 18-18][person:we g(allen:gary) 20-20]
gary| Thanks again|
gary| Have you let Josh and Abby know or should I| [person:allen m 1-1][person:josh m 3-3][person:abby f 5-5][person:gary m 9-9]
allen| You re welcome I m happy to help It will be so much fun| [person:gary m 0-0][person:allen m 3-3]
allen| Don t worry about anything I will let Josh and Abby know| [person:allen m 5-5][person:josh m 8-8][person:abby f 10-10]
gary| Sounds great Talk to you soon| [person:allen m 4-4]
allen| You too| [person:gary m 0-0]

conv:people_chats_0520_156:aug_0:chat_0:chataug_0| amanda ronny| [person:amanda f 0-0][person:ronny m 1-1]
amanda| Let s host a fashion show on campus|
ronny| Did you contact the student activities counselor Linda| [person:amanda f 1-1][person:linda f 6-6][person:linda f 7-7]
amanda| Yes and I contacted the facilities manager David to try to get approval| [person:amanda f 2-2][person:david m 6-6][person:david m 7-7]
ronny| When were you thinking of hosting| [person:amanda f 2-2]
amanda| I wanted to do it in March| [person:amanda f 0-0]
ronny| What did the student activities counselor and facilities manager say| [person:david m 8-8]
amanda| Well good news is that the facilities manager approved because the space is vacant But the student activities counselor rejected it due to missing information| [person:david m 7-7][person:linda f 18-18]
ronny| Sounds like we re running out of time| [person:we g(amanda:ronny) 2-2]
amanda| Yes can you help by resubmitting the information to the student activities counselor| [person:ronny m 2-2]
ronny| Sure can you help make flyers| [person:amanda f 2-2]
amanda| Sounds great I can do that Thanks for your help| [person:amanda f 2-2][person:ronny m 8-8]

conv:people_chats_0520_158:aug_0:chat_0:chataug_0| jon spencer| [person:jon m 0-0][person:spencer m 1-1]
spencer| Hello how are you today| [person:spencer m 3-3]
jon| I am good thank you| [person:jon m 0-0][person:spencer m 4-4]
spencer| I wanted to discuss Thanksgiving with you| [person:spencer m 0-0][person:spencer m 6-6]
jon| Yeah what are you thinking| [person:spencer m 3-3]
spencer| I don t think it will be the best idea to see Lucy| [person:spencer m 0-0][person:lucy f 12-12]
jon| I think Lucy would be upset that she won t be seeing Chanel| [person:jon m 0-0][person:lucy f 2-2][person:lucy f 7-7][person:chanel f 12-12]
spencer| Well maybe if we stop by for a few minutes and just say we are having Thanksgiving on our own| [person:we g(spencer:jon) 3-3][person:we g(spencer:jon) 13-13][person:we g(spencer:jon) 18-18]
jon| Do you think Chanel will go with that| [person:spencer m 1-1][person:chanel f 3-3]
spencer| I hope so due to Lucy really disliking me| [person:spencer m 0-0][person:chanel f 5-5][person:spencer m 8-8]
jon| I don t think that is really the case Sometimes you just need to be a little more loving towards her| [person:jon m 0-0][person:spencer m 10-10][person:lucy f 20-20]
spencer| I feel like I am trying I guess I will try to do what Chanel wants to make her happy| [person:spencer m 0-0][person:spencer m 3-3][person:spencer m 6-6][person:spencer m 8-8][person:chanel f 14-14][person:chanel f 18-18]
jon| That is a good plan I am sure you will do the right thing and have a nice Thanksgiving| [person:jon m 5-5][person:spencer m 8-8]
spencer| Thank you for listening to me| [person:jon m 1-1][person:spencer m 5-5]

conv:people_chats_0520_159:aug_0:chat_0:chataug_0| josh mia| [person:josh m 0-0][person:mia f 1-1]
josh| Hi Mia what do you think about the car| [person:mia f 1-1][person:mia f 4-4]
mia| Well I have a mix feeling about the car| [person:mia f 1-1]
josh| Really Why so Can you help me understand| [person:mia f 4-4][person:josh m 6-6]
mia| My friends Gladis and Lorry have the same car and told me that it needs too much mainteancne| [person:mia f 0-0][person:friends g() 1-1][person:gladis f 2-2][person:lorry f 4-4][person:mia f 11-11]
josh| What do you mean too much maintenance| [person:mia f 2-2]
mia| I meant tehy had to spend lot of money keep fixing the car| [person:mia f 0-0]
josh| I see do you know how old are their cars| [person:josh m 0-0][person:mia f 3-3][person:friends g(gladis:lorry) 8-8]
mia| I believe those are couple of years older than this model| [person:mia f 0-0]
josh| See that makes a big difference|
mia| How so Can you help me understand| [person:josh m 3-3][person:mia f 5-5]
josh| They have older models while those have some issues in this newer model those issues are address| [person:friends g(gladis:lorry) 0-0]
josh| I suggest you have a test drive and then make your decision| [person:josh m 0-0][person:mia f 2-2][person:mia f 10-10]
mia| Sure I can do that| [person:mia f 1-1]

conv:people_chats_0520_160:aug_0:chat_0:chataug_0| cynthia lori| [person:cynthia f 0-0][person:lori f 1-1]
lori| Hey|
cynthia| How are you| [person:lori f 2-2]
lori| Am fine thank you| [person:cynthia f 3-3]
lori| We should arrange a light breakfast with pastries parfaits and orange juice| [person:we g(lori:cynthia) 0-0]
cynthia| Actually our friend Alexander has a food allergy to eggs and that they should consider the light breakfast option| [person:our g(lori:cynthia) 1-1][person:alexander m 2-2][person:alexander m 3-3][person:alexander m 12-12]
lori| We can reconsider the menu to suits everyone in the paryt| [person:we g(lori:cynthia) 0-0][person:everyone g(lori:cynthia:alexander) 7-7]
cynthia| Yyes|
lori| How about bread batter and some nuts|
cynthia| That is better now|
lori| How about the costs|
cynthia| Lets work out the total cost and make a contributions|
lori| That is better|
cynthia| Yes|
lori| Infact you may inform victoria about it| [person:cynthia f 1-1][person:victoria f 4-4]
cynthia| Okay i will| [person:cynthia f 1-1]
lori| Thank you| [person:cynthia f 1-1]

conv:people_chats_0520_161:aug_0:chat_0:chataug_0| dave remy| [person:dave m 0-0][person:remy m 1-1]
dave| Hey Remy what should I eat as a snack I m only a little hungry| [person:remy m 1-1][person:dave m 4-4][person:dave m 9-9]
remy| You already have crackers in your hand you can eat those with peanut butter| [person:dave m 0-0][person:dave m 5-5][person:dave m 7-7]
remy| My old roommate Rita and I used to eat those all the time in college| [person:remy m 0-0][person:rita f 3-3][person:remy m 5-5]
dave| I don t like peanut butter without milk It s going to make my mouth dry| [person:dave m 0-0][person:dave m 13-13]
remy| I don t think we have milk sadly| [person:remy m 0-0][person:we g(dave:remy) 4-4]
remy| You can just make a light soup and eat some crackers with it| [person:dave m 0-0]
dave| A soup That might be good I always enjoyed a fine soup| [person:dave m 6-6]
dave| My exfriend Judas used to make a great soup with crackers He was a jerk to me though| [person:dave m 0-0][person:juda f 2-2][person:dave m 11-11][person:dave m 16-16]
remy| Judas I don t think I ever met him Do you not want the soup then either| [person:juda f 0-0][person:remy m 1-1][person:remy m 5-5][person:juda f 8-8][person:dave m 10-10]
dave| No the soup is a good idea I m just being indecisive The crackers might be still good too| [person:dave m 7-7]
remy| Mhm well whatever you decide to eat let me know| [person:dave m 3-3][person:remy m 8-8]
dave| Okay I will I m probably just going to eat the soup anyway| [person:dave m 1-1][person:dave m 3-3]

conv:people_chats_0520_162:aug_0:chat_0:chataug_0| oliver rick| [person:oliver m 0-0][person:rick m 1-1]
rick| Hi Oliver did you find an apartment for us yet| [person:oliver m 1-1][person:oliver m 3-3][location:apartment s 6-6][person:us g(rick:oliver) 8-8]
oliver| Yes that place we looked at together is still the best one| [location:place s 2-2][person:us g(rick:oliver) 3-3]
oliver| The only problem is that it s way too expensive for just the two of us| [location:place s 5-5][person:us g(rick:oliver) 15-15]
rick| I ve been thinking about that Since it has three extra bedrooms I think we should try to find roomates| [person:rick m 0-0][location:place s 7-7][person:rick m 12-12][person:us g(rick:oliver) 14-14]
rick| The apartment is so close to the college we shouldn t give it up and I think finding roommates will be easy| [location:apartment s 1-1][person:us g(rick:oliver) 8-8][location:apartment s 12-12][person:rick m 15-15]
oliver| I agree I will upload some advertisements and then see who responds| [person:oliver m 0-0][person:oliver m 2-2]
oliver| Rick We had a lot of people respond did you get my email| [person:rick m 0-0][person:us g(rick:oliver) 1-1][person:rick m 9-9][person:oliver m 11-11]
rick| Yes Oliver I looked over the candidates and I agree with you that King and Kimberly seem like the best fit| [person:oliver m 1-1][person:rick m 2-2][person:rick m 8-8][person:oliver m 11-11][person:king m 13-13][person:kimberly f 15-15]
rick| They are willing to pay a fair share of the rent and they don t mind if we end up getting a dog later on| [person:they g(king:kimberly) 0-0][person:they g(king:kimberly) 12-12][person:us g(rick:oliver) 17-17]
oliver| They seem very nice and they also have good references too| [person:they g(king:kimberly) 0-0][person:they g(king:kimberly) 5-5]
oliver| I like that they get good grades and want to keep the apartment quiet for studying That s important to me| [person:oliver m 0-0][person:they g(king:kimberly) 3-3][location:apartment s 12-12][person:oliver m 20-20]
rick| Ok let s call them and accept their application today| [person:they g(king:kimberly) 4-4][person:they g(king:kimberly) 7-7]
oliver| I will call them now| [person:oliver m 0-0][person:they g(king:kimberly) 3-3]

conv:people_chats_0520_163:aug_0:chat_0:chataug_0| adam rita| [person:adam m 0-0][person:rita f 1-1]
rita| Hey Adam have you heard anything interesting about John and Jane| [person:adam m 1-1][person:adam m 3-3][person:john m 8-8][person:jane f 10-10]
adam| What in particular I occasionally hear various things about them| [person:adam m 3-3][person:them g(john:jane) 9-9]
rita| Did they join a vigilante group| [person:them g(john:jane) 1-1][person:vigilante_group g() 4-5]
adam| I have actually heard that rumor but I have some doubt on its truthfulness| [person:adam m 0-0][person:adam m 7-7]
rita| If it is they would be dealing with local drug dealers| [person:them g(john:jane) 3-3][person:drug_dealers g() 9-10]
adam| If they are making money great for them but that sounds like a bad situation| [person:them g(john:jane) 1-1][person:them g(john:jane) 7-7]
rita| I really hope they are staying away from those people| [person:rita f 0-0][person:them g(john:jane) 3-3][person:vigilante_group g() 9-9]
adam| Same they are a nice couple I would hate to see something happen to them| [person:them g(john:jane) 1-1][person:them g(john:jane) 5-5][person:adam m 6-6][person:them g(john:jane) 14-14]
rita| Don t you talk to John| [person:adam m 2-2][person:john m 5-5]
adam| I haven t reached out to him in a while I should give him a text or call to see what he says| [person:adam m 0-0][person:john m 6-6][person:adam m 10-10][person:john m 13-13][person:john m 21-21]
rita| That sounds good I am curious| [person:rita f 3-3]
adam| I ll let you know what he says| [person:adam m 0-0][person:rita f 3-3][person:john m 6-6]

conv:people_chats_0520_165:aug_0:chat_0:chataug_0| claude jordan| [person:claude m 0-0][person:jordan m 1-1]
claude| Hey babe Just checking to see if you went over that list Father Arthur gave us I want to try to get to church this Sunday or the next| [person:jordan m 7-7][person:arthur m 13-13][person:us g(claude:jordan) 15-15][person:claude m 16-16][location:church s 23-23]
jordan| Yeah I looked it over I saw a couple of good ones I gave them a call and they seem ideal we can go over it tonight when you get home for dinner| [person:jordan m 1-1][person:jordan m 5-5][person:jordan m 12-12][person:them g() 14-14][person:claude m 18-18][person:us g(claude:jordan) 21-21][person:claude m 28-28][location:home s 30-30]
claude| Cool Sounds good|
jordan| That reminds me did you schedule the appointment with the mayor I don t want to move to the city unless we find a safe neighborhood to settle down in| [person:jordan m 2-2][person:claude m 4-4][person:jordan m 11-11][location:city s 19-19][person:us g(claude:jordan) 21-21]
claude| Yes I scheduled a meeting with Mr Harper tomorrow at noon He has a few places he thinks would be a good idea for us| [person:claude m 1-1][person:harper u 7-7][person:claude m 11-11][location:places g() 15-15][person:claude m 16-16][person:us g(claude:jordan) 24-24]
jordan| Awesome Okay so recap Meeting tomorrow at noon and then if we both find one we like church on Sunday| [person:us g(claude:jordan) 11-11][person:us g(claude:jordan) 15-15][location:church s 17-17]
claude| That sounds good to me I ll be home from work soon What s for dinner| [person:claude m 4-4][person:claude m 5-5][location:home s 8-8]
jordan| I picked up Chinese on the way home from the gym I was feeling pretty lazy I was thinking we talk about the list over dinner and then a movie Sound good| [person:jordan m 0-0][location:home s 7-7][location:gym s 10-10][person:jordan m 11-11][person:jordan m 16-16][person:us g(claude:jordan) 19-19]
claude| That sounds great babe I love you| [person:claude m 4-4][person:jordan m 6-6]
jordan| I love you too baby| [person:jordan m 0-0][person:claude m 2-2]

conv:people_chats_0520_167:aug_0:chat_0:chataug_0| courtney maryam| [person:courtney f 0-0][person:maryam f 1-1]
courtney| Hey do you know how to cut something to the next scene so that it s not super awkward looking| [person:maryam f 2-2]
maryam| I ve never really done much video editing before| [person:maryam f 0-0]
maryam| I m not really sure| [person:maryam f 0-0]
maryam| But my friend did mention that Ginger and Andy had a great tutorial about it| [person:maryam f 1-1][person:friend u 2-2][person:ginger f 6-6][person:andy m 8-8]
courtney| Cool Their videos are great I wouldn t mind if ours turned out like one of theirs| [person:ginger_and_andy g(ginger:andy) 1-1][person:courtney f 5-5][person:ours g(courtney:maryam) 10-10]
courtney| OK let s watch it|
maryam| I didn t think it would make any sense to me but it actually did| [person:maryam f 0-0][person:maryam f 10-10]
maryam| They had some great tips| [person:ginger_and_andy g(ginger:andy) 0-0]
courtney| Yeah they weren t kidding when they said easy techniques| [person:ginger_and_andy g(ginger:andy) 1-1][person:ginger_and_andy g(ginger:andy) 6-6]
courtney| All right I have the PERFECT idea now| [person:courtney f 2-2]
maryam| Do tell|
courtney| I want to try pulling the focus for the title then do some subtle slowmo for the beginning| [person:courtney f 0-0]
courtney| Meet up with me later and we ll try it| [person:courtney f 3-3][person:ours g(courtney:maryam) 6-6]
maryam| Ok But we should credit Ginger and Andy too| [person:ours g(courtney:maryam) 2-2][person:ginger f 5-5][person:andy m 7-7]
courtney| Yeah totally We will| [person:ours g(courtney:maryam) 2-2]
courtney| No way could we have done this on our own| [person:ours g(courtney:maryam) 3-3][person:ours g(courtney:maryam) 8-8]

conv:people_chats_0520_168:aug_0:chat_0:chataug_0| conrad joceline| [person:conrad m 0-0][person:joceline f 1-1]
conrad| Hello|
joceline| Hey there how s it going|
conrad| Nothing much Just working on an app|
joceline| That s great What is it about|
conrad| Can t tell you it s a secret I just wanna ask you on how you created yours| [person:joceline f 3-3][person:conrad m 8-8][person:joceline f 12-12][person:joceline f 15-15][person:joceline f 17-17]
joceline| Oh that s easy I got help from Roy and Joy as they have a company that works on stuff like that| [person:joceline f 4-4][person:roy m 8-8][person:joy f 10-10][person:they g(roy:joy) 12-12]
conrad| How much do they charge on making apps| [person:they g(roy:joy) 3-3]
joceline| It depends on what you re looking for I got my app done between 5070| [person:conrad m 4-4][person:joceline f 8-8][person:joceline f 10-10]
conrad| That s great I might check them out whenever I get the chance| [person:conrad m 3-3][person:conrad m 9-9]
joceline| You should they re very helpful when it comes to programming apps| [person:conrad m 0-0][person:they g(roy:joy) 2-2]
conrad| You know what time they re open| [person:joceline f 0-0]
joceline| They re open between 97 everyday but they re closed on holidays|
conrad| Thanks for tell me| [person:conrad m 3-3]
joceline| Welcome Can t wait to see what your app is| [person:conrad m 7-7]

conv:people_chats_0520_169:aug_0:chat_0:chataug_0| joan lauren| [person:joan f 0-0][person:lauren f 1-1]
joan| Sup girl|
lauren| Hey What s up|
joan| You know that cute guy in our Spanish class Lucas| [person:joan f 0-0][person:our g(joan:lauren) 6-6][person:lucas m 9-9]
lauren| yeah does he sit next to that other cute guy Walter| [person:walter m 2-2][person:walter m 10-10]
joan| OMG you think Walter s cute Anyway I think Lucas is super cute and I think I want to ask him to hangout or something| [person:lauren f 1-1][person:walter m 3-3][person:joan f 7-7][person:lucas m 9-9][person:joan f 14-14][person:joan f 16-16][person:lucas m 20-20]
lauren| Uh yeah Walter looks good And omg yes I think Lucas and you would look good together| [person:walter m 2-2][person:lauren f 8-8][person:lucas m 10-10][person:joan f 12-12]
lauren| Where were you thinking of hanging out with him| [person:joan f 2-2][person:walter m 8-8]
joan| Hmm maybe the mall| [location:mall s 3-3]
lauren| Yeah that sounds good maybe I should invite Walter and the four of us could hangout| [person:lauren f 5-5][person:walter m 8-8][person:us g(joan:lauren:lucas:walter) 13-13]
joan| Acutally that sounds awesome It takes the pressure off of hanging out with the guys oneonone|
joan| Soooo which one of us is going to ask them first| [person:our g(joan:lauren) 4-4][person:them g(lucas:walter) 9-9]
lauren| You owe me for letting you borrow a dress for homecoming| [person:joan f 0-0][person:lauren f 2-2][person:joan f 5-5]
joan| Ugh fine come with me after class but I will ask them| [person:joan f 4-4][person:joan f 8-8][person:them g(lucas:walter) 11-11]
lauren| YASSS girl|

conv:people_chats_0520_170:aug_0:chat_0:chataug_0| ed woody| [person:ed m 0-0][person:woody m 1-1]
ed| Hi Woody you should join me in a yoga class this weekend| [person:woody m 1-1][person:woody m 2-2][person:ed m 5-5]
ed| oh actually there is one this thursday|
woody| Hi Ed thanks for inviting me but I think I will pass the yoga class| [person:ed m 1-1][person:woody m 5-5][person:woody m 7-7][person:woody m 9-9]
ed| Are you sure The teachers are awesome The two I like are Rosa and Wilson| [person:woody m 1-1][person:ed m 9-9][person:rosa f 12-12][person:wilson m 14-14]
woody| Why do you like them| [person:ed m 2-2][person:them g(rosa:wilson) 4-4]
ed| Well Rosa and Wilson are very calm and patient so they teach a very relaxing class| [person:rosa f 1-1][person:wilson m 3-3][person:them g(rosa:wilson) 10-10]
woody| Hmm i am not sure I am a bit nervous| [person:woody m 1-1][person:woody m 5-5]
woody| I have never gone before so I don t know what to expect| [person:woody m 0-0][person:woody m 6-6]
ed| Not to worry All skill levels are welcome to take the classes because we all can succeed together| [person:we g(ed:woody) 13-13]
ed| Also Rosa was very helpful when I first started She was there for me for my first few classes and Wilson is such a great teacher You will love them| [person:rosa f 1-1][person:ed m 6-6][person:rosa f 9-9][person:ed m 13-13][person:ed m 15-15][person:wilson m 20-20][person:woody m 26-26][person:them g(rosa:wilson) 29-29]
woody| Oh wow that is awesome and sounds like a fun time I will definitely go to yoga with you| [person:woody m 11-11][person:ed m 18-18]
ed| Yay that is great We can grab a delicious smoothie after too| [person:we g(ed:woody) 4-4]
woody| Sounds perfect Can t wait|

conv:people_chats_0520_172:aug_0:chat_0:chataug_0| isabella rick| [person:isabella f 0-0][person:rick m 1-1]
rick| Hey I m so excited about the concert| [person:rick m 1-1]
isabella| Hey Me too Did you hear that Paulo and Craig are going too| [person:isabella f 1-1][person:rick m 4-4][person:paulo m 7-7][person:craig m 9-9]
rick| No way That s awesome|
isabella| I know right| [person:isabella f 0-0]
rick| So am I still picking you up at 8| [person:rick m 2-2][person:isabella f 5-5]
isabella| Actually|
isabella| I was wondering if you could pick me up earlier so that we can try and see Paulo and Craig in line| [person:isabella f 0-0][person:rick m 4-4][person:isabella f 7-7][person:we g(rick:isabella) 12-12][person:paulo m 17-17][person:craig m 19-19]
rick| Sure thing What time were you thinking| [person:rick m 5-5]
isabella| How about 7|
isabella| I want to ask them where they re sitting Maybe we can join them| [person:isabella f 0-0][person:them g(paulo:craig) 4-4][person:them g(paulo:craig) 6-6][person:we g(rick:isabella) 10-10][person:them g(paulo:craig) 13-13]
rick| Sounds good|
rick| And yea I d love that| [person:rick m 2-2]
isabella| Awesome See you tonight| [person:rick m 2-2]
rick| Alright See you at 7| [person:isabella f 2-2]
isabella| I m so excited I love this band| [person:isabella f 0-0][person:isabella f 4-4]

conv:people_chats_0520_173:aug_0:chat_0:chataug_0| gemini jay| [person:gemini f 0-0][person:jay m 1-1]
gemini| hi jay| [person:jay m 1-1]
jay| hello tell me gemini| [person:jay m 2-2][person:gemini f 3-3]
gemini| you know my neighbors jane and dale| [person:jay m 0-0][person:gemini f 2-2][person:neighbors g() 3-3][person:jane f 4-4][person:dale m 6-6]
jay| yeah i know them| [person:jay m 1-1][person:neighbors g(jane:dale) 3-3]
gemini| they anything tell to you| [person:neighbors g(jane:dale) 0-0][person:jay m 4-4]
jay| yeah they invited to attend their party| [person:neighbors g(jane:dale) 1-1][person:neighbors g(jane:dale) 5-5]
gemini| yeah i remember and actually looking at gifts for them| [person:gemini f 1-1][person:neighbors g(jane:dale) 9-9]
gemini| you have any suggestion| [person:jay m 0-0]
jay| yeah wine is better for both of them| [person:neighbors g(jane:dale) 7-7]
gemini| yes sure they would like a really good wine| [person:neighbors g(jane:dale) 2-2]
gemini| i will decide which wine she should get| [person:gemini f 0-0][person:jane f 5-5]
jay| definitely you decide gemini| [person:gemini f 1-1][person:gemini f 3-3]
gemini| yeah we will meet in party| [person:we g(gemini:jay) 1-1]
jay| have nice day|

conv:people_chats_0520_174:aug_0:chat_0:chataug_0| bonnie jen| [person:bonnie f 0-0][person:jen f 1-1]
bonnie| Jen do you need help with the table set up for Mason s party| [person:jen f 0-0][person:jen f 2-2][person:mason m 11-11]
jen| No I got all that under control but I do need help with something else| [person:jen f 1-1][person:jen f 8-8]
bonnie| Sure what is it You know I m happy to help| [person:jen f 4-4][person:bonnie f 6-6]
jen| I need help with assembling the electric fireplace| [person:jen f 0-0]
bonnie| Oh no problem I ll ask David to help Shirley with that no worries| [person:bonnie f 3-3][person:david m 6-6][person:shirley f 9-9]
jen| Whew that eases my stress a whole lot| [person:jen f 3-3]
bonnie| Mason is going to be so surprised at this party| [person:mason m 0-0]
jen| I know do you know how hard it is to keep things hush hush| [person:jen f 0-0][person:bonnie f 3-3]
bonnie| Yes and David needs to keep mum as well he can be a blabbermouth haha| [person:david m 2-2][person:david m 9-9]
jen| How about you me and David meet the day before the party for the final preparations| [person:bonnie f 2-2][person:jen f 3-3][person:david m 5-5]
bonnie| Yes that sounds like a great idea|
jen| See you soon| [person:bonnie f 1-1]

conv:people_chats_0520_175:aug_0:chat_0:chataug_0| maya nolan| [person:maya f 0-0][person:nolan m 1-1]
nolan| We need to write the piece on the escaped convict Do you have more info| [person:we g(nolan:maya) 0-0][person:maya f 11-11]
maya| No nothing at all|
nolan| Can you check photos online for this guy and maybe even for his girlfriend| [person:maya f 1-1][person:escaped_convict m 12-12][person:heather f 13-13]
maya| Is something wrong with your phone You sound strange| [person:nolan m 4-4][person:nolan m 6-6]
nolan| No I m just out in the woods near the prison| [person:nolan m 1-1]
maya| You re really crazy What are you doing there| [person:nolan m 0-0][person:nolan m 6-6]
nolan| I was just looking around to see if anything looked strange| [person:nolan m 0-0]
maya| Do you think they went that way out of the prison| [person:nolan m 1-1][person:they g(heather) 3-3]
nolan| Well I m sure of it now I just found a discarded prison jumpsuit I can t believe the police didn t search this far out| [person:nolan m 1-1][person:nolan m 7-7][person:nolan m 14-14]
maya| That s crazy His girlfriend Heather must have brought him clothes to change into| [person:escaped_convict m 3-3][person:heather f 4-4][person:heather f 5-5][person:escaped_convict m 9-9]
nolan| That s a possibility I think I know where they might have headed| [person:nolan m 4-4][person:nolan m 6-6][person:they g(heather) 9-9]
maya| You re not going to try and go there yourself are you| [person:nolan m 0-0][person:nolan m 9-9][person:nolan m 11-11]
nolan| It s just a hunch and probably won t pan out|
maya| You re going to get yourself in a dangerous situation You d better be careful| [person:nolan m 0-0][person:nolan m 5-5][person:nolan m 10-10]
nolan| I will You keep looking for those photos This might be our best storyline yet| [person:nolan m 0-0][person:maya f 2-2][person:we g(nolan:maya) 11-11]
maya| Yeah your murder Be careful Bye| [person:nolan m 1-1]

conv:people_chats_0520_176:aug_0:chat_0:chataug_0| simon tammy| [person:simon m 0-0][person:tammy f 1-1]
simon| Hey are you going to Brandon s party| [person:tammy f 2-2][person:brandon m 5-5]
tammy| Only going if Jonathan comes| [person:jonathan m 3-3]
simon| Why do you even like him He is so self centered| [person:tammy f 2-2][person:jonathan m 5-5][person:jonathan m 6-6]
tammy| Dont care what you think I still like him| [person:simon m 3-3][person:tammy f 5-5][person:jonathan m 8-8]
tammy| Are you going to bring the Karaoke equipment| [person:simon m 1-1]
simon| I am going to drop it off early but since its expensived I dont want it to get damaged| [person:simon m 0-0][person:simon m 12-12]
tammy| Brandon is trustworthy I ll let him know to keep it secure| [person:brandon m 0-0][person:tammy f 3-3][person:brandon m 6-6]
simon| Ok because it cost me 1000| [person:simon m 4-4]
tammy| I understand I ll talk to him| [person:tammy f 0-0][person:tammy f 2-2][person:brandon m 6-6]
simon| What time you planning on arriving| [person:tammy f 2-2]
tammy| Around 8 pm|
tammy| What about you| [person:simon m 2-2]
simon| I ll have to set up the equipment early so probably around 7 pm| [person:simon m 0-0]

conv:people_chats_0520_177:aug_0:chat_0:chataug_0| hank marcus| [person:hank u 0-0][person:marcus m 1-1]
hank| Hi Marcus I rented the ski cabin we talked about for the weekend| [person:marcus m 1-1][person:hank u 2-2][person:we g(hank:marcus) 7-7]
marcus| Hey Hank That s great will it be big enough for Bonny and Shannon to stay there too| [person:hank u 1-1][person:bonny m 11-11][person:shannon m 13-13]
hank| Yes All four of us will be able to stay there| [person:we g(hank:marcus:bonny:shannon) 4-4]
marcus| I can t wait I m really looking forward to skiing with you and all of our friends| [person:marcus m 0-0][person:marcus m 4-4][person:hank u 12-12][person:we g(hank:marcus:bonny:shannon) 16-16][person:we g(hank:marcus:bonny:shannon) 17-17]
hank| As soon as we get there we ll tour the ski resort then hit the slopes for some snowboarding and mountain skiing| [person:we g(hank:marcus:bonny:shannon) 3-3][person:we g(hank:marcus:bonny:shannon) 6-6][location:resort s 11-11][location:mountain s 20-20]
marcus| I ll bring my new snowboard so we can head down the mountain right away| [person:marcus m 0-0][person:marcus m 3-3][person:we g(hank:marcus:bonny:shannon) 7-7][location:mountain s 12-12]
hank| We can also go snowmobiling on the trails later Do you think Bonny would want to rent a snowmobile too| [person:we g(hank:marcus:bonny:shannon) 0-0][person:marcus m 10-10][person:bonny m 12-12]
marcus| Yes Bonny will do it if Shannon does| [person:bonny m 1-1][person:shannon m 6-6]
