conv:people_0909_1734_1:aug_0:chat_0:chataug_0| christine eva| [person:christine f 0-0][person:eva f 1-1]
melinda| i ll give it to Diana and she can give it to you| [person:melinda f 0-0][person:diana f 5-5][person:diana f 7-7][person:margaret f 12-12]
margaret| that s fine then thank you| [person:melinda f 5-5]
melinda| it s no problem see you later| [person:margaret f 5-5]

conv:people_0917_2145_80:aug_0:chat_0:chataug_0| marilyn roy| [person:marilyn f 0-0][person:roy m 1-1]
roy| What are you plans for the week| [person:marilyn f 2-2]
marilyn| I am meeting Lori for drinks on Wednesday which will be fun| [person:marilyn f 0-0][person:lori f 3-3]
roy| That will be fun for you Oh don t forget about Derrick s birthday party on Friday| [person:marilyn f 5-5][person:derrick m 11-11]
marilyn| Oh that s right What should we bring I could ask Lori for her opinion| [person:we g(roy:marilyn) 6-6][person:marilyn f 8-8][person:lori f 11-11][person:lori f 13-13]
roy| That may be a good idea The old standby of a bottle of wine always works too Maybe ask her if he has a label preference| [person:lori f 19-19][person:derrick m 21-21]
marilyn| Didn t he have a great bottle of Merlot from his collection at New Year s| [person:derrick m 2-2][person:derrick m 10-10]
roy| Oh yeah he is a big red fan| [person:derrick m 2-2]
marilyn| If we don t come up with any other idea I will get a bottle on the way home from work on Thursday| [person:we g(roy:marilyn) 1-1][person:marilyn f 10-10][location:home s 18-18]
roy| Sounds like a plan I ll see you at home in a bit| [person:roy m 4-4][person:marilyn f 7-7][location:home s 9-9]
marilyn| I am grabbing a pizza for dinner tonight Be there soon| [person:marilyn f 0-0][location:home s 9-9]

conv:people_0917_2145_81:aug_0:chat_0:chataug_0| maria shane| [person:maria f 0-0][person:shane m 1-1]
shane| Hi Maria what should we get for Aaron this christmas| [person:maria f 1-1][person:we g(shane:maria) 4-4][person:aaron m 7-7]
maria| I recall that he kept bugging me to get a mobile phone but I personally feel that he is way to young to have one| [person:maria f 0-0][person:aaron m 3-3][person:maria f 6-6][person:maria f 13-13][person:aaron m 17-17]
shane| I agree with you though our neighbors Jack and Jennifer already got one for Lori| [person:shane m 0-0][person:maria f 3-3][person:we g(shane:maria) 5-5][person:neighbors g() 6-6][person:jack m 7-7][person:jennifer f 9-9][person:lori f 14-14]
shane| Maybe we should let loose and get him a phone but try monitoring him more often| [person:we g(shane:maria) 1-1][person:aaron m 7-7][person:aaron m 13-13]
maria| No that does not sound good to me| [person:maria f 7-7]
maria| A young child should spend his time elsewhere rather than being constantly on the phone Anyway that was against the will of Jennifer since Jack bought it secretly| [person:his m 5-5][person:jennifer f 22-22][person:jack m 24-24]
shane| I see fine then How about a video game console I m sure he will like it too| [person:shane m 0-0][person:shane m 10-10][person:aaron m 13-13]
maria| That s better at least he can play with his friends and we have greater control over his use| [person:aaron m 5-5][person:aaron m 9-9][person:friends g() 10-10][person:we g(shane:maria) 12-12][person:aaron m 17-17]
shane| Sure let me head down to the store to get it for him then| [person:shane m 2-2][location:store s 7-7][location:store g() 10-10][person:aaron m 12-12]
maria| Thank you dear I will transfer you the cash once you bought it| [person:shane m 1-1][person:maria f 3-3][person:shane m 6-6][person:shane m 10-10]

conv:people_0917_2145_83:aug_0:chat_0:chataug_0| bobby olivia| [person:bobby m 0-0][person:olivia f 1-1]
bobby| Hey Olivia how s your day| [person:olivia f 1-1][person:olivia f 4-4]
olivia| Hi Bobby good day so far| [person:bobby m 1-1]
bobby| What s going on this week Any social engagements| [location:social_engagements s 7-8]
olivia| Yeah its a busy week|
olivia| I m getting drinks with Dorothy on Wednesday and then we have Ben s birthday on Friday| [person:olivia f 0-0][person:dorothy f 5-5][person:we g(bobby:olivia) 10-10][person:ben m 12-12]
bobby| Oh yeah Ben s birthday Thanks for reminding me| [person:ben m 2-2][person:bobby m 8-8]
bobby| We should get him a present right| [person:we g(bobby:olivia) 0-0][person:ben m 3-3]
olivia| Definitely what should we get| [person:we g(bobby:olivia) 3-3]
bobby| He loves wine and that s easy to find Let s get him a bottle| [person:ben m 0-0][person:ben m 12-12]
olivia| That s perfect I ll get one from the store on Thursday| [person:olivia f 3-3][location:store s 9-9]
bobby| Sounds great I ll see you tonight| [person:bobby m 2-2][person:olivia f 5-5]

conv:people_0917_2145_85:aug_0:chat_0:chataug_0| julia russell| [person:julia f 0-0][person:russell m 1-1]
julia| Hi Rusell how about the Movie West of Virginia should we go| [person:russell m 1-1][person:we g(julia:russell) 10-10]
russell| Sure when is it coming|
julia| This Thursday and maybe we can invite Jane and Cynthia to join us| [person:we g(julia:russell) 4-4][person:jane f 7-7][person:cynthia f 9-9][person:we g(julia:russell) 12-12]
russell| Sure we can also do a dinner before the movie| [person:we g(julia:russell) 1-1][location:dinner s 6-6][location:movie s 9-9]
julia| yes of course i know of a restaurant nearby that Jane mentioned| [person:julia f 3-3][location:dinner s 7-7][person:jane f 10-10]
russell| Ok great then i will call Margert and you call Jane| [person:russell m 3-3][person:julia f 8-8][person:jane f 10-10]
julia| Yes i will do that I will update you on her status| [person:julia f 1-1][person:julia f 5-5][person:russell m 8-8][person:jane f 10-10]
russell| great i will get the plan confirmed| [person:russell m 1-1]
julia| sure let me book the tickets after that| [person:julia f 2-2]
russell| yes good i will update you| [person:russell m 2-2][person:julia f 5-5]

conv:people_0917_2145_88:aug_0:chat_0:chataug_0| patricia sarah| [person:patricia f 0-0][person:sarah f 1-1]
sarah| I m so excited for the concert this weekend| [person:sarah f 0-0]
patricia| Me too I ve wanted to see The Housemakers forever| [person:patricia f 0-0][person:patricia f 2-2]
sarah| Who s your favorite band member| [person:patricia f 2-2]
patricia| Well obviously Garry the drummer is the hot one| [person:garry m 2-2]
sarah| Really I like Barry the lead guitarist| [person:sarah f 1-1][person:barry m 3-3]
patricia| Why is he your favorite| [person:barry m 2-2][person:sarah f 3-3]
sarah| He has the best outfits I guess because he s in front| [person:barry m 0-0][person:sarah f 5-5][person:barry m 8-8]
patricia| Did you hear they got into a fight last week| [person:sarah f 1-1][person:they g(garry:barry) 3-3]
sarah| I did but I think they re over it It wasn t a big deal| [person:sarah f 0-0][person:sarah f 3-3][person:they g(garry:barry) 5-5]
patricia| That s good Hey could I ride with you to the show| [person:patricia f 5-5][person:sarah f 8-8]
sarah| For sure pick you up at 7| [person:patricia f 3-3]

conv:people_0917_2145_90:aug_0:chat_0:chataug_0| david kyle| [person:david m 0-0][person:kyle m 1-1]
kyle| So have you decided where you would like to go| [person:david m 2-2][person:david m 5-5]
david| Well I ve got several in mind that have great Civil Engineering programs Each one has good points and notsogood points| [person:david m 1-1]
kyle| Yeah I still have Civil Engineering as a possibility but I know the first year will just be general classes| [person:kyle m 1-1][person:kyle m 10-10]
david| I just don t want to start at some school and then decide to change for my sophomore year| [person:david m 0-0][location:school s 9-9][person:david m 16-16]
kyle| I agree I don t want to move around either I m trying to find a school with a good Civil Engineering program and a good Computer Science program That way I can choose later| [person:kyle m 0-0][person:kyle m 2-2][person:kyle m 10-10][location:school s 16-16][person:kyle m 31-31]
david| Sounds like a plan I just haven t done a lot of research| [person:david m 4-4]
kyle| You know Heather is planning on majoring in Civil Engineering and she has done some extensive research| [person:david m 0-0][person:heather f 2-2][person:heather f 11-11]
david| Really I didn t know that I wonder if she would share her info| [person:david m 1-1][person:david m 6-6][person:heather f 9-9][person:heather f 12-12]
kyle| Of course she would She would probably be happy to have some friends at the same school| [person:heather f 2-2][person:heather f 4-4][person:friends g() 12-12][location:school s 16-16]
david| Do you have her contact info I used to have her email address when we worked on that project together but I don t think I have it any more| [person:kyle m 1-1][person:heather f 3-3][person:david m 6-6][person:heather f 10-10][person:we g(david:heather) 14-14][person:david m 21-21][person:david m 25-25]
kyle| Yeah sure I ll send you her email and her phone number| [person:kyle m 2-2][person:david m 5-5][person:heather f 6-6][person:heather f 9-9]
david| That s great|
kyle| I ll have to send it to you after lunch when I get back I ll get it to you by 2 this afternoon| [person:kyle m 0-0][person:david m 7-7][person:kyle m 11-11][person:kyle m 14-14][person:david m 19-19]
david| No rush I know I have some time But I would really like to talk to her about the schools she is looking at| [person:david m 2-2][person:david m 4-4][person:david m 9-9][person:heather f 16-16][location:schools g() 19-19][person:heather f 20-20]
kyle| Okay Well I ll send it to you this afternoon Remind me if you haven t heard from me by tonight I might just forget| [person:kyle m 2-2][person:david m 7-7][person:kyle m 11-11][person:david m 13-13][person:kyle m 18-18][person:kyle m 21-21]
david| Sure no problem Thanks man Talk to you later| [person:kyle m 7-7]
kyle| Yep Later|

conv:people_0917_2145_91:aug_0:chat_0:chataug_0| judy ruth| [person:judy f 0-0][person:ruth f 1-1]
judy| Hey Ruth what are you up to for the weekend| [person:ruth f 1-1][person:ruth f 4-4]
judy| I wanted to do something lit| [person:judy f 0-0]
ruth| I do too But my best pair of shoes just ripped LOL I need to go shopping so badly first| [person:ruth f 0-0][person:ruth f 4-4][person:ruth f 12-12]
judy| I actually do too But I need a present for Brittany for the 21st| [person:judy f 0-0][person:judy f 5-5][person:brittany f 10-10]
ruth| Oh my gosh Then let s go togeths| [person:ruth f 1-1]
judy| I need to save money though so broke LOL| [person:judy f 0-0]
ruth| I ll give you a ride And help me find a nice pair and I ll treat us to some Baskin| [person:ruth f 0-0][person:judy f 3-3][person:ruth f 8-8][person:ruth f 14-14][person:us g(judy:ruth) 17-17]
judy| Okay I love that and you| [person:judy f 1-1][person:ruth f 5-5]
judy| Can Brittany join us| [person:brittany f 1-1][person:us g(judy:ruth) 3-3]
ruth| Of course And I love you| [person:ruth f 3-3][person:judy f 5-5]
judy| I can t wait Text me soon please| [person:judy f 0-0][person:judy f 5-5]
ruth| I will hun| [person:ruth f 0-0]

conv:people_0917_2145_93:aug_0:chat_0:chataug_0| maria wilson| [person:maria f 0-0][person:wilson m 1-1]
maria| Hey can I ask you something| [person:maria f 2-2][person:wilson m 4-4]
wilson| Hi sure|
maria| I missed the last lecture Can I borrow your notes| [person:maria f 0-0][person:maria f 6-6][person:wilson m 8-8]
wilson| Oh Professor Miller s class|
maria| mhm|
wilson| You know I really can t understand what he says My notes are useless| [person:maria f 0-0][person:wilson m 2-2][person:miller m 8-8][person:wilson m 10-10]
maria| Yeah I find him hard to follow too| [person:maria f 1-1][person:miller m 3-3]
wilson| Yep I don t know what to make of it| [person:wilson m 1-1]
maria| But maybe I will make some sense out of your notes| [person:maria f 2-2][person:wilson m 9-9]
wilson| I don t think you can lol| [person:wilson m 0-0][person:maria f 4-4]
maria| lol ok I think I will try Patricia or Jessica then| [person:maria f 2-2][person:maria f 4-4][person:patricia f 7-7][person:jessica f 9-9]
wilson| Yeah I think that is a better bet Sorry| [person:wilson m 1-1]
maria| No problem Take care|
wilson| Cya|

conv:people_0917_2145_96:aug_0:chat_0:chataug_0| april kevin| [person:april f 0-0][person:kevin m 1-1]
april| Hello|
april| How did the parentsteacher conference go|
kevin| Oh hey April I just got back from there| [person:april f 2-2][person:kevin m 3-3][location:there s 8-8]
kevin| It wasn t all good| [location:it s 0-0]
april| Oh what did they say| [person:they g() 3-3]
kevin| I met Mrs Meyer and she said Phillip isn t paying attention in class| [person:kevin m 0-0][person:mrs_meyer f 5-5][person:phillip m 7-7]
april| Yeah I am not surprised We need to do something about it| [person:april f 1-1][person:we g(april:kevin) 5-5][location:it s 11-11]
kevin| Yep And Edgar s teacher brought up all the complaints from past years| [person:edgar m 2-2]
april| Anything to be worried about|
kevin| Well not really He is ok They said it was normal and nothing to worry about| [person:edgar m 3-3][person:they g() 6-6][location:it s 8-8]
april| Ok cool I am glad you went to the meeting and not me honey lol| [person:april f 2-2][person:kevin m 5-5][person:april f 12-12]

conv:people_0917_2145_97:aug_0:chat_0:chataug_0| roy wayne| [person:roy m 0-0][person:wayne m 1-1]
wayne| Hey Have you heard the latest| [person:roy m 2-2]
roy| What lol|
wayne| Kate will be joining a student exchange program She s going to Spain for a whole year| [person:kate f 0-0][person:kate f 8-8][location:spain s 12-12]
roy| Nice My girlfriend Janice and I have been checking out the program together We re really interested| [person:roy m 1-1][person:janice f 2-2][person:janice f 3-3][person:roy m 5-5][person:we g(roy:janice) 13-13]
wayne| That sounds nice And what s with your tone man| [person:roy m 7-7]
roy| Oh I m not sure we ll be able to stay in the same location| [person:roy m 1-1][person:we g(roy:janice) 5-5]
wayne| That sucks|
roy| I know right| [person:roy m 0-0]
wayne| You guys have only been together what 3 months| [person:we g(roy:janice) 0-0]
roy| Yeah And this time I m really serious Wayne I think she s the one| [person:roy m 4-4][person:wayne m 8-8][person:roy m 9-9][person:janice f 11-11]
wayne| Wow Someone s smitten lol| [person:roy m 1-1]
roy| Lol Cut that out I m serious dude| [person:roy m 4-4]
wayne| Okay Okay Seriously though the program sounds really cool Details details Which other countries can one go to Are there prerequisites| [location:countries g() 13-13]
roy| To be honest I can t remember much but Janice She remembers everything Why don t you give her a call| [person:roy m 3-3][person:janice f 9-9][person:janice f 10-10][person:wayne m 16-16][person:janice f 18-18]
wayne| Sure will|
roy| Let me know how it goes| [person:roy m 1-1]
wayne| Will do Later dude|

conv:people_0917_2145_99:aug_0:chat_0:chataug_0| jennifer sharon| [person:jennifer f 0-0][person:sharon f 1-1]
jennifer| Hey mom how s it going| [person:sharon f 1-1]
sharon| I m great Jennifer what do you need this time| [person:sharon f 0-0][person:jennifer f 3-3][person:jennifer f 6-6]
jennifer| I don t just contact you when I need stuff But| [person:jennifer f 0-0][person:sharon f 5-5][person:jennifer f 7-7]
sharon| Just tell me What is it| [person:sharon f 2-2]
jennifer| I need some money to go to Austin for a festival Andrew is going there too so I won t be alone| [person:jennifer f 0-0][location:austin s 7-7][location:festival s 10-10][person:andrew m 11-11][location:austin s 14-14][person:jennifer f 17-17]
sharon| You know how I feel about Andrew I m not sure this is a good idea| [person:jennifer f 0-0][person:sharon f 3-3][person:andrew m 6-6][person:sharon f 7-7]
jennifer| It s not just any festival There are going to be conferences that deal with my studies My professor actually recommended it| [location:festival s 0-0][location:festival s 5-5][person:jennifer f 15-15][person:jennifer f 17-17][location:festival s 21-21]
sharon| Well if this is school related I think it may be worth it| [location:school s 4-4][person:sharon f 6-6][location:festival s 8-8]
jennifer| It s totally school related Andrew is going because of school too| [location:festival s 0-0][location:school s 3-3][person:andrew m 5-5][location:school s 10-10]
sharon| Okay I ll give you the money But no partying I want to see the notes too when you get back| [person:sharon f 1-1][person:jennifer f 4-4][person:sharon f 10-10][person:jennifer f 18-18]
jennifer| Thanks so much I love you| [person:jennifer f 3-3][person:sharon f 5-5]

conv:people_0917_2145_100:aug_0:chat_0:chataug_0| katherine scott| [person:katherine f 0-0][person:scott m 1-1]
katherine| Hi how are you doing| [person:scott m 3-3]
scott| I m good How about you| [person:scott m 0-0][person:katherine f 5-5]
katherine| I m good Thanks I m inviting you for this Friday dinner are you available on this Friday| [person:katherine f 0-0][person:katherine f 4-4][person:scott m 7-7][person:scott m 13-13]
scott| Oh really sorry I ve some plan on this Friday Me and my friends were decided to go bar| [person:scott m 3-3][person:scott m 10-10][person:scott m 12-12][person:friends g() 13-13][location:bar s 18-18]
katherine| No worries You come along with your friends And we will make dinner tonight also we can have liquor in the feel of bar sitting place| [person:scott m 2-2][person:scott m 6-6][person:friends g() 7-7][person:we g(katherine:scott) 9-9][person:we g(katherine:scott) 15-15][location:bar s 23-23][location:place s 25-25]
scott| Wow That s great nice to hear|
katherine| Ok check with your friends and confirm| [person:scott m 3-3][person:friends g() 4-4]
scott| Me and my friends are confirmed| [person:scott m 0-0][person:scott m 2-2][person:friends g() 3-3]
katherine| Ok please be available by Friday evening at 530PM|
scott| Sure we will be available on time| [person:we g(scott) 1-1]
katherine| Thanks a lot cheers|
scott| Have a nice day Cheers|

conv:people_0917_2145_101:aug_0:chat_0:chataug_0| shawn stephen| [person:shawn m 0-0][person:stephen m 1-1]
stephen| Hey Shawn Did you know Pamela is has decided to join a student exchange program| [person:shawn m 1-1][person:shawn m 3-3][person:pamela f 5-5]
shawn| It s the first time that I am hearing about this| [person:shawn m 6-6]
stephen| Well it is happening He is going to spend a year in Spain| [person:pamela f 4-4][location:spain s 12-12]
shawn| I was also looking at a similar program with my girlfriend Judy the other day| [person:shawn m 0-0][person:shawn m 9-9][person:judy f 10-10][person:judy f 11-11]
shawn| I wonder if we d be in the same location| [person:shawn m 0-0][person:we g(shawn:judy) 3-3]
stephen| This is so exciting could you give me some more information| [person:shawn m 5-5][person:stephen m 7-7]
shawn| What kind of information|
stephen| Which other countries offer such programs| [location:countries g() 2-2]
stephen| I would also like to know if there were any prerequisites to joining any of these programs| [person:stephen m 0-0]
shawn| I don t really know that much about these programs Talk to Judy she has been looking into these programs for a long time| [person:shawn m 0-0][person:judy f 12-12][person:judy f 13-13]
stephen| I shall do that Thank you so much This is so exciting| [person:stephen m 0-0][person:shawn m 5-5]
shawn| I wish you luck I hope she provides you with all the information you need| [person:shawn m 0-0][person:stephen m 2-2][person:shawn m 4-4][person:judy f 6-6][person:stephen m 8-8][person:stephen m 13-13]

conv:people_0917_2145_103:aug_0:chat_0:chataug_0| jerry linda| [person:jerry m 0-0][person:linda f 1-1]
jerry| Linda what are your plans this week| [person:linda f 0-0][person:linda f 3-3]
linda| I m having drinks with Leslie on Wednesday but the other days I am free| [person:linda f 0-0][person:leslie f 5-5][person:linda f 12-12]
jerry| Do you want to go to Ethan s birthday party on Friday| [person:linda f 1-1][person:ethan m 6-6][location:party s 9-9]
linda| Is that this week It seems like not so long ago we celebrated his birthday| [person:we g(jerry:linda) 11-11][person:ethan m 13-13]
jerry| Yes he s turning 21| [person:ethan m 1-1]
linda| What should we bring him as a gift| [person:we g(jerry:linda) 2-2][person:ethan m 4-4]
jerry| I think a bottle of wine would be perfect for his 21st| [person:jerry m 0-0][person:ethan m 10-10]
linda| Sounds good|
jerry| Maybe a bottle of red wine from Australia He visited the country in high school| [location:australia s 7-7][person:ethan m 8-8][location:australia s 11-11][location:high_school s 13-14]
linda| Do you want to go buy it together| [person:jerry m 1-1]
jerry| Can you pick something up on your way home from work| [person:linda f 1-1][person:linda f 6-6][location:home s 8-8][location:work s 10-10]
jerry| Sure I can do that on Thursday| [person:jerry m 1-1]

conv:people_0917_2145_105:aug_0:chat_0:chataug_0| emily walter| [person:emily f 0-0][person:walter m 1-1]
emily| Hey I missed the last lecture do you think I can copy your notes| [person:emily f 1-1][person:walter m 7-7][person:emily f 9-9][person:walter m 12-12]
walter| Honestly I didn t really get them I had a hard time understanding Prof Miller| [person:walter m 1-1][person:walter m 7-7]
emily| Yeah he can be confusing at times| [person:miller m 1-1]
walter| Tell me about it| [person:walter m 1-1]
emily| What should I do then| [person:emily f 2-2]
walter| You can ask Lara She has the notes| [person:emily f 0-0][person:lara f 3-3][person:lara f 4-4]
emily| Yes or maybe Emma she s in our class too| [person:emma f 3-3][person:emma f 4-4][person:our g(emily:walter) 7-7]
walter| Yes good idea|
emily| Can you send me Emma s number| [person:walter m 1-1][person:emily f 3-3][person:emma f 4-4]
walter| Yeah sure I will in a minute| [person:walter m 2-2]
emily| Thanks so much|
walter| Not a problem I m looking for it now| [person:walter m 3-3]

conv:people_0917_2145_106:aug_0:chat_0:chataug_0| hannah tiffany| [person:hannah f 0-0][person:tiffany f 1-1]
hannah| Hey did you figure out what courses you want to take next semester| [person:tiffany f 2-2][person:tiffany f 7-7]
tiffany| Not yet What do you have in mind| [person:hannah f 4-4]
hannah| I am a bit torn about taking Geotechnical Engineering I really wanted to study it but I have heard that Professor Veiler is difficult| [person:hannah f 0-0][person:hannah f 9-9][person:hannah f 16-16]
tiffany| haha yeah you know Wayne and Sandra took his class last semester| [person:hannah f 2-2][person:wayne m 4-4][person:sandra f 6-6][person:professor_veiler m 8-8]
hannah| Oh really What did they think| [person:they g(wayne:sandra) 4-4]
tiffany| Wayne actually seemed to like him but Sandra said his notes are tough to understand| [person:wayne m 0-0][person:professor_veiler m 5-5][person:sandra f 7-7][person:professor_veiler m 9-9]
hannah| Oh What else|
tiffany| That s how much I know| [person:tiffany f 4-4]
hannah| Hey do you have their contact number so I could talk to them and find out| [person:tiffany f 2-2][person:they g(wayne:sandra) 4-4][person:hannah f 8-8][person:they g(wayne:sandra) 12-12]
tiffany| Sure let me send it right away| [person:tiffany f 2-2]
hannah| Oh thanks Tiff I will see you later today| [person:hannah f 3-3][person:tiffany f 6-6]
tiffany| Ok Bye|

conv:people_0917_2145_108:aug_0:chat_0:chataug_0| eva jonathan| [person:eva f 0-0][person:jonathan m 1-1]
eva| I wanna talk about our band| [person:eva f 0-0][person:our g(eva:jonathan) 4-4]
jonathan| Yeah I have some new lyrics| [person:jonathan m 1-1]
eva| are they any good|
jonathan| Yes I think they are| [person:jonathan m 1-1]
eva| I think you could do better with the base guitar| [person:eva f 0-0][person:jonathan m 2-2]
jonathan| Yes but Hannah s drums don t allow for that| [person:hannah f 2-2]
eva| We need to get together for a jam| [person:we g(eva:jonathan:hannah) 0-0][location:get_together s 3-4]
jonathan| Yes I think so too| [person:jonathan m 1-1]
eva| I cannot do it on Thursday though| [person:eva f 0-0][location:get_together s 3-3]
jonathan| Okay then another day| [location:get_together s 2-3]
eva| yes I will let everyone know| [person:eva f 1-1][person:everyone g(eva:jonathan:hannah) 4-4]

conv:people_0917_2145_111:aug_0:chat_0:chataug_0| ben derrick| [person:ben m 0-0][person:derrick m 1-1]
derrick| Hey Ben I got some news to tell you| [person:ben m 1-1][person:derrick m 2-2][person:ben m 8-8]
ben| What s up Derrick| [person:derrick m 3-3]
derrick| I just heard that Jessie just broke up with Jackie| [person:derrick m 0-0][person:jackie f 9-9]
ben| What Why how What happened between them| [person:them g(jackie) 6-6]
derrick| Looks like Jackie was cheating on Jesse This was the main reason for the breakup| [person:jackie f 2-2][person:jesse m 6-6]
ben| Oh yeah I saw them arguing two weeks ago in a pub Maybe that was the reason| [person:ben m 2-2][person:them g(jackie:jesse) 4-4]
derrick| Perhaps Let s find a way to cheer up Jesse He must be pretty down right now| [person:jesse m 9-9][person:jesse m 10-10]
ben| Let s take him to the bar He can drown his sorrows with liquor| [person:jesse m 3-3][location:bar s 6-6][person:jesse m 7-7][person:jesse m 10-10]
derrick| Haha alright Let s take him with us to the bar tonight Are you down| [person:jesse m 5-5][person:us g(derrick:ben) 7-7][location:bar s 10-10][person:ben m 13-13]
ben| Yes I m good with tonight See you later| [person:ben m 1-1][person:derrick m 7-7]
derrick| See you later| [person:ben m 1-1]

conv:people_0917_2145_112:aug_0:chat_0:chataug_0| evelyn ruth| [person:evelyn f 0-0][person:ruth f 1-1]
ruth| Eve are you coming to see the upcoming show of The Housemakers| [person:evelyn f 2-2][location:show_of_the_housemakers s 8-11]
evelyn| Of cure Ruth I bought my ticket six months ago Ahaha I am not that excited| [person:ruth f 2-2][person:evelyn f 3-3][person:evelyn f 5-5][person:evelyn f 11-11]
ruth| Me too I am very excited to watch them and see my Dylan How about you Who s your favorite band member| [person:ruth f 0-0][person:ruth f 2-2][person:them g() 8-8][person:ruth f 11-11][person:dylan m 12-12][person:evelyn f 15-15][person:evelyn f 18-18]
evelyn| Oh I had a huge crush on on their drummer Peter| [person:evelyn f 1-1][person:them g() 8-8][person:peter m 10-10]
ruth| Oh yes he is good too But I like Dylan more especially when he wears those outfits| [person:peter m 2-2][person:ruth f 7-7][person:dylan m 9-9][person:dylan m 13-13]
evelyn| I noticed he is that extra in wearing rock outfits By the way have you heard that Peter and Dylan had a fight last week| [person:evelyn f 0-0][person:dylan m 2-2][person:ruth f 14-14][person:peter m 17-17][person:dylan m 19-19]
ruth| Yes but I don t think its a big fight They are probably okay by now| [person:ruth f 2-2][person:they g(dylan:peter) 10-10]
evelyn| I think so too the media has just overblown the news Can I have a ride with you on the vent| [person:evelyn f 0-0][person:evelyn f 12-12][person:ruth f 17-17][location:show_of_the_housemakers s 20-20]
ruth| Sure I will be picking you up at 4 PM See you| [person:ruth f 1-1][person:evelyn f 5-5][person:evelyn f 11-11]
evelyn| Yay Thank you so much see you and our favorite rock band next week| [person:ruth f 2-2][person:ruth f 6-6][person:our g(ruth:evelyn) 8-8]

conv:people_0917_2145_113:aug_0:chat_0:chataug_0| amber ellen| [person:amber f 0-0][person:ellen f 1-1]
amber| Hey mom I need a favor| [person:ellen f 1-1][person:amber f 2-2]
ellen| hi Amber what do you need| [person:amber f 1-1][person:amber f 4-4]
amber| Harold s going to a festival in Austin I wanna join him but I don t have enough money| [person:harold m 0-0][location:austin s 7-7][person:amber f 8-8][person:harold m 11-11][person:amber f 13-13]
ellen| I don t know You know I don t like Harold| [person:ellen f 0-0][person:amber f 4-4][person:ellen f 6-6][person:harold m 10-10]
ellen| what else would you be doing there| [person:amber f 3-3][location:austin s 6-6]
amber| There are gonna be conference talks that are related to my schoolwork| [person:amber f 10-10]
ellen| well that s much better it sounds like a good idea|
amber| I ll need 400 can you give me that| [person:amber f 0-0][person:ellen f 5-5][person:amber f 7-7]
ellen| Sure Just make sure you stay safe over there| [person:amber f 4-4][location:austin s 8-8]
amber| I ll be fine mom Don t worry about me| [person:amber f 0-0][person:ellen f 4-4][person:amber f 9-9]

conv:people_0917_2145_115:aug_0:chat_0:chataug_0| dylan ethan| [person:dylan m 0-0][person:ethan m 1-1]
dylan| Hey Ethan what s up| [person:ethan m 1-1]
ethan| Oh hi Nothing much Just been busy studying for my exams| [person:ethan m 9-9]
dylan| Cool Did you know that Eugene broke up with Madison| [person:ethan m 2-2][person:eugene m 5-5][person:madison f 9-9]
ethan| Is that the girl he s been dating since high school| [person:eugene m 4-4][location:high_school s 9-10]
dylan| Yes you met her at last year s Christmas party| [person:ethan m 1-1][person:madison f 3-3][location:party s 9-9]
ethan| I thought she was really sweet That s too bad| [person:ethan m 0-0][person:madison f 2-2]
dylan| They haven t been getting along Just arguing a lot| [person:they g(eugene:madison) 0-0]
ethan| Oh I did see them at Longboard fighting two weeks ago| [person:ethan m 1-1][person:they g(eugene:madison) 4-4][location:longboard_fighting s 6-7]
dylan| Yes that s Eugene s favorite pub He went there often during college| [person:eugene m 3-3][location:longboard_fighting s 6-6][person:eugene m 7-7][location:longboard_fighting s 9-9]
ethan| Eugene didn t look too happy that night I decided to leave them alone| [person:eugene m 0-0][person:ethan m 8-8][person:they g(eugene:madison) 12-12]
dylan| We should invite him out for a drink later this week| [person:we g(dylan:ethan) 0-0][person:eugene m 3-3][location:out s 4-4]

conv:people_0917_2145_116:aug_0:chat_0:chataug_0| tony vincent| [person:tony m 0-0][person:vincent m 1-1]
tony| It was rough game last week|
vincent| yes it was tough to be beaten like that|
tony| but we should be prepared for the upcoming game its Do or Die for us now| [person:we g(tony:vincent) 1-1][person:we g(tony:vincent) 14-14]
vincent| yes do you have ideas how to go about it| [person:tony m 2-2]
tony| yes i was thinking of getting in Jaun for the game he slayed the opponents dragon in a single stroke last month| [person:tony m 1-1][person:jaun m 11-11]
vincent| wow he is mighty goo then| [person:jaun m 1-1]
tony| he certainly is anyone else we can add| [person:jaun m 0-0][person:anyone u 3-3][person:we g(tony:vincent) 5-5]
vincent| how about Emily but wait I remember she was supposed to travel this week| [person:emily f 2-2][person:vincent m 5-5][person:emily f 7-7]
tony| oh yes i remember now let me update Jaun on this new battle coming up next week and let him start preparing for it| [person:tony m 2-2][person:tony m 6-6][person:jaun m 19-19]
vincent| yes please do that and i will just reconfirm with Emily| [person:vincent m 5-5][person:emily f 10-10]

conv:people_0917_2145_117:aug_0:chat_0:chataug_0| brandon lara| [person:brandon m 0-0][person:lara f 1-1]
brandon| Hi Lara how is it going| [person:lara f 1-1][location:dinner s 4-4]
lara| Great Brandon How about we get together and I cook dinner for you on Friday| [person:brandon m 1-1][person:we g(brandon:lara) 4-4][person:lara f 8-8][location:dinner s 10-10][person:brandon m 12-12]
brandon| I was planning on going to the bar then with George| [person:brandon m 0-0][location:bar s 7-7][person:george m 10-10]
