conv:people_chats_04182020_468:aug_0:chat_0:chataug_0| evelyn ronnie| [person:evelyn f 0-0][person:ronnie m 1-1]
ethan| I don t know But Juan is very particular about beer and he also know which one is the best| [person:ethan m 0-0][person:juan m 5-5][person:juan m 12-12]
kyle| Alright then Juan will decide which beer to get| [person:juan m 2-2]
ethan| Yeah let him only decide about the beer and we all know about Brandon he s always late so we ll tell them only to order when they arrive here| [person:juan m 2-2][person:our g(kyle:ethan) 9-9][person:brandon m 13-13][person:brandon m 14-14][person:our g(kyle:ethan) 19-19][person:friends g(brandon:juan) 22-22]
kyle| Looks like we have to wait for Brandon before we even order anything for the night| [person:our g(kyle:ethan) 2-2][person:brandon m 7-7][person:our g(kyle:ethan) 9-9]
ethan| Yeah I ll call them and tell them to hurry up| [person:ethan m 1-1][person:friends g(brandon:juan) 4-4][person:friends g(brandon:juan) 7-7]

conv:people_chats_04182020_574:aug_0:chat_0:chataug_0| olivia rodger| [person:olivia f 0-0][person:rodger m 1-1]
rodger| Hey Olivia do you remember that Cathy is going to stay with us for a week| [person:olivia f 1-1][person:olivia f 3-3][person:cathy f 6-6][person:us g(rodger:olivia) 12-12]
olivia| Yeah of course I remember When is she coming here Rodger| [person:olivia f 3-3][person:cathy f 7-7][person:rodger m 10-10]
rodger| She will be here on next Tuesday I am going to pickup from the airport| [person:cathy f 0-0][person:rodger m 7-7]
olivia| Okay fine what does she like to eat I mean does she have any favorites in food or is she have any food restrictions| [person:cathy f 4-4][person:olivia f 8-8][person:cathy f 11-11][person:cathy f 19-19]
rodger| To be honest I have no idea about her likes and dislikes food or otherwise| [person:rodger m 3-3][person:cathy f 8-8]
olivia| Try to think Rodger so that I can cook food based on her taste| [person:rodger m 3-3][person:olivia f 6-6][person:cathy f 12-12]
rodger| I remember that she hates anything oily and also I think she does not like spicy food| [person:rodger m 0-0][person:cathy f 3-3][person:rodger m 9-9][person:cathy f 11-11]
olivia| Okay I ll cook pasta then will that be a better option| [person:olivia f 1-1]
rodger| I am not sure but we will see how it goes once she gets here| [person:rodger m 0-0][person:us g(rodger:olivia) 5-5][person:cathy f 12-12]
olivia| Okay then I ll get all the groceries and when she s here I ll cook her favorite food| [person:olivia f 2-2][person:cathy f 10-10][person:olivia f 13-13][person:cathy f 16-16]

conv:people_chats_04182020_575:aug_0:chat_0:chataug_0| ricky ronaldo| [person:ricky m 0-0][person:ronaldo m 1-1]
ronaldo| hi|
ronaldo| How r u ronaldo| [person:ronaldo m 2-2][person:ronaldo m 3-3]
ricky| hi ricky| [person:ricky m 1-1]
ricky| iam fine wat about you| [person:ronaldo m 4-4]
ricky| how about the game which you interested| [person:ronaldo m 5-5]
ronaldo| i have no time to watch sports recently| [person:ronaldo m 0-0]
ricky| yup ronaldo u r great football fan how come you miss the match from you i learnt to love and watch football matches| [person:ronaldo m 1-1][person:ronaldo m 2-2][person:ronaldo m 9-9][person:ronaldo m 14-14][person:ricky m 15-15]
ronaldo| Great ronaldo love to hear really no time for past month Have u watched our favourite team match| [person:ronaldo m 1-1][person:ricky m 12-12][person:our g(ronaldo:ricky) 14-14][person:team g() 16-16]
ricky| Yes really i enjoyed the match on last friday 6320 match between our team manchester united and derby county| [person:ricky m 2-2][person:our g(ronaldo:ricky) 12-12][person:team g() 13-13]
ronaldo| Nice how was the watch really i miss the match| [person:ronaldo m 6-6]
ricky| Derby County 03 Manchester United Ighalo double seals FA Cup quarterfinal spot|
ricky| Odion Ighalo scored twice as Manchester United eased into the FA Cup quarterfinals with a 30 win over Derby County at Pride Park|
ronaldo| Great ricky when is our next match| [person:ricky m 1-1][person:our g(ronaldo:ricky) 4-4]
ricky| Newcastle United v Manchester City Match 21320|
ronaldo| Thats nice i will free my time we both watch the match and rock it| [person:ronaldo m 2-2][person:ronaldo m 5-5][person:our g(ronaldo:ricky) 7-7]
ricky| Infact i have plan to ask regarding the same lets see there Bye| [person:ricky m 1-1]
ronaldo| Bye|
ricky| cheers|

conv:people_chats_04182020_576:aug_0:chat_0:chataug_0| henry neil| [person:henry m 0-0][person:neil m 1-1]
henry| Neil we need to discuss our football league| [person:neil m 0-0][person:we g(henry:neil) 1-1][person:we g(henry:neil) 5-5]
neil| Yeah We need to select a strong leader| [person:we g(henry:neil) 1-1]
henry| You are right as we are starting our football league it should be proper and perfect| [person:neil m 0-0][person:we g(henry:neil) 4-4][person:we g(henry:neil) 7-7]
neil| I think we should think about Keith and Kyle| [person:neil m 0-0][person:we g(henry:neil) 2-2][person:keith m 6-6][person:kyle m 8-8]
neil| They have good experiences in it| [person:they g(keith:kyle) 0-0]
henry| I don t think it should always be an experienced one| [person:henry m 0-0]
henry| We should give a chance to a fresh face too| [person:we g(henry:neil) 0-0]
neil| But if we think of someone experienced then he can help us with the proper idea| [person:we g(henry:neil) 2-2][person:someone u 5-5][person:someone u 8-8][person:we g(henry:neil) 11-11]
henry| Maybe you are right but if we select someone fresher we can retain more control over it| [person:neil m 1-1][person:we g(henry:neil) 6-6][person:someone u 8-8][person:we g(henry:neil) 10-10]
neil| We need to have a proper discussion face to face regarding this as soon as possible| [person:we g(henry:neil) 0-0]

conv:people_chats_04182020_577:aug_0:chat_0:chataug_0| austin jason| [person:austin m 0-0][person:jason m 1-1]
jason| Hi Austin I am going to celebrate my birthday on next monday| [person:austin m 1-1][person:jason m 2-2][person:jason m 7-7]
austin| Oh Where are you planning to celebrate the party| [person:jason m 3-3]
jason| I am planning to celebrate my birthday in our school canteen| [person:jason m 0-0][person:jason m 5-5][person:our g(jason:austin) 8-8][location:school s 9-9][location:canteen s 10-10]
austin| That s a nice place Did you invite all of our friends| [location:canteen s 4-4][person:jason m 6-6][person:our g(jason:austin) 10-10][person:our g(jason:austin) 11-11]
jason| No I am going to invite only our close friends for the party| [person:jason m 1-1][person:our g(jason:austin) 7-7][person:our g(jason:austin) 9-9]
austin| I suggest you to invite my friends Kathleen and Britney I guess you might have heard about them| [person:austin m 0-0][person:jason m 2-2][person:austin m 5-5][person:friends g() 6-6][person:kathleen f 7-7][person:britney f 9-9][person:austin m 10-10][person:jason m 12-12]
jason| Oh yes I know about them I will invite them for the party| [person:jason m 2-2][person:them g(kathleen:britney) 5-5][person:jason m 6-6][person:them g(kathleen:britney) 9-9]
austin| How do you know about them Where did you meet them| [person:jason m 2-2][person:them g(kathleen:britney) 5-5][person:jason m 8-8][person:them g(kathleen:britney) 10-10]
jason| We were in the same school two years ago That s how I know about them| [person:we g(jason:kathleen:britney) 0-0][location:school s 5-5][person:jason m 12-12][person:them g(kathleen:britney) 15-15]
austin| Okay We shall meet for your birthday party in our school next Monday| [person:we g(austin:kathleen:britney) 1-1][person:jason m 5-5][person:our g(jason:austin) 9-9][location:school s 10-10]

conv:people_chats_04182020_578:aug_0:chat_0:chataug_0| ann greg| [person:ann f 0-0][person:greg m 1-1]
greg| Hey Ann shall we go for a movie tonight| [person:ann f 1-1][person:we g(greg:ann) 3-3]
ann| It s a good idea how about a scary movie I know one running in the theater nearby| [person:ann f 10-10]
greg| That s a great idea how about we invite our neighbors Keith and Carolyn as well| [person:we g(greg:ann) 7-7][person:our g(greg:ann) 9-9][person:neighbors g() 10-10][person:keith m 11-11][person:carolyn f 13-13]
ann| I think Keith does not like scary movies I think he will choose to not go with us| [person:ann f 0-0][person:keith m 2-2][person:ann f 8-8][person:keith m 10-10][person:us g(greg:ann) 17-17]
greg| Okay we ll look for another movie which they both would like but make sure they come with us| [person:we g(greg:ann) 1-1][person:they g(keith:carolyn) 8-8][person:they g(keith:carolyn) 15-15][person:us g(greg:ann) 18-18]
ann| I think Carolyn likes Comedy movies and Keith will also be fine with that| [person:ann f 0-0][person:carolyn f 2-2][person:keith m 7-7]
greg| Sounds great you book four tickets and I ll go and inform them about the movie| [person:ann f 2-2][person:greg m 7-7][person:them g(keith:carolyn) 12-12]
ann| I think it is better if talk to them first then book the tickets| [person:ann f 0-0][person:them g(keith:carolyn) 8-8]
greg| Fine I ll talk to them about the movie plan and then I ll inform you whether they are interested or not based on that you book the tickets Okay| [person:greg m 1-1][person:them g(keith:carolyn) 5-5][person:greg m 12-12][person:ann f 15-15][person:they g(keith:carolyn) 17-17][person:ann f 25-25]
ann| Okay but make sure to do it soon so that the tickets are available|

conv:people_chats_04182020_579:aug_0:chat_0:chataug_0| adam rita| [person:adam m 0-0][person:rita f 1-1]
adam| Hey Rita I m very much excited about the upcoming camping trip| [person:rita f 1-1][person:adam m 2-2]
rita| Yes I m also eagerly waiting for the trip and thinking about what dresses to wear| [person:rita f 1-1]
adam| Can you find some time to look out for the best spots to visit which are near to the camping site| [person:rita f 1-1][location:camping_site s 19-20]
rita| I have recently talked to Jane who went for the same trip along with John| [person:rita f 0-0][person:jane f 5-5][person:john m 14-14]
adam| Great We can find some reference then Did Jane tell you anything that we could probably do there| [person:we g(adam:rita) 1-1][person:jane f 8-8][person:rita f 10-10][person:we g(adam:rita) 13-13][location:camping_site s 17-17]
rita| Yeah he suggested us to contact a local guide for the best experience| [person:john m 1-1][person:we g(adam:rita) 3-3]
adam| Well in that case I think they might have the contact details of a local guide Did you enquire about that| [person:adam m 4-4][person:they g(jane:john) 6-6][person:rita f 17-17]
rita| No I haven t ask about contact details but I have something else to tell you| [person:rita f 1-1][person:rita f 9-9][person:adam m 15-15]
adam| What is it all about Please don t keep me under suspense Tell me everything that he told you| [person:adam m 9-9][person:adam m 13-13][person:john m 16-16][person:rita f 18-18]
rita| Yeah he suggested to go hiking and explore the spots that are away from our camping site| [person:john m 1-1][person:we g(adam:rita) 14-14][location:camping_site s 15-16]
rita| Yeah he suggested to go hiking and explore the spots that are away from our camping site| [person:john m 1-1][person:we g(adam:rita) 14-14][location:camping_site s 15-16]
adam| Hiking sounds very interesting I ve never done it before I m excited about it| [person:adam m 4-4][person:adam m 10-10]
rita| It s better that you do your own research because you are good at planning trips| [person:adam m 4-4][person:adam m 6-6][person:adam m 10-10]
adam| I would surely do that but it is a new place that we are going to I don t think that going too far away from the camp will be a better option in terms of safety| [person:adam m 0-0][location:place s 10-10][person:we g(adam:rita) 12-12][person:adam m 16-16]
rita| Yes I agree with you and also I m very excited about the fun that we are going to have| [person:rita f 1-1][person:adam m 4-4][person:rita f 7-7][person:we g(adam:rita) 15-15]

conv:people_chats_04182020_580:aug_0:chat_0:chataug_0| bryan kathryn| [person:bryan m 0-0][person:kathryn f 1-1]
kathryn| Hi Bryan I will be arriving the bus station at 3 pm You ll be there to pick me up right| [person:bryan m 1-1][person:kathryn f 2-2][location:station s 8-8][person:bryan m 12-12][location:station s 15-15][person:kathryn f 18-18]
bryan| Hey Kathryn I completely forgot and I can t get away from work| [person:kathryn f 1-1][person:bryan m 2-2][person:bryan m 6-6]
kathryn| No problem Do you know if anybody else is free to pick me up| [person:bryan m 3-3][person:anybody g() 6-6][person:kathryn f 12-12]
bryan| Why don t you ask whether Maryam or Shannon can pick you up| [person:kathryn f 3-3][person:maryam f 6-6][person:shannon m 8-8][person:kathryn f 11-11]
kathryn| I m pretty sure Maryam is still busy on her project but I ll message Shannon| [person:kathryn f 0-0][person:maryam f 4-4][person:maryam f 9-9][person:kathryn f 12-12][person:shannon m 15-15]
bryan| I am so sorry for forgetting about your arrival| [person:bryan m 0-0][person:kathryn f 7-7]
kathryn| Don t worry Bryan It s okay I understand| [person:bryan m 3-3][person:kathryn f 7-7]
bryan| Okay get back to me when it s sorted out| [person:bryan m 4-4]
kathryn| Shannon texted me back He ll pick me up but I really hate his aggressive driving and his stupid sports car He isn t very considerate| [person:shannon m 0-0][person:kathryn f 2-2][person:shannon m 4-4][person:kathryn f 7-7][person:shannon m 10-10][person:shannon m 13-13][person:shannon m 17-17][person:shannon m 21-21]
bryan| Yeah I know But at least everything is sorted out now| [person:bryan m 1-1]

conv:people_chats_04182020_581:aug_0:chat_0:chataug_0| mason william| [person:mason m 0-0][person:william m 1-1]
mason| Hey William Where are you At what time are you coming| [person:william m 1-1][person:william m 4-4][person:william m 9-9]
william| I m leaving now will be there in few minutes| [person:william m 0-0][location:there u 6-6]
mason| Okay did you buy anything for our friend Grace| [person:william m 2-2][person:our g(mason:william) 6-6][person:grace f 7-7][person:grace f 8-8]
william| Yeah I bought a teddy bear for her| [person:william m 1-1][person:grace f 7-7]
mason| No William that won t work as I spoke to his girlfriend Juliet and she said buying a teddy bear isn t a good idea| [person:william m 1-1][person:mason m 7-7][person:his m 10-10][person:girlfriend f 11-11][person:girlfriend f 12-12][person:girlfriend f 14-14]
william| Oh I didn t know about it Okay let s go to the store near to the hospital and buy cards and presents for them| [person:william m 1-1][location:store s 13-13][location:hospital s 17-17][person:them g(grace:girlfriend) 24-24]
mason| Okay that would be good idea and at what time you will be coming here| [person:william m 10-10][location:store s 14-14]
william| Most probably I ll be there in another 30 minutes| [person:william m 2-2][location:store s 5-5]
mason| Okay I will be waiting for you| [person:mason m 1-1][person:william m 6-6]
william| Yeah see you soon Mason| [person:mason m 2-2][person:mason m 4-4]

conv:people_chats_04182020_582:aug_0:chat_0:chataug_0| ivan lance| [person:ivan m 0-0][person:lance m 1-1]
ivan| Lance what time are you free on Saturday to watch the new action movie that Adam you and I were planning to go to| [person:lance m 0-0][person:lance m 4-4][person:adam m 15-15][person:lance m 16-16][person:ivan m 18-18]
lance| Hold on Adam just called me He is saying Josh is sick| [person:adam m 2-2][person:lance m 5-5][person:adam m 6-6][person:josh m 9-9]
ivan| That s so unfortunate He just recovered from diarrhea| [person:josh m 4-4]
lance| Exactly Instead of watching a movie Lets visit Josh| [person:josh m 8-8]
ivan| Yes That is a good idea Lance| [person:lance m 6-6]
lance| Okay Where should I pick you up| [person:lance m 3-3][person:ivan m 5-5]
ivan| I ll be at the central library After Adam you can come and get me from there| [person:ivan m 0-0][person:adam m 8-8][person:lance m 9-9][person:ivan m 14-14]
lance| That is Fine At what time you want to catch me| [person:ivan m 6-6][person:lance m 10-10]
ivan| I ll catch you at 10 AM Lance| [person:ivan m 0-0][person:lance m 3-3][person:lance m 7-7]
lance| Cool See you on Saturday| [person:ivan m 2-2]

conv:people_chats_04182020_583:aug_0:chat_0:chataug_0| pam stephen| [person:pam f 0-0][person:stephen m 1-1]
pam| Stephen I think we should tell Sarah what we saw today| [person:stephen m 0-0][person:pam f 1-1][person:we g(pam:stephen) 3-3][person:sarah f 6-6][person:we g(pam:stephen) 8-8]
stephen| Yes Pam I thought the trash bags outside the door were making the noise until I realized that there were rats in it| [person:pam f 1-1][person:stephen m 2-2][person:stephen m 15-15]
pam| Yes it was absolutely disgusting|
stephen| I was okay with all the trash but after seeing rats in it I feel that it is not acceptable| [person:stephen m 0-0][person:stephen m 13-13]
pam| What if those rats enter our house| [person:we g(pam:stephen) 5-5][location:house s 6-6]
stephen| I will go crazy and never enter this apartment again| [person:stephen m 0-0][location:apartment s 8-8]
pam| We should talk to Sarah about this| [person:we g(pam:stephen) 0-0][person:sarah f 4-4]
stephen| How should we tell her about this| [person:we g(pam:stephen) 2-2][person:sarah f 4-4]
pam| We ll tell her it s unhygienic to keep trash this way and that it should taken to the dumpster more often| [person:we g(pam:stephen) 0-0][person:sarah f 3-3]
stephen| Okay we ll talk to her tomorrow| [person:we g(pam:stephen) 1-1][person:sarah f 5-5]

conv:people_chats_04182020_585:aug_0:chat_0:chataug_0| conrad joceline| [person:conrad m 0-0][person:joceline f 1-1]
conrad| Hey Joceline I m wondering about that app you created| [person:joceline f 1-1][person:conrad m 2-2][person:joceline f 8-8]
joceline| Hey sure What s up|
conrad| Well I m actually thinking of making an app of my own But I don t really know where to start| [person:conrad m 1-1][person:conrad m 10-10][person:conrad m 13-13]
conrad| How did you make yours| [person:joceline f 2-2][person:joceline f 4-4]
joceline| Oh Well actually I got help from a couple of people| [person:joceline f 3-3]
joceline| Do you remember Roy and Joy They helped me the whole way through| [person:conrad m 1-1][person:roy m 3-3][person:joy f 5-5][person:they g(roy:joy) 6-6][person:joceline f 8-8]
conrad| Oh really Do they know a lot about app creation| [person:they g(roy:joy) 3-3]
joceline| Yes In fact Roy and Joy have their very own app creation company So they help create apps for a living| [person:roy m 3-3][person:joy f 5-5][person:they g(roy:joy) 7-7][person:they g(roy:joy) 14-14]
conrad| That s so cool I had no idea Maybe I should seek out some professional help if I want to make this app as great as I imagine it can be| [person:conrad m 4-4][person:conrad m 9-9][person:conrad m 17-17][person:conrad m 26-26]
joceline| I think getting the help of a professional company is a smart move and a good investment| [person:joceline f 0-0]
conrad| Right It s just that I m on a budget and I don t know how much professional help I can afford| [person:conrad m 5-5][person:conrad m 11-11][person:conrad m 19-19]
conrad| How much did creating your app cost you if you don t mind my asking| [person:joceline f 4-4][person:joceline f 7-7][person:joceline f 9-9][person:conrad m 13-13]
joceline| Well the price really depends on what you want out of your app| [person:conrad m 7-7][person:conrad m 11-11]
joceline| When I went through Roy and Joy s company the prices were determined by how many different features I wanted to add on my app If I wanted an interactive interface multiplayer mode and inapp purchases I had to pay more| [person:joceline f 1-1][person:roy m 4-4][person:joy f 6-6][person:joceline f 18-18][person:joceline f 23-23][person:joceline f 26-26][person:joceline f 36-36]
joceline| Each feature that you choose to add on has an individual price So it s hard to give you an estimate of what your app might cost| [person:conrad m 3-3][person:conrad m 18-18][person:conrad m 23-23]
joceline| You ve got to know exactly what you want and price it out| [person:conrad m 0-0][person:conrad m 7-7]
conrad| Wow I see So I guess I need to start making a list of different features I want on my app| [person:conrad m 1-1][person:conrad m 4-4][person:conrad m 6-6][person:conrad m 16-16][person:conrad m 19-19]
joceline| Sounds like a good idea Then get in touch with a company and they can give you a price estimate| [person:they g(roy:joy) 13-13][person:conrad m 16-16]
joceline| I can put you in touch with Roy and Joy if you want| [person:joceline f 0-0][person:conrad m 3-3][person:roy m 7-7][person:joy f 9-9][person:conrad m 11-11]
conrad| Sounds great Go ahead and give me their info I ll get in touch with them once I plan this out a bit more Thank you Joceline| [person:conrad m 6-6][person:they g(roy:joy) 7-7][person:conrad m 9-9][person:they g(roy:joy) 15-15][person:conrad m 17-17][person:joceline f 25-25][person:joceline f 26-26]

conv:people_chats_04182020_587:aug_0:chat_0:chataug_0| donna rachel| [person:donna f 0-0][person:rachel f 1-1]
donna| Hey Rachel What about girls night in| [person:rachel f 1-1][person:girls g(donna:rachel) 4-4]
rachel| Yes Donna I am ready for the night out| [person:donna f 1-1][person:rachel f 2-2]
donna| Super excited Are we doing this all out fun| [person:girls g(donna:rachel) 3-3]
rachel| Dear time to be flappers I have got the menu ready in my mind| [person:rachel f 5-5][person:rachel f 12-12]
donna| Yeah That s good Rachel We will invite Madison to the party| [person:rachel f 4-4][person:girls g(donna:rachel) 5-5][person:madison f 8-8]
rachel| I don t think Madison will accept our invitation| [person:rachel f 0-0][person:madison f 4-4][person:girls g(donna:rachel) 7-7]
donna| We would convince Madison so that we will not have any problem| [person:girls g(donna:rachel) 0-0][person:madison f 3-3][person:girls g(donna:rachel) 6-6]
rachel| Okay Madison We ll convince her| [person:madison f 1-1][person:girls g(donna:rachel) 2-2][person:madison f 5-5]
rachel| Let us make her enjoy our company| [person:girls g(donna:rachel) 1-1][person:madison f 3-3][person:girls g(donna:rachel) 5-5]
donna| Okay Rachel Get ready for the night out| [person:rachel f 1-1]

conv:people_chats_04182020_589:aug_0:chat_0:chataug_0| keira sharon| [person:keira f 0-0][person:sharon f 1-1]
keira| Hey Sharon I am so bored Shall we go out for this weekend| [person:sharon f 1-1][person:keira f 2-2][person:sharon_and_keira g(keira:sharon) 7-7]
sharon| Yeah Where shall we go Keira| [person:sharon_and_keira g(keira:sharon) 3-3][person:keira f 5-5]
keira| Let s go out for hiking|
sharon| Great but in order to do hiking we should understand the terrain| [person:sharon_and_keira g(keira:sharon) 7-7][location:terrain s 11-11]
sharon| Do you know anything about it| [person:keira f 1-1][location:terrain s 5-5]
keira| I don t know anything about it Keira| [person:keira f 0-0][location:terrain s 6-6][person:keira f 7-7]
keira| But we can ask our friends Beverly and Martha They can help us in hiking as they are experienced hikers| [person:sharon_and_keira g(keira:sharon) 1-1][person:sharon_and_keira g(keira:sharon) 4-4][person:beverly_and_martha g() 5-5][person:beverly f 6-6][person:martha f 8-8][person:beverly_and_martha g(beverly:martha) 9-9]
sharon| Yeah you are right We can also learn a lot from them about hiking| [person:keira f 1-1][person:sharon_and_keira g(keira:sharon) 4-4][person:beverly_and_martha g(beverly:martha) 11-11]
keira| Yes I will ask them whether they will be available to help us out in hiking| [person:keira f 1-1][person:beverly_and_martha g(beverly:martha) 4-4][person:beverly_and_martha g(beverly:martha) 6-6][person:sharon_and_keira g(keira:sharon) 12-12]
sharon| Yeah okay Tell me once they reply to you| [person:sharon f 3-3][person:beverly_and_martha g(beverly:martha) 5-5][person:keira f 8-8]

conv:people_chats_04182020_590:aug_0:chat_0:chataug_0| eric stacey| [person:eric m 0-0][person:stacey f 1-1]
eric| Stacey I fear we need to postpone our date to Saturday| [person:stacey f 0-0][person:eric m 1-1][person:we g(eric:stacey) 3-3][person:we g(eric:stacey) 7-7]
stacey| You cannot do this Eric Why are you postponing our date| [person:eric m 0-0][person:eric m 4-4][person:eric m 7-7][person:we g(eric:stacey) 9-9]
eric| I have already made plans with Derek and Howard for Friday night| [person:eric m 0-0][person:derek m 6-6][person:howard m 8-8]
stacey| You haven t told me once about this before making plans with them| [person:eric m 0-0][person:stacey f 4-4][person:them g(derek:howard) 12-12]
eric| Don t worry dear we can have our date on Saturday| [person:we g(eric:stacey) 4-4][person:we g(eric:stacey) 7-7]
stacey| I want you to move your plans Eric I ve told you I m busy on Saturday| [person:stacey f 0-0][person:eric m 2-2][person:eric m 5-5][person:eric m 7-7][person:stacey f 8-8][person:eric m 11-11][person:stacey f 12-12]
eric| Derek Howard are leaving the town soon So they will not change their plans| [person:derek m 0-0][person:howard m 1-1][location:town s 5-5][person:them g(derek:howard) 8-8][person:them g(derek:howard) 12-12]
stacey| I understand that Eric but I ve been looking forward to this since long| [person:stacey f 0-0][person:eric m 3-3][person:stacey f 5-5]
eric| I m sorry to hurt you dear but they will leave the town soon So I need to be with them| [person:eric m 0-0][person:stacey f 5-5][person:stacey f 6-6][person:them g(derek:howard) 8-8][location:town s 12-12][person:eric m 15-15][person:them g(derek:howard) 20-20]
stacey| Alright go ahead But I ll not be available on Saturday| [person:stacey f 4-4]

conv:people_chats_04182020_591:aug_0:chat_0:chataug_0| edward walt| [person:edward m 0-0][person:walt m 1-1]
edward| Hey Walt What your plans for Cathy| [person:walt m 1-1][person:walt m 3-3][person:cathy f 6-6]
walt| My imminent plan is to date her But unfortunately she is having her baby shower I am no where in the god damn picture| [person:walt m 0-0][person:cathy f 6-6][person:cathy f 9-9][person:cathy f 12-12][person:walt m 15-15]
edward| Should I laugh or lament at your perilous situation dude Anyways it s incredible to see you carrying little torch for her| [person:edward m 1-1][person:walt m 6-6][person:walt m 16-16][person:cathy f 21-21]
edward| People are starting to notice Are t they I think you bought her the whole shopping mall Man you crazy| [person:edward m 8-8][person:walt m 10-10][person:cathy f 12-12][person:walt m 18-18]
walt| Just following Donald s order He liked the idea of Mermaid costume I think Cathy will love it| [person:donald m 2-2][person:donald m 5-5][person:walt m 12-12][person:cathy f 14-14]
edward| Yeah it seems you buying for her and not the baby I read somewhere I wish you were a little girl again because skinned knees are easier to fix than a broken heart| [person:walt m 3-3][person:cathy f 6-6][person:edward m 11-11][person:edward m 14-14][person:walt m 16-16]
walt| You maybe right I think I should also gift a little heart and onesies| [person:edward m 0-0][person:walt m 3-3][person:walt m 5-5]
walt| Donald called me up and he for the most part was happy It will be memorable get together with my old friend| [person:donald m 0-0][person:walt m 2-2][person:donald m 5-5][person:walt m 19-19][person:cathy f 21-21]
edward| Except the fact that you are her ex Having said that I like the gifts what you bought Let s go out for redemption as that s what is left| [person:walt m 4-4][person:cathy f 6-6][person:edward m 11-11][person:walt m 16-16]
walt| It is strange how often a heart must be broken before the years can make it wise Let s go|

conv:people_chats_04182020_592:aug_0:chat_0:chataug_0| andre suzy| [person:andre m 0-0][person:suzy f 1-1]
andre| Hey Suzy Are you excited for the carnival| [person:suzy f 1-1][person:suzy f 3-3]
suzy| Hi Andre I can t wait for it I ve only heard good things about it| [person:andre m 1-1][person:suzy f 2-2][person:suzy f 8-8]
andre| Yeah Let s reach the venue at least a couple hours in advance to beat the rush|
suzy| Yeah sure I m already feeling tired thinking about the long lines at the entrance gate| [person:suzy f 2-2]
andre| I know Suzy And the weather forecast for tomorrow is super hot too| [person:andre m 0-0][person:suzy f 2-2]
suzy| Oh my god Isn t there any way to skip those long lines| [person:suzy f 1-1]
andre| I remember how my friend Isabella purchased fast lane coupons last year so she could skip the line| [person:andre m 0-0][person:suzy f 3-3][person:isabella f 4-4][person:isabella f 5-5][person:isabella f 13-13]
suzy| That s a great idea I will look for the fast lane coupons online| [person:suzy f 5-5]
andre| Can you purchase one for me as well please| [person:suzy f 1-1][person:andre m 5-5]
suzy| I found them and purchased two of them for us Good bye long lines| [person:suzy f 0-0][person:us g(andre:suzy) 9-9]

conv:people_chats_04182020_593:aug_0:chat_0:chataug_0| harvey khalil| [person:harvey m 0-0][person:khalil m 1-1]
harvey| Khalil are you ready with your plans for the party| [person:khalil m 0-0][person:khalil m 2-2][person:khalil m 5-5]
khalil| I tried to prepare in my way but I am not sure about it| [person:khalil m 0-0][person:khalil m 5-5][person:khalil m 8-8]
harvey| As the party date is coming I am getting more tensed As we are new to this society we also don t know all the neighbors| [person:harvey m 6-6][person:we g(harvey:khalil) 12-12][person:we g(harvey:khalil) 18-18][person:neighbors g() 25-25]
khalil| I think we should take help from Sara and Cathy| [person:khalil m 0-0][person:we g(harvey:khalil) 2-2][person:sara f 7-7][person:cathy f 9-9]
khalil| As they are the only person with whom we have a good interaction| [person:they g(sara:cathy) 1-1][person:we g(harvey:khalil) 8-8]
harvey| Even they both have good relationships with almost all the neighbors| [person:they g(sara:cathy) 1-1][person:neighbors g() 10-10]
khalil| Even they can give us the idea of precious parties that they had| [person:they g(sara:cathy) 1-1][person:us g(harvey:khalil) 4-4][person:they g(sara:cathy) 11-11]
harvey| I will contact them and share all our plannings| [person:harvey m 0-0][person:them g(sara:cathy) 3-3][person:our g(harvey:khalil) 7-7]
harvey| They will be a great asset in assisting them| [person:they g(sara:cathy) 0-0][person:them g(sara:cathy) 8-8]
khalil| See you then in the evening at the meeting| [person:harvey m 1-1]

conv:people_chats_04182020_595:aug_0:chat_0:chataug_0| amy sabrina| [person:amy f 0-0][person:sabrina f 1-1]
sabrina| Hey Amy What are you doing| [person:amy f 1-1][person:amy f 4-4]
amy| Hey Sabrina I want to go for swimming Will you join me| [person:sabrina f 1-1][person:amy f 2-2][person:sabrina f 9-9][person:amy f 11-11]
sabrina| Yeah sure It s been a long time we ve gone for swimming| [person:we g(sabrina:amy) 8-8]
amy| Frankly speaking I don t even know how to swim| [person:amy f 2-2]
sabrina| My friends Romeo and Dante are very athletic in swimming| [person:sabrina f 0-0][person:friends g() 1-1][person:romeo m 2-2][person:dante m 4-4]
sabrina| Both the boys might tag along so don t worry about anything| [person:friends g(romeo:dante) 2-2]
amy| It would be much better if I have familiar persons around me| [person:amy f 6-6][person:amy f 11-11]
sabrina| You ll be very much comfortable with them in the swimming pool don t worry| [person:amy f 0-0][person:friends g(romeo:dante) 7-7]
amy| Yeah okay But I have a problem to enter the swimming pool| [person:amy f 3-3]
sabrina| Why What s the problem Amy| [person:amy f 5-5]
amy| I don t know where to get a bathing suit| [person:amy f 0-0]
sabrina| You ll find a rental bathing suit there don t worry about it| [person:amy f 0-0]
amy| I really didn t know about it Thank you very much| [person:amy f 0-0][person:sabrina f 8-8]
amy| I am really looking forward to have a great fun in swimming pool| [person:amy f 0-0]

