conv:people_2019082201_262:aug_0:chat_0:chataug_0| abigail lara| [person:abigail f 0-0][person:lara f 1-1]
derek| Mention not And if you need help with anything else You can always ask me| [person:brian m 4-4][person:brian m 10-10][person:derek m 14-14]
brian| Will do Do you know what both Bryans Jordan and Denise like| [person:derek m 3-3][person:jordan m 8-8][person:denise f 10-10]
derek| I have no idea But you can ask Joe She knows Jordan better| [person:derek m 0-0][person:brian m 5-5][person:joe m 8-8][person:denise f 9-9][person:jordan m 11-11]
brian| Okay That sounds good to me I will do that| [person:brian m 5-5][person:brian m 6-6]
derek| Do you have Joe s phone number| [person:brian m 1-1][person:joe m 3-3]
brian| Yes I have it I will call her as soon as I can Bye Derek| [person:brian m 1-1][person:brian m 4-4][person:denise f 7-7][person:brian m 11-11][person:derek m 14-14]
derek| Bye Brian See you| [person:brian m 1-1][person:brian m 3-3]

conv:people_2019082201_369:aug_0:chat_0:chataug_0| karen sophia| [person:karen f 0-0][person:sophia f 1-1]
sophia| Hey Karen are you excited to go over to the Watsons place for their get together| [person:karen f 1-1][person:karen f 3-3][person:watsons g() 10-10][location:place s 11-11][person:watsons g() 13-13]
karen| Definitely they throw good parties What should we bring over for gifts| [person:watsons g() 1-1][person:we g(sophia:karen) 7-7]
sophia| I was thinking of getting Sam some sports tickets Ashley likes blouses and I m not sure what their son Gregory likes| [person:sophia f 0-0][person:sam m 5-5][person:ashley f 9-9][person:sophia f 13-13][person:watsons g(sam:ashley) 18-18][person:gregory m 20-20]
karen| Gregory really loves puzzles I think he d like that| [person:gregory m 0-0][person:karen f 4-4][person:gregory m 6-6]
sophia| Okay I ll be at the mall so I can get Ashley and Gregory their gifts Can you get the sports tickets for Sam| [person:sophia f 1-1][location:mall s 6-6][person:sophia f 8-8][person:ashley f 11-11][person:gregory m 13-13][person:their g(ashley:gregory) 14-14][person:karen f 17-17][person:sam m 23-23]
karen| Yeah I can get those for Sam Do you know if he d like hockey or basketball tickets more| [person:karen f 1-1][person:sam m 6-6][person:sophia f 8-8][person:sam m 11-11]
sophia| He always mentions basketball so I think he d prefer that| [person:sam m 0-0][person:sophia f 5-5][person:sam m 7-7]
karen| Okay i think I know some games that are coming up| [person:karen f 1-1][person:karen f 3-3]
sophia| Okay I ll get Ashley and Gregory s gifts soon| [person:sophia f 1-1][person:ashley f 4-4][person:gregory m 6-6]
karen| Sounds good see you later| [person:sophia f 3-3]
sophia| Okay later then|

conv:people_2019082201_370:aug_0:chat_0:chataug_0| clyde wayne| [person:clyde m 0-0][person:wayne m 1-1]
clyde| Hey Wayne Let s get some good food around noon| [person:wayne m 1-1]
wayne| That sounds good I m really hungry so anything sounds good| [person:wayne m 3-3]
clyde| Same here I was thinking of going somewhere with a lot of food options so we can choose| [person:clyde m 2-2][person:clyde___wayne g(clyde:wayne) 15-15]
wayne| That is exactly what I wanted to suggest because I might end up eating a lot after skipping breakfast this morning Haha| [person:wayne m 4-4][person:wayne m 9-9]
wayne| Hey I was thinking we could also invite Bryan and Aaron We all haven t met up in so long| [person:wayne m 1-1][person:clyde___wayne g(clyde:wayne) 4-4][person:bryan m 8-8][person:aaron m 10-10][person:clyde___wayne g(clyde:wayne) 11-11]
clyde| That sounds great But Aaron only wants to eat pizza all the time Do you think he would mind eating something else| [person:aaron m 4-4][person:wayne m 14-14][person:aaron m 16-16]
wayne| He shouldn t I hope We can t just only eat pizza all the time right| [person:aaron m 0-0][person:wayne m 3-3][person:clyde___wayne g(clyde:wayne) 5-5]
wayne| I think we could find a place that also serves pizza though just in case And that s including all of the other food options What do you think| [person:wayne m 0-0][person:clyde___wayne g(clyde:wayne) 2-2][location:place s 6-6][person:clyde m 27-27]
clyde| That sounds fine I guess A lot of places have pizza How about Chile s then| [person:clyde m 3-3][location:place g() 8-8]
wayne| That sounds good to me Let s let them know of the time and meet up tomorrow then| [person:wayne m 4-4][person:aaron___bryan g(aaron:bryan) 8-8]
clyde| Sounds good|
clyde| See you all then| [person:wayne m 1-1]

conv:people_2019082201_373:aug_0:chat_0:chataug_0| andrea kate| [person:andrea f 0-0][person:kate f 1-1]
kate| Hey Andrea are you free this Saturday| [person:andrea f 1-1][person:andrea f 3-3]
andrea| Hey Yes I am Do you need anything| [person:andrea f 2-2][person:kate f 5-5]
kate| Yes Tom and Randy are coming over But I can t take them out| [person:tom m 1-1][person:randy m 3-3][person:kate f 8-8][person:them g(tom:randy) 12-12]
andrea| Oh dear why|
kate| I do have some work to do on that day Can you take them out for me| [person:kate f 0-0][person:andrea f 11-11][person:them g(tom:randy) 13-13][person:kate f 16-16]
andrea| Yeah sure|
andrea| What do they like| [person:them g(tom:randy) 2-2]
andrea| Did yu planned anything for them| [person:them g(tom:randy) 5-5]
kate| Yeah I planned to take them out for lunch and then a movie| [person:kate f 1-1][person:them g(tom:randy) 5-5]
andrea| What kind of movie do they like| [person:them g(tom:randy) 5-5]
andrea| And what type of food|
kate| They like SciFi and adventure movies| [person:them g(tom:randy) 0-0]
kate| take them to a Italian cuisine for lunch| [person:them g(tom:randy) 1-1]
andrea| Is that all|
kate| Yeah Can you do it| [person:andrea f 2-2]
andrea| Sure dear Send me their phone number later so that I can contact them| [person:andrea f 3-3][person:them g(tom:randy) 4-4][person:andrea f 10-10][person:them g(tom:randy) 13-13]
kate| Okay sure See you then Thank you| [person:andrea f 3-3][person:andrea f 6-6]
andrea| Bye|

conv:people_2019082201_375:aug_0:chat_0:chataug_0| michelle terry| [person:michelle f 0-0][person:terry m 1-1]
terry| Michelle who all are coming to watch the playoff| [person:michelle f 0-0]
michelle| I have invited Marilyn Jesse Kayla and John| [person:michelle f 0-0][person:marilyn f 3-3][person:jesse m 4-4][person:kayla f 5-5][person:john m 7-7]
terry| Ok sounds good What snacks should we get| [person:we g(terry:michelle:marilyn:jesse:kayla:john) 6-6]
michelle| John loves Mexican food I think we should get some tacos and burritos| [person:john m 0-0][person:michelle f 4-4][person:we g(terry:michelle:marilyn:jesse:kayla:john) 6-6]
terry| Hmm Well obviously be getting some pizzas as well right|
michelle| Of course Jesse can t do without it I m not sure what Marilyn and Kayla prefer| [person:jesse m 2-2][person:michelle f 8-8][person:marilyn f 13-13][person:kayla f 15-15]
terry| Everyone loves fries and crisps We can t go wrong with that| [person:we g(terry:michelle:marilyn:jesse:kayla:john) 0-0][person:we g(terry:michelle:marilyn:jesse:kayla:john) 5-5]
michelle| Right I remember one of them being allergic to nuts and gluten So we need to get something that s allergen free as well| [person:michelle f 1-1][person:them g(marilyn:jesse:kayla:john) 5-5][person:we g(terry:michelle:marilyn:jesse:kayla:john) 13-13]
terry| Good that you remembered I ll get that What about drinks| [person:michelle f 2-2][person:terry m 4-4]
michelle| Let s get some beer Coke and a few cans of red bull just in case the match goes late into the night|
terry| Okay That s sorted I ll see you at the game then| [person:terry m 4-4][person:michelle f 7-7]
michelle| Bye See you| [person:terry m 2-2]

conv:people_2019082201_377:aug_0:chat_0:chataug_0| barry mark| [person:barry m 0-0][person:mark m 1-1]
barry| Hey Mark so let s plan the anniversary for the Sams today Where do you think we should have it| [person:mark m 1-1][person:mark m 14-14][person:we g(barry:mark) 16-16]
mark| The Sams I know absolutely love Italian food They always talk about that sort of food but I know they also hate greasy food| [person:mark m 2-2][person:them g() 8-8][person:mark m 17-17][person:them g() 19-19]
mark| I think that Italian food should be a great option| [person:mark m 0-0]
barry| Oh that is right So what s a good Italian restaurant that you know that s also high end| [location:restaurant s 10-10][person:mark m 12-12]
barry| And who else should we ask about the planning for the Sams| [person:we g(barry:mark) 4-4]
mark| The best Italian restaurant I know that s nearby to them I think is the Cheesecake Factory| [location:restaurant s 3-3][person:mark m 4-4][person:them g() 10-10][person:mark m 11-11][location:factory s 16-16]
mark| Hey but Jeffrey knows a lot about the Sams too because he s gone out to eat with them multiple times We should ask him too| [person:jeffrey m 2-2][person:jeffrey m 11-11][person:them g() 18-18][person:we g(barry:mark) 21-21][person:jeffrey m 24-24]
barry| That is true let s try and get his suggestions too I know that he and Tony were friends even before we met Tony| [person:jeffrey m 8-8][person:barry m 11-11][person:jeffrey m 14-14][person:tony m 16-16][person:friends g(jeffrey:tony) 18-18][person:we g(barry:mark) 21-21][person:tony m 23-23]
barry| I ll text him now to see what he thinks and let you know| [person:barry m 0-0][person:jeffrey m 3-3][person:jeffrey m 8-8][person:mark m 12-12]
mark| Sounds good Let s make this special for them| [person:them g(tony) 8-8]

conv:people_2019082201_378:aug_0:chat_0:chataug_0| marilyn martin| [person:marilyn f 0-0][person:martin m 1-1]
martin| Hi Marilyn| [person:marilyn f 1-1]
marilyn| Hi darling how was work|
martin| I am stuck working longer than I planned Can you pick Susie up from soccer practice| [person:martin m 0-0][person:martin m 6-6][person:marilyn f 9-9][person:susie f 11-11]
marilyn| Sure I will get her Can you stop for the brunch snacks and soda instead| [person:marilyn f 1-1][person:susie f 4-4][person:martin m 6-6]
martin| Yes what should we get| [person:marilyn___martin g(martin:marilyn) 3-3]
marilyn| Well all of us like Cape Cod Chips Tommy and Debra drink Pepsi and Angela prefers Sprite| [person:entire_group_except_susie g(martin:marilyn) 3-3][person:tommy m 8-8][person:debra f 10-10][person:angela f 14-14]
martin| So we just need to think of like two more snacks What about hummus and tortilla chips| [person:marilyn___martin g(martin:marilyn) 1-1]
marilyn| Yum Maybe add guacamole too because I think Tommy doesn t like tahini| [person:marilyn f 6-6][person:tommy m 8-8]
martin| Alright I ll get those at the store| [person:martin m 1-1]
marilyn| I m leaving now to pick up Susie at practice Bye| [person:marilyn f 0-0][person:susie f 7-7]
martin| I ll bring dinner home tonight too see you soon| [person:martin m 0-0][location:home s 4-4][person:marilyn f 8-8]

conv:people_2019082201_379:aug_0:chat_0:chataug_0| clyde jennifer| [person:clyde m 0-0][person:jennifer f 1-1]
clyde| Hey Jen did you invite everyone for dinner tomorrow already| [person:jen f 1-1][person:jennifer f 3-3][person:everyone g(clyde:jennifer:jen) 5-5]
jennifer| Yeah I did they ll all be coming| [person:jennifer f 1-1][person:they g(jen) 3-3]
clyde| Cool do you know what you want to make| [person:jennifer f 2-2][person:jennifer f 5-5]
jennifer| Alexis is vegan so I was thinking about making a vegan dish of some kind| [person:alexis f 0-0][person:jennifer f 4-4]
clyde| Ok I ll get something with meat for the others if they don t like vegan| [person:clyde m 1-1][person:others g(jen:alexis) 9-9][person:they g(jen:alexis) 11-11]
jennifer| How about snacks You bringing any| [person:clyde m 3-3]
clyde| Yeah I m bringing fries| [person:clyde m 1-1]
jennifer| Do you have everything we need to cook| [person:clyde m 1-1][person:we g(clyde:jennifer) 4-4]
clyde| For my part yes but if you need anything I can grab stuff at the store for you when I get off work| [person:clyde m 1-1][person:jennifer f 6-6][person:clyde m 9-9][person:jennifer f 17-17][person:clyde m 19-19]
jennifer| Cool can you get me some almond milk and salad greens| [person:clyde m 2-2][person:jennifer f 4-4]
clyde| Sure will see you when I get home| [person:jennifer f 3-3][person:clyde m 5-5][location:home s 7-7]

conv:people_2019090101_1:aug_0:chat_0:chataug_0| cheryl eric| [person:cheryl f 0-0][person:eric m 1-1]
eric| i was late to work can u pick Joyce up from play school| [person:eric m 0-0][person:cheryl f 6-6][person:joyce f 8-8][location:school s 12-12]
cheryl| i was planning on shopping for the movie night| [person:cheryl f 0-0]
eric| I can do that instead| [person:cheryl f 0-0]
cheryl| okay then what are you going to buy| [person:eric m 4-4]
eric| i don t know what do you think i should buy| [person:eric m 0-0][person:cheryl f 6-6][person:eric m 8-8]
cheryl| what do you think Larry would like| [person:eric m 2-2][person:larry m 4-4]
eric| i don t know him that well| [person:eric m 0-0][person:larry m 4-4]
cheryl| just buy some popcorn chips and soda then|
eric| what kind should I buy though| [person:eric m 3-3]
cheryl| i don t think it matters whatever s cheapest| [person:cheryl f 0-0]

conv:people_2019090101_4:aug_0:chat_0:chataug_0| christopher marilyn| [person:christopher m 0-0][person:marilyn f 1-1]
christopher| Marilyn do you like to hangout with my friends| [person:marilyn f 0-0][person:marilyn f 2-2][person:christopher m 7-7][person:them g() 8-8]
marilyn| Who are they| [person:them g() 2-2]
christopher| Evelyn Kathryn and Jerry you know them| [person:evelyn f 0-0][person:kathryn f 1-1][person:jerry m 3-3][person:marilyn f 4-4][person:them g(evelyn:kathryn:jerry) 6-6]
marilyn| No I dont know them| [person:marilyn f 1-1][person:them g(evelyn:kathryn:jerry) 4-4]
christopher| Then you should join it It will be a nice experience| [person:marilyn f 1-1]
marilyn| I am not interested you go on| [person:marilyn f 0-0][person:christopher m 4-4]
christopher| No Merilyn getting more friends is a wealth they are good friends| [person:them g(evelyn:kathryn:jerry) 4-4][person:them g(evelyn:kathryn:jerry) 8-8][person:them g(evelyn:kathryn:jerry) 11-11]
marilyn| I haven t even seen them then how can I| [person:marilyn f 0-0][person:them g(evelyn:kathryn:jerry) 5-5][person:marilyn f 9-9]
christopher| it is not a problem It will be a pleasant experience for you| [person:marilyn f 12-12]
marilyn| Thats okay you tell me about them then| [person:christopher m 2-2][person:marilyn f 4-4][person:them g(evelyn:kathryn:jerry) 6-6]
christopher| I have once mentioned them about you They are eager to acquaint with you| [person:christopher m 0-0][person:them g(evelyn:kathryn:jerry) 4-4][person:marilyn f 6-6][person:them g(evelyn:kathryn:jerry) 7-7][person:marilyn f 13-13]
marilyn| Ok then I shall join you| [person:marilyn f 2-2][person:christopher m 5-5]

conv:people_2019090101_5:aug_0:chat_0:chataug_0| joe sam| [person:joe m 0-0][person:sam m 1-1]
sam| Hi Joe| [person:joe m 1-1]
joe| Hi Sam| [person:sam m 1-1]
sam| Do you think about the basket ball game| [person:joe m 1-1]
joe| Yes I am always thinking about the game| [person:joe m 1-1]
sam| Johnny and Edward also wants to join with us| [person:johnny m 0-0][person:edward m 2-2][person:us g(sam:joe) 8-8]
joe| Oh Nice They both are really fun| [person:they g(johnny:edward) 2-2]
sam| Yes if they are with us it will be really fun| [person:they g(johnny:edward) 2-2][person:us g(sam:joe) 5-5]
joe| Ok Then do you think about the stadium| [person:sam m 3-3][location:stadium s 7-7]
sam| Yes I like LA Clippers| [person:sam m 1-1][location:los_angeles s 3-3]
joe| Yes I think about it But Johnny and Edward like Houston Rockers| [person:joe m 1-1][person:johnny m 6-6][person:edward m 8-8]
sam| That s not a problem We can watch the game at Houston Rockers| [person:we g(sam:joe:johnny:edward) 5-5]
joe| Really|
sam| Yes|
joe| Ok Then I will inform that to them| [person:joe m 2-2][person:they g(johnny:edward) 7-7]
sam| Nice|
joe| Bye|
sam| Bye|

conv:people_2019090101_8:aug_0:chat_0:chataug_0| alice hannah| [person:alice f 0-0][person:hannah f 1-1]
hannah| Hey Alice I gotta ask you something| [person:alice f 1-1][person:hannah f 2-2][person:alice f 5-5]
alice| Sure what can I do you for| [person:alice f 3-3][person:hannah f 5-5]
hannah| Well you re from Dallas right| [person:alice f 1-1][location:dallas s 4-4]
alice| Yup born and raised here It s awesome| [location:dallas s 4-4]
hannah| Great well I wanted to ask for recommendations for things to do over there| [person:hannah f 2-2][location:dallas s 13-13]
alice| OK is it for you or for someone else| [person:hannah f 4-4]
hannah| Actually it s for my Uncle Josh and Aunt Megan they re visiting Dallas next week| [person:hannah f 4-4][person:josh m 6-6][person:megan f 8-8][person:megan f 9-9][person:they g(josh:megan) 10-10][location:dallas s 13-13]
alice| Sure thing tell me more about them| [person:alice f 3-3][person:they g(josh:megan) 6-6]
hannah| They really like food and they want to explore the cowboy history over there| [person:they g(josh:megan) 0-0][person:they g(josh:megan) 5-5][location:dallas s 13-13]
alice| OK great how about I show them around I can take them to a nice lunch spot then tour them around the historic cowboy areas| [person:alice f 4-4][person:they g(josh:megan) 6-6][person:alice f 8-8][person:they g(josh:megan) 11-11][person:they g(josh:megan) 19-19][location:the_historic_cowboy_areas s 21-24]
hannah| Really that s so nice of you OK I ll send them your info Thanks Alice| [person:alice f 6-6][person:hannah f 8-8][person:they g(josh:megan) 11-11][person:alice f 12-12][person:alice f 15-15]
alice| You re very welcome| [person:hannah f 0-0]

conv:people_2019090101_9:aug_0:chat_0:chataug_0| marilyn sharon| [person:marilyn f 0-0][person:sharon f 1-1]
sharon| Marilyn I have a huge favor to ask you hear me out| [person:marilyn f 0-0][person:sharon f 1-1][person:marilyn f 8-8][person:sharon f 10-10]
marilyn| Hey Sharon you know I m always ready to help out a friend What s going on| [person:sharon f 1-1][person:sharon f 2-2][person:marilyn f 4-4][person:sharon f 12-12]
sharon| Well my neighbors Kenneth and Andrew are supposed to visit and I had this whole day planned out for them but I suddenly got called into work| [person:sharon f 1-1][person:neighbors g() 2-2][person:kenneth m 3-3][person:andrew m 5-5][person:sharon f 11-11][person:them g(kenneth:andrew) 19-19][person:sharon f 21-21]
marilyn| I see I d be happy to help you What kind of things do they like to do| [person:marilyn f 0-0][person:marilyn f 2-2][person:sharon f 8-8][person:they g(kenneth:andrew) 14-14]
sharon| Well they are a gay couple so they honestly love to shop| [person:they g(kenneth:andrew) 1-1][person:they g(kenneth:andrew) 7-7]
marilyn| Oh great I know this great store that sells sparkly clothes| [person:marilyn f 2-2][location:store s 6-6]
sharon| Also they really love to eat food They have a food blog| [person:they g(kenneth:andrew) 1-1][person:they g(kenneth:andrew) 7-7]
marilyn| OK I know a great spot that is super instagrammable| [person:marilyn f 1-1][location:spot s 5-5]
sharon| OK I ll put them in touch with you thank you you re a life saver| [person:sharon f 1-1][person:them g(kenneth:andrew) 4-4][person:marilyn f 8-8][person:marilyn f 10-10][person:marilyn f 11-11]
marilyn| OK sure thing no problem I know you ll return the favor someday| [person:marilyn f 5-5][person:sharon f 7-7]

conv:people_2019090101_10:aug_0:chat_0:chataug_0| cheryl helen| [person:cheryl f 0-0][person:helen f 1-1]
helen| what should we get for the trip| [person:we g(helen:cheryl) 2-2][location:trip g() 6-6]
cheryl| everyone can just bring their own stuff| [person:everyone g(helen:cheryl) 0-0][person:their g() 4-4]
helen| good idea so what should everyone bring| [person:everyone g(helen:cheryl) 5-5]
cheryl| a lot of food and drinks sounds good|
helen| we shouldn t need too much food since we can just get something to eat on the way| [person:we g(helen:cheryl) 0-0][person:we g(helen:cheryl) 8-8]
cheryl| good point some snacks will be useful|
helen| we should bring pillows in case anyone wants to take a nap| [person:we g(helen:cheryl) 0-0][person:anyone u 6-6]
cheryl| good idea make sure everyone brings toothpaste and toothbrushes| [person:everyone g(helen:cheryl) 4-4]
helen| how much money should each person bring|
cheryl| i don t think we ll need that much credit cards should be fine| [person:cheryl f 0-0][person:we g(helen:cheryl) 4-4]
helen| alright i ll see you then| [person:helen f 1-1][person:cheryl f 4-4]

conv:people_2019090101_12:aug_0:chat_0:chataug_0| john thomas| [person:john m 0-0][person:thomas m 1-1]
thomas| Hi John are you free now| [person:john m 1-1][person:john m 3-3]
john| Yes dear I am free now Anything important| [person:john m 2-2]
thomas| Yes John It is about party celebration with our friends Dwaynes| [person:john m 1-1][person:our g(thomas:john) 8-8][person:dwaynes g() 9-9]
john| Yes Yes I remember it dear| [person:john m 2-2]
thomas| Where we can have the party dear I am little bit confused about the location| [person:our g(thomas:john) 1-1][person:thomas m 7-7][location:location s 14-14]
john| I think it must be a favorite place to Dwaynes Do you know any of their friends| [person:john m 0-0][location:location s 2-2][location:location s 7-7][person:thomas m 11-11][person:dwaynes g() 15-15][person:thomas_2 m 16-16]
thomas| Yes I know that Thomas is one of the most close friend to him| [person:thomas m 1-1][person:thomas_2 m 4-4][person:thomas_2 m 11-11][person:dwaynes g() 13-13]
john| You do one thing You just talk with Thomas to know the favorite place of Dwaynes| [person:thomas m 0-0][person:thomas m 4-4][person:thomas_2 m 8-8][location:place s 13-13]
thomas| Good idea dear I am sure that Thomas know about Samuel very well Let me talk to them| [person:thomas m 3-3][person:thomas_2 m 7-7][person:samuel m 10-10][person:thomas m 14-14][person:dwaynes g() 17-17]
john| Good It is the easy way to get the information After getting the information we shall decide the place to go| [person:our g(thomas:john) 14-14][location:place s 18-18]
thomas| Sure dear Bye|
john| Bye|

conv:people_2019090101_15:aug_0:chat_0:chataug_0| ashley marie| [person:ashley f 0-0][person:marie f 1-1]
marie| Hey Ashley how have you been| [person:ashley f 1-1][person:ashley f 4-4]
ashley| I ve been doing well It s good to finally see you again| [person:ashley f 0-0][person:marie f 11-11]
marie| I know I m so excited to see everybody again Where are they| [person:marie f 0-0][person:marie f 2-2][person:everybody g(marie:ashley) 8-8][person:they g() 12-12]
ashley| You mean Emily Bradley and Greg| [person:marie f 0-0][person:emily f 2-2][person:bradley m 3-3][person:greg m 5-5]
marie| Yes It s been so long since I ve seen everybody we should go out and do something| [person:marie f 7-7][person:everybody g(marie:ashley:emily:bradley:greg) 10-10][person:we g(marie:ashley) 11-11]
ashley| Definitely I m sure everybody would be down| [person:ashley f 1-1][person:everybody g(marie:ashley:emily:bradley:greg) 4-4]
marie| What do you think we should do Can you set it all up| [person:ashley f 2-2][person:we g(marie:ashley) 4-4][person:ashley f 8-8]
ashley| Yea no problem The only thing is Bradley doesn t like to drive too far so we should pick someplace nearby that will work for him| [person:bradley m 7-7][person:we g(marie:ashley) 16-16][location:someplace s 19-19][person:bradley m 25-25]
marie| Oh okay As long as we can all get there easy I don t see a problem| [person:we g(marie:ashley) 5-5][location:someplace s 9-9][person:marie f 11-11]
ashley| Yea I know a place nearby we should go Why don t you give me a minute and i ll call them up Okay| [person:ashley f 1-1][location:place s 4-4][person:we g(marie:ashley) 6-6][person:marie f 12-12][person:ashley f 14-14][person:ashley f 18-18][person:them g(emily:bradley:greg) 21-21]
marie| Yea no problem I m so excited to see everybody again| [person:marie f 3-3][person:everybody g(marie:ashley:emily:bradley:greg) 9-9]

conv:people_2019090101_17:aug_0:chat_0:chataug_0| bobby douglas| [person:bobby m 0-0][person:douglas m 1-1]
douglas| You remember me talking about my friends Peter and Shawn They are going to be visiting Dallas| [person:bobby m 0-0][person:douglas m 2-2][person:douglas m 5-5][person:peter m 6-6][person:peter m 7-7][person:shawn m 9-9][person:they g(peter:shawn) 10-10][location:dallas s 16-16]
bobby| Cool I d like to meet them you ve talked so much about them| [person:bobby m 1-1][person:they g(peter:shawn) 6-6][person:douglas m 7-7][person:they g(peter:shawn) 13-13]
douglas| I think you ll all really hit it off Do you think you could show them around while they re in town| [person:douglas m 0-0][person:bobby m 2-2][person:bobby m 10-10][person:bobby m 12-12][person:they g(peter:shawn) 15-15][person:they g(peter:shawn) 18-18][location:dallas s 21-21]
bobby| I d be happy to What kinds of things would they like to see| [person:bobby m 0-0][person:they g(peter:shawn) 10-10]
douglas| Shawn really likes Basketball so if possible he d love to see a Mavs game| [person:shawn m 0-0][person:shawn m 7-7]
bobby| You know me love the Mavs We could do that Does Peter like Basketball too| [person:douglas m 0-0][person:bobby m 2-2][person:we g(douglas:bobby) 6-6][person:peter m 11-11]
douglas| He does though not nearly as much as Shawn| [person:peter m 0-0][person:shawn m 8-8]
bobby| What kinds of things does Peter like to do| [person:peter m 5-5]
douglas| He really enjoys history So I bet he d love The Sixth Floor Museum where Oswald shot Kennedy| [person:peter m 0-0][person:douglas m 5-5][person:peter m 7-7][location:sixth_floor_museum s 11-13]
bobby| That s always worth a visit Moves me every time| [person:bobby m 7-7]
douglas| Perfect that will make them both happy| [person:they g(peter:shawn) 4-4]
bobby| I d also like to take them out to eat Do they like BBQ or TexMex| [person:bobby m 0-0][person:they g(peter:shawn) 6-6][person:they g(peter:shawn) 11-11]
douglas| They love both| [person:they g(peter:shawn) 0-0]
bobby| I know some great local places We could have Tex Mex before the Mavs game and BBQ after the museum| [person:bobby m 0-0][location:places g() 5-5][person:we g(douglas:bobby) 6-6][location:sixth_floor_museum s 19-19]
douglas| Thanks so much Bobby they are going to love it| [person:bobby m 3-3][person:they g(peter:shawn) 4-4]

conv:people_2019090101_18:aug_0:chat_0:chataug_0| gerald jesse| [person:gerald m 0-0][person:jesse m 1-1]
jesse| Hey Gerald Me and my friends from school Martin and Malcolm are planning a break vacaation And I was wondering if could join us| [person:gerald m 1-1][person:jesse m 2-2][person:jesse m 4-4][person:martin_and_malcom g() 5-5][person:martin m 8-8][person:malcolm m 10-10][person:jesse m 17-17]
gerald| Hey Jesse I am sorry I wouldn t be joining you guys| [person:jesse m 1-1][person:gerald m 2-2][person:gerald m 5-5][person:jesse m 10-10]
jesse| Why You also have a break And this the best way to spend it| [person:gerald m 1-1]
gerald| Actually I don t know your friends that well So I think I will be a party pooper there| [person:gerald m 1-1][person:jesse m 5-5][person:martin_and_malcom g(martin:malcolm) 6-6][person:gerald m 10-10][person:gerald m 12-12]
jesse| Those guys are really fun You will really enjoy their company| [person:gerald m 5-5][person:martin_and_malcom g(martin:malcolm) 9-9]
gerald| I understand that but You know how I am with starngers I don t talk much So I think you guys should go ahead| [person:gerald m 0-0][person:jesse m 4-4][person:gerald m 7-7][person:gerald m 11-11][person:gerald m 17-17][person:jesse m 19-19]
jesse| We haven t met for a long time And I was thinking maybe this will be a nice get togethor| [person:jesse_and_gerald g(jesse:gerald) 0-0][person:jesse m 9-9]
gerald| Okay FIne I will join you guys| [person:gerald m 2-2][person:jesse m 5-5]
jesse| Bye See you| [person:gerald m 2-2]
gerald| Bye Take care|
jesse| I will You too| [person:jesse m 0-0][person:gerald m 2-2]
gerald| Have a great day|

conv:people_2019090101_20:aug_0:chat_0:chataug_0| derek vincent| [person:derek m 0-0][person:vincent m 1-1]
derek| Hey Vincent I got a huge favor for you if you could do me a solid| [person:vincent m 1-1][person:derek m 2-2][person:vincent m 8-8][person:vincent m 10-10][person:derek m 13-13]
vincent| Sure my man what s going on| [person:vincent m 1-1]
derek| My homeboys Jose and Eddie are visiting Seattle could you show them a good time| [person:derek m 0-0][person:jose m 2-2][person:eddie m 4-4][location:seattle s 7-7][person:vincent m 9-9][person:them g(jose:eddie) 11-11]
vincent| Yeah for sure what kind of things do they like to do| [person:them g(jose:eddie) 8-8]
derek| Well you know young guys they like hot girls strong drinks and cheap eats| [person:vincent m 1-1][person:them g(jose:eddie) 5-5][person:girls g() 8-8]
vincent| Got it I know where to take them We ll go to the hottest cheap bar in town with good bar chow and the hottest chicks in Seattle| [location:it s 1-1][person:vincent m 2-2][person:them g(jose:eddie) 7-7][person:we g(vincent:jose:eddie) 8-8][location:bar s 15-15][location:town s 17-17][location:bar s 20-20]
derek| Cool man thanks so much for helping a brother out Next time I ll join| [person:derek m 8-8][person:derek m 12-12]
vincent| Yeah please do it s been awhile since our last catchup Just give me Jose and Eddie s numbers| [location:it s 3-3][person:our g(derek:vincent) 8-8][person:vincent m 13-13][person:jose m 14-14][person:eddie m 16-16]
derek| Sure thing I ll send it this week thanks brother| [person:derek m 2-2][location:it s 5-5][person:vincent m 9-9]
vincent| Anytime Derek miss you man| [person:derek m 1-1][person:derek m 3-3]

conv:people_2019090101_21:aug_0:chat_0:chataug_0| clyde eduardo| [person:clyde m 0-0][person:eduardo m 1-1]
clyde| Are Bryan Ronald and Gabriel still coming on the boating trip| [person:bryan m 1-1][person:ronald m 2-2][person:gabriel m 4-4][location:boating_trip s 10-10]
eduardo| Yes I talked to them earlier today| [person:eduardo m 1-1][person:them g(bryan:ronald:gabriel) 4-4]
clyde| Awesome What all do we need to bring for the trip| [person:we g(clyde:eduardo:bryan:ronald:gabriel) 4-4][location:boating_trip s 10-10]
eduardo| We need a cooler bait and fishing rods| [person:we g(clyde:eduardo:bryan:ronald:gabriel) 0-0]
clyde| What about food and drinks|
eduardo| Yeah that too I have a cooler and some bait I ll get some ice also| [person:eduardo m 3-3][person:eduardo m 10-10]
clyde| I ll bring my dad s fishing rods| [person:clyde m 0-0][person:clyde m 3-3][person:dad m 4-4]
clyde| Can you ask Bryan Ronald and Gabriel to bring the food and drinks Beer as well| [person:eduardo m 1-1][person:bryan m 3-3][person:ronald m 4-4][person:gabriel m 6-6]
