conv:people_chats_0629_123:aug_0:chat_0:chataug_0| dominic sylvia| [person:dominic m 0-0][person:sylvia f 1-1]
horatio| Interesting but what does that have to do with you getting a job in comic art| [person:skylar f 9-9]
skylar| Well Aeris had a script for a comic book written out and she commissioned me to do a few pages to present to potential publishers| [person:aeris f 1-1][person:aeris f 12-12][person:skylar f 14-14]
horatio| Oh I think I get it now So Aeris took that preview to Austin| [person:horatio m 1-1][person:horatio m 3-3][person:aeris f 8-8][person:austin m 13-13]
skylar| It didn t directly go to him but he was one of the people who saw it and was really impressed by my talent| [person:austin m 6-6][person:austin m 8-8][person:people g(austin) 13-13][person:skylar f 22-22]
horatio| Wow that s amazing So did Aeris comic ever end up getting published| [person:aeris f 6-6]
skylar| Unfortunately not Austin thought the writing sucked and just really liked the art in it| [person:austin m 2-2]
horatio| Wow that must ve made things awkward between you and her| [person:skylar f 8-8][person:aeris f 10-10]
skylar| Haha for sure but I think she knew that I didn t expect it to happen so hopefully she doesn t hold a grudge against me for it| [person:skylar f 4-4][person:aeris f 6-6][person:skylar f 9-9][person:aeris f 18-18][person:skylar f 25-25]

conv:people_chats_0629_241:aug_0:chat_0:chataug_0| kirk niam| [person:kirk m 0-0][person:niam f 1-1]
kirk| Hey there Niam Could you be interested in learning to ride a horse I ve got some free time| [person:niam f 2-2][person:niam f 4-4][person:kirk m 13-13]
niam| I d love to That sounds like a lot of fun How comes you ve got time to teach me free of charge today| [person:niam f 0-0][person:kirk m 13-13][person:niam f 19-19]
kirk| Gwen called and canceled our planned lesson It is too late for me to schedule with another client this late and I do not want to mess up my current schedule| [person:gwen f 0-0][person:our g(kirk:gwen) 4-4][person:kirk m 12-12][person:kirk m 21-21][person:kirk m 28-28]
niam| That is a shame but it is her loss anyway It will be hard for her to find another opportunity| [person:gwen f 7-7][person:gwen f 15-15]
kirk| You re right it is her loss Her grandfather Lance just passed away| [person:niam f 0-0][person:gwen f 5-5][person:niam f 7-7][person:lance m 9-9]
niam| I am so sorry I didn t mean it that way That s very insensitive| [person:niam f 0-0][person:niam f 4-4]
kirk| That s alright it s my fault I am the one that turned it to a joke anyway| [person:kirk m 5-5][person:kirk m 7-7]
niam| I d be more careful with those kind of jokes if I were you I bet a client could be very offended by such a joke| [person:niam f 0-0][person:niam f 11-11][person:kirk m 13-13][person:niam f 14-14]
kirk| Was it really that bad a joke I usually deal playfully with death to lessen the pain| [person:kirk m 7-7]
niam| I guess we all have our way of grieving but I am sure some people would find that joke in poor taste| [person:niam f 0-0][person:we g(kirk:niam:gwen) 2-2][person:our g(kirk:gwen) 5-5][person:niam f 10-10]
kirk| I get it I will be more careful when dealing with my clients You are a better communicator than me| [person:kirk m 0-0][person:kirk m 3-3][person:kirk m 11-11][person:clients g() 12-12][person:niam f 13-13][person:kirk m 19-19]
niam| Thank you Now how about that horse riding lesson I am ready and rearing to go| [person:kirk m 1-1][person:niam f 9-9]
kirk| Sure I will pick you up in 30 minutes| [person:kirk m 1-1][person:niam f 4-4]

conv:people_chats_0629_244:aug_0:chat_0:chataug_0| alyssa rica| [person:alyssa f 0-0][person:rica f 1-1]
rica| Hi Alyssa| [person:alyssa f 1-1]
alyssa| Hi how are you| [person:rica f 3-3]
rica| am fine are you planing on coming Friday afternoon| [person:alyssa f 3-3]
alyssa| What coffee shop are we meeting at| [location:coffee_shop s 1-2][person:we g(rica:alyssa) 4-4]
rica| we are meeting at the Cafe Java right next to the grocery store| [person:we g(rica:alyssa) 0-0][location:cafe_java s 5-6][location:store s 12-12]
alyssa| oh ok i ll be there then| [person:alyssa f 2-2][location:cafe_java s 5-5]
rica| I heard that Ed and Nicholas plan on coming to| [person:rica f 0-0][person:ed m 3-3][person:nicholas m 5-5]
alyssa| oh really|
rica| yeah they have missed the last two gettogethers| [person:they g(ed:nicholas) 1-1]
alyssa| i ll try my best to be there then| [person:alyssa f 0-0][person:alyssa f 3-3][location:cafe_java s 7-7]
rica| yeah we all should be there| [person:we g(rica:alyssa:ed:nicholas) 1-1][location:cafe_java s 5-5]
alyssa| I agree| [person:alyssa f 0-0]
rica| ok then see you| [person:alyssa f 3-3]

conv:people_chats_0629_245:aug_0:chat_0:chataug_0| henna lester| [person:henna f 0-0][person:lester m 1-1]
lester| Hey you almost doen| [person:henna f 1-1]
henna| no class started later|
lester| its fine im going tos top by brads house and then come back and get you| [person:brads u 7-7][person:henna f 15-15]
henna| thats fine i might stay a little extra to practice| [person:lester m 2-2]
lester| ok brad got a new car cant wait to see it| [person:brads m 1-1]
henna| ok that fine jasmine will help me with the lift after class while i wait for you| [person:jasmine f 3-3][person:henna f 6-6][person:henna f 13-13][person:lester m 16-16]
lester| ok iwll tell you when i leave brads hosue| [person:henna f 3-3][person:lester m 5-5]
henna| have fun|
lester| i will im so excitied| [person:lester m 0-0]
henna| tell brad hi for me and i will see him soon| [person:brads m 1-1][person:henna f 4-4][person:henna f 6-6][person:brads m 9-9]
lester| ok i will| [person:lester m 1-1]

conv:people_chats_0629_246:aug_0:chat_0:chataug_0| beth oscar| [person:beth f 0-0][person:oscar m 1-1]
oscar| I heard it may rain this weekend when we have our pool party| [person:oscar m 0-0][person:we g(oscar:beth) 8-8][person:our g(oscar:beth) 10-10]
beth| I checked the weather and indeed there is a small chance for rain| [person:beth f 0-0]
beth| I would hate to have to go inside if it starts raining| [person:beth f 0-0]
beth| I have heard that willie and maurie may have a canopie that we could borrow| [person:beth f 0-0][person:willie m 4-4][person:maurie f 6-6][person:we g(oscar:beth) 12-12]
oscar| I was thinking about asking them about that| [person:oscar m 0-0][person:them g(willie:maurie) 5-5]
oscar| The party would be much better if we didn t have to go in| [person:we g(oscar:beth) 7-7]
beth| They have a nice big canopie| [person:they g(willie:maurie) 0-0]
oscar| I have done a lot for them over the years| [person:oscar m 0-0][person:them g(willie:maurie) 6-6]
oscar| I am sure that they would not mind letting us use it for the party| [person:oscar m 0-0][person:they g(willie:maurie) 4-4][person:us g(oscar:beth) 9-9]
oscar| I would even help set the thing up| [person:oscar m 0-0]
beth| Perfect Let me know if there is anything that I can do when you get the canopy from them| [person:beth f 2-2][person:beth f 9-9][person:oscar m 13-13][person:them g(willie:maurie) 18-18]
beth| I have a big truck that we could use to haul it over to your house| [person:beth f 0-0][person:we g(oscar:beth) 6-6][person:oscar m 14-14]

conv:people_chats_0629_247:aug_0:chat_0:chataug_0| cleopatra pedro| [person:cleopatra f 0-0][person:pedro m 1-1]
cleopatra| hey Pedro can you please scan the backlog of tax returns| [person:pedro m 1-1][person:pedro m 3-3]
pedro| I m swamped with bookkeeping clients right now| [person:pedro m 0-0][person:clients g() 5-5]
cleopatra| well I need some help here| [person:cleopatra f 1-1]
pedro| Then ask Diana or Forest to help they might be free| [person:diana f 2-2][person:forest m 4-4][person:they g(diana:forest) 7-7]
cleopatra| are you sure I feel like they re always busy| [person:pedro m 1-1][person:cleopatra f 3-3][person:they g(diana:forest) 6-6]
pedro| yeah I heard they re just working on reports and should have time to scan stuff| [person:pedro m 1-1][person:they g(diana:forest) 3-3]
cleopatra| thanks Pedro I ll reach out to them| [person:pedro m 1-1][person:cleopatra f 2-2][person:they g(diana:forest) 7-7]
pedro| please do I ve got SO MUCH to do right now| [person:pedro m 2-2]
cleopatra| can I take anything off your plate| [person:cleopatra f 1-1][person:pedro m 5-5]
pedro| hmm gimme a sec to check|
cleopatra| okay just let me know I don t have a scanner but i do have time| [person:cleopatra f 3-3][person:cleopatra f 5-5][person:cleopatra f 12-12]
pedro| yeah can you fill this sheet in for me I ll send it over| [person:cleopatra f 2-2][person:pedro m 8-8][person:pedro m 9-9]

conv:people_chats_0629_248:aug_0:chat_0:chataug_0| erum tunisha| [person:erum f 0-0][person:tunisha f 1-1]
tunisha| I am super excited about this weekend Erum| [person:tunisha f 0-0][person:erum f 7-7]
erum| It sounds like you all are going to have so much fun I hear that Stepping Stone Falls is an awesome and beautiful place| [person:tunisha f 3-3][person:erum f 12-12][location:stepping_stone_falls s 15-17][location:place s 23-23]
tunisha| So have I and I finally get to spend time with Eric and his son Gavin I think we may have a serious connection| [person:tunisha f 2-2][person:tunisha f 4-4][person:eric m 11-11][person:eric m 13-13][person:gavin m 14-14][person:gavin m 15-15][person:tunisha f 16-16]
erum| Say what now Girl I am happy for you you seem like you are really happy when you are around him| [person:erum f 4-4][person:tunisha f 8-8][person:tunisha f 9-9][person:tunisha f 12-12][person:tunisha f 17-17][person:eric m 20-20]
tunisha| I really am He makes me really happy His son Gavin says that he is glad that I came into their lives| [person:tunisha f 0-0][person:eric m 3-3][person:tunisha f 5-5][person:eric m 8-8][person:gavin m 9-9][person:gavin m 10-10][person:gavin m 13-13][person:tunisha f 17-17]
erum| Thats so cool Girl have fun this weekend ill take care of you cat you dont have to worry| [person:tunisha f 12-12][person:tunisha f 14-14]
tunisha| Thank you so much Thats one less thing that I have to worry about| [person:erum f 1-1][person:tunisha f 9-9]
erum| So where is the food anything special that I need to know| [person:erum f 8-8]
tunisha| Yes his food is in the cabinet to the left of the refrigerator| [person:cat m 1-1]
erum| Alright got it any special way that I need to prepare it| [person:erum f 7-7]
tunisha| Yes pour the dry food in the bowl first mix it with a cup of water and then add the gravy packet|
erum| Got it Ill make sure that I do that while you are gone Enjoy yourself girl| [person:erum f 6-6][person:tunisha f 10-10][person:tunisha f 14-14]
tunisha| Thank you I will you are the best| [person:erum f 1-1][person:tunisha f 2-2][person:erum f 4-4]
erum| You re welcome talk to you later| [person:tunisha f 0-0][person:tunisha f 5-5]

conv:people_chats_0629_252:aug_0:chat_0:chataug_0| isabel travis| [person:isabel f 0-0][person:travis m 1-1]
isabel| Hey Travis how s your day going| [person:travis m 1-1][person:travis m 4-4]
travis| I m good just making some lunch for Chelsea and Ryan| [person:travis m 0-0][person:chelsea f 8-8][person:ryan m 10-10]
isabel| Okay that s great|
travis| They are coming in from playing outside| [person:they g(chelsea:ryan) 0-0]
isabel| Oh that s good|
isabel| Have you seen the fort that Chelsea and Ryan started building near the creek behind the house| [person:travis m 1-1][location:fort s 4-4][person:chelsea f 6-6][person:ryan m 8-8][location:house s 16-16]
travis| I haven t seen it yet| [person:travis m 0-0][location:fort s 4-4]
isabel| It s quite magnificent| [location:fort s 0-0]
travis| I have noticed they are down at the creek often| [person:travis m 0-0][person:they g(chelsea:ryan) 3-3]
travis| Do you think they want help building it| [person:isabel f 1-1][person:they g(chelsea:ryan) 3-3][location:fort s 7-7]
isabel| I don t think so they are having so much fun with it now| [person:isabel f 0-0][person:they g(chelsea:ryan) 5-5]
travis| Okay that s so good to hear|

conv:people_chats_0629_254:aug_0:chat_0:chataug_0| kenny maureen| [person:kenny m 0-0][person:maureen f 1-1]
maureen| Hello|
maureen| How are you| [person:kenny m 2-2]
kenny| Hello|
kenny| I am fine| [person:kenny m 0-0]
kenny| what about you| [person:maureen f 2-2]
maureen| I am also great| [person:maureen f 0-0]
maureen| Candice and Evan is a cute couple| [person:candice f 0-0][person:evan m 2-2]
kenny| Yes they both are nice couple| [person:they g(candice:evan) 1-1]
kenny| Do you have any close friends| [person:maureen f 1-1][person:friends g() 5-5]
maureen| Yes i have| [person:maureen f 1-1]
kenny| What is your friend name| [person:maureen f 2-2][person:friend u 3-3]
maureen| My friend name is wendy| [person:maureen f 0-0][person:friend u 1-1][person:friend u 4-4]

conv:people_chats_0629_258:aug_0:chat_0:chataug_0| cody orlando| [person:cody m 0-0][person:orlando m 1-1]
orlando| Hey Cody| [person:cody m 1-1]
orlando| Did you hear about the sale GameStop is having this weekend| [person:cody m 1-1]
cody| No I haven t| [person:cody m 1-1]
orlando| They re selling the Nintendo Switch plus one game for 300|
cody| OMG That sounds like such as great deal|
orlando| Right|
orlando| My friends Kate and Mike are getting ready to get to the store before it opens| [person:orlando m 0-0][person:friends g() 1-1][person:kate f 2-2][person:mike m 4-4]
cody| That sounds like a great plan|
orlando| We want to be the first in line so we get one before they sell out| [person:friends g(mike:kate:orlando) 0-0][person:friends g(mike:kate:orlando) 9-9]
cody| Could I join you guys| [person:cody m 1-1][person:friends g(mike:kate:orlando) 3-3]
cody| The sale just seems to good to pass up|
orlando| Of course you can| [person:cody m 2-2]

conv:people_chats_0629_260:aug_0:chat_0:chataug_0| alison austin| [person:alison f 0-0][person:austin m 1-1]
austin| HI SIS|
alison| HII bro|
austin| i m going to tell about ur daughter about inactiviteis| [person:austin m 0-0][person:alison f 6-6][person:lisa f 7-7]
austin| Lisa is still having unusually vivid night terrors| [person:lisa f 0-0]
alison| yeah i m confirmed that my daughter yet to dispel her horrific nightmares| [person:alison f 1-1][person:alison f 5-5][person:lisa f 6-6][person:lisa f 10-10]
alison| my husband Vick drank Crisper juice and has owl DNA now| [person:alison f 0-0][person:vick m 1-1][person:vick m 2-2]
alison| my family s aberrant genetic makeup every time they talk| [person:alison f 0-0][person:family g(alison:lisa:vick) 1-1][person:family g(alison:lisa:vick) 8-8]
austin| i m really sorry my dear| [person:austin m 0-0][person:austin m 4-4]
austin| why your husband doing like this| [person:alison f 1-1][person:vick m 2-2]
alison| no my husband is gentlemen that he s doing mostly well but has had a few issues spitting up his pellets due to the new brand of rodents they re buying| [person:alison f 1-1][person:vick m 2-2][person:vick m 6-6][person:vick m 19-19][person:family g(alison:lisa:vick) 28-28]
austin| really good please take care of your family| [person:alison f 6-6][person:family g(alison:lisa:vick) 7-7]
alison| ok bro take care of our family and stay safe| [person:family g(alison:lisa:vick:austin) 5-5][person:family g(alison:lisa:vick:austin) 6-6]

conv:people_chats_0629_262:aug_0:chat_0:chataug_0| haiden rose| [person:haiden m 0-0][person:rose f 1-1]
rose| Hi Haiden did you watched the new Netflix series that everyone is talking about| [person:haiden m 1-1][person:haiden m 3-3][person:everyone g() 10-10]
haiden| NO i didn t had a chance to watch it yet| [person:haiden m 1-1]
haiden| But my roommates Fatima and Flynn say it s fantastic| [person:haiden m 1-1][person:fatima f 3-3][person:flynn f 5-5]
rose| Did they like it| [person:they g(fatima:flynn) 1-1]
haiden| They watched all seven episodes in one night| [person:they g(fatima:flynn) 0-0]
rose| You can come over this weekend and watch it together| [person:haiden m 0-0]
haiden| Ya sure i will come over| [person:haiden m 2-2]
rose| Can i prepare dinner for you tonite| [person:rose f 1-1][person:haiden m 5-5]
haiden| Sorry i am little busy today shall we meet this weekend| [person:haiden m 1-1][person:we g(rose:haiden) 7-7]
rose| OK enjoy your day| [person:haiden m 2-2]
haiden| Bye see you weekend| [person:rose f 2-2]

conv:people_chats_0629_264:aug_0:chat_0:chataug_0| dorothy nicolas| [person:dorothy f 0-0][person:nicolas m 1-1]
dorothy| well what are we gonna do about a babysitter Nicolas| [person:nicolas_and_dorothy g(dorothy:nicolas) 3-3][person:nicolas m 9-9]
nicolas| I dont know| [person:nicolas m 0-0]
nicolas| Adam and Becky should be fine with Mom| [person:adam m 0-0][person:becky f 2-2][person:mom f 7-7]
dorothy| She should help anyways it s our anniversary| [person:mom f 0-0][person:nicolas_and_dorothy g(dorothy:nicolas) 6-6]
dorothy| I ll ask her| [person:dorothy f 0-0][person:mom f 3-3]
nicolas| Where do you want to go| [person:dorothy f 2-2]
dorothy| Las Vegas| [location:las_vegas s 0-1]
nicolas| Ok fine if mom can watch the kids| [person:mom f 3-3][person:kids g(adam:becky) 7-7]
dorothy| She said you have to bring her a new cup from fremont street| [person:mom f 0-0][person:nicolas m 2-2][person:mom f 6-6][location:fremont_street s 11-12]
nicolas| oh your mother| [person:dorothy f 1-1]
dorothy| i know| [person:dorothy f 0-0]
nicolas| well im gonna get to work goodbye|

conv:people_chats_0629_265:aug_0:chat_0:chataug_0| deandre nicole| [person:deandre m 0-0][person:nicole f 1-1]
deandre| Hi Nicole I ve been made aware that your productivity has dipped Is there something wrong| [person:nicole f 1-1][person:deandre m 2-2][person:nicole f 8-8]
nicole| Hi Deandre Yeah you see my brother Edward thinks he s a werewolf| [person:deandre m 1-1][person:deandre m 3-3][person:nicole f 5-5][person:edward m 6-6][person:edward m 7-7][person:edward m 9-9]
deandre| Did you mean to send that to someone else| [person:nicole f 1-1][person:someone u 7-7]
nicole| That wasn t a mistake Edward really thinks he s a werewolf The next full moon is comiing up so he is insistent that we buy a good camera get a bunch of locks and manacles preferably silver and then have a silversmith contruct other silver items like weapons and stuff It would probably also help to have a large cage in the basement| [person:edward m 5-5][person:edward m 8-8][person:edward m 20-20][person:we g(nicole:edward) 24-24]
deandre| Do you actually believe him| [person:nicole f 1-1][person:edward m 4-4]
nicole| I mean I don t see why not| [person:nicole f 0-0][person:nicole f 2-2]
deandre| Does him going over the deep end count as a good reason to NOT believe him| [person:edward m 1-1][person:edward m 15-15]
nicole| Look he s my brother so I m willing to humor him for a month and not have him committed| [person:edward m 1-1][person:nicole f 3-3][person:edward m 4-4][person:nicole f 6-6][person:edward m 11-11][person:edward m 18-18]
deandre| Fine do what you have to do but don t let your work suffer Your partner Hera had to pick up the slack for all of last week and she wasn t happy about that It s not good to push all of that work on her when you should be sharing the duties| [person:nicole f 3-3][person:nicole f 11-11][person:nicole f 14-14][person:hera f 16-16][person:hera f 29-29][person:hera f 46-46][person:nicole f 48-48]
nicole| I ll talk to Hera I m sure we could work something out| [person:nicole f 0-0][person:hera f 4-4][person:nicole f 5-5][person:we g(nicole:hera) 8-8]
deandre| Tell you what how about you use some vacation days instead I m sure the boss could come up with an arrangement for Hera so she isn t doing everything| [person:nicole f 1-1][person:nicole f 5-5][person:deandre m 11-11][person:hera f 23-23][person:hera f 25-25]
nicole| Ok Sounds good I ll do that Talk to you soon thanks| [person:nicole f 3-3][person:deandre m 9-9]

conv:people_chats_0629_267:aug_0:chat_0:chataug_0| anil frieda| [person:anil m 0-0][person:frieda f 1-1]
frieda| hi i need to go to the target| [person:frieda f 1-1]
anil| what s the purpose of this shopping|
frieda| i need to buy a new sheet and patio table| [person:frieda f 0-0]
anil| even i need new jeans| [person:anil m 1-1]
frieda| okay we will go| [person:we g(frieda:anil) 1-1]
anil| can i bring my kids Bethany and Tobin with me they would like to go out for their mother| [person:anil m 1-1][person:anil m 3-3][person:kids g() 4-4][person:bethany f 5-5][person:tobin m 7-7][person:anil m 9-9][person:kids g(bethany:tobin) 10-10]
frieda| that s not a problem pick me because my car doesn t have enough space| [person:frieda f 6-6][person:frieda f 8-8]
anil| yeah sure be ready|
frieda| please come to pick me near my office| [person:frieda f 4-4][person:frieda f 6-6][location:office s 7-7]
anil| i doesn t know the location| [person:anil m 0-0]
frieda| near our regular coffee shop| [person:we g(frieda:anil) 1-1][location:coffee_shop s 3-4]
anil| okay i ll catch you bye| [person:anil m 1-1][person:frieda f 4-4]

conv:people_chats_0629_268:aug_0:chat_0:chataug_0| ell milos| [person:ell f 0-0][person:milos m 1-1]
ell| Hey Do you need anything from the store for your project| [person:milos m 2-2][person:milos m 9-9]
milos| Hello Thanks for asking|
milos| Actually I think that I got everything for it| [person:milos m 1-1][person:milos m 4-4]
milos| Would it be possible for you to pick up a coffee for Cameron and me| [person:ell f 5-5][person:cameron f 12-12][person:milos m 14-14]
milos| We are so tired and hoping that some caffeine will help| [person:we g(milos:cameron) 0-0]
ell| Totally I can do that| [person:ell f 1-1]
ell| I will stop at Starbucks Does Wendy want anything| [person:ell f 0-0][person:wendy f 6-6]
milos| That is so nice of you to think of Wendy I will ask her| [person:ell f 5-5][person:wendy f 9-9][person:milos m 10-10][person:wendy f 13-13]
milos| She says she doesn t want any coffee because she has already had too much this morning| [person:wendy f 0-0][person:wendy f 2-2][person:wendy f 9-9]
milos| She said that all the coffee is making her feel weird| [person:wendy f 0-0][person:wendy f 8-8]
ell| Okay thanks for asking her Tell her I hope that she feels better| [person:wendy f 4-4][person:wendy f 6-6][person:ell f 7-7][person:wendy f 10-10]
ell| I will get two iced coffees and see you soon| [person:ell f 0-0][person:milos m 8-8]
milos| Okay see you soon| [person:ell f 2-2]

conv:people_chats_0629_269:aug_0:chat_0:chataug_0| jace kristine| [person:jace m 0-0][person:kristine f 1-1]
jace| Hey you think I should ask Melvin how his situation is different than Sansa s| [person:kristine f 1-1][person:jace m 3-3][person:melvin m 6-6][person:melvin m 8-8][person:sansa f 13-13]
kristine| Yes because there s a difference in the situations that you need to see| [person:jace m 10-10]
jace| I will talk to Melvin but right now I m trying to help Sansa| [person:jace m 0-0][person:melvin m 4-4][person:jace m 8-8][person:sansa f 13-13]
kristine| Frankly It s not fair to Sansa to be getting these harassing comments but like I mentioned before it may be wise to block the user making them| [person:sansa f 6-6][person:kristine f 15-15]
jace| I ve told her to do it but both of us think more can be done| [person:jace m 0-0][person:sansa f 3-3][person:us g(jace:kristine) 10-10]
kristine| I m not sure more can be done| [person:kristine f 0-0]
jace| With Melvin s situation the police were involved| [person:melvin m 1-1]
kristine| Even though harassment is being received by both people I don t think the police pay attention to this scenario| [person:kristine f 9-9]
jace| Why not|
kristine| Because Sansa is dealing with an annoying user requesting weird situations Melvin was receiving death threats and the user had his information so the situation was much more serious| [person:sansa f 1-1][person:melvin m 11-11][person:melvin m 20-20]
jace| I suppose I see the difference| [person:jace m 0-0][person:jace m 2-2]
kristine| I still think you should talk to Melvin about it he might know more about the police and their harassment policies| [person:kristine f 0-0][person:jace m 3-3][person:melvin m 7-7][person:melvin m 10-10]

conv:people_chats_0629_273:aug_0:chat_0:chataug_0| ivy keenan| [person:ivy f 0-0][person:keenan m 1-1]
ivy| Hey Keenan How s my little buddy Orngar| [person:keenan m 1-1][person:ivy f 4-4][person:orngar m 6-6][person:orngar m 7-7]
keenan| Well he barfed in my shoes and then slept the rest of the morning so I m sure he s happy| [person:orngar m 1-1][person:keenan m 4-4][person:keenan m 15-15][person:orngar m 18-18]
ivy| Oh no is he sick| [person:orngar m 3-3]
keenan| Nah it s pretty normal for a cat|
ivy| I don t know Keenan my cat Cleopatra never barfs for no reason Maybe you should take him to the vet| [person:ivy f 0-0][person:keenan m 4-4][person:ivy f 5-5][person:cleopatra f 7-7][person:keenan m 14-14][person:orngar m 17-17]
keenan| I mean I know why it s because I can t stop him from finding and eating bits of plastic| [person:keenan m 0-0][person:keenan m 2-2][person:keenan m 8-8][person:orngar m 12-12]
ivy| Oh Cleo s had that problem before too but it s a pretty easy fix| [person:cleopatra f 1-1]
keenan| How did you get her to stop| [person:ivy f 2-2][person:cleopatra f 4-4]
ivy| Oh I just covered little bits of plastic with hot sauce and waited for her to try and eat them| [person:ivy f 1-1][person:cleopatra f 14-14]
ivy| She never tried eating plastic again after that| [person:cleopatra f 0-0]
keenan| Really Maybe I should try that with Orgnar| [person:keenan m 2-2]
keenan| Where did you find hot sauce that isn t toxic to cats| [person:ivy f 2-2]

conv:people_chats_0629_275:aug_0:chat_0:chataug_0| chester mabel| [person:chester m 0-0][person:mabel f 1-1]
chester| Hey Mabel How was dance| [person:mabel f 1-1]
mabel| We re running late Can you pick me up at 615| [person:mabel f 0-0][person:chester m 5-5][person:mabel f 7-7]
chester| Sure thing I m going to stop by Brad s house| [person:chester m 2-2][person:brad m 8-8]
chester| I want to see his new car| [person:chester m 0-0][person:brad m 4-4]
chester| He just got it| [person:brad m 0-0]
chester| Is Jasmine done teaching| [person:jasmine f 1-1]
mabel| Yes she was introducing a new student| [person:jasmine f 1-1]
mabel| Can you pick me up now or are you still at Brad s| [person:chester m 1-1][person:mabel f 3-3][person:chester m 8-8][person:brad m 11-11]
chester| Yes I m leaving his house now| [person:chester m 1-1][person:brad m 4-4]
mabel| Ok ill see you soon| [person:chester m 3-3]
mabel| Jasmine apologized for running late today| [person:jasmine f 0-0]
chester| Not a big deal|
chester| I m glad I got to see Brad| [person:chester m 0-0][person:chester m 3-3][person:brad m 7-7]
mabel| Do you want to go back to his house| [person:chester m 1-1][person:brad m 7-7]

conv:people_chats_0629_276:aug_0:chat_0:chataug_0| kimberly min| [person:kimberly f 0-0][person:min m 1-1]
kimberly| Hey Just wanted to let you know that I m going out tonight with Yasmine and Karim and won t be home until later| [person:min m 5-5][person:kimberly f 8-8][person:yasmine f 14-14][person:karim m 16-16][location:home s 21-21]
min| Cool What s the occasion|
kimberly| They want to take me out for a belated birthday dinner A whole month later But I m totally okay with that| [person:they g(yasmine:karim) 0-0][person:kimberly f 4-4][person:kimberly f 16-16]
min| Going anywhere good|
kimberly| Yeah I picked that Italian restaurant on Mainstreet and Delancy I m going to eat so much pasta and bread| [person:kimberly f 1-1][location:restaurant s 5-5][person:kimberly f 10-10]
kimberly| Do you want me to grab you something to go for when we meet later| [person:min m 1-1][person:kimberly f 3-3][person:min m 6-6][person:we g(kimberly:min) 12-12]
min| Yes If you don t mind What time do you think you ll be home| [person:kimberly f 2-2][person:kimberly f 9-9][person:kimberly f 11-11][location:home s 14-14]
kimberly| I m thinking around 800 Meet at my place| [person:kimberly f 0-0]
min| Sounds good Can t wait to see you| [person:kimberly f 7-7]
kimberly| Take a look at the menu and text me what you want| [person:kimberly f 8-8][person:min m 10-10]
min| Okay I will And I ll pay you back Promise| [person:min m 1-1][person:min m 4-4][person:kimberly f 7-7]
kimberly| Oh my gosh Don t even worry about it I think I still owe you for the last time you covered me anyways| [person:kimberly f 1-1][person:kimberly f 9-9][person:kimberly f 11-11][person:min m 14-14][person:min m 19-19][person:kimberly f 21-21]
min| Haha Okay We ll talk about it later| [person:we g(kimberly:min) 2-2]
kimberly| See you at 800 then Muah| [person:min m 1-1]

conv:people_chats_0629_277:aug_0:chat_0:chataug_0| angel wilson| [person:angel f 0-0][person:wilson m 1-1]
wilson| They are actually not picky eaters but they love pizza| [person:they g() 0-0][person:they g() 7-7]
angel| Then we should get a pizza before the museum Do you know of a place on the way| [person:we g(wilson:angel) 1-1][location:museum s 8-8][person:wilson m 10-10][location:place s 14-14]
wilson| Actually Brody and Cheryl and I do have a place we always go to We have been going to Tony s for years| [person:brody m 1-1][person:cheryl f 3-3][person:wilson m 5-5][location:museum s 9-9][person:we g(wilson:brody:cheryl) 10-10][person:we g(wilson:brody:cheryl) 14-14][person:tony m 19-19]
angel| Oh wonderful I too have been to Tony s and it is great What time do you think we should head out| [person:angel f 2-2][person:tony m 7-7][location:tony_s s 10-10][person:wilson m 16-16][person:we g(wilson:angel:brody:cheryl) 18-18]
wilson| If we head out at 11 am we can get to Tony s before the noon rush| [person:we g(wilson:angel:brody:cheryl) 1-1][person:we g(wilson:angel:brody:cheryl) 7-7][person:tony m 11-11]
angel| Sounds good Then we can head to the museum Do you think Brody and Cheryl would like to stop by the playground along the way| [person:we g(wilson:angel:brody:cheryl) 3-3][location:museum s 8-8][person:wilson m 10-10][person:brody m 12-12][person:cheryl f 14-14][location:playground s 21-21]
wilson| Actually Brody is very excited about the museum and he will be in a hurry to get there We can go to the park another day| [person:brody m 1-1][location:museum s 7-7][person:brody m 9-9][location:museum s 17-17][person:we g(wilson:angel:brody:cheryl) 18-18][location:playground s 23-23]
wilson| Besides Cheryl never has fun at the playground She never wants to get dirty| [person:cheryl f 1-1][location:playground s 7-7][person:cheryl f 8-8]
angel| I did not know that Funny how she used tolove the playground Must be growing up| [person:angel f 0-0][person:cheryl f 7-7][location:playground s 11-11]
wilson| Yes they both are too quickly| [person:they g(brody:cheryl) 1-1]
angel| Perhaps I can take her shopping the next time she comes to see you She is always so well behaved I would be happy to take her| [person:angel f 1-1][person:cheryl f 4-4][person:cheryl f 9-9][person:wilson m 13-13][person:cheryl f 14-14][person:angel f 20-20][person:cheryl f 26-26]
wilson| Oh I think she would like that| [person:wilson m 1-1][person:cheryl f 3-3]
angel| Then I will ask her when I see her this weekend| [person:angel f 1-1][person:cheryl f 4-4][person:angel f 6-6][person:cheryl f 8-8]
angel| Brody could come too and we can stop at the hobby shop he is so fond of| [person:brody m 0-0][person:we g(angel:brody:cheryl) 5-5][location:shop s 11-11][person:brody m 12-12]

