conv:people_long_0313_110:aug_0:chat_0:chataug_0| john rita| [person:john m 0-0][person:rita f 1-1]
cynthia| Sure Lori have a nice day| [person:lori f 1-1]

conv:people_long_0313_231:aug_0:chat_0:chataug_0| eva matt| [person:eva f 0-0][person:matt m 1-1]
matt| Hey Eva Did our friends Anil and Shaz are in contact with you| [person:eva f 1-1][person:our g(matt:eva) 3-3][person:friends g() 4-4][person:anil m 5-5][person:shaz m 7-7][person:eva f 12-12]
eva| No Matt they didn t contact me Is there anything urgent| [person:matt m 1-1][person:friends g(anil:shaz) 2-2][person:eva f 6-6]
matt| Yes I am unable to track their location I am worried about them| [person:matt m 1-1][person:friends g(anil:shaz) 6-6][person:matt m 8-8][person:friends g(anil:shaz) 12-12]
eva| Why are you worried so much Is there anything wrong| [person:matt m 2-2]
matt| I am worried because they went on a road trip for the first time| [person:matt m 0-0][person:friends g(anil:shaz) 4-4][location:road s 8-8]
matt| Did they mentioned any routes with you about their trip| [person:friends g(anil:shaz) 1-1][person:eva f 6-6][person:friends g(anil:shaz) 8-8]
eva| Yeah Anil mentioned the route Let me recall some of the places| [person:anil m 1-1][person:eva f 6-6][location:places g() 11-11]
eva| But I am not able to recall It is slipping out of my mind| [person:eva f 1-1][person:eva f 12-12]
matt| Okay now I am more concerned about their safety as their cellphones are switched off| [person:matt m 2-2][person:friends g(anil:shaz) 7-7][person:friends g(anil:shaz) 10-10]
eva| Let me try to call them once| [person:eva f 1-1][person:friends g(anil:shaz) 5-5]
matt| I am confused whether to alert the authorities or wait some more before we can contact them| [person:matt m 0-0][person:our g(matt:eva) 13-13][person:friends g(anil:shaz) 16-16]
matt| Could you suggest me anything Eva| [person:eva f 1-1][person:matt m 3-3][person:eva f 5-5]
eva| I think before informing the authority we should wait for some time without panicking| [person:eva f 0-0][person:our g(matt:eva) 6-6]
eva| Let s wait for some more time and then contact the respective authorities|

conv:people_long_0313_232:aug_0:chat_0:chataug_0| destiny lily| [person:destiny f 0-0][person:lily f 1-1]
destiny| I hope you remember that last week we planned to go to a shooting range| [person:destiny f 0-0][person:lily f 2-2][person:we g(destiny:lily) 7-7][location:shooting_range s 13-14]
lily| Yeah I remember Have you decided on the date and timings| [person:lily f 1-1][person:destiny f 4-4]
destiny| Yes we can visit this weekend but I was wondering what I have no experience with guns| [person:we g(destiny:lily) 1-1][person:destiny f 7-7][person:destiny f 11-11]
lily| Even I know nothing about guns as well as shooting So I don t know what to expect from it| [person:lily f 1-1][person:lily f 11-11]
destiny| Do you remember two of my friends Joseph and Ronnie I heard they are very familiar with guns| [person:lily f 1-1][person:destiny f 5-5][person:friends g() 6-6][person:joseph m 7-7][person:ronnie m 9-9][person:destiny f 10-10][person:friends g(joseph:ronnie) 12-12]
destiny| They also know how to handle almost every gun like experts| [person:friends g(joseph:ronnie) 0-0]
lily| Really They might have been visiting the places regularly and gathered a good knowledge of it| [person:friends g(joseph:ronnie) 1-1][location:places g() 7-7]
lily| Cool we can call them to join us They might help us to acquire the courage to handle the gun like them What do you suggest| [person:we g(destiny:lily) 1-1][person:friends g(joseph:ronnie) 4-4][person:we g(destiny:lily) 7-7][person:friends g(joseph:ronnie) 8-8][person:we g(destiny:lily) 11-11][person:destiny f 24-24]
destiny| Maybe you are right they will definitely help and would love to join us But what about if we try our own it would be more exciting| [person:lily f 1-1][person:friends g(joseph:ronnie) 4-4][person:we g(destiny:lily) 13-13][person:we g(destiny:lily) 18-18][person:we g(destiny:lily) 20-20]
lily| Are you saying that we need to conquer our fear of our own| [person:destiny f 1-1][person:we g(destiny:lily) 4-4][person:we g(destiny:lily) 8-8][person:we g(destiny:lily) 11-11]
lily| Well that is also a good idea but I am confused about it Anyways plan whatever is your wish| [person:lily f 8-8][person:destiny f 17-17]
destiny| Let s try for the first time if we have any issues we will take help from them afterward| [person:we g(destiny:lily) 8-8][person:we g(destiny:lily) 12-12][person:friends g(joseph:ronnie) 17-17]
lily| Whatever may be the situation I am excited that we are trying something new of our own| [person:lily f 5-5][person:we g(destiny:lily) 9-9][person:we g(destiny:lily) 15-15]
destiny| Yeah you are right let s enjoy the first experience this weekend| [person:lily f 1-1]

conv:people_long_0313_234:aug_0:chat_0:chataug_0| britol fareed| [person:britol f 0-0][person:fareed m 1-1]
britol| Hey Fareed what are you doing| [person:fareed m 1-1][person:fareed m 4-4]
fareed| I am looking over my notes for an upcoming speech for the society of the ascendency of koalas| [person:fareed m 0-0][person:fareed m 4-4]
britol| Are you ready with the speech| [person:fareed m 1-1]
fareed| No Britol I just noticed some grammatical errors in the speech| [person:britol f 1-1][person:fareed m 2-2]
fareed| This might interrupt my flow and ruin my speech| [person:fareed m 3-3][person:fareed m 7-7]
britol| Okay that s not at all an issue|
britol| You can make lastminute edits on Sarah s computer| [person:fareed m 0-0][person:sara f 6-6]
fareed| Are you sure Will she let me use her computer| [person:britol f 1-1][person:sara f 4-4][person:fareed m 6-6][person:sara f 8-8]
britol| I already asked her She said after Lola finishes editing her speech you can use it| [person:britol f 0-0][person:sara f 3-3][person:sara f 4-4][person:lola f 7-7][person:lola f 10-10][person:fareed m 12-12]
fareed| I think we should look for another option| [person:fareed m 0-0][person:we g(britol:fareed) 2-2]
britol| Why are you saying so Already there is a shortage of time| [person:fareed m 2-2]
fareed| Because I know Lola is a perfectionist and she will take hours to finish editing her speech| [person:fareed m 1-1][person:lola f 3-3][person:lola f 8-8][person:lola f 15-15]
fareed| I will track down Nina and ask her permission to resolve the situation I think she will help us| [person:fareed m 0-0][person:nina f 4-4][person:nina f 7-7][person:fareed m 13-13][person:nina f 15-15][person:we g(britol:fareed) 18-18]
britol| Anyway edit it where ever you get a chance that is necessary| [person:fareed m 5-5]

conv:people_long_0313_236:aug_0:chat_0:chataug_0| isla jordan| [person:isla f 0-0][person:jordan m 1-1]
isla| Hey Jordan Are you taking leave on Valentine s day| [person:jordan m 1-1][person:jordan m 3-3]
jordan| Why are you asking so Are you planning anything| [person:isla f 2-2][person:isla f 6-6]
isla| Of course I want to plan something special for you| [person:isla f 2-2][person:jordan m 9-9]
jordan| But I don t think we really need any special day to celebrate our relationship| [person:jordan m 1-1][person:we g(isla:jordan) 5-5][person:our g(isla:jordan) 13-13]
isla| We should also do something special like my friends Caroline and Gilbert| [person:we g(isla:jordan) 0-0][person:isla f 7-7][person:friends g() 8-8][person:caroline f 9-9][person:gilbert m 11-11]
isla| They are going to take their boyfriends to a hot bath and spa| [person:they g(caroline:gilbert) 0-0][person:they g(caroline:gilbert) 5-5]
jordan| Is it necessary to follow your friends I don t think so| [person:isla f 5-5][person:friends g(caroline:gilbert) 6-6][person:jordan m 7-7]
jordan| Well they might be having lots of money to spend But I think we should spend it in a different a way| [person:they g(caroline:gilbert) 1-1][person:jordan m 11-11][person:we g(isla:jordan) 13-13]
isla| Yeah you have a point But I will be insulted in front of them| [person:jordan m 1-1][person:isla f 6-6][person:friends g(caroline:gilbert) 13-13]
jordan| Why are you thinking in this way| [person:isla f 2-2]
jordan| Do you want to spend the day to show others or to make something special for me| [person:isla f 1-1][person:friends g(caroline:gilbert) 9-9][person:jordan m 16-16]
isla| Of course I want to make something special for you What will we do on that day then| [person:isla f 2-2][person:jordan m 9-9][person:we g(isla:jordan) 12-12]
jordan| Well I haven t planned anything yet Do whatever you wish| [person:jordan m 1-1][person:isla f 9-9]
isla| Okay I will buy a gift for you See you soon| [person:isla f 1-1][person:jordan m 7-7][person:jordan m 9-9]

conv:people_long_0313_238:aug_0:chat_0:chataug_0| josh mia| [person:josh m 0-0][person:mia f 1-1]
josh| Hey Mia got to hear that you are planning to buy a new car Is that true| [person:mia f 1-1][person:mia f 6-6]
mia| Yeah Josh I m planning to buy a new car by the end of this month| [person:josh m 1-1][person:mia f 2-2]
josh| Are you looking out for any specific brand of car| [person:mia f 1-1]
mia| No I m not looking out for any specific brand but it should be easily maintained| [person:mia f 1-1]
josh| You know it very well that I m a car salesman Who else could help you better in this matter other than me| [person:mia f 0-0][person:josh m 6-6][person:mia f 15-15][person:josh m 22-22]
mia| That s the reason I m asking for your opinion suggest me the best car that suits not only my budget but also which has low maintenance cost| [person:mia f 4-4][person:josh m 8-8][person:mia f 11-11][person:mia f 19-19]
josh| Well I would suggest you that Ford Mustang has a very low cost of maintenance| [person:josh m 1-1][person:mia f 4-4]
mia| But my friends Gladis and Lory are using the same model| [person:mia f 1-1][person:friends g() 2-2][person:gladis f 3-3]
josh| So as you say that 2 of your friends are using the same model of the car how was their experience with the car| [person:mia f 2-2][person:mia f 7-7][person:friends g() 8-8][person:friends g() 19-19]
mia| Yeah even though the car looks great but they don t seem much satisfied with its maintenance| [person:friends g(gladis) 8-8]
josh| Oh I don t understand why they feel so It gives a good mileage| [person:josh m 1-1][person:friends g(gladis) 6-6]
mia| Even though it gives good mileage I don t get good vibes for that model| [person:mia f 6-6]
josh| The car that I m suggesting you to buy is Mustang ecoboost fastback You can even go for a test drive I bet you won t regret it| [person:josh m 3-3][person:mia f 6-6][person:mia f 13-13][person:josh m 21-21][person:mia f 23-23]
mia| That sounds good I will come for a test drive this friday| [person:mia f 3-3]

conv:people_long_0313_239:aug_0:chat_0:chataug_0| nicole wendy| [person:nicole f 0-0][person:wendy f 1-1]
wendy| Hi Nicole would you like to go to a movie this weekend| [person:wendy f 1-1][person:wendy f 3-3]
nicole| Hey Wendy It s been a long time since we last hung out| [person:nicole f 1-1][person:wendy f 9-9]
nicole| Yeah we should definitely watch a movie| [person:nicole f 1-1]
wendy| I think we should invite Charlie and Amy| [person:wendy f 0-0][person:wendy f 2-2][person:wendy f 5-5][person:wendy f 7-7]
nicole| That s a great idea Wendy| [person:nicole f 5-5]
wendy| I am interested in seeing the latest scary movie that s playing in theaters| [person:wendy f 0-0]
wendy| This movie has very good reviews|
nicole| Let s go for that then Do you remember when we went to watch The Ring| [person:wendy f 7-7][person:nicole f 10-10]
wendy| Yeah That was a very scary movie|
nicole| Yeah By the way I just got off the phone with Amy She doesn t like to watch scary movies| [person:nicole f 4-4][person:nicole f 11-11][person:wendy f 12-12]
wendy| I didn t know that What kind of movies does she watch| [person:wendy f 0-0][person:nicole f 10-10]
nicole| She would rather watch a comedy or a thrilling action movie| [person:wendy f 0-0]
nicole| Kids these days can t handle what we were then capable of| [person:nicole f 0-0][person:wendy f 7-7]
wendy| That s true We should watch a movie that suits them to make them feel comfortable| [person:nicole f 3-3][person:wendy f 10-10][person:wendy f 13-13]

conv:people_long_0313_240:aug_0:chat_0:chataug_0| claire rick| [person:claire f 0-0][person:rick m 1-1]
claire| Hey Rick I had updated my excel file with my latest job interview details| [person:rick m 1-1][person:claire f 2-2][person:claire f 5-5][person:claire f 9-9]
claire| Have you gone through it for my recruitment| [person:rick m 1-1][person:claire f 6-6]
rick| Yeah I have gone through it and need to get an update from my assistant Leo| [person:rick m 1-1][person:rick m 13-13][person:leo m 15-15]
rick| He is a vital link because he organizes and forwards your file to me| [person:leo m 0-0][person:leo m 6-6][person:claire f 10-10][person:rick m 13-13]
claire| Okay can you arrange my second interview with Anna| [person:rick m 2-2][person:claire f 4-4][person:anna f 8-8]
rick| Cool I will try Why do you want to have an interview with Anna| [person:rick m 1-1][person:claire f 6-6][person:anna f 13-13]
claire| I want to have an interview with her because her firm represents the most potential growth| [person:claire f 0-0][person:anna f 7-7][person:anna f 9-9]
rick| Well you are right I will let you know if there is any vacancy in her firm| [person:claire f 1-1][person:rick m 4-4][person:claire f 7-7][person:anna f 15-15]
claire| Yeah can I know the interviewer techniques| [person:claire f 2-2]
rick| I will let you know in details through mail| [person:rick m 0-0][person:claire f 3-3]
claire| When will I receive the mail regarding that Can you send me those with possible scenarios| [person:claire f 2-2][person:rick m 9-9][person:claire f 11-11]
rick| Okay I will include some scenarios and ask my assistant to mail you as soon as possible| [person:rick m 1-1][person:rick m 8-8][person:claire f 12-12]
claire| Thank you very much I hope they will hire me for this interview| [person:rick m 1-1][person:claire f 4-4][person:they g() 6-6][person:claire f 9-9]
rick| Anyways I will get back to you later| [person:rick m 1-1][person:claire f 6-6]

conv:people_long_0313_242:aug_0:chat_0:chataug_0| irelia kayn| [person:irelia f 0-0][person:kayn f 1-1]
irelia| Hope you remember that our friends are visiting our place| [person:kayn f 1-1][person:our g(irelia:kayn) 4-4][person:friends g(irelia:kayn) 5-5][person:our g(irelia:kayn) 8-8][location:place s 9-9]
kayn| Thank you Irelia for reminding me I forgot about them| [person:irelia f 1-1][person:irelia f 2-2][person:kayn f 5-5][person:kayn f 6-6][person:them g(irelia:kayn) 9-9]
irelia| Well I hope you have also forgotten that they will stay here for a week| [person:irelia f 1-1][person:kayn f 3-3][person:they g(irelia:kayn) 8-8][location:place s 11-11]
kayn| We can surprise them by a welcome gift| [person:we g(irelia:kayn) 0-0][person:them g(irelia:kayn) 3-3]
irelia| Cool have you thought of anything| [person:kayn f 2-2]
kayn| Regarding gifts you select the best thing so you only give some idea| [person:irelia f 2-2][person:irelia f 8-8]
irelia| I was thinking of getting a fruit basket to them as they are diet freak they might like it What do you say| [person:irelia f 0-0][person:them g(irelia:kayn) 9-9][person:they g(irelia:kayn) 11-11][person:they g(irelia:kayn) 15-15][person:kayn f 21-21]
kayn| Well you are right that they are diet freak but I think we can also think of gifting something in electronics accessories| [person:kayn f 1-1][person:they g(irelia:kayn) 5-5][person:kayn f 10-10][person:we g(irelia:kayn) 12-12]
irelia| I forgot that Christopher loves different accessories What are you thinking of a gift then| [person:irelia f 0-0][person:christopher m 3-3][person:kayn f 9-9]
kayn| How about gifting them a pair of smartwatch| [person:them g(irelia:kayn:christopher) 3-3]
irelia| That s a great idea Kayn a few days back Kayla was searching for a fitness watch| [person:kayn f 5-5][person:kayla f 10-10]
irelia| Now the next part is your responsibility to order it online Please don t forget this time| [person:kayn f 5-5]
kayn| Yeah sure I will order it as soon as possible I am sending you a few of the options kindly help me to select| [person:kayn f 2-2][person:kayn f 10-10][person:irelia f 13-13][person:kayn f 21-21]
kayn| Anyways see you in the evening at home| [person:irelia f 2-2][location:home s 7-7]

conv:people_long_0313_244:aug_0:chat_0:chataug_0| monique salma| [person:monique f 0-0][person:salma f 1-1]
salma| Hi Monique do you have a minute| [person:monique f 1-1][person:monique f 3-3]
monique| Sure Salma Go ahead| [person:salma f 1-1]
salma| Did you hear about Freida and John| [person:monique f 1-1][person:john m 6-6]
monique| Yes I did They have been missing haven t they| [person:monique f 1-1][person:frieda___john g(john) 3-3][person:frieda___john g(john) 9-9]
salma| You remember how they used to fight on the streets| [person:monique f 0-0][person:frieda___john g(john) 3-3]
monique| I sure do It gave them a nasty reputation in the neighborhood| [person:monique f 0-0][person:frieda___john g(john) 5-5]
salma| That s right I am thinking of contacting the police and informing them of their fights| [person:salma f 3-3][person:frieda___john g(john) 12-12][person:frieda___john g(john) 14-14]
monique| Are you sure I think the police will come to you if they need any information| [person:salma f 1-1][person:monique f 3-3][person:salma f 10-10][person:police g() 12-12]
salma| But shouldn t I tell the police what I already know Would that not help the investigation| [person:salma f 3-3][person:salma f 8-8]
monique| Maybe but I think we should stay out of it to avoid unnecessary involvement in the case| [person:monique f 2-2][person:salma___monique g(salma:monique) 4-4]
salma| Not really I think it is better if we tip the police| [person:salma f 2-2][person:salma___monique g(salma:monique) 8-8]
monique| Okay If you really think so go ahead| [person:salma f 2-2]
salma| Okay then Let me call the police and pass on the information| [person:salma f 3-3]
monique| Okay Do let me know about it later Bye| [person:monique f 3-3]
salma| Bye Take care|

conv:people_long_0313_245:aug_0:chat_0:chataug_0| ivan ryza| [person:ivan m 0-0][person:ryza f 1-1]
ivan| Hey Ryza do you know that Marly and Jasper are coming over to stay at our home| [person:ryza f 1-1][person:ryza f 3-3][person:marly f 6-6][person:jasper m 8-8][person:our g(ivan:ryza) 15-15][location:home s 16-16]
ryza| Hi Ivan Yes I heard about it too Do you know how many days are they visiting for| [person:ivan m 1-1][person:ryza f 3-3][person:ivan m 9-9][person:they g(marly:jasper) 15-15]
ivan| I m not sure about it but they will stay for a few weeks Ryza| [person:ivan m 0-0][person:they g(marly:jasper) 7-7][person:ryza f 14-14]
ryza| I don t like our cousins at all I m not happy about this news| [person:ryza f 0-0][person:our g(ivan:ryza) 4-4][person:they g(marly:jasper) 5-5][person:ryza f 8-8]
ivan| Even I feel the same way Do you remember what happened last time| [person:ivan m 1-1][person:ryza f 7-7]
ryza| I can t forget that Their gossiping habit can ruin relations| [person:ryza f 0-0][person:they g(marly:jasper) 5-5]
ivan| Yeah that s their worst habit I can t deal with that| [person:they g(marly:jasper) 3-3][person:ivan m 6-6]
ivan| I even heard that we are going to share our room with them| [person:ivan m 0-0][person:our g(ivan:ryza) 4-4][person:our g(ivan:ryza) 9-9][person:they g(marly:jasper) 12-12]
ryza| That is a nightmare I cannot bear their presence in our room| [person:ryza f 4-4][person:they g(marly:jasper) 7-7][person:our g(ivan:ryza) 10-10]
ryza| I m not going to let this happen Who did you hear this from| [person:ryza f 0-0][person:ivan m 10-10]
ivan| I heard it from our parents I don t think we can manage this| [person:ivan m 0-0][person:our g(ivan:ryza) 4-4][person:parents g() 5-5][person:ivan m 6-6][person:our g(ivan:ryza) 10-10]
ryza| Let s plan a way to avoid that Think of something to tell our parents Ivan| [person:our g(ivan:ryza) 13-13][person:parents g() 14-14][person:ivan m 15-15]
ivan| I m a bit confused about whether to plan something or obey our parents Ryza| [person:ivan m 0-0][person:our g(ivan:ryza) 12-12][person:parents g() 13-13][person:ryza f 14-14]
ryza| Okay Let s honestly tell them how we feel about the situation and they will understand| [person:parents g() 5-5][person:our g(ivan:ryza) 7-7][person:parents g() 13-13]

conv:people_long_0313_248:aug_0:chat_0:chataug_0| dave velma| [person:dave m 0-0][person:velma f 1-1]
dave| So you know any other electricians Who is not expensive| [person:velma f 1-1]
velma| Ya there is one electrician who had repair sandra s fridge let me check the number| [person:sandra f 8-8][person:velma f 12-12]
velma| The no is 001111000011 toll free no try to call and check with him as he is very busy a| [person:him m 13-13][person:him m 15-15]
dave| Thank you hope he comes soon and Sandra is a perfect lady she won t call any wrong person| [person:velma f 1-1][person:him m 3-3][person:sandra f 7-7][person:sandra f 12-12]
velma| Steven had done it on his own n she suffered a lot its better to call an electrician then do it on its own precaution is better then cure| [person:steven m 0-0][person:steven m 5-5][person:sandra f 8-8]
dave| Ya it s better to take precautions but I don t want to waste more money behind small issues i will wait for him or else will try on my own| [person:dave m 8-8][person:dave m 19-19][person:steven m 23-23][person:dave m 29-29]
velma| Ya u can switch off the main switch n can try on your own as Steve had kept the main switch on so she faced problem| [person:dave m 1-1][person:dave m 12-12][person:steven m 15-15][person:sandra f 23-23]
dave| Will wait let me check with the electrician which Sandra had called will take sandras name may he come early| [person:dave m 3-3][person:sandra f 9-9][person:steven m 17-17]
velma| Ya if u take sandras name he will come soon as he is related to Sandra| [person:dave m 2-2][person:steven m 6-6][person:steven m 11-11][person:sandra f 15-15]
dave| If he says no will can Sandra to insist him| [person:steven m 1-1][person:sandra f 6-6][person:steven m 9-9]
velma| He is Sandra relative so he won t say no to her last time starve did the same thing after he faced the problem| [person:steven m 0-0][person:sandra f 2-2][person:steven m 5-5][person:sandra f 11-11][person:steven m 20-20]
dave| Thank you it will call him and check will get back to you soon bye| [person:velma f 1-1][person:steven m 5-5][person:velma f 12-12]
velma| Bye if you need any other help feel free to call| [person:dave m 2-2]
dave| Thank u its means a lot to have a friend like you bye tc| [person:velma f 1-1][person:velma f 9-9][person:velma f 11-11]

conv:people_long_0313_255:aug_0:chat_0:chataug_0| dan jane| [person:dan m 0-0][person:jane f 1-1]
jane| Hey Dan I remember that you had an important meeting today with your manager Alex| [person:dan m 1-1][person:jane f 2-2][person:dan m 5-5][person:jane f 12-12][person:alex m 13-13][person:alex m 14-14]
dan| I m glad that you remember it dear Yes I had an important meeting today| [person:dan m 0-0][person:jane f 4-4][person:dan m 9-9]
jane| That s cool how was the meeting and what the meeting all about|
dan| My manager is very happy with my work so he called the meeting to give me an appraisal| [person:dan m 0-0][person:alex m 1-1][person:dan m 6-6][person:alex m 9-9][person:dan m 15-15]
jane| Wow that s great Are they giving you any extra benefits or is it just about an appraisal letter| [person:the_company u 5-5][person:dan m 7-7]
dan| They have offered me a raise in my salary and also offered me a promotion I m so happy about my achievement| [person:the_company u 0-0][person:dan m 3-3][person:dan m 7-7][person:dan m 12-12][person:dan m 15-15][person:dan m 20-20]
jane| That sounds really great we need to celebrate this occasion make it memorable Dan| [person:jane_and_dan g(jane:dan) 4-4][person:dan m 13-13]
dan| This week was hectic at work I really need a break to relax| [person:dan m 6-6]
jane| Ok then let s plan this weekend have you thought of any specific location to celebrate| [person:dan m 8-8]
dan| I was planning to go to the newly opened steakhouse nearby our home as it is peaceful there| [person:dan m 0-0][person:jane_and_dan g(jane:dan) 11-11][location:home s 12-12][location:home s 17-17]
jane| That is a great place in that case let s also invite Dan and Mimi also to join our celebration| [location:place s 4-4][person:dan m 12-12][person:mimi f 14-14][person:jane_and_dan g(jane:dan) 18-18]
dan| I would prefer to spend the evening with you Jane| [person:dan m 0-0][person:jane f 8-8][person:jane f 9-9]
jane| That s sweet but I want to meet Mimi and want to know her better| [person:jane f 4-4][person:mimi f 8-8][person:mimi f 13-13]
dan| I feel you are into expanding your circle than spend time with me But it s alright I ll ask my manager let you know| [person:dan m 0-0][person:jane f 2-2][person:jane f 6-6][person:dan m 12-12][person:dan m 17-17][person:dan m 20-20][person:alex m 21-21][person:jane f 23-23]

conv:people_long_0313_257:aug_0:chat_0:chataug_0| marlene paul| [person:marlene f 0-0][person:paul m 1-1]
marlene| Hey Paul whats up How are you| [person:paul m 1-1][person:paul m 6-6]
paul| Hey buddy No updates from you since long I m good| [person:marlene f 1-1][person:marlene f 5-5][person:paul m 8-8]
marlene| Yeah I m a bit busy all these days As you know it s financial year end| [person:marlene f 1-1][person:paul m 10-10]
paul| Yeah you re a busy investment banker You people have tight schedules| [person:marlene f 1-1][person:marlene f 7-7]
paul| Are you all right Marlene I think something bad is happening with you| [person:marlene f 1-1][person:marlene f 4-4][person:paul m 5-5][person:marlene f 12-12]
marlene| Don t ask about it Some people have made my life hell| [person:marlene f 9-9]
marlene| I don t understand how things can go wrong in a night| [person:marlene f 0-0]
paul| Are you all right Marlene I think something bad is happening with you| [person:marlene f 1-1][person:marlene f 4-4][person:paul m 5-5][person:marlene f 12-12]
marlene| I don t know what s wrong with Max Zoe They are always finding faults with me| [person:marlene f 0-0][person:max m 8-8][person:zoe f 9-9][person:group g(max:zoe) 10-10][person:marlene f 16-16]
paul| When did this happen Were there no one around you at that time| [person:marlene f 9-9]
marlene| Last night we had an office party It all started there| [person:we g(marlene:max:zoe) 2-2][location:office s 5-5]
paul| I know you guys are really good friends how can things go wrong| [person:paul m 0-0][person:we g(marlene:max:zoe) 2-2][person:we g(marlene:max:zoe) 7-7]
marlene| I m totally upset with them I didn t expect them to behave in this way with me| [person:marlene f 0-0][person:group g(max:zoe) 5-5][person:marlene f 6-6][person:group g(max:zoe) 10-10][person:marlene f 17-17]
paul| Okay I will try to reachout to Max Zoe Don t worry about it Marlene Everything will be fine| [person:paul m 1-1][person:max m 7-7][person:zoe f 8-8][person:marlene f 14-14]

conv:people_long_0313_259:aug_0:chat_0:chataug_0| carla danny| [person:carla f 0-0][person:danny m 1-1]
carla| Hey whats up Did you pay your library fee already| [person:danny m 4-4][person:danny m 6-6]
danny| Nope And I don t think I will It is just too much money I don t have all this cash| [person:danny m 2-2][person:danny m 6-6][person:danny m 14-14]
carla| Is it really that much money Can you use your savings| [person:danny m 7-7][person:danny m 9-9]
danny| Yeah I own 3000 and as I said before I don t have all that cash| [person:danny m 1-1][person:danny m 6-6][person:danny m 9-9]
carla| Won t you feel bad for not being able to get books you are such a bookworm| [person:danny m 2-2][person:danny m 12-12]
danny| Yes I actually am really i m feeling bad for not being able to get my books| [person:danny m 1-1][person:danny m 5-5][person:danny m 15-15]
carla| You know I think Nina was in a similar situation She explained to David that she didn t have the money and the library cut her debt in half| [person:danny m 0-0][person:danny m 2-2][person:nina f 4-4][person:nina f 10-10][person:david m 13-13][person:nina f 15-15][person:nina f 25-25]
danny| Well that s really something You mean the head librarian I could talk to David but 1500 it s still a lot of money for me| [person:carla f 5-5][person:danny m 10-10][person:david m 14-14][person:danny m 25-25]
carla| Well what are you planning to do them| [person:danny m 3-3][person:them g(nina:david) 7-7]
danny| I m planning on asking Lester to check books for me| [person:danny m 0-0][person:lester m 5-5][person:danny m 10-10]
danny| That way I don t need to pay my debt and can still get some books| [person:danny m 2-2][person:danny m 8-8]
carla| Thats don t sounds good You sure that Lester will agree with that| [person:danny m 5-5][person:lester m 8-8]
carla| You do have a pretty bizarre track record| [person:danny m 0-0]
danny| I don t think he will but its worth trying| [person:danny m 0-0][person:david m 4-4]
carla| Well good luck dude|

conv:people_long_0313_261:aug_0:chat_0:chataug_0| helen marisa| [person:helen f 0-0][person:marisa f 1-1]
marisa| Hey Helen do you know why Kayden and Alden haven t been to work lately| [person:helen f 1-1][person:helen f 3-3][person:kayden m 6-6][person:alden m 8-8]
helen| Hi Marisa They both aren t feeling well I heard they caught a cold| [person:marisa f 1-1][person:they g(kayden:alden) 2-2][person:helen f 8-8][person:they g(kayden:alden) 10-10]
marisa| Is it so I heard that a new kind of virus is affecting our city very badly Is it that kind| [person:marisa f 3-3][person:our g(marisa:helen:kayden:alden) 13-13][location:city s 14-14]
helen| I saw it on the news too I really hope that they didn t catch the virus| [person:helen f 0-0][person:helen f 7-7][person:they g(kayden:alden) 11-11]
marisa| Are they admitted into any hospital Because they should get themselves checked| [person:they g(kayden:alden) 1-1][location:hospital s 5-5][person:they g(kayden:alden) 7-7][person:themselves g(kayden:alden) 10-10]
helen| I m sure they must ve consulted a doctor We would have known by now if it was that bad| [person:helen f 0-0][person:they g(kayden:alden) 3-3][person:doctor u 8-8][person:we g(marisa:helen) 9-9]
marisa| Yeah I don t think they are that week and I hope they get better soon| [person:marisa f 1-1][person:they g(kayden:alden) 5-5][person:marisa f 10-10][person:they g(kayden:alden) 12-12]
helen| Yeah me too Will you have any free time this week| [person:helen f 1-1][person:marisa f 4-4]
marisa| No Helen I m busy on weekdays What do you have planned| [person:helen f 1-1][person:marisa f 2-2][person:helen f 9-9]
helen| I was thinking if it s a good idea to pay them a visit| [person:helen f 0-0][person:them g(kayden:alden) 11-11]
marisa| Yeah it s a good idea but I think it s better to wait till they get better and then let s visit them| [person:marisa f 7-7][person:they g(kayden:alden) 15-15][person:them g(kayden:alden) 23-23]
helen| That s true Marisa I just want to convey them get well soon wishes| [person:marisa f 3-3][person:helen f 4-4][person:them g(kayden:alden) 9-9]
marisa| In that case I know a florist who can deliver them flowers I will contact him| [person:marisa f 3-3][person:them g(kayden:alden) 10-10][person:marisa f 12-12][person:florist m 15-15]
helen| That sounds like a great idea It would let them know that we are hoping for their speedy recovery| [person:them g(kayden:alden) 9-9][person:we g(marisa:helen) 12-12][person:their g(kayden:alden) 16-16]

conv:people_long_0313_262:aug_0:chat_0:chataug_0| ben ellie| [person:ben m 0-0][person:ellie f 1-1]
ben| Hey how are you Are you busy this weekend| [person:ellie f 3-3][person:ellie f 5-5]
ellie| I m good Ben I will mostly be free this weekend| [person:ellie f 0-0][person:ben m 3-3][person:ellie f 4-4]
ben| Not really but its been 3 weeks that we ve met I feel like meeting you again| [person:we g(ben:ellie) 8-8][person:ben m 11-11][person:ellie f 15-15]
ellie| Yes Ben I have the same feeling of meeting you Do you have any plans| [person:ben m 1-1][person:ellie f 2-2][person:ben m 9-9][person:ben m 11-11]
ben| I think I m becoming a firm believer of online dating site Is it the same with you| [person:ben m 0-0][person:ben m 2-2][person:ellie f 17-17]
