conv:people_2019080802_57:aug_0:chat_0:chataug_0| douglas peter| [person:douglas m 0-0][person:peter m 1-1]
pam| Well would now be a good time I was supposed to pick her up from the mall but I have to handle something for work that can t really wait Could you maybe pick her up for me| [person:pam f 7-7][person:melissa f 12-12][location:mall s 16-16][person:pam f 18-18][person:april f 31-31][person:melissa f 34-34][person:pam f 37-37]
april| Oh I m sorry I already have coffee scheduled with Eric he has this business idea he wants to talk about with me today| [person:april f 1-1][person:april f 4-4][person:eric m 10-10][person:eric m 11-11][person:eric m 16-16][person:april f 22-22]
pam| I m sort of in a bind here is there any way you could call Eric and change the time you are meeting him and then pick up Melissa first| [person:pam f 0-0][location:mall s 7-7][person:april f 12-12][person:eric m 15-15][person:april f 20-20][person:eric m 23-23][person:melissa f 28-28]
april| I want to help you out let me call him and check| [person:april f 0-0][person:pam f 4-4][person:april f 7-7][person:eric m 9-9]
pam| Thank you let me know what he says| [person:april f 1-1][person:pam f 3-3][person:eric m 6-6]
april| What about this idea Eric says that his mother Catherine can pick up Melissa I know Catherine and she is a really safe driver and friendly He really wants me to look at this paperwork this afternoon would that be ok| [person:eric m 4-4][person:eric m 7-7][person:catherine f 9-9][person:melissa f 13-13][person:april f 14-14][person:catherine f 16-16][person:catherine f 18-18][person:eric m 26-26]
pam| Sure I m so glad she can pick her up Thank you I ll let her know She ll be at the Twin Pines Mall parking lot at 115| [person:pam f 1-1][person:catherine f 5-5][person:melissa f 8-8][person:april f 11-11][person:pam f 12-12][person:melissa f 15-15][person:melissa f 17-17][location:mall s 24-24]
april| She is already out so she is on her way there Let s plan a lunch soon| [person:catherine f 0-0][person:catherine f 5-5][person:catherine f 8-8][location:mall s 10-10]

conv:people_2019081201_47:aug_0:chat_0:chataug_0| albert ronald| [person:albert m 0-0][person:ronald m 1-1]
albert| Ronnie I m going to the store for the party We need to decide on the final guest list| [person:albert m 1-1][person:we g(albert:ronald) 10-10]
ronald| Alright who did we narrow it down to again| [person:we g(albert:ronald) 3-3]
albert| Lawrence Russell Edgar and Sean| [person:lawrence m 0-0][person:russell m 1-1][person:edgar m 2-2][person:sean m 4-4]
ronald| Can we take Edgar off the list dude I know he s your sister s fiance but he s weird as hell man| [person:we g(albert:ronald) 1-1][person:edgar m 3-3][person:ronald m 8-8][person:edgar m 10-10][person:albert m 12-12][person:sister f 13-13][person:edgar m 17-17]
albert| I agree but my sister made me promise to try and get along with him and I think this would be a good spot to do it| [person:albert m 0-0][person:albert m 3-3][person:sister f 4-4][person:albert m 6-6][person:edgar m 14-14][person:albert m 16-16]
ronald| Fucking fine But if he starts liebragging about all the drugs he does I m throwing my meatloaf at his fucking head| [person:edgar m 4-4][person:edgar m 11-11][person:ronald m 13-13][person:ronald m 16-16][person:edgar m 19-19]
albert| Always with the drama How about the others| [person:others g(lawrence:russell:sean) 7-7]
ronald| Yeah they re fine We still doing the meatloaf mashed potatoes and veggies| [person:others g(lawrence:russell:sean) 1-1][person:we g(albert:ronald) 4-4]
albert| Yeah I ll get everything we need I still think making meatloaf for a dinner party is borderline offensive and kinda weird but you were insistant| [person:albert m 1-1][person:we g(albert:ronald) 5-5][person:albert m 7-7][person:ronald m 23-23]
ronald| ITS LIKE EATING A SLICE OF MEATBALL CAKE I DONT KNOW WHY IT GETS SUCH A BAD RAP| [person:ronald m 8-8]
albert| Fucking relax you psycho Just make sure the apartment is looking nice| [person:ronald m 2-2][location:apartment s 8-8]
ronald| Don t forget the wine it feels like we ll need a ton of it| [person:we g(albert:ronald) 8-8]

conv:people_2019081201_48:aug_0:chat_0:chataug_0| danielle emma| [person:danielle f 0-0][person:emma f 1-1]
emma| Danielle do you have a moment to talk about the party| [person:danielle f 0-0][person:danielle f 2-2]
danielle| Sure Things are slow at work right now So it s ideal|
emma| Okay so it s going to be a big one and we agreed that help would be good right| [person:we g(emma:danielle) 11-11]
danielle| Yeah didn t we talk about Christina Jean and Madison helping out| [person:we g(emma:danielle) 3-3][person:christina f 6-6][person:jean f 7-7][person:madison f 9-9]
emma| Okay Cool I thought maybe it was one of those things where I imagined it but we never discussed it| [person:emma f 2-2][person:emma f 12-12][person:we g(emma:danielle) 16-16]
danielle| LOL I know that feeling Done that once or twice| [person:danielle f 1-1]
emma| So we ve got wine beer music chips pretzels and a cake| [person:we g(emma:danielle) 1-1]
emma| Can you think of anything else we need| [person:danielle f 1-1][person:we g(emma:danielle) 6-6]
danielle| Someone should also buy some liquor maybe|
danielle| Ooh and mixers for it Like juice and soda|
emma| ooh Good ideas|
emma| Alright how about I get the beer| [person:emma f 3-3]
emma| Can you buy the wine You know that stuff better than me| [person:danielle f 1-1][person:danielle f 5-5][person:emma f 11-11]
danielle| Happy to And maybe Christina can buy the liquor She always has the best bourbon| [person:christina f 4-4][person:christina f 9-9]
danielle| Let s assign Jean to snacks and then Madison can buy the cake| [person:jean f 3-3][person:madison f 8-8]
emma| That sounds like a perfect plan to me| [person:emma f 7-7]
emma| Cool I think we are set then I ll text if I remember anything else| [person:emma f 1-1][person:we g(emma:danielle) 3-3][person:emma f 7-7][person:emma f 11-11]

conv:people_2019081201_51:aug_0:chat_0:chataug_0| anthony steven| [person:anthony m 0-0][person:steven m 1-1]
anthony| Hey man where do you think we should have this party for the Rogers| [person:steven m 4-4][person:we g(anthony:steven) 6-6]
steven| Maybe we should talk to Sam about what they like| [person:we g(anthony:steven) 1-1][person:sam m 5-5][person:they g() 8-8]
steven| He would be the best to know what Jeremy and Sharon really like| [person:sam m 0-0][person:jeremy m 8-8][person:sharon f 10-10]
anthony| Alright yeah that sounds great Sam would definitely know some suggestions Thanks Steven| [person:sam m 5-5][person:steven m 12-12]
anthony| He mentioned that they only want a few people there and to keep it natural| [person:sam m 0-0][person:they g(jeremy:sharon) 3-3][location:there u 9-9]
steven| Sounds great for me I know the perfect place to keep it small and on the downlow| [person:steven m 3-3][person:steven m 4-4][location:place s 8-8]
anthony| Okay please call whoever that is and get them to organize this further for Jeremy and Sharon| [person:they g(jeremy:sharon) 8-8][person:jeremy m 14-14][person:sharon f 16-16]
steven| Will do Anthony I ll get started on this if you could just get anymore suggestions from Sam to help more| [person:anthony m 2-2][person:steven m 3-3][person:anthony m 10-10][person:sam m 17-17]
anthony| Yeah I ll message him again asking about other things| [person:anthony m 1-1][person:sam m 4-4]
steven| Thanks we will have so much fun| [person:we g(anthony:steven) 1-1]

conv:people_2019081201_52:aug_0:chat_0:chataug_0| bill raymond| [person:bill m 0-0][person:raymond m 1-1]
raymond| Hi Bill how have you been lately| [person:bill m 1-1][person:bill m 4-4]
bill| I am doing great Raymond thanks for asking hbu| [person:bill m 0-0][person:raymond m 4-4]
raymond| Doing fine as well Hey listen I was thinking about organizing a get together this weekend to watch the soccer game what do you think| [person:raymond m 6-6][person:bill m 23-23]
bill| I think that s a great idea it has been so long since we got together to have fun| [person:bill m 0-0][person:we g(raymond:bill) 13-13]
raymond| I agree with you we should invite Aaron and Bob| [person:raymond m 0-0][person:bill m 3-3][person:we g(raymond:bill) 4-4][person:aaron m 7-7][person:bob m 9-9]
bill| of course we should invite them just like the good old times| [person:we g(raymond:bill) 2-2][person:them g(aaron:bob) 5-5]
raymond| I was thinking organizing it in my house since I am located to the proximity of everyone else s home what do you think| [person:raymond m 0-0][person:raymond m 6-6][person:raymond m 9-9][person:everyone g(raymond:bill:aaron:bob) 16-16][location:home s 19-19][person:bill m 22-22]
bill| I think that ll work for me as long as you got good food lol| [person:bill m 0-0][person:bill m 6-6][person:raymond m 10-10]
raymond| haha of course I have good food is that even a question I know you like wings Aaron loves dumpling and bob is a huge fan of french fries Don t worry I got all of your backs lol| [person:raymond m 3-3][person:raymond m 12-12][person:bill m 14-14][person:aaron m 17-17][person:bob m 21-21][person:raymond m 32-32][person:your g(bill:aaron:bob) 36-36]
bill| Wow Raymond you sure know all of us well| [person:raymond m 1-1][person:raymond m 2-2][person:your g(bill:aaron:bob) 7-7]
raymond| so is a plan we will meet this weekend at my house and let the boys know| [person:we g(raymond:bill:aaron:bob) 4-4][person:raymond m 10-10][location:home s 11-11][person:boys g(aaron:bob) 15-15]
bill| Yup we ll be there rain or shine see you| [person:we g(raymond:bill:aaron:bob) 1-1][location:home s 4-4][person:raymond m 9-9]
raymond| see you| [person:bill m 1-1]

conv:people_2019081201_55:aug_0:chat_0:chataug_0| brenda lauren| [person:brenda f 0-0][person:lauren f 1-1]
lauren| Hey Brenda what s up| [person:brenda f 1-1]
brenda| Nothing much Lauren just watching some TV| [person:lauren f 2-2]
lauren| Ok sounds cool I Have a favor to ask| [person:lauren f 3-3]
lauren| My friend Hannah is visiting me and I can t pick her up from work I was wondering if you were able to| [person:lauren f 0-0][person:hannah f 1-1][person:hannah f 2-2][person:lauren f 5-5][person:lauren f 7-7][person:hannah f 11-11][person:lauren f 15-15][person:brenda f 19-19]
brenda| I m sorry I wish I knew sooner I already have plans| [person:brenda f 0-0][person:brenda f 3-3][person:brenda f 5-5][person:brenda f 8-8]
brenda| I have a meeting planned with my friend Jordan around that time and can t make it| [person:brenda f 0-0][person:brenda f 6-6][person:jordan m 7-7][person:jordan m 8-8]
lauren| C mon please Brenda just do me this one solid| [person:brenda f 3-3][person:lauren f 6-6]
brenda| Uh okay fine I can reschedule with Jordan| [person:brenda f 3-3][person:jordan m 7-7]
brenda| I will pick her up| [person:brenda f 0-0][person:hannah f 3-3]
lauren| Actually never mind I think Catherine can pick her up instead| [person:lauren f 3-3][person:catherine f 5-5][person:hannah f 8-8]
lauren| Thanks Though|
brenda| Ok no problem glad I could help| [person:brenda f 4-4]

conv:people_2019081201_56:aug_0:chat_0:chataug_0| dorothy martha| [person:dorothy f 0-0][person:martha f 1-1]
martha| Hi Dorothy i was thinking of having a lunch with all of our friends| [person:dorothy f 1-1][person:martha f 2-2][person:our g(martha:dorothy) 12-12][person:friends g() 13-13]
dorothy| that sounds good which friends are you bringing| [person:friends g() 4-4][person:martha f 6-6]
martha| I was thinking To bring you Jennifrer Catherine and Abigail| [person:martha f 0-0][person:dorothy f 5-5][person:catherine f 7-7][person:abigail f 9-9]
dorothy| that sounds nice what food should we have| [person:our g(martha:dorothy) 6-6]
martha| i was hoping you would have some insight| [person:martha f 0-0][person:dorothy f 3-3]
dorothy| well i kinow that jennifer and abigail like mexican food the best| [person:dorothy f 1-1][person:jennifer f 4-4][person:abigail f 6-6]
dorothy| I also know that Catherine like burgers the most| [person:dorothy f 0-0][person:catherine f 4-4]
martha| okay well if catherine likes burgers maybe we can do beef tacos| [person:catherine f 3-3][person:our g(martha:dorothy) 7-7]
dorothy| i think that would work because a burger is made from beef| [person:dorothy f 0-0]
martha| okay good idea also the tacos are a mexican food item|
dorothy| yes that works out perfectly|

conv:people_2019081201_57:aug_0:chat_0:chataug_0| arthur eddie| [person:arthur m 0-0][person:eddie m 1-1]
arthur| Hey there|
eddie| Arthur Hi I was just going to touch base with you about dinner| [person:arthur m 0-0][person:eddie m 2-2][person:arthur m 10-10]
arthur| I ve been trying to figure out a restaurant all day Have any ideas| [person:arthur m 0-0][location:restaurant s 8-8]
eddie| Well before we get to that I wanted to ask you something| [person:we g(arthur:eddie) 2-2][person:eddie m 6-6][person:arthur m 10-10]
arthur| oh ok what is it|
eddie| I was thinking of inviting Wayne and William tonight What are your thoughts| [person:eddie m 0-0][person:wayne m 5-5][person:william m 7-7][person:arthur m 11-11]
arthur| Hm I guess I don t mind| [person:arthur m 1-1][person:arthur m 3-3]
eddie| I know Wayne is difficult| [person:eddie m 0-0][person:wayne m 2-2]
arthur| Yeah he has such a strong preference with dinner that it gets frustrating| [person:wayne m 1-1]
eddie| I agree But William and Wayne talk daily and I know he ll make it a big thing once he finds out we went out and didn t invite him| [person:eddie m 0-0][person:william m 3-3][person:wayne m 5-5][person:eddie m 9-9][person:wayne m 11-11][person:wayne m 19-19][person:we g(arthur:eddie) 22-22][person:wayne m 29-29]
arthur| I suppose it s probably best if we invite them both Now back to where to go| [person:arthur m 0-0][person:we g(arthur:eddie) 7-7][person:we g(arthur:eddie) 9-9]
eddie| How about that new place Ocean Tavern on fifth| [location:place s 4-4][location:place s 6-6]
arthur| I ll be there Make sure you tell Wayne and William also 6pm| [person:arthur m 0-0][location:place s 3-3][person:eddie m 6-6][person:wayne m 8-8][person:william m 10-10]

conv:people_2019081201_61:aug_0:chat_0:chataug_0| beverly michelle| [person:beverly f 0-0][person:michelle f 1-1]
michelle| Hey Beverly how are you| [person:beverly f 1-1][person:beverly f 4-4]
beverly| Michelle I am so good thanks| [person:michelle f 0-0][person:beverly f 1-1]
beverly| We still on for meeting them for lunch| [person:we g(michelle:beverly) 0-0][person:michelle f 5-5]
beverly| I think it is more like brunch lol| [person:beverly f 0-0]
michelle| way to correct yourself we just talked the other day about this lol| [person:beverly f 3-3][person:we g(michelle:beverly) 4-4]
michelle| where should we go that is convenient for everyone| [person:we g(michelle:beverly) 2-2][person:everyone g(michelle:beverly) 8-8]
beverly| Lets go to BWW they have awesome wings for sure| [location:bww s 3-3][person:michelle f 4-4]
michelle| that works for me| [person:michelle f 3-3]
michelle| I will elt everyone know| [person:michelle f 0-0][person:everyone g(michelle:beverly) 3-3]
beverly| Sounds good I can t wait I am so hungry| [person:beverly f 2-2][person:beverly f 6-6]

conv:people_2019081201_62:aug_0:chat_0:chataug_0| donna stephanie| [person:donna f 0-0][person:stephanie f 1-1]
donna| Hey do you ready for the trip| [person:stephanie f 2-2]
stephanie| Yes I am getting ready for the trip| [person:stephanie f 1-1]
donna| There are further more 2 days to prepare for our trip We are going to the trip coming wednesday| [person:we g(donna:stephanie) 9-9][person:we g(donna:stephanie) 11-11]
stephanie| Yes it was our plan We should buy many things for the trip within these 2 days| [person:we g(donna:stephanie) 3-3][person:we g(donna:stephanie) 5-5]
donna| Yes I can go shopping tomorrow| [person:donna f 1-1]
stephanie| Perfect You can buy cloths like rain coat Tshirts and jeans for our trip| [person:donna f 1-1][person:we g(donna:stephanie) 12-12]
donna| Yes I will| [person:donna f 1-1]
stephanie| I will go and buy a travel bag which is necessory and I don t have| [person:stephanie f 0-0][person:stephanie f 12-12]
donna| Yes That is important You should buy plates and spoons for our breackfast Because of on the way to that hill station there are no hotels So we should bring foods| [person:stephanie f 4-4][person:we g(donna:stephanie) 11-11][location:station s 21-21][location:hotels g() 25-25][person:we g(donna:stephanie) 27-27]
stephanie| Yes That is important too|
donna| Is there anyother we need| [person:we g(donna:stephanie) 3-3]
stephanie| That s over We got all the other items| [person:we g(donna:stephanie) 3-3]

conv:people_2019081201_63:aug_0:chat_0:chataug_0| helen kyle| [person:helen f 0-0][person:kyle m 1-1]
kyle| Yo Babe when should we go up to Boston to visit Daniel and Jacqueline| [person:we g(kyle:helen) 4-4][location:boston s 8-8][person:daniel m 11-11][person:jacqueline f 13-13]
helen| Hey Hon Lets do it in the next weekend there is good weather so we can enjoy their new place in Cape Cod| [location:boston s 9-9][person:we g(kyle:helen) 14-14][person:their g(daniel:jacqueline) 17-17][location:place s 19-19][location:cape_cod s 21-22]
kyle| Good Idea That s why you re the brains of this outfit| [person:helen f 5-5]
helen| LOL I got the brains But you got the money Speaking of what should we get them| [person:helen f 1-1][person:kyle m 6-6][person:we g(kyle:helen) 14-14][person:their g(daniel:jacqueline) 16-16]
kyle| How about a new beach set This way they will have to take us up to the Cape Cod house| [location:beach s 4-4][person:their g(daniel:jacqueline) 8-8][person:we g(kyle:helen) 13-13][location:cape_cod s 17-18][location:house s 19-19]
helen| This is why they pay you the big bucks| [person:their g(daniel:jacqueline) 3-3][person:kyle m 5-5]
kyle| LOL This is very Machiavellian I hope thery re not onto us| [person:kyle m 5-5][person:we g(kyle:helen) 11-11]
helen| They want to go just a bad as we do You know how they love showing off the vacation house| [person:their g(daniel:jacqueline) 0-0][person:we g(kyle:helen) 8-8][person:kyle m 10-10][person:their g(daniel:jacqueline) 13-13][location:house s 19-19]
kyle| Not to mention Jacqueline and her bikini| [person:jacqueline f 3-3][person:jacqueline f 5-5]
helen| OMG If she shows me her new body again I don t know what I ll do| [person:jacqueline f 2-2][person:helen f 4-4][person:jacqueline f 5-5][person:helen f 9-9][person:helen f 14-14]
kyle| I do| [person:kyle m 0-0]
helen| OMG What do you mean by that| [person:kyle m 3-3]
kyle| Use your imagination| [person:helen f 1-1]
helen| LOL I am Get home soon| [person:helen f 1-1][location:home s 4-4]

conv:people_2019081201_64:aug_0:chat_0:chataug_0| frances jean| [person:frances f 0-0][person:jean f 1-1]
jean| hi|
frances| hi|
jean| Hey how was the Avengers|
frances| Hey The movie was great|
jean| Diana and I really enjoyed the movie| [person:diana f 0-0][person:jean f 2-2]
frances| Nice Yeah the trailer was very good too|
jean| Alice Infact she was saying that we should watch it again| [person:alice f 0-0][person:alice f 2-2][person:we g(jean:diana:alice) 6-6]
frances| oh wow ha I can come along with you both too| [person:frances f 3-3][person:jean f 8-8]
jean| Does this Saturday work for you| [person:frances f 5-5]
frances| Let me check with her I will let you know| [person:frances f 1-1][person:alice f 4-4][person:frances f 5-5][person:jean f 8-8]
jean| ok tonight free ah|
frances| ya iam free why|
jean| notihng small dinner|

conv:people_2019081201_65:aug_0:chat_0:chataug_0| daniel lara| [person:daniel m 0-0][person:lara f 1-1]
daniel| hi|
lara| hi daniel| [person:daniel m 1-1]
daniel| need one favour|
lara| tell me daniel| [person:lara f 1-1][person:daniel m 2-2]
daniel| i want to know about casinos| [person:daniel m 0-0][location:casinos g() 5-5]
lara| ya its great deal its great pleasure to visit there|
daniel| ooo really i never go at casino| [person:daniel m 2-2][location:casino s 6-6]
lara| dont worry one day we wil surely going| [person:we g(daniel:lara) 4-4]
daniel| tell about casino| [location:casino s 2-2]
lara| its big gaming center which played childrens to audlt|
daniel| when you last visit to casino| [person:lara f 1-1][location:casino s 5-5]
lara| my last month vacations| [person:lara f 0-0]
daniel| how much cost it would be|
lara| i dont know exact details my parents only know that details| [person:lara f 0-0][person:lara f 5-5][person:parents g() 6-6]
daniel| i think large amount of money need for casino| [person:daniel m 0-0][location:casino s 8-8]
lara| no daniel it very low cost only because everyone we can go there as offer price| [person:daniel m 1-1][person:everyone g() 8-8][person:we g(daniel:lara) 9-9]
daniel| ooo really|
lara| yes we gone for offer prize only| [person:we g(daniel:lara) 1-1]
daniel| ooo great deal i will go to next summer| [person:daniel m 3-3]
lara| even i too bye| [person:lara f 1-1]

conv:people_2019081201_71:aug_0:chat_0:chataug_0| charles patricia| [person:charles m 0-0][person:patricia f 1-1]
charles| Hi Patricia| [person:patricia f 1-1]
patricia| Charles what s up| [person:charles m 0-0]
charles| Well I know that you re having Dorothy Sharon Ricky and Adam to your house for a barbeque and was wondering what they re bringing so i don t accidentally bring the same thing| [person:charles m 1-1][person:patricia f 4-4][person:dorothy f 7-7][person:sharon f 8-8][person:ricky m 9-9][person:adam m 11-11][person:patricia f 13-13][person:charles m 26-26]
patricia| Well I think that Dorothy and Sharon brought ribs and Ricky and Adam are bringing beer| [person:patricia f 1-1][person:dorothy f 4-4][person:sharon f 6-6][person:ricky m 10-10][person:adam m 12-12]
charles| Oh got it should I get some other meat and drinks in case some of them don t like ribs| [person:charles m 4-4][person:they g(dorothy:sharon:ricky:adam) 15-15]
patricia| Yeah why don t you pick up some ice coolers and some hotdogs on the store before you make your way here| [person:charles m 4-4][person:charles m 17-17][person:charles m 19-19]
charles| Cool I also know that all of them love wine are you OK if I bring some of that as well| [person:charles m 1-1][person:they g(dorothy:sharon:ricky:adam) 7-7][person:patricia f 11-11][person:charles m 14-14]
patricia| You know me I ll never say no to wine See you soon Charles| [person:charles m 0-0][person:patricia f 2-2][person:patricia f 3-3][person:charles m 11-11][person:charles m 13-13]
charles| Looking forward to tonight see ya|
patricia| Drive safe|
charles| Thanks Patricia I will| [person:patricia f 1-1][person:charles m 2-2]
patricia| Oh before I forget get some ice I know that Dorothy Sharon Ricky and Adam don t like their drinks warm| [person:patricia f 2-2][person:patricia f 7-7][person:dorothy f 10-10][person:sharon f 11-11][person:ricky m 12-12][person:adam m 14-14][person:they g(dorothy:sharon:ricky:adam) 18-18]
charles| You re right in this hot weather I wouldn t want that either thanks| [person:patricia f 0-0][person:charles m 7-7]

conv:people_2019081201_73:aug_0:chat_0:chataug_0| dylan logan| [person:dylan m 0-0][person:logan m 1-1]
dylan| Hi Logan how have you been lately| [person:logan m 1-1][person:logan m 4-4]
logan| I am doing fantastic and you| [person:logan m 0-0][person:dylan m 5-5]
dylan| I am doing great as well listen I was planning to carry out a work event to train for diversity I wanted to invite our friends Noah Stephen and Garry| [person:dylan m 0-0][person:dylan m 7-7][person:dylan m 20-20][person:our g(dylan:logan) 24-24][person:friends g(dylan:logan) 25-25][person:noah m 26-26][person:stephen m 27-27]
dylan| What do you think it should be fun| [person:logan m 2-2]
logan| I think that s a fantastic idea I am up for it| [person:logan m 0-0][person:logan m 7-7]
dylan| Great I was thinking I can send the invitation for Noah and Stephen| [person:logan m 1-1][person:logan m 4-4][person:noah m 10-10][person:stephen m 12-12]
dylan| Could you help me send an invite to Garry| [person:logan m 1-1][person:dylan m 3-3][person:garry m 8-8]
logan| Sure I can certainly do that| [person:logan m 1-1]
dylan| That s awesome I really appreciate your help| [person:dylan m 3-3][person:logan m 6-6]
logan| No problem Anytime I got you Dylan| [person:logan m 3-3][person:dylan m 5-5][person:dylan m 6-6]
dylan| Thanks bro|
logan| It should be fun can t wait|

conv:people_2019081201_74:aug_0:chat_0:chataug_0| amanda carolyn| [person:amanda f 0-0][person:carolyn f 1-1]
amanda| Want to go running tonight|
carolyn| N O|
amanda| Please|
carolyn| Hell to the no|
amanda| Why|
carolyn| Well 1 I hate running and 2 I am busy at work| [person:carolyn f 2-2][person:carolyn f 7-7]
amanda| Ugh I don t want to go alone| [person:amanda f 1-1]
amanda| What if it was a quick run 20 mins|
carolyn| Still a no|
carolyn| Why don t you text Amanda remember her from my party last weekend She is training for a race she runs all the time| [person:amanda f 3-3][person:amanda f 5-5][person:amanda f 7-7][person:carolyn f 9-9][person:amanda f 13-13][person:amanda f 19-19]
amanda| Would that be weird|
carolyn| No I will take the introduction for you She is super nice| [person:carolyn f 1-1][person:amanda f 7-7][person:amanda f 8-8]
carolyn| Her is 5555555555| [person:amanda f 0-0]
amanda| Awesome I am going to text her now to see if she wants to go| [person:amanda f 1-1][person:amanda f 6-6][person:amanda f 11-11]
carolyn| Good idea have fun I will be at work dying inside| [person:carolyn f 4-4]

conv:people_2019081201_76:aug_0:chat_0:chataug_0| dwight paul| [person:dwight m 0-0][person:paul m 1-1]
paul| Hey Dwight So I was thinking about some places for the anniversary| [person:dwight m 1-1][person:paul m 3-3][location:places g() 8-8]
dwight| Cool Let s think of something that Nathan and Kate like to do then we find a place that matches the criteria| [person:nathan m 7-7][person:kate f 9-9][person:we g(paul:dwight) 14-14][location:place s 17-17]
paul| Our friend Jeremy I know that Kate loves bowling and all kind of competitive games But I don t know what Nathan would like| [person:our g(paul:dwight) 0-0][person:friend u 1-1][person:jeremy m 2-2][person:paul m 3-3][person:kate f 6-6][person:paul m 16-16][person:nathan m 21-21]
dwight| Our friend Jeremy is friends with Nathan since they were kids you should ask him| [person:our g(paul:dwight) 0-0][person:friend u 1-1][person:jeremy m 2-2][person:nathan m 6-6][person:they g(nathan:jeremy) 8-8][person:paul m 11-11][person:jeremy m 14-14]
paul| Great idea Dwight I ll talk to him and let you know| [person:dwight m 2-2][person:paul m 3-3][person:jeremy m 7-7][person:paul m 10-10]
dwight| Awesome But go fast They anniversary is in 4 days we should hurry| [person:they g(nathan:kate) 4-4][person:we g(paul:dwight) 10-10]
paul| Hey Dwight I talked to Jeremy and he said that the one thing Nathan loves most is paintball What do you think| [person:dwight m 1-1][person:paul m 2-2][person:jeremy m 5-5][person:jeremy m 7-7][person:nathan m 13-13][person:dwight m 20-20]
dwight| That s an excellent idea Kate loves competitive sports I think she will really enjoy paintball| [person:kate f 5-5][person:dwight m 9-9][person:kate f 11-11]
paul| So I think we reached a decision I ll book the place right now can you take care of the list of peolple we ll invite and the gifts| [person:paul m 1-1][person:we g(paul:dwight) 3-3][person:paul m 7-7][location:place s 11-11][person:dwight m 15-15][person:we g(paul:dwight) 23-23]
dwight| Sure thing Paul I ll do the list now and pass to you tonight I ll also buy the gifts tomorrow| [person:paul m 2-2][person:dwight m 3-3][person:paul m 12-12][person:dwight m 14-14]
paul| Bye|
dwight| Bye|

conv:people_2019081201_77:aug_0:chat_0:chataug_0| eva sophia| [person:eva f 0-0][person:sophia f 1-1]
sophia| Hey Eva Do you wanna go on a picnic in a couple weeks with me| [person:eva f 1-1][person:eva f 3-3][person:sophia f 14-14]
eva| Hey Sofia That sounds like a great idea but unfortunately I can not make it| [person:eva f 10-10]
sophia| Oh man Do you mind asking why you can t make it| [person:eva f 3-3][person:eva f 7-7]
eva| I have work I am so sorry but if you wanna still wanna go I have a friend who would love to join| [person:eva f 0-0][person:eva f 3-3][person:sophia f 9-9][person:eva f 14-14][person:lisa f 17-17]
eva| What do you think| [person:sophia f 2-2]
sophia| Aw I m sorry I wish you could come Um maybe who is your friend| [person:sophia f 1-1][person:sophia f 4-4][person:eva f 6-6][person:eva f 13-13][person:lisa f 14-14]
eva| My friends name is Lisa| [person:eva f 0-0][person:lisa f 1-1][person:lisa f 4-4]
eva| I think you guys would get along well and she loves picnics| [person:eva f 0-0][person:sophia f 2-2][person:lisa f 9-9]
sophia| Are you sure you can t come I was looking forward to going on a picnic with you It would be a ton a fun| [person:eva f 1-1][person:eva f 3-3][person:sophia f 7-7][person:eva f 17-17]
sophia| Maybe you could get someone to cover for you at work| [person:eva f 1-1][person:someone u 4-4][person:eva f 8-8]
eva| I wish I could get someone to cover but it super busy on the weekends maybe next time| [person:eva f 0-0][person:eva f 2-2][person:someone u 5-5]
eva| I m gonna send you Lisa s number| [person:eva f 0-0][person:sophia f 4-4][person:lisa f 5-5]
sophia| Okay I wish you could still come Let me know if anything changes| [person:sophia f 1-1][person:eva f 3-3][person:sophia f 8-8]
sophia| Thank you| [person:eva f 1-1]

conv:people_2019081201_78:aug_0:chat_0:chataug_0| debra rachel| [person:debra f 0-0][person:rachel f 1-1]
debra| Hey Rachel| [person:rachel f 1-1]
rachel| Hey How are you doing| [person:debra f 3-3]
debra| I m doing great Have you lived in Dallas for a long time| [person:debra f 0-0][person:rachel f 5-5][location:dallas s 8-8]
rachel| Actually I m from Los Angeles But i ve lived here long enough to know my places| [person:rachel f 1-1][location:los_angeles s 4-5][person:rachel f 7-7][location:dallas s 10-10][person:rachel f 15-15][location:places g() 16-16]
debra| That s great Do you mind recommending some places we should visit Debra Olivia and Virginia and I love to try different foods| [person:rachel f 4-4][location:places g() 8-8][person:we g(debra:debra) 9-9][person:debra f 12-12][person:olivia f 13-13][person:virginia f 15-15][person:debra f 17-17]
rachel| Of course I do not mind I would most definitely recommend the Ace Diners They have a wide range of menu items so you would not have to worry| [person:rachel f 2-2][person:rachel f 6-6][location:ace_diners s 12-13][person:debra f 23-23]
debra| That sounds fabulous How about some sightseeing places We love to see the ethic culture of places| [location:places g() 7-7][person:we g(debra:debra:olivia:virginia) 8-8][location:places g() 16-16]
rachel| Then I would most definitely recommend the cowboy museum and to visit the national parks| [person:rachel f 1-1][location:museum s 8-8]
debra| That s lovely Thank you| [person:rachel f 4-4]
rachel| Of course Do you all love football| [person:debra f 3-3]
debra| We actually do We always go watch home games back in Cali| [person:we g(debra:debra:olivia:virginia) 0-0][person:we g(debra:debra:olivia:virginia) 3-3][location:cali s 11-11]
rachel| I totally recommend the Dallas Cowboy game Are you interested| [person:rachel f 0-0][location:dallas s 4-4][person:debra f 8-8]
debra| Totally Let s all go together|
rachel| Sounds great I will book the tickets I cannot wait| [person:rachel f 2-2][person:rachel f 7-7]
