conv:people_2019090101_86:aug_0:chat_0:chataug_0| kevin noah| [person:kevin m 0-0][person:noah m 1-1]
betty| Well you know how she loves to cook I think that is perfect A little taste of home for her| [person:joseph m 1-1][person:olivia f 4-4][person:betty f 8-8][location:home s 17-17][person:olivia f 19-19]
joseph| Exactly Since we have plenty of time before our trip I ll wait until Bob s has a sale to pick up the lure| [person:we g(joseph:betty) 2-2][person:our g(joseph:betty) 8-8][location:trip s 9-9][person:joseph m 10-10][person:bob m 14-14]
betty| Good idea I cannot wait to see them Summer cannot come soon enough| [person:betty f 2-2][person:them g(peter:olivia) 7-7]

conv:people_2019090101_174:aug_0:chat_0:chataug_0| amanda jacob| [person:amanda f 0-0][person:jacob m 1-1]
jacob| How are you| [person:amanda f 2-2]
amanda| I am good how are you| [person:amanda f 0-0][person:jacob m 5-5]
jacob| Really I would love to go there| [person:jacob m 1-1][location:europe s 6-6]
amanda| Yes I always wanted to visit that place Sunil So are you going there or with family| [person:amanda f 1-1][location:europe s 7-7][person:jacob m 11-11][person:famil g() 16-16]
jacob| Which place| [location:europe s 1-1]
amanda| Europe is my best place| [location:europe s 0-0][person:amanda f 2-2][location:europe s 4-4]
jacob| I am going there with a couple of my friends| [person:jacob m 0-0][location:europe s 3-3][person:jacob m 8-8][person:jacob m 9-9]
amanda| that is nice Thailand is one of my favorite places and I wish I can go there too at least once| [location:thailand s 3-3][person:amanda f 7-7][location:thailand s 9-9][person:amanda f 11-11][person:amanda f 13-13][location:thailand s 16-16]
jacob| Really I didn t know you like Thailand so much why don t you come with us| [person:jacob m 1-1][person:amanda f 5-5][location:thailand s 7-7][person:amanda f 13-13][location:there g(thailand) 16-16]
amanda| I can| [person:amanda f 0-0]
jacob| Of course|
amanda| Really I am so happy to hear that I always wanted to go but I didn t have any one to go with With family it gets boring you know| [person:amanda f 1-1][person:amanda f 8-8][person:amanda f 14-14][person:famil g() 24-24][location:europe s 25-25][person:jacob m 28-28]
jacob| Yes I know which is why I planned my trip with my friends Sunil Yes Thank you so much Akshay that is so kind of you that you also invited me to this trip| [person:jacob m 1-1][person:jacob m 6-6][person:jacob m 8-8][person:jacob m 11-11][person:jacob m 12-12][person:amanda f 16-16][person:amanda f 25-25][person:amanda f 27-27]
amanda| Not a problem at all friend It would be more fun Sunil Yes Ok now I have to go for the class I will discuss more on call| [person:amanda f 5-5][location:europe s 6-6][person:amanda f 15-15][person:amanda f 22-22]
jacob| Yes sure call me whenever you want Take care See you Sunil You too take care| [person:jacob m 3-3][person:amanda f 5-5][person:amanda f 10-10][person:amanda f 12-12]

conv:people_2019090101_175:aug_0:chat_0:chataug_0| billy donald| [person:billy m 0-0][person:donald m 1-1]
donald| Hey man how s it going|
billy| It s going well thanks How about yourself| [person:donald m 7-7]
donald| All is good on my end Hey listen me and a couple of the guys are going on a Spring Break trip We d love for you to come| [person:donald m 4-4][person:donald m 8-8][location:trip s 21-21][person:we g(donald:billy) 22-22][person:billy m 26-26]
billy| Oh nice where are you going| [person:donald m 4-4]
donald| Miami the weather is hot but the women are hotter| [location:miami s 0-0]
billy| I heard Miami is gorgeous Who are you going with| [person:billy m 0-0][location:miami s 2-2][person:donald m 7-7]
donald| My neighbors Christian and Jon They are a hoot you ll love them| [person:donald m 0-0][person:neighbors g() 1-1][person:christian m 2-2][person:jon m 4-4][person:they g(christian:jon) 5-5][person:billy m 9-9][person:them g(christian:jon) 12-12]
billy| Hmmm I dunno Can you tell me more about them| [person:billy m 1-1][person:donald m 4-4][person:billy m 6-6][person:them g(christian:jon) 9-9]
donald| Yes when I moved into the neighborhood I saw them playing volleyball on the beach They asked if I wanted to join and ever since then we ve be great friends| [person:donald m 2-2][person:donald m 7-7][person:them g(christian:jon) 9-9][person:they g(christian:jon) 15-15][person:donald m 18-18][person:we g(donald:billy) 26-26]
donald| I promise you they are very respectful responsible and will welcome you with open arms| [person:donald m 0-0][person:billy m 2-2][person:they g(christian:jon) 3-3][person:billy m 11-11]
billy| They seem awesome I m just a little hesitant when I met new people as you know I m very shy| [person:they g(christian:jon) 0-0][person:billy m 3-3][person:billy m 10-10][person:donald m 15-15][person:billy m 17-17]
donald| So we re leaving in a month and I d really love for you to join us Get back to me this weekend and let me know| [person:we g(donald:billy) 1-1][person:donald m 8-8][person:billy m 13-13][person:us g(christian:jon) 16-16][person:donald m 20-20][person:donald m 25-25]
billy| Ok will do Thanks for the invite|
donald| Ciao|
billy| Take care|

conv:people_2019090101_176:aug_0:chat_0:chataug_0| carolyn theresa| [person:carolyn f 0-0][person:theresa f 1-1]
carolyn| Hi Theresa lets agree who is going to sort out the music for the party| [person:theresa f 1-1][location:party s 14-14]
theresa| Okay well the music is a good place to start How about Jessica She has good taste in music and has a big CD collection| [person:jessica f 12-12][person:jessica f 13-13]
carolyn| Sounds good What else do we need to arrange do you think| [person:we g(carolyn:theresa) 5-5][person:theresa f 10-10]
theresa| We still need to sort out drinks and food I can make some snacks but I think we need something more| [person:we g(carolyn:theresa) 0-0][person:theresa f 9-9][person:theresa f 15-15][person:we g(carolyn:theresa) 17-17]
carolyn| Marie can help with the food She is a great cook so maybe she can make a big Lasagne and bring it along| [person:marie f 0-0][person:marie f 6-6][person:marie f 13-13]
theresa| That s great but I think we also need some vegetarian options too so ask Marie to make something else too| [person:theresa f 4-4][person:we g(carolyn:theresa) 6-6][person:marie f 15-15]
carolyn| That just leaves drinks I m sure Debra wouldn t mind getting something| [person:carolyn f 4-4][person:debra f 7-7]
theresa| She can pick up some beers and spirits for cocktails We don t want to run out of alcohol| [person:debra f 0-0][person:we g(carolyn:theresa:jessica:marie:debra) 10-10]
carolyn| Okay well that s sorted then I can t wait Let s tell everyone to get to the party for 7pm| [person:carolyn f 6-6][person:everyone g(jessica:marie:debra) 13-13][location:party s 18-18]
theresa| Sounds sensible We can start off with food and then once that s settled get the music and drinks flowing| [person:we g(carolyn:theresa:jessica:marie:debra) 2-2]

conv:people_2019090101_177:aug_0:chat_0:chataug_0| lara samantha| [person:lara f 0-0][person:samantha f 1-1]
lara| My friend Victoria is visiting but I am unable to pick her up Is there any way you can pick her up for me| [person:lara f 0-0][person:lara f 1-1][person:victoria f 2-2][person:lara f 6-6][person:victoria f 11-11][person:samantha f 17-17][person:victoria f 20-20][person:lara f 23-23]
samantha| When does she need to be picked up| [person:victoria f 2-2]
lara| Tomorrow at 315|
samantha| I m sorry I have a meeting with Robert at 330 tomorrow So I can t do it| [person:samantha f 0-0][person:samantha f 3-3][person:robert m 8-8][person:samantha f 13-13]
lara| Can you change the meeting I m desperate| [person:samantha f 1-1][person:lara f 5-5]
samantha| Why can t you change your plans and pick her up yourself| [person:lara f 3-3][person:lara f 5-5][person:victoria f 9-9][person:lara f 11-11]
lara| I would if I could But I am having an ultrasound done because they found something on my mammogram I had to wait a month for the appointment and with my family history I don t want to wait another month| [person:lara f 0-0][person:lara f 3-3][person:lara f 6-6][person:they g() 13-13][person:lara f 17-17][person:lara f 19-19][person:lara f 30-30][person:family g() 31-31]
samantha| I m so sorry I had no idea Where did you need to pick her up from| [person:samantha f 0-0][person:samantha f 4-4][person:lara f 10-10][person:victoria f 14-14]
lara| From the Play School at 61st and Lexington| [location:school s 2-3][location:school s 3-3][location:61st s 5-5][location:lexington s 7-7]
samantha| Well its not too far from your place and your place isn t far from where I m suppose to meet with Robert I ll see if I can t move our meeting to 4 instead That should give me enough time| [person:lara f 6-6][person:lara f 9-9][person:samantha f 16-16][person:robert m 22-22][person:samantha f 23-23][person:samantha f 27-27][person:our g(samantha:robert) 31-31]
lara| If you could do that it would be a lifesaver I really have nowhere else to turn| [person:samantha f 1-1][person:lara f 10-10]
samantha| It s okay I m happy to help Good luck with the ultrasound and let me know how it goes| [person:samantha f 3-3][person:samantha f 15-15]

conv:people_2019090101_178:aug_0:chat_0:chataug_0| christopher louis| [person:christopher m 0-0][person:louis m 1-1]
christopher| Kenneth Raymond and I are going for a movie tonight| [person:kenneth m 0-0][person:raymond m 1-1][person:christopher m 3-3]
louis| Nice Which theater are you going to| [person:christopher m 4-4]
christopher| We re not sure yet Something nearby where you work| [person:we g(christopher:kenneth:raymond) 0-0][person:louis m 8-8]
louis| Good call there are a lot of great theaters over here| [location:here s 10-10]
christopher| Could you recommend any I don t know the area well| [person:louis m 1-1][person:christopher m 4-4]
louis| For sure Let s see the Republica is tiny but shows cool indie films The Megatheater has all the latest movies Cinestar and Starcourt are right across the street from each other so if one is busy you can go to the other| [location:street s 28-28][person:christopher m 37-37]
christopher| Oh man So many choices Are you going to join us| [person:louis m 6-6][person:we g(christopher:kenneth:raymond) 10-10]
louis| If you re going to Republica I will I ve already seen most of the new movies that are out| [person:christopher m 1-1][person:louis m 6-6][person:louis m 8-8]
christopher| Republica it is Meet us there around 7| [location:it s 1-1][person:we g(christopher:kenneth:raymond) 4-4][location:it s 5-5]
louis| I ll be there WIth extra popcorn| [person:louis m 0-0][location:it s 3-3]

conv:people_2019090101_180:aug_0:chat_0:chataug_0| eric roger| [person:eric m 0-0][person:roger m 1-1]
eric| Hey Roger Why don t we get together with some of our friends| [person:roger m 1-1][person:our g(eric:roger) 5-5][location:get_together s 6-7][person:our g(eric:roger) 11-11][person:friends g() 12-12]
roger| Sure Eric Why don t we call Alan Russell and Jeff to go out| [person:eric m 1-1][person:our g(eric:roger) 5-5][person:alan m 7-7][person:russell m 8-8][person:jeff m 10-10][location:get_together s 13-13]
eric| That sounds terrific They are so much fun| [person:friends g(alan:russell:jeff) 3-3]
roger| Yes they are so much fun Do you think you could call Alan| [person:friends g(alan:russell:jeff) 1-1][person:eric m 7-7][person:eric m 9-9][person:alan m 12-12]
eric| Sure I could do that When are we going out| [person:eric m 1-1][person:we g(eric:roger:alan:russell:jeff) 7-7][location:out s 9-9]
roger| Why don t you call Russell and Jeff and see if tomorrow is good| [person:eric m 3-3][person:russell m 5-5][person:jeff m 7-7]
eric| Sure I ll call them What time is good for you| [person:eric m 1-1][person:them g(russell:jeff) 4-4][person:roger m 10-10]
roger| Any time after 400 PM tomorrow is good for me| [person:roger m 9-9]
eric| Okay I ll see what time works for Russell and Jeff and get back to you| [person:eric m 1-1][person:russell m 8-8][person:jeff m 10-10][person:roger m 15-15]
roger| That sounds like a plan I ll talk to you soon and Alan as well| [person:roger m 5-5][person:eric m 9-9][person:alan m 12-12]

conv:people_2019090101_182:aug_0:chat_0:chataug_0| david kate| [person:david m 0-0][person:kate f 1-1]
david| Hey whats up|
kate| Hey Im supposed to buy some soda and snacks for their brunch with Jeffrey s family| [person:their g() 10-10][person:jeffrey m 13-13][person:family g(jeffrey) 15-15]
david| I got late at work actually and i m supposed to pick up April from soccer practice this evening| [person:david m 0-0][location:work s 4-4][person:david m 7-7][person:april f 13-13]
david| can you help me on that| [person:kate f 1-1][person:david m 3-3]
kate| Okay sure I can pickup April| [person:kate f 2-2][person:april f 5-5]
kate| can you shop for the brunch instead| [person:david m 1-1]
david| Sure Kate What Jeffrey Julie and Oliver will like| [person:kate f 1-1][person:jeffrey m 3-3][person:julie f 4-4]
kate| They love pastas and drinks| [person:their g(jeffrey:julie) 0-0]
david| Okay sure I will get that for them| [person:david m 2-2][person:their g(jeffrey:julie) 7-7]
kate| Thats nice Thanks much|
david| Thanks much too|
kate| will meet you guys soon| [person:david m 2-2]
david| Sure Kate Will catch up| [person:kate f 1-1]

conv:people_2019090101_183:aug_0:chat_0:chataug_0| aaron gabriel| [person:aaron m 0-0][person:gabriel m 1-1]
aaron| Hey Gabe how you been man| [person:gabriel m 3-3]
gabriel| Not to bad How are you| [person:aaron m 5-5]
aaron| Great really Listen I been beggin my boss all month for play off times off He finally compromised and told me he d give me time off if I subbed in for Steven| [person:aaron m 3-3][person:aaron m 6-6][person:gabriel m 15-15][person:aaron m 20-20][person:gabriel m 21-21][person:aaron m 24-24][person:aaron m 28-28][person:steven m 32-32]
gabriel| I thought Steven was getting the play offs off| [person:gabriel m 0-0][person:steven m 2-2]
aaron| He is He s got a ton of sick days saved up| [person:steven m 0-0][person:steven m 2-2]
gabriel| Are you going with him| [person:aaron m 1-1][person:steven m 4-4]
aaron| Yeah and actually your bro Daniel wants to come too I called him and he was like yeah I don t have anything goin on so why not We don t know where to go though You got any ideas| [person:gabriel m 3-3][person:daniel m 5-5][person:aaron m 10-10][person:daniel m 12-12][person:daniel m 14-14][person:aaron m 18-18][person:we g(aaron:gabriel:steven:daniel) 28-28]
gabriel| Your gonna watch at the stadium right| [person:aaron m 0-0]
aaron| Yeah but I ve never dealt with that mess before| [person:aaron m 2-2]
gabriel| Just go early and hang out at the lunch bar You can watch the game there and it would be just fine| [person:gabriel m 10-10]
aaron| Cool you wanna tag along| [person:gabriel m 1-1]
gabriel| Sure|
aaron| You meet at the stadium lunch bar around six then| [person:gabriel m 0-0]
gabriel| Sounds awesome You know what I ll bring my van and we can all go together| [person:aaron m 2-2][person:gabriel m 5-5][person:gabriel m 8-8][person:we g(aaron:gabriel:steven:daniel) 11-11]
aaron| Sounds great See ya then|
gabriel| Okay let the guys know I m coming Bye Aaron| [person:gabriel m 5-5][person:aaron m 9-9]

conv:people_2019090101_184:aug_0:chat_0:chataug_0| patrick philip| [person:patrick m 0-0][person:philip m 1-1]
patrick| Hey dude what s up|
philip| Hey Patrick nothing much yar| [person:patrick m 1-1]
patrick| How about planning game night|
philip| That s amazing|
patrick| Let s decide who to invite among Bobby Eugene Jon and Keith| [person:bobby m 7-7][person:eugene m 8-8][person:jon m 9-9][person:keith m 11-11]
philip| Well I think Bobby and Jon quite fine with me| [person:philip m 1-1][person:bobby m 3-3][person:jon m 5-5][person:philip m 9-9]
patrick| Hmm let s see even I want Keith too| [person:patrick m 5-5][person:keith m 7-7]
philip| Wow then we can ask those three great idea| [person:we g(patrick:philip) 2-2]
patrick| Where will we go| [person:we g(patrick:philip) 2-2]
philip| I think the central game night will be a nice one to enjoy| [person:philip m 0-0][location:central_game_night s 3-5]
patrick| Will everyone like it| [person:everyone g(patrick:philip:bobby:eugene:jon:keith) 1-1][location:central_game_night s 3-3]
patrick| Definitely it s much fun place| [location:central_game_night s 1-1]

conv:people_2019090101_185:aug_0:chat_0:chataug_0| benjamin edward| [person:benjamin m 0-0][person:edward m 1-1]
edward| Hey Edward I was thinking of inviting over Hannah and Brandon for a meal over at our place| [person:edward m 1-1][person:edward m 2-2][person:hannah f 8-8][person:brandon m 10-10][person:our g(edward:benjamin) 16-16][location:our_place s 16-17][location:place s 17-17]
benjamin| Yeah that would be a really good idea|
edward| Do you know what their schedules are like| [person:benjamin m 1-1][person:their g(hannah:brandon) 4-4]
benjamin| I know that Edward is free during lunch time| [person:benjamin m 0-0][person:edward m 3-3]
edward| That could work for Wednesday is Hannah free at that time| [person:hannah f 6-6]
benjamin| I m not sure I think she s free Thursday for lunch| [person:benjamin m 0-0][person:benjamin m 4-4][person:hannah f 6-6]
edward| I think I can make room for a Thursday lunch| [person:edward m 0-0][person:edward m 2-2][location:lunch s 9-9]
benjamin| Okay that s good I m free Thursday lunch time too| [person:benjamin m 4-4]
edward| So Thursday lunch time We can make them something easy| [person:our g(edward:benjamin) 4-4][person:their g(hannah:brandon) 7-7]
benjamin| Yeah I ll tell Edward and Hannah about it| [person:benjamin m 1-1][person:edward m 4-4][person:hannah f 6-6]
edward| I ll get what we need Talk to you later| [person:edward m 0-0][person:our g(edward:benjamin) 4-4][person:benjamin m 8-8]

conv:people_2019090101_186:aug_0:chat_0:chataug_0| abigail meredith| [person:abigail f 0-0][person:meredith f 1-1]
abigail| I m really looking forward to seeing you when I get to New York| [person:abigail f 0-0][person:meredith f 7-7][person:abigail f 9-9][location:new_york s 12-13]
meredith| Me too We ll have a great time| [person:meredith f 0-0][person:meredith_and_abigail g(abigail:meredith) 2-2]
abigail| I really want to see Susie Karan and Nathan while I m there| [person:abigail f 0-0][person:susie f 5-5][person:karan m 6-6][person:nathan m 8-8][person:abigail f 10-10][location:new_york s 12-12]
meredith| I know they look forward to seeing you too| [person:meredith f 0-0][person:friends g(susie:karan:nathan) 2-2][person:abigail f 7-7]
abigail| I d like to pick a place that will be best for us all to get together What part of the city do they live in| [person:abigail f 0-0][location:place s 6-6][person:everyone g(abigail:meredith:susie:karan:nathan) 12-12][location:new_york s 21-21][person:friends g(susie:karan:nathan) 23-23]
meredith| Susie is in Queens Karan in in Brooklyn and Nathan lives in the Bronx| [person:susie f 0-0][location:queens s 3-3][person:karan m 4-4][location:brooklyn s 7-7][person:nathan m 9-9][location:bronx s 13-13]
abigail| And you re in Manhattan You are all really spread out Is there some central location that would work for everyone| [person:meredith f 1-1][location:manhattan s 4-4][person:meredith f 5-5][person:everyone g(abigail:meredith:susie:karan:nathan) 20-20]
meredith| Well Susie and Nathan don t mind going anywhere in the city but Karan doesn t like to go far from home| [person:susie f 1-1][person:nathan m 3-3][location:new_york s 11-11][person:karan m 13-13][location:home s 21-21]
abigail| So we should pick someplace near Brooklyn| [person:everyone g(abigail:meredith:susie:karan:nathan) 1-1][location:brooklyn s 6-6]
meredith| Or in Brooklyn there s a lot of places we could hang out there| [location:brooklyn s 2-2][location:place s 8-8][person:everyone g(abigail:meredith:susie:karan:nathan) 9-9]
abigail| Do you have any suggestions| [person:meredith f 1-1]
meredith| We could meet in Prospect Park the weather s suppose to be really nice this weekend Then we could pick all pick a restaurant and go to dinner after| [person:everyone g(abigail:meredith:susie:karan:nathan) 0-0][location:prospect_park s 4-5][person:everyone g(abigail:meredith:susie:karan:nathan) 17-17][location:restaurant s 23-23]
abigail| That sounds perfect Let s make it happen|

conv:people_2019090101_187:aug_0:chat_0:chataug_0| donna rachel| [person:donna f 0-0][person:rachel f 1-1]
donna| Hey Rachel you know i am visiting New Orleans next week right| [person:rachel f 1-1][person:rachel f 2-2][person:donna f 4-4][location:new_orleans s 7-8]
rachel| yes i heard I am so excited and can t wait to see you| [person:rachel f 1-1][person:rachel f 3-3][person:donna f 13-13]
donna| Yes me too but do you know where we should all meet| [person:donna f 1-1][person:rachel f 5-5][person:we g(donna:rachel) 8-8]
rachel| I know that Diana and Scott lives closer to the movie theater and Richard lives down the road closer to the shopping mall| [person:rachel f 0-0][person:diana f 3-3][person:scott m 5-5][location:movie_theater s 10-11][person:richard m 13-13][location:shopping_mall s 21-22]
donna| Ok i heard that Richard doesn t like to drive too far where do you think we should meet| [person:donna f 1-1][person:richard m 4-4][person:rachel f 14-14][person:we g(donna:rachel:diana:scott:richard) 16-16]
rachel| I think it will be a good idea to meet at the mall since it is closer to Richard| [person:rachel f 0-0][location:shopping_mall s 12-12][location:shopping_mall s 14-14][person:richard m 18-18]
donna| Is Diana and Scott ok with driving| [person:diana f 1-1][person:scott m 3-3]
rachel| I think they are fine with it lets meet at the shopping mall| [person:rachel f 0-0][person:they g(donna:rachel:diana:scott:richard) 2-2][location:shopping_mall s 11-12]
donna| ok sounds good i will meet you guys there| [person:donna f 3-3][person:rachel f 6-6][location:shopping_mall s 8-8]
rachel| Ok perfect we will see you there| [person:we g(donna:rachel) 2-2][person:donna f 5-5][location:shopping_mall s 6-6]
donna| ok see you soon bye| [person:rachel f 2-2]
rachel| bye|

conv:people_2019090101_188:aug_0:chat_0:chataug_0| bob juan| [person:bob m 0-0][person:juan m 1-1]
juan| what should we all bring to the bar| [person:we g(juan:bob) 2-2][location:bar s 7-7]
bob| do we need to bring anything| [person:we g(juan:bob) 1-1]
juan| probably not but it would probably be better if we did| [person:we g(juan:bob) 9-9]
bob| we can all wear our favorite jerseys| [person:we g(juan:bob) 0-0][person:we g(juan:bob) 4-4]
juan| good idea maybe we can paint our faces| [person:we g(juan:bob) 3-3][person:we g(juan:bob) 6-6]
bob| that seems a bit too much|
juan| you ve got a point there| [person:bob m 0-0]
bob| what else would we bring| [person:we g(juan:bob) 3-3]
juan| i guess we don t really need to bring anything other than our phones| [person:juan m 0-0][person:we g(juan:bob) 2-2][person:we g(juan:bob) 12-12]
bob| yeah we don t the bar should have everything we need| [person:we g(juan:bob) 1-1][location:bar s 5-5][person:we g(juan:bob) 9-9]
juan| yeah good point|

conv:people_2019090101_189:aug_0:chat_0:chataug_0| amber melissa| [person:amber f 0-0][person:melissa f 1-1]
melissa| Hai Amber you will coming to Orleans ok| [person:amber f 1-1][person:amber f 2-2]
amber| yes dear What about Anna and Nicole| [person:anna f 4-4][person:nicole f 6-6]
melissa| They will be coming| [person:they g(anna:nicole) 0-0]
melissa| When will you reach there| [person:amber f 2-2][location:orleans s 4-4]
amber| I shall join you at 10 am| [person:amber f 0-0][person:melissa f 3-3]
melissa| Fine What should be our destinations| [person:our g(melissa:amber:anna:nicole) 4-4]
amber| Anna and Nicole are fond of beach drives There is one on the way| [person:anna f 0-0][person:nicole f 2-2][location:beach_drives g() 8-8]
melissa| Ok then any other interesting places| [location:places g() 5-5]
amber| There is one zoo an elegant church and garden| [location:zoo s 0-0][location:church s 6-6]
melissa| I heard of an old castle there| [person:melissa f 0-0][location:castle s 5-5][location:orleans s 6-6]
amber| Yes there is one It will be a fine experience| [location:castle s 1-1][location:castle s 4-4]

conv:people_2019090101_191:aug_0:chat_0:chataug_0| andrew eddie| [person:andrew m 0-0][person:eddie m 1-1]
andrew| Hi Eddie How you decided who to invite for next week s lunch| [person:eddie m 1-1][person:eddie m 3-3][location:lunch s 12-12]
eddie| I was thinking maybe Jerry Billy and Alan I haven t seen them in a while| [person:eddie m 0-0][person:jerry m 4-4][person:billy m 5-5][person:alan m 7-7][person:eddie m 8-8][person:them g(jerry:billy:alan) 12-12]
andrew| I haven t either Are you all in town| [person:andrew m 0-0][person:eddie m 5-5][location:town s 8-8]
eddie| Alan was away for business but he came back a couple of days ago| [person:alan m 0-0][person:alan m 6-6]
andrew| Cool it would be great to catch up|
eddie| Yeah grab some drinks and a bite a eat Super casual|
andrew| Are you going to see them soon Do you want to invite them| [person:eddie m 1-1][person:them g(jerry:billy:alan) 5-5][person:eddie m 8-8][person:them g(jerry:billy:alan) 12-12]
eddie| It doesn t matter I was just going to send them an evite| [person:eddie m 4-4][person:them g(jerry:billy:alan) 10-10]
andrew| Ok That works|
eddie| What time and date next week|
andrew| Tuesday around noon|
eddie| I ll see if that works for them| [person:eddie m 0-0][person:them g(jerry:billy:alan) 7-7]

conv:people_2019090101_193:aug_0:chat_0:chataug_0| joshua julia| [person:joshua m 0-0][person:julia f 1-1]
julia| So Jennifer and Sherrie are visiting| [person:julia f 1-1][person:julia f 3-3]
joshua| Yes I cannot wait| [person:julia f 1-1]
julia| what should we do when they get here| [person:julia f 2-2][person:julia f 5-5][location:here s 7-7]
joshua| I am not sure Any ideas| [person:julia f 0-0]
julia| We could take them to a theme park| [person:julia f 0-0][person:julia f 3-3][location:theme_park s 6-7]
joshua| That sounds like a lot of fun|
julia| I will call them and ask them if they like it| [person:julia f 0-0][person:julia f 3-3][person:julia f 6-6][person:julia f 8-8][location:theme_park s 10-10]
joshua| We could take them to the forest as well| [person:julia f 0-0][person:julia f 3-3][location:the_forest s 5-6]
julia| Yes they are big nature fans| [person:julia f 1-1]
joshua| We could also take them to Disneyland| [person:julia f 0-0][person:julia f 4-4][location:disneyland s 6-6]

conv:people_2019090101_194:aug_0:chat_0:chataug_0| carl sam| [person:carl m 0-0][person:sam m 1-1]
carl| Hey Sam I heard you wanted to have a movie night at our place| [person:sam m 1-1][person:carl m 2-2][person:sam m 4-4][person:carl m 12-12][location:place s 13-13]
sam| Yeah I was thinking we could invite your friends Teresa and Bryan to join us| [person:sam m 1-1][person:we g(carl:sam) 4-4][person:carl m 7-7][person:friends g() 8-8][person:teresa f 9-9][person:bryan m 11-11][person:we g(carl:sam) 14-14]
carl| Oh wow that sounds really fun I d love to do that| [person:carl m 6-6]
sam| Sure I guess now we should decide what day and time and also what kind of movie| [person:sam m 1-1][person:we g(carl:sam) 4-4]
carl| Well I know that Teresa and Bryan don t work Friday nights| [person:carl m 1-1][person:teresa f 4-4][person:bryan m 6-6]
sam| Perfect neither do I are you free then| [person:sam m 3-3][person:carl m 5-5]
carl| Normally I m not but I actually took a vacation leave so I m free too| [person:carl m 1-1][person:carl m 5-5][location:vacation s 9-9][person:carl m 12-12]
sam| Awesome Friday night how about horror|
carl| I could use a good scare I m sure Teresa and Bryan wouldn t mind either Friday 9pm| [person:carl m 0-0][person:carl m 6-6][person:teresa f 9-9][person:bryan m 11-11]
sam| Yeah that s perfect I ll let both of them know| [person:sam m 4-4][person:friends g(teresa:bryan) 9-9]

conv:people_2019090101_195:aug_0:chat_0:chataug_0| christine judy| [person:christine f 0-0][person:judy f 1-1]
judy| Hi did Cathy and Jacqueline confirm for watching the game| [person:cathy f 2-2][person:jacqueline f 4-4][location:game s 9-9]
christine| Yes they are good to go| [person:they g(jacqueline:cathy) 1-1]
judy| I wonder where we should meet| [person:judy f 0-0][person:we g(judy:christine) 3-3]
christine| They often go to pub in their neighborhood| [person:they g(jacqueline:cathy) 0-0][location:pub s 4-4][person:their g(jacqueline:cathy) 6-6][location:neighborhood s 7-7]
judy| North of the city corrct| [location:city s 3-3]
christine| Yes that is correct|
judy| That isn t too bad for me to drive How about you| [person:judy f 6-6][person:christine f 11-11]
christine| I think I have to be up that way anyway Let me double check| [person:christine f 0-0][person:christine f 2-2][person:christine f 11-11]
judy| Sure thing|
christine| Yes perfect timing Let s meet there then| [location:pub s 6-6]
judy| OK I will give them the details| [person:judy f 1-1][person:them g(jacqueline:cathy) 4-4]

conv:people_2019090101_196:aug_0:chat_0:chataug_0| brian karan| [person:brian m 0-0][person:karan m 1-1]
karan| Hi Brian how are you doing I was wondering of you had any ideas about where to have the anniversary celebrations for John and Samantha| [person:brian m 1-1][person:brian m 4-4][person:karan m 6-6][person:brian m 10-10][person:john m 22-22][person:samantha f 24-24]
brian| Hi Karan Yes I have been thinking about this Do you think they would like to have a meal to celebrate or more of a party| [person:karan m 1-1][person:brian m 3-3][person:karan m 10-10][person:they g(john:samantha) 12-12]
karan| I think a meal would be nice I know the Kenneths love their food| [person:karan m 0-0][person:karan m 7-7][person:they g(john:samantha) 12-12]
brian| Ok well I ll need to arrange it pretty fast to make sure we can get a table| [person:brian m 2-2][person:we g(karan:brian:john:samantha) 13-13]
karan| Do you know what kind of food they like I want to make sure everything is perfect| [person:brian m 1-1][person:they g(john:samantha) 7-7][person:karan m 9-9]
brian| I m pretty sure they love Italian food but I think Rafael will know best| [person:brian m 0-0][person:they g(john:samantha) 4-4][person:brian m 9-9][person:rafael m 11-11]
karan| Oh right Does Rafael know John and Samantha Kenneth well| [person:rafael m 3-3][person:john m 5-5][person:samantha f 7-7][person:they g(john:samantha) 8-8]
brian| Yeah he s good friends with them He will know the kind of thing they are into| [person:rafael m 1-1][person:friends g(john:samantha:rafael) 4-4][person:they g(john:samantha) 6-6][person:rafael m 7-7]
karan| Ok no problem I ll ask him and let you know what he says| [person:karan m 3-3][person:rafael m 6-6][person:brian m 9-9][person:rafael m 12-12]
brian| Sure thing and once you have decided let me know and we will take it from there| [person:karan m 4-4][person:brian m 8-8][person:we g(karan:brian:john:samantha) 11-11]

conv:people_2019090101_197:aug_0:chat_0:chataug_0| jean julie| [person:jean f 0-0][person:julie f 1-1]
julie| Hey Jean you available this Saturday to go rock climbing with me| [person:jean f 1-1][person:jean f 2-2][person:julie f 11-11]
jean| This Saturday I m sorry but I already have a commitment to attend to that I really can t put off for much longer| [person:jean f 2-2][person:jean f 6-6][person:jean f 15-15]
julie| It won t take too long we can even set up the time for it to be done by midday at the latest| [person:julie_and_jean g(julie:jean) 6-6]
jean| I really wish that I could make it but I can t afford to be unavailable any time this Saturday| [person:jean f 0-0][person:jean f 4-4][person:jean f 9-9]
