conv:people_chats_0629_362:aug_0:chat_0:chataug_0| hollie joe| [person:hollie f 0-0][person:joe m 1-1]
melinda| Yes and yes Tom was super brave and smart and stuff I am definitely sure I remember his name right| [person:tom m 3-3][person:melinda f 11-11][person:melinda f 15-15][person:tom m 17-17]
alexander| Fine fine you win| [person:melinda f 2-2]
alexander| You should watch more movies with your sister Nina You might actually retain something from the classics| [person:melinda f 0-0][person:melinda f 6-6][person:nina f 7-7][person:nina f 8-8][person:melinda f 9-9]
melinda| She keeps interrupting to talk about random stuff She makes movies boring to watch| [person:nina f 0-0][person:nina f 8-8]
alexander| No she is telling you trivia that s all related to film If you would listen instead of text you might pick up on that| [person:nina f 1-1][person:melinda f 4-4][person:melinda f 13-13][person:melinda f 19-19]
melinda| Did Nina ask you to say that Because she is being boring over a movie right now| [person:nina f 1-1][person:alexander m 3-3][person:nina f 8-8]

conv:people_chats_0629_503:aug_0:chat_0:chataug_0| amelia anthony| [person:amelia f 0-0][person:anthony m 1-1]
amelia| So should we schedule another meeting before the official launch date| [person:amelia_and_anthony g(amelia:anthony) 2-2]
anthony| I m not sure if we need to What do you think| [person:anthony m 0-0][person:amelia_and_anthony g(amelia:anthony) 5-5][person:amelia f 10-10]
amelia| Well you said Sonia is feeling pretty good about it and the channels are ready to go But if Steven is hiring more reps should we get some training materials together| [person:anthony m 1-1][person:sonia f 3-3][person:steven m 19-19][person:amelia_and_anthony g(amelia:anthony) 25-25]
anthony| That sounds like it would be something that s needed There s a few new things that most of the reps don t know about|
amelia| I know they don t have to know directly but they may just need an overview| [person:amelia f 0-0][person:sonia_and_steven g(sonia:steven) 2-2][person:sonia_and_steven g(sonia:steven) 10-10]
anthony| That s true They would be able to do a better job if they just had some background information Do you want to check with Sonia| [person:sonia_and_steven g(sonia:steven) 3-3][person:sonia_and_steven g(sonia:steven) 13-13][person:amelia f 20-20][person:sonia f 25-25]
amelia| Sure I ll check with Sonia because I have some other things to discuss with her Will you check with Steven| [person:amelia f 1-1][person:sonia f 5-5][person:amelia f 7-7][person:sonia f 15-15][person:anthony m 17-17][person:steven m 20-20]
anthony| Yes He may have something up his sleeve already in the works for training| [person:steven m 1-1][person:steven m 6-6]
amelia| Yeah And I don t want to step on his toes| [person:amelia f 2-2][person:steven m 9-9]
anthony| Exactly I ll check with him and see what he says I ll give you a call later this afternoon and you can let me know what Sonia says about it| [person:anthony m 1-1][person:steven m 5-5][person:steven m 9-9][person:anthony m 11-11][person:amelia f 14-14][person:amelia f 21-21][person:anthony m 24-24][person:sonia f 27-27]
amelia| That sounds good I am glad that everything is going smoothly so far| [person:amelia f 3-3]
anthony| Me too The other launches had some issues This one has gone really smoothly Maybe we re learning what works and what doesn t| [person:anthony m 0-0][person:amelia_and_anthony g(amelia:anthony) 15-15]
amelia| That sounds about right I think we ve got the kinks worked out Okay so I ll talk to you later on this afternoon| [person:amelia f 4-4][person:amelia_and_anthony g(amelia:anthony) 6-6][person:amelia f 15-15][person:anthony m 19-19]
anthony| Yep talk to you then Bye Amelia| [person:amelia f 3-3][person:amelia f 6-6]
amelia| Bye Anthony| [person:anthony m 1-1]

conv:people_chats_0629_505:aug_0:chat_0:chataug_0| jeffery marissa| [person:jeffery m 0-0][person:marissa f 1-1]
marissa| They really are behaving like little monsters I don t know what has gotten into them| [person:they g() 0-0][person:marissa f 7-7][person:they g() 15-15]
jeffery| Has anything unusual happened in the last few days|
marissa| Not really Well I guess Amira and Jason were over at Becky s house and Becky s husband was supposed to come back from Germany last week He s not coming back for another 2 months now| [person:marissa f 3-3][person:amira f 5-5][person:jason m 7-7][person:becky f 11-11][person:becky f 15-15][person:becky_s_husband m 17-17][location:germany s 24-24][person:becky_s_husband m 27-27]
jeffery| Do you think that had anything to do with it They know I m coming back in three weeks right| [person:marissa f 1-1][person:they g() 10-10][person:jeffery m 12-12]
marissa| Oh yes They are counting down the days on the calendar Maybe they are thinking that if Becky s husband is not coming back on schedule you won t either| [person:they g() 2-2][person:they g(amira:jason:becky) 12-12][person:becky f 17-17][person:becky_s_husband m 19-19][person:jeffery m 26-26]
jeffery| Could be But we re in two different units with different missions Maybe I should just tell them that I m definitely coming back on schedule| [person:we g(jeffery) 3-3][person:jeffery m 13-13][person:they g(amira:jason:becky) 17-17][person:jeffery m 19-19]
marissa| That might help I m not sure if that s the problem but they seemed to get a little crazy after visiting Becky s house| [person:marissa f 3-3][person:they g(amira:jason:becky) 13-13][person:becky f 22-22][location:house s 24-24]
jeffery| Can you think of anything else it could be Has anything else happened| [person:marissa f 1-1]
marissa| Not that I can think of right now But they are getting antsy about not seeing all of their friends They know we have to not socialize too much and that s really bothering Amira especially| [person:marissa f 2-2][person:they g(amira:jason:becky) 9-9][person:they g(amira:jason:becky) 18-18][person:they g(amira:jason:becky) 20-20][person:amira f 34-34]
jeffery| She s such a social kid I can see that bothering her But I don t think it affects Jason| [person:amira f 0-0][person:jeffery m 6-6][person:amira f 11-11][person:jeffery m 13-13][person:jason m 19-19]
marissa| No but maybe he is just feeding off of her emotions I m not sure| [person:jason m 3-3][person:amira f 9-9][person:marissa f 11-11]
jeffery| How about I call back tonight and talk to both of them I ll just let them know I m coming back on schedule and see what they say| [person:jeffery m 2-2][person:they g(amira:jason:becky) 11-11][person:jeffery m 12-12][person:they g(amira:jason:becky) 16-16][person:jeffery m 18-18][person:they g(amira:jason:becky) 27-27]
marissa| That will probably help And maybe ask Amira if she is missing all of her buds from school| [person:amira f 7-7][person:amira f 9-9][person:amira f 14-14][location:school s 17-17]
jeffery| I ll just talk about all sorts of things and see if they will give me any clues| [person:jeffery m 0-0][person:they g(amira:jason:becky) 12-12][person:jeffery m 15-15]
marissa| I hope we can figure it out before they drive me absolutely bonkers| [person:marissa f 0-0][person:we g(marissa:jeffery) 2-2][person:they g(amira:jason:becky) 8-8][person:marissa f 10-10]
jeffery| I love you when you re bonkers| [person:jeffery m 0-0][person:marissa f 2-2][person:marissa f 4-4]
marissa| Ha Ha I love you too Talk to you tonight right| [person:marissa f 2-2][person:jeffery m 4-4][person:jeffery m 8-8]
jeffery| Yep I ll call about 8| [person:jeffery m 1-1]
marissa| Okay Talk to you then Love you hon| [person:jeffery m 3-3][person:jeffery m 6-6]
jeffery| Love you too babe bye| [person:marissa f 1-1]

conv:people_long_0313_1:aug_0:chat_0:chataug_0| aiden sonia| [person:aiden m 0-0][person:sonia f 1-1]
sonia| Aiden our refrigerator water filter is delivered today| [person:aiden m 0-0][person:we g(sonia:aiden) 1-1]
aiden| Oh nice Why don t you start installing the water filter Sonia| [person:sonia f 5-5][person:sonia f 11-11]
sonia| But I ve never installed any water filter before and I don t know how to do it Aiden| [person:sonia f 1-1][person:sonia f 10-10][person:aiden m 18-18]
aiden| Then I fear you ll have to drink the tap water until we change the filter| [person:aiden m 1-1][person:sonia f 3-3][person:we g(sonia:aiden) 12-12]
sonia| I can t take the risk of drinking tap water till it gets installed| [person:sonia f 0-0]
aiden| What is the risk involved in that Sonia We used to drink the tap water before we had our water filter| [person:sonia f 7-7][person:we g(sonia:aiden) 8-8][person:we g(sonia:aiden) 16-16][person:we g(sonia:aiden) 18-18]
sonia| There is a risk in that because my friend Gemma and her husband Joe got infected with stomach parasites after drinking the tap water| [person:sonia f 7-7][person:gemma f 8-8][person:gemma f 9-9][person:gemma f 11-11][person:joe m 12-12][person:joe m 13-13]
aiden| When did this happen I had no information regarding it| [person:aiden m 4-4]
sonia| But we already received a mail regarding the contamination of the tap water last week| [person:we g(sonia:aiden) 1-1]
aiden| That might be the reason why he didn t reply back when I texted him to know how he was doing| [person:joe m 6-6][person:aiden m 12-12][person:joe m 14-14][person:joe m 18-18]
aiden| Alright then I shall install the water filter as soon as I get home from the gym| [person:aiden m 2-2][person:aiden m 11-11][location:home s 13-13][location:gym s 16-16]
sonia| Do you mean that I ll have to stay without drinking water the entire day| [person:aiden m 1-1][person:sonia f 4-4]
aiden| I didn t mean so It is a matter of just 1 day Everything will be sorted by today evening| [person:aiden m 0-0]
sonia| I m confused if I should try to install the water filter myself or wait for you to come do it| [person:sonia f 0-0][person:sonia f 4-4][person:sonia f 12-12][person:aiden m 16-16]

conv:people_long_0313_2:aug_0:chat_0:chataug_0| ben ellie| [person:ben m 0-0][person:ellie f 1-1]
ben| Hi Ellie are you free this Sunday| [person:ellie f 1-1][person:ellie f 3-3]
ellie| Yeah Ben I am free Do you have any plans in your mind for me| [person:ben m 1-1][person:ellie f 2-2][person:ben m 6-6][person:ben m 11-11][person:ellie f 14-14]
ben| Yeah I was thinking of going to the Lake Lady B Do you want to spend time with me on that day| [person:ben m 1-1][person:ellie f 12-12][person:ben m 18-18]
ellie| I would love to be with you| [person:ellie f 0-0][person:ben m 6-6]
ben| Thanks for accepting my proposal I think this is our third date Isn t it| [person:ben m 3-3][person:ben m 5-5][person:our g(ben:ellie) 9-9]
ellie| Yes Ben I like spending time with you| [person:ben m 1-1][person:ellie f 2-2][person:ben m 7-7]
ben| What about taking a rowboat there|
ellie| Okay I think that s a good idea to take a rowboat on Lake LadyB| [person:ellie f 1-1]
ellie| And I would like to invite my swim team pals Frank and Louise| [person:ellie f 1-1][person:ellie f 6-6][person:team g() 8-8][person:frank m 10-10][person:louise f 12-12]
ben| We are going for a date why are you inviting your friends there| [person:we g(ben:ellie) 0-0][person:ellie f 8-8][person:ellie f 10-10][person:friends g(frank:louise) 11-11]
ellie| Because they both are certified lifeguards and I thought you would like them near| [person:friends g(frank:louise) 1-1][person:ellie f 7-7][person:ben m 9-9][person:friends g(frank:louise) 12-12]
ben| Don t you feel secure coming with me| [person:ellie f 2-2][person:ben m 7-7]
ellie| They are my best friends I don t want to leave them alone| [person:friends g(frank:louise) 0-0][person:ellie f 2-2][person:friends g(frank:louise) 4-4][person:ellie f 5-5][person:friends g(frank:louise) 11-11]
ben| I am really sorry to say if this goes in I don t think we should go to our next date| [person:ben m 0-0][person:ben m 10-10][person:we g(ben:ellie) 14-14][person:our g(ben:ellie) 18-18]

conv:people_long_0313_3:aug_0:chat_0:chataug_0| sammy tucker| [person:sammy m 0-0][person:tucker m 1-1]
sammy| Hey Tucker I was thinking about you just now What you doing| [person:tucker m 1-1][person:sammy m 2-2][person:tucker m 6-6][person:tucker m 10-10]
tucker| Hi Sammy You were thinking about me That s weird| [person:sammy m 1-1][person:sammy m 2-2][person:tucker m 6-6]
sammy| Not if I got a problem you can fix You around tonight I d really need you to come to mine| [person:sammy m 2-2][person:tucker m 6-6][person:tucker m 9-9][person:sammy m 12-12][person:tucker m 16-16][person:sammy m 20-20]
tucker| This is because your old car broke down again Cause I saw you kicking it in your driveway again and I m sick of mending it| [person:sammy m 3-3][person:tucker m 10-10][person:sammy m 12-12][person:sammy m 16-16][person:tucker m 20-20]
sammy| But my car loves you Tucker It only responds your warm touch| [person:sammy m 1-1][person:tucker m 4-4][person:tucker m 5-5][person:tucker m 9-9]
tucker| Anyhow I can t come round because my niece Pam she got car trouble too and I m fixing hers| [person:tucker m 1-1][person:tucker m 7-7][person:pam f 9-9][person:pam f 10-10][person:sammy m 16-16][person:her f 19-19]
sammy| So you don t love me and my car no more| [person:tucker m 1-1][person:sammy m 5-5][person:sammy m 7-7]
tucker| I never loved you Sammy Not after you bought that car from Mateo Why didnt you trust me about that car Sammy| [person:tucker m 0-0][person:sammy m 3-3][person:sammy m 4-4][person:sammy m 7-7][person:mateo m 12-12][person:sammy m 15-15][person:tucker m 17-17][person:sammy m 21-21]
sammy| Oh Tucker Mateo was so persuasive what with smile of his and the him being my boss and all that| [person:tucker m 1-1][person:mateo m 2-2][person:mateo m 10-10][person:mateo m 13-13][person:sammy m 15-15]
tucker| Your bought the car to help that promotion I know that Anyhow I m fixing Pam s car tonight| [person:sammy m 0-0][person:tucker m 8-8][person:tucker m 12-12][person:pam f 15-15]
sammy| Come tomorrow then|
tucker| Can t Pam drove her car into a lamp post pretty bad It s gonna take a few days to get it right again It s a wreck| [person:pam f 2-2][person:pam f 4-4]
sammy| Then what am I gonna do Tucker| [person:sammy m 3-3][person:tucker m 6-6]
tucker| I dont care Ask Mateo He told me he knows that car of yours inside out He can fix it| [person:tucker m 0-0][person:mateo m 4-4][person:mateo m 5-5][person:tucker m 7-7][person:mateo m 8-8][person:sammy m 13-13][person:mateo m 16-16]
sammy| I dont trust Mateo with cars no more And everyone knows your the best Tucker I might just wait| [person:sammy m 0-0][person:mateo m 3-3][person:everyone g(sammy:tucker:pam:her:mateo:mateo:pam) 9-9][person:tucker m 11-11][person:tucker m 14-14][person:sammy m 15-15]
tucker| Your call| [person:sammy m 0-0]
sammy| I might give Mateo a call Maybe not| [person:sammy m 0-0][person:mateo m 3-3]

conv:people_long_0313_5:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
rita| Hey Jane i have some news for you| [person:jane f 1-1][person:rita f 2-2][person:jane f 7-7]
jane| Hey Rita Yes tell me| [person:rita f 1-1][person:jane f 4-4]
rita| I told you that i found new job but it doesn t seem to be the perfect start| [person:rita f 0-0][person:jane f 2-2][person:rita f 4-4]
jane| Why You should be motivated about this new start| [person:rita f 1-1]
rita| Yes you are right but John told me that my exboyfriend Adam is working there and guess what| [person:jane f 1-1][person:john m 5-5][person:rita f 7-7][person:rita f 9-9][person:adam m 11-11]
rita| He is my supervisor| [person:adam m 0-0][person:rita f 2-2]
rita| And i am really lost i don t know what s to do now| [person:rita f 1-1][person:rita f 5-5]
jane| Oh that s really bad luck|
jane| But listen why are you that down he is stranger to you and you totally forgot him| [person:rita f 4-4][person:adam m 7-7][person:rita f 11-11][person:rita f 13-13][person:adam m 16-16]
jane| i would suggest you to forget the past and you are there for work nothing more| [person:jane f 0-0][person:rita f 3-3][person:rita f 9-9]
rita| Yes that s true|
jane| So just see him as a colleague and make success in your new position| [person:adam m 3-3][person:rita f 11-11]
rita| i totally agree with you Jane thanks for the motivation| [person:rita f 0-0][person:jane f 4-4][person:jane f 5-5]
rita| i really appreciate your words| [person:rita f 0-0][person:jane f 3-3]
jane| No mention|

conv:people_long_0313_6:aug_0:chat_0:chataug_0| jerry shannon| [person:jerry m 0-0][person:shannon m 1-1]
shannon| Hey Jerry How are you doing| [person:jerry m 1-1][person:shannon m 4-4]
jerry| I am doing well How about you| [person:jerry m 0-0][person:shannon m 6-6]
shannon| I m doing good too Actually I wanted to ask you about something| [person:shannon m 0-0][person:shannon m 6-6][person:jerry m 10-10]
jerry| Yes please tell me I am all ears| [person:jerry m 3-3][person:jerry m 4-4]
shannon| I am unsure about my future and don t know which university I should attend| [person:shannon m 0-0][person:shannon m 4-4][location:university s 11-11][person:shannon m 12-12]
jerry| Hey I think York University is the best option for you as it is much closer to your home| [person:jerry m 1-1][location:york s 3-3][location:university s 4-4][person:shannon m 10-10][person:shannon m 17-17][location:home s 18-18]
shannon| Yeah it is close to my home but I ain t a fan of that campus I prefer University of Toronto campus over that| [person:shannon m 5-5][location:home s 6-6][person:shannon m 8-8][person:shannon m 16-16][location:university s 18-18][location:toronto s 20-20]
jerry| Why do you think that Toronto University is better than York University| [person:shannon m 2-2][location:toronto s 5-5][location:university s 6-6][location:york s 10-10][location:university s 11-11]
shannon| Because it s much more beautiful than the York University| [location:york s 8-8][location:university s 9-9]
jerry| I think you should consider Ryerson University also| [person:jerry m 0-0][person:shannon m 2-2][location:university s 6-6]
jerry| As my friends Josh and Teresa go to Ryerson and they really enjoy the campus and the school overall| [person:jerry m 1-1][person:friends g() 2-2][person:josh m 3-3][person:teresa f 5-5][person:friends g(josh:teresa) 10-10][location:school s 17-17]
shannon| Now I have a mixed opinion of each and every University| [person:shannon m 1-1][location:university s 10-10]
shannon| I need to think about each campus and put my foot in the door| [person:shannon m 0-0][person:shannon m 9-9]
jerry| Okay analyze and choose the best option Best of luck|

conv:people_long_0313_8:aug_0:chat_0:chataug_0| amber winston| [person:amber f 0-0][person:winston u 1-1]
winston| Hey Amber I adopted a new bulldog recently| [person:amber f 1-1][person:winston u 2-2]
winston| But I am not sure what to name her Could you help me| [person:winston u 1-1][person:bulldog f 8-8][person:amber f 10-10][person:winston u 12-12]
amber| That s great Winston I will come to your place to see her| [person:winston u 3-3][person:amber f 4-4][person:winston u 8-8][location:place s 9-9][person:bulldog f 12-12]
amber| Let me think you can keep Carl as her name| [person:amber f 1-1][person:winston u 3-3][person:bulldog f 6-6][person:bulldog f 8-8]
winston| Why did you suggest that name| [person:amber f 2-2]
amber| It was my late uncle s name He loved the bulldogs very much| [person:amber f 2-2][person:uncle m 7-7]
amber| It would be a great honor to keep names after him| [person:uncle m 10-10]
winston| Of course I would love to name a bulldog after your uncle as Carl is an excellent name for a bulldog| [person:winston u 2-2][person:amber f 10-10][person:bulldog f 13-13]
winston| But this bulldog is female and naming her Carl might not be the best idea| [person:bulldog f 7-7][person:bulldog f 8-8]
amber| Yeah you are right I didn t think about it| [person:winston u 1-1][person:amber f 4-4]
winston| I think Nina would be most suitable for her| [person:winston u 0-0][person:bulldog f 2-2][person:bulldog f 8-8]
amber| I think your sister s name is Nina Why do you want to keep this name| [person:amber f 0-0][person:winston u 2-2][person:sister f 3-3][person:sister f 7-7][person:winston u 10-10]
winston| Because my sister looks like a bulldog I can make fun by keeping this name| [person:winston u 1-1][person:sister f 2-2][person:winston u 7-7]
amber| Well I think she would be offended That s not all a good idea| [person:amber f 1-1][person:sister f 3-3]
winston| Okay let s think another name to her so no one can feel bad about it| [person:bulldog f 7-7]

conv:people_long_0313_10:aug_0:chat_0:chataug_0| cameron charlotte| [person:cameron f 0-0][person:charlotte f 1-1]
charlotte| Hey Cameron are you free now I want to say something to you| [person:cameron f 1-1][person:cameron f 3-3][person:cameron f 6-6][person:cameron f 12-12]
cameron| Yeah Charlotte I am free What do you want to say| [person:cameron f 2-2][person:charlotte f 7-7]
charlotte| I want to organize a charity project| [person:charlotte f 0-0]
charlotte| Can you help me with some suggestions| [person:cameron f 1-1][person:charlotte f 3-3]
cameron| Yeah sure As far as I know Pauline and Christina have a lot of experience in organizing charity projects| [person:cameron f 5-5][person:pauline f 7-7][person:christina f 9-9]
cameron| They succeeded in it and even they acquired amazing results| [person:they g(pauline:christina) 0-0][person:they g(pauline:christina) 6-6]
charlotte| I didn t know about it Thank you for the information| [person:charlotte f 0-0][person:cameron f 7-7]
charlotte| Would you help me with contacting them I think they might guide me even better| [person:cameron f 1-1][person:charlotte f 3-3][person:they g(pauline:christina) 6-6][person:charlotte f 7-7][person:they g(pauline:christina) 9-9][person:charlotte f 12-12]
cameron| Yeah sure They will definitely help you in guiding your project| [person:they g(pauline:christina) 2-2][person:charlotte f 6-6][person:charlotte f 9-9]
cameron| I will try to contact them and fix an appointment for you| [person:cameron f 0-0][person:they g(pauline:christina) 5-5][person:charlotte f 11-11]
charlotte| That would be a great thing I will be even happier if you too join the meeting| [person:charlotte f 6-6][person:cameron f 12-12]
cameron| Okay I will check my schedule and join you if I am free| [person:cameron f 1-1][person:charlotte f 4-4][person:charlotte f 8-8][person:charlotte f 10-10]
cameron| I have good news that they had given us an appointment this Saturday| [person:cameron f 0-0][person:they g(pauline:christina) 5-5][person:they g(pauline:christina) 8-8]
charlotte| Okay let s meet on Saturday at their place| [person:they g(pauline:christina) 7-7][location:place s 8-8]

conv:people_long_0313_14:aug_0:chat_0:chataug_0| cynthia lori| [person:cynthia f 0-0][person:lori f 1-1]
lori| Hey Cynthia I am planning a brunch party for our friends| [person:cynthia f 1-1][person:lori f 2-2][person:our g(lori:cynthia) 9-9][person:friends g() 10-10]
lori| I need your suggestions for the menu at the party| [person:lori f 0-0][person:cynthia f 2-2]
cynthia| For whom are you planning| [person:whom u 1-1][person:lori f 3-3]
cynthia| Yeah sure I will definitely help you with the menu| [person:cynthia f 2-2][person:lori f 6-6]
lori| I want to invite our friends Victoria and Alexander| [person:lori f 0-0][person:our g(lori:cynthia) 4-4][person:friends g() 5-5][person:victoria f 6-6][person:alexander m 8-8]
cynthia| Wow that s great Have you thought of anything for breakfast| [person:lori f 5-5]
lori| I think we should arrange a light breakfast with pastries parfaits and orange juice| [person:lori f 0-0][person:our g(lori:cynthia) 2-2]
lori| Do you have any idea of Victoria s preference for breakfast| [person:cynthia f 1-1][person:victoria f 6-6]
cynthia| Well I think she feels differently We should consider a more traditional breakfast to serve to them such as hashbrowns bacon and eggs and coffee| [person:cynthia f 1-1][person:victoria f 3-3][person:our g(lori:cynthia) 6-6][person:friends g(victoria:alexander) 16-16]
lori| Do Alexander like this breakfast option Is he okay with eggs| [person:alexander m 1-1][person:alexander m 7-7]
cynthia| No Alexander has a food allergy to eggs and that we should consider the light breakfast option| [person:alexander m 1-1][person:our g(lori:cynthia) 10-10]
cynthia| We should decide on a brunch menu that our friends would like| [person:our g(lori:cynthia) 0-0][person:our g(lori:cynthia) 8-8][person:friends g(victoria:alexander) 9-9]
lori| Okay you decide on the brunch menu while I will invite them to the party| [person:cynthia f 1-1][person:lori f 8-8][person:friends g(victoria:alexander) 11-11]
cynthia| I hope they will enjoy the party and have a great time| [person:cynthia f 0-0][person:friends g(victoria:alexander) 2-2]

conv:people_long_0313_16:aug_0:chat_0:chataug_0| jovany tara| [person:jovany f 0-0][person:tara f 1-1]
jovany| Hey Tara How are you doing| [person:tara f 1-1][person:tara f 4-4]
jovany| I am planning to launch the project on which we are working| [person:jovany f 0-0][person:we g(jovany:tara) 9-9]
tara| Yeah that s great But you don t know what is going on| [person:jovany f 5-5]
tara| Haven t you got any news regarding the project| [person:jovany f 2-2]
jovany| Why What happened Tara Is everything alright| [person:tara f 3-3]
tara| Don t have you heard that Jazmin and Walls are about to launch a similar kind of project| [person:jovany f 3-3][person:jazmin f 6-6][person:walls m 8-8]
tara| I can t make out how they got to know about the project| [person:tara f 0-0][person:they g(jazmin:walls) 6-6]
jovany| No I can t believe that they did this to me| [person:jovany f 1-1][person:they g(jazmin:walls) 6-6][person:jovany f 10-10]
tara| Have you ever discussed this idea with them| [person:jovany f 1-1][person:they g(jazmin:walls) 7-7]
jovany| Yeah Jazmin and Walls were my partners I think that they have stolen my ideas| [person:jazmin f 1-1][person:walls m 3-3][person:jovany f 5-5][person:jovany f 7-7][person:they g(jazmin:walls) 10-10][person:jovany f 13-13]
tara| I think you should contact them and have a conversation regarding this| [person:tara f 0-0][person:jovany f 2-2][person:they g(jazmin:walls) 5-5]
jovany| Yeah but I think they won t change their mind about launching the project| [person:jovany f 2-2][person:they g(jazmin:walls) 4-4][person:they g(jazmin:walls) 8-8]
jovany| Still I will try to convince them to withdraw their idea of the project| [person:jovany f 1-1][person:they g(jazmin:walls) 6-6][person:they g(jazmin:walls) 9-9]
tara| If they don t change their mind then we have to go through legal procedures| [person:they g(jazmin:walls) 1-1][person:they g(jazmin:walls) 5-5][person:we g(jovany:tara) 8-8]

conv:people_long_0313_18:aug_0:chat_0:chataug_0| gemini jay| [person:gemini f 0-0][person:jay m 1-1]
gemini| Hey Jay What are you doing| [person:jay m 1-1][person:jay m 4-4]
jay| Nothing just thinking about what to wear at the party|
gemini| What party are you talking about| [person:jay m 3-3]
jay| I knew that you might forget that Jane and Dale have invited us to their party| [person:jay m 0-0][person:gemini f 3-3][person:jane f 7-7][person:dale m 9-9][person:us g(gemini:jay) 12-12][person:their g(jane:dale) 14-14]
gemini| I remembered and actually looking at gifts for them| [person:gemini f 0-0][person:their g(jane:dale) 8-8]
gemini| Do you have any suggestions for the gift| [person:jay m 1-1]
jay| I think you should take something that both of them would like| [person:jay m 0-0][person:gemini f 2-2][person:their g(jane:dale) 9-9]
jay| I think they may like wine| [person:jay m 0-0][person:their g(jane:dale) 2-2]
gemini| Yes I am sure that they would like a good wine| [person:gemini f 1-1][person:their g(jane:dale) 5-5]
gemini| We can gift them a bottle of wine| [person:us g(gemini:jay) 0-0][person:their g(jane:dale) 3-3]
jay| Well you have a good knowledge of wine So it would be easier for you to buy it| [person:gemini f 1-1][person:gemini f 14-14]
gemini| Okay I will buy a Barefoot wine and gift them| [person:gemini f 1-1][person:their g(jane:dale) 9-9]
jay| Let me know when you are visiting their place so that I can join you at the same time| [person:jay m 1-1][person:gemini f 4-4][person:their g(jane:dale) 7-7][location:place s 8-8][person:jay m 11-11][person:gemini f 14-14]
jay| I hope they would like the gift that we are getting for them| [person:jay m 0-0][person:their g(jane:dale) 2-2][person:us g(gemini:jay) 8-8][person:their g(jane:dale) 12-12]

conv:people_long_0313_19:aug_0:chat_0:chataug_0| phillip ricky| [person:phillip m 0-0][person:ricky m 1-1]
phillip| We haven t gone on a trip with the family for a long time I was thinking to plan for it What do you say| [person:we g(phillip:ricky) 0-0][person:family g() 9-9][person:phillip m 14-14][person:ricky m 23-23]
ricky| That s really a good idea Philip even I am also tired of this daily schedule| [person:phillip m 6-6][person:ricky m 8-8]
phillip| You are a good tour planner Please plan a trip for a week so that we can freshen up our minds| [person:ricky m 0-0][person:we g(phillip:ricky) 15-15][person:we g(phillip:ricky) 19-19]
ricky| Just a week But I want to spend more time with them so I was thinking to plan the trip for 10 days Do you have any issues| [person:ricky m 4-4][person:family g() 11-11][person:ricky m 13-13][person:phillip m 24-24]
phillip| Well even I also want to spend time with them but we have a limited budget and we have to manage within it So you also need to think about that| [person:phillip m 2-2][person:family g(phillip) 9-9][person:we g(phillip:ricky) 11-11][person:we g(phillip:ricky) 17-17][person:ricky m 24-24]
ricky| Yeah we need to first decide where to visit I have thought of visiting a hill station As it s summer we can have a great time there with the snow| [person:we g(phillip:ricky) 1-1][person:ricky m 9-9][location:station s 16-16][person:we g(phillip:ricky) 21-21][location:station s 27-27]
phillip| Cool just now I was going through the cost of the tickets it s very high I think we need to change our destination| [person:phillip m 3-3][person:phillip m 16-16][person:we g(phillip:ricky) 18-18][person:we g(phillip:ricky) 22-22]
ricky| Wait let me check what is the matter if there is another way to plan the trip| [person:ricky m 2-2]
ricky| A few days back my siblings Monique and Julia went there in a cheaper package Let me ask them about the package and also the tour plan they followed| [person:ricky m 4-4][person:monique f 6-6][person:julia f 8-8][location:station s 10-10][person:ricky m 16-16][person:them g(monique:julia) 18-18][person:them g(monique:julia) 27-27]
phillip| Yeah sure if it is cheaper we can spend more time with our families| [person:we g(phillip:ricky) 6-6][person:we g(phillip:ricky) 12-12]
ricky| Let me find the dates for the trip so that we can manage more time within our budget After I confirm the dates will you be able to book all the tickets and hotels| [person:ricky m 1-1][person:we g(phillip:ricky) 10-10][person:we g(phillip:ricky) 16-16][person:ricky m 19-19][person:phillip m 24-24][location:hotels g() 33-33]
phillip| Of course why not I can book the tickets as well as the hotels of your choice But don t you think it would be better if we sit together and do it| [person:phillip m 4-4][location:hotels g() 13-13][person:ricky m 15-15][person:ricky m 20-20][person:we g(phillip:ricky) 27-27]
ricky| Great let s meet at night after the office and execute the plans I am really excited that we are traveling for a long time| [location:office s 8-8][person:ricky m 13-13][person:we g(phillip:ricky) 18-18]
phillip| I will let you know after my office| [person:phillip m 0-0][person:ricky m 3-3][person:phillip m 6-6][location:office s 7-7]

conv:people_long_0313_21:aug_0:chat_0:chataug_0| jerry shannon| [person:jerry m 0-0][person:shannon m 1-1]
shannon| Hey Jerry I have little confusion in choosing university| [person:jerry m 1-1][person:shannon m 2-2][location:university s 8-8]
jerry| Oh which are the options|
shannon| York University and torrento campus| [location:york s 0-0][location:university s 1-1]
shannon| I don t like York but it is too close from my house| [person:shannon m 0-0][location:york s 4-4][person:shannon m 11-11]
jerry| I think you will think about Ryerson University| [person:jerry m 0-0][person:shannon m 2-2][location:university s 7-7]
jerry| My friends josh and teresa both go to Ryerson University| [person:jerry m 0-0][person:jt g() 1-1][person:josh m 2-2][person:teresa f 4-4][location:university s 9-9]
shannon| I will think about that| [person:shannon m 0-0]
shannon| How s the culture is there| [location:university s 5-5]
