conv:people_chats_04182020_63:aug_0:chat_0:chataug_0| shane tim| [person:shane m 0-0][person:tim m 1-1]
mary| Are you sure he won t hurt me daddy| [person:justin m 1-1][person:doctor_josh m 3-3][person:mary f 7-7]
justin| Yes Mary after the checkup he ll give you some tasty chocolates also| [person:mary f 1-1][person:doctor_josh m 5-5][person:mary f 8-8]
mary| Really Will he give me any Gems| [person:doctor_josh m 2-2][person:mary f 4-4]
justin| Yeah he will now go and get ready| [person:doctor_josh m 1-1]
mary| Okay daddy give me five minutes| [person:mary f 3-3]

conv:people_chats_04182020_156:aug_0:chat_0:chataug_0| macy paulo| [person:macy f 0-0][person:paulo m 1-1]
macy| Hey Paulo Shall we plan to go to watch a movie| [person:paulo m 1-1][person:we g(macy:paulo) 3-3]
paulo| Yeah that s a good idea Macy What kind of movie shall we go to| [person:macy f 6-6][person:we g(macy:paulo) 12-12]
macy| I am thinking to go to watch a scary movie What do you say| [person:macy f 0-0][person:paulo m 12-12]
paulo| Yeah That was nice We shall defenitely| [person:we g(macy:paulo) 4-4]
macy| Shall we invite our neighbors Luke and Mary to join us| [person:we g(macy:paulo) 1-1][person:our g(macy:paulo) 3-3][person:neighbors g() 4-4][person:luke m 5-5][person:mary f 7-7][person:us g(macy:paulo) 10-10]
paulo| Yes that will be nice but Luke is not a big fan of scary movies and he will refuse to come| [person:luke m 6-6][person:luke m 16-16]
macy| Oh Then what kind of movies do they like to watch| [person:they g(luke:mary) 7-7]
paulo| We shall go and watch any comedy movies that released recently| [person:we g(macy:paulo) 0-0]
macy| Yeah sure We shall invite them in the evening to join us for the movie| [person:we g(macy:paulo) 2-2][person:them g(luke:mary) 5-5][person:us g(macy:paulo) 11-11]
paulo| Okay We will invite them for the movie in the evening| [person:we g(macy:paulo) 1-1][person:them g(luke:mary) 4-4]

conv:people_chats_04182020_157:aug_0:chat_0:chataug_0| aubrey wilson| [person:aubrey f 0-0][person:wilson m 1-1]
wilson| Hey Aubrey Are you coming to work today| [person:aubrey f 1-1][person:aubrey f 3-3]
aubrey| Yes I am Wilson Why do you ask| [person:aubrey f 1-1][person:wilson m 3-3][person:wilson m 6-6]
wilson| But the weather is so bad|
aubrey| True but I can t help it| [person:aubrey f 2-2]
wilson| I think you should take a day off| [person:wilson m 0-0][person:aubrey f 2-2]
aubrey| But I don t want our manager to get mad at me| [person:aubrey f 1-1][person:our g(wilson:aubrey) 5-5][person:manager m 6-6][person:aubrey f 11-11]
wilson| Donald is always late and doesn t come to work yet the manager is so nice to him| [person:donald m 0-0][person:manager m 12-12][person:donald m 17-17]
aubrey| Donald is the manager s nephew Why would he scold him| [person:donald m 0-0][person:manager m 3-3][person:manager m 8-8][person:donald m 10-10]
wilson| Yeah you re right When will you reach| [person:aubrey f 1-1][person:aubrey f 6-6]
aubrey| I will be there in 10 minutes| [person:aubrey f 0-0]

conv:people_chats_04182020_160:aug_0:chat_0:chataug_0| dira emma| [person:dira f 0-0][person:emma f 1-1]
dira| Hello Emma how are you doing| [person:emma f 1-1][person:emma f 4-4]
emma| I am fine what about you| [person:emma f 0-0][person:dira f 5-5]
dira| I am very frustrated with our real estate agents| [person:dira f 0-0][person:dira_and_emma g(dira:emma) 5-5][person:real_estate_agents g() 6-8]
emma| What about them| [person:real_estate_agents g() 2-2]
dira| They are very lazy and have unprofessional behavior| [person:real_estate_agents g() 0-0]
emma| Well I got the same feeling but I thought it was just me thinking that| [person:emma f 1-1][person:emma f 7-7][person:emma f 12-12]
dira| They actually pretty much do not give any efforts at work and when I criticize them they get annoyed and try to push me off| [person:real_estate_agents g() 0-0][person:dira f 13-13][person:real_estate_agents g() 15-15][person:real_estate_agents g() 16-16][person:dira f 23-23]
emma| Well we should do something about this right| [person:dira_and_emma g(dira:emma) 1-1]
dira| We should but we have to remember that we have a contract with them| [person:dira_and_emma g(dira:emma) 0-0][person:dira_and_emma g(dira:emma) 3-3][person:dira_and_emma g(dira:emma) 8-8][person:real_estate_agents g() 13-13]
emma| You are right so we must consider if it is worthy to break the contract with them| [person:dira f 0-0][person:dira_and_emma g(dira:emma) 4-4][person:real_estate_agents g() 16-16]
dira| The only way to break the contract without the costs being a burden upon us is to take legal actions on them| [person:dira_and_emma g(dira:emma) 14-14][person:real_estate_agents g() 21-21]
emma| Taking legal actions might make it possible for us to lay them off without paying them for the broken contract| [person:dira_and_emma g(dira:emma) 8-8][person:real_estate_agents g() 11-11][person:real_estate_agents g() 15-15]
dira| Alright Emma we will meet later today and we talk in person about this| [person:emma f 1-1][person:dira_and_emma g(dira:emma) 2-2][person:dira_and_emma g(dira:emma) 8-8]
emma| Alright Dira we will see each other later then| [person:dira f 1-1][person:dira_and_emma g(dira:emma) 2-2]
dira| I will bring their contracts with me so we can analyse those together| [person:dira f 0-0][person:real_estate_agents g() 3-3][person:dira f 6-6][person:dira_and_emma g(dira:emma) 8-8]
emma| Alright catch to you later then| [person:dira f 3-3]

conv:people_chats_04182020_161:aug_0:chat_0:chataug_0| lucy troy| [person:lucy f 0-0][person:troy m 1-1]
troy| Hi Lucy are you free to talk now| [person:lucy f 1-1][person:lucy f 3-3]
lucy| Hello Troy yes I am free to talk tell me what is the matter| [person:troy m 1-1][person:lucy f 3-3][person:lucy f 9-9]
troy| I need help from you Can you do it| [person:troy m 0-0][person:lucy f 4-4][person:lucy f 6-6]
lucy| Feel free to ask me I am ready to do it for you| [person:lucy f 4-4][person:lucy f 5-5][person:troy m 12-12]
troy| I want to pamper my girlfriend Chloe Can you suggest me some ideas| [person:troy m 0-0][person:troy m 4-4][person:girlfriend f 5-5][person:chloe f 6-6][person:lucy f 8-8][person:troy m 10-10]
lucy| Oh sure Chloe would love a massage very much| [person:chloe f 2-2]
troy| Oh Do you know any massage center| [person:lucy f 2-2]
lucy| Yes just call the local massage Pat regarding the massage they will help you| [person:pat m 6-6][person:they g(lucy) 10-10][person:troy m 13-13]
troy| Thanks for your help and don t tell this to Chole| [person:lucy f 2-2]
lucy| Okay I won t tell her anything Don t worry| [person:lucy f 1-1][person:chloe f 5-5]

conv:people_chats_04182020_163:aug_0:chat_0:chataug_0| christian lilly| [person:christian m 0-0][person:lilly f 1-1]
christian| Lilly There s something that is deeply hurting me and I need to talk to you about it| [person:lilly f 0-0][person:christian m 8-8][person:christian m 10-10][person:lilly f 15-15]
lilly| What happened Christian Is everything okay| [person:christian m 2-2]
christian| I feel that Courtney s boyfriend Melvin isn t a good guy and might end up hurting her feelings| [person:christian m 0-0][person:courtney f 3-3][person:melvin m 5-5][person:melvin m 6-6][person:courtney f 17-17]
lilly| Why do you think like that Christian| [person:christian m 2-2][person:christian m 6-6]
christian| I don t know it s just my inner feelings about him| [person:christian m 0-0][person:christian m 7-7][person:melvin m 11-11]
lilly| I understand that being a father you think about our daughter s safety and happiness But I think she is pretty much matured and she can take her life decisions quite well| [person:lilly f 0-0][person:christian m 6-6][person:our g(christian:lilly) 9-9][person:courtney f 10-10][person:lilly f 16-16][person:courtney f 18-18][person:courtney f 24-24][person:courtney f 27-27]
christian| What do you mean by that Lilly| [person:lilly f 2-2][person:lilly f 6-6]
lilly| I mean let her decide whether Melvin is good or not Let us not involve in their matter| [person:lilly f 0-0][person:courtney f 3-3][person:melvin m 6-6][person:our g(christian:lilly) 12-12][person:their g(courtney:melvin) 16-16]
christian| Okay fine let s see what future brings to us and our daughter| [person:our g(christian:lilly) 9-9][person:courtney f 12-12]
lilly| Yeah that s good Just you keep our spirits high| [person:christian m 5-5][person:our g(christian:lilly) 7-7]

conv:people_chats_04182020_166:aug_0:chat_0:chataug_0| christopher victor| [person:christopher m 0-0][person:victor m 1-1]
victor| Hey Christopher How are you doing| [person:christopher m 1-1][person:christopher m 4-4]
christopher| I m good thank you and what about you Have you noticed that Casey and Keira are spending a lot of time together| [person:christopher m 0-0][person:victor m 4-4][person:victor m 8-8][person:victor m 10-10][person:casey f 13-13][person:keira f 15-15]
victor| Yes I noticed Isn t that nice| [person:victor m 1-1]
christopher| Why would you say so| [person:victor m 2-2]
victor| I think it would be nice if our girlfriends got to know each other| [person:victor m 0-0][person:our g(victor:christopher) 7-7]
christopher| But I don t think it s a nice idea| [person:christopher m 1-1]
victor| Why not If they become good friends we could go on trips together That would be a lot of fun| [person:they g(casey:keira) 3-3][person:our g(victor:christopher) 7-7]
christopher| What if they start sharing our secrets and spoil our friendship| [person:they g(casey:keira) 2-2][person:our g(victor:christopher) 5-5][person:our g(victor:christopher) 9-9]
victor| I think we share a strong bond Nobody can spoil our friendship| [person:victor m 0-0][person:our g(victor:christopher) 2-2][person:our g(victor:christopher) 10-10]
christopher| Yeah you re right I was just overthinking the situation| [person:victor m 1-1][person:christopher m 4-4]

conv:people_chats_04182020_167:aug_0:chat_0:chataug_0| catherine phil| [person:catherine f 0-0][person:phil m 1-1]
catherine| Hey Phil Where are you Today I m in the mood of fulfilling my childhood s dream Let me know once you re done with your work| [person:phil m 1-1][person:phil m 4-4][person:catherine f 6-6][person:catherine f 13-13][person:catherine f 18-18][person:phil m 21-21][person:phil m 25-25]
phil| Whats up Catherine Whats so special dream from your childhood You never shared with me| [person:catherine f 2-2][person:catherine f 8-8][person:catherine f 10-10][person:phil m 14-14]
catherine| I m planning to take a new boat today and I want you to come with me for this shopping I m really excited about it So please don t delay| [person:catherine f 0-0][person:catherine f 10-10][person:phil m 12-12][person:catherine f 16-16][person:catherine f 20-20]
phil| Really I am very much exited about it I never had a chance to buy a boat not even had a thought about it I would love to join you in this Just pick me while you start| [person:phil m 1-1][person:phil m 8-8][person:phil m 24-24][person:catherine f 29-29][person:phil m 34-34][person:catherine f 36-36]
catherine| Sure I asked Louis as well and he is gonna join me shortly Do you have any of your friends who can give me good suggestions| [person:catherine f 1-1][person:louis m 3-3][person:louis m 7-7][person:catherine f 11-11][person:phil m 14-14][person:phil m 18-18][person:friends g() 19-19][person:catherine f 23-23]
phil| I got some knowledge about boat from James only According to me he is best in the business It would be wise enough to get a suggestion from him| [person:phil m 0-0][person:james m 7-7][person:phil m 11-11][person:james m 12-12][person:james m 28-28]
catherine| But understand we cannot land both Louis and James on the same place They have some issues and aren t talking to each other So do you think it will workout| [person:we g(catherine:phil) 2-2][person:louis m 6-6][person:james m 8-8][location:place s 12-12][person:they g(louis:james) 13-13][person:phil m 26-26][location:place s 28-28]
phil| Not at all Try to contact both of them Get some ideas and pick anyone among them and we will take him along with us| [person:they g(louis:james) 8-8][person:they g(louis:james) 14-14][person:they g(louis:james) 16-16][person:we g(catherine:phil) 18-18][person:louis m 21-21]
catherine| See I know Louis really well and he s been one of the greats in boating I couldn t even imagine a better person other than Louis at this moment What do you think of James| [person:catherine f 1-1][person:louis m 3-3][person:louis m 7-7][person:catherine f 16-16][person:louis m 26-26][person:phil m 32-32][person:james m 35-35]
phil| I think James also in the same manner only Its your call Don t confuse yourself too much Just take it lightly| [person:phil m 0-0][person:james m 2-2][person:catherine f 10-10][person:catherine f 15-15]

conv:people_chats_04182020_168:aug_0:chat_0:chataug_0| amber diane| [person:amber f 0-0][person:diane f 1-1]
amber| Diane there s a retirement party for Angela and Lucas what shall we do for them| [person:diane f 0-0][person:angela f 7-7][person:lucas m 9-9][person:we g(amber:diane) 12-12][person:them g(angela:lucas) 15-15]
diane| I have no idea Do you have any ideas| [person:diane f 0-0][person:amber f 5-5]
amber| There will be a regular cake cutting for sure and decoration is also important for the party|
diane| You are right But there should be a lot more How about a DJ| [person:amber f 0-0]
amber| I was thinking about a karaoke as everyone will be involved in that| [person:amber f 0-0][person:everyone g(amber:diane:angela:lucas) 7-7]
diane| That is a great idea let s do that I know a caterer so food is not a worry| [person:diane f 9-9]
amber| Nice in the end we can give a speech about them and talk about some memories we all had together and present them the gifts| [person:we g(amber:diane) 4-4][person:them g(angela:lucas) 10-10][person:we g(amber:diane) 16-16][person:them g(angela:lucas) 22-22]
diane| Yeah we can do that Now who is going to get invited| [person:we g(amber:diane) 1-1]
amber| All our colleagues and I ll inform them also about the plan so that they can help us in the party| [person:we g(amber:diane) 1-1][person:colleagues g() 2-2][person:amber f 4-4][person:colleagues g() 7-7][person:colleagues g() 14-14][person:we g(amber:diane) 17-17]
diane| Alright looks like we covered everything Let s get to work now| [person:we g(amber:diane) 3-3]

conv:people_chats_04182020_170:aug_0:chat_0:chataug_0| mark nicholas| [person:mark m 0-0][person:nicholas m 1-1]
nicholas| Hey Mark what are you doing whom shall we choose for the school dance| [person:mark m 1-1][person:mark m 4-4][person:we g(nicholas:mark) 8-8][location:school s 12-12]
mark| Hello I m even thinking about the same issue| [person:mark m 1-1]
nicholas| I have an interest in inviting June for the school dance and ask your best friend Abby to join you so that we all can dance together| [person:nicholas m 0-0][person:mark m 13-13][person:abby f 15-15][person:abby f 16-16][person:mark m 19-19][person:we g(nicholas:mark:abby) 22-22]
mark| Bro choosing June is a good idea but I m not okay with Abby| [person:mark m 8-8][person:abby f 13-13]
nicholas| Okay but why not Abby Do you people have any issues earlier| [person:abby f 4-4][person:mark m 6-6]
mark| No bro there s nothing like that We are good for each other| [person:we g(mark:abby) 7-7]
nicholas| Then what is the problem Let me know if you have any| [person:nicholas m 6-6][person:mark m 9-9]
mark| Bro I want to dance with the other girl not with Abby| [person:mark m 1-1][person:other_girl f 7-8][person:abby f 11-11]
nicholas| Okay talk to the girl whom you want to dance with and let s proceed further| [person:other_girl f 4-4][person:mark m 6-6]
mark| Thank you bro I will talk to her and let you know| [person:nicholas m 1-1][person:mark m 3-3][person:other_girl f 7-7][person:nicholas m 10-10]

conv:people_chats_04182020_171:aug_0:chat_0:chataug_0| george kevin| [person:george m 0-0][person:kevin m 1-1]
kevin| Hey George How are you buddy What happened to you Why there is no call or text from your side| [person:george m 1-1][person:george m 4-4][person:george m 5-5][person:george m 9-9][person:george m 18-18]
george| Its been a while since I had lost my wife How are you Kevin I still remember those old days which is the only thing that makes me smile nowadays| [person:george m 5-5][person:george m 8-8][person:wife f 9-9][person:kevin m 12-12][person:kevin m 13-13][person:george m 14-14][person:george m 27-27]
kevin| I m sorry for your loss You ve been an inspiration to all of us and I m sure you moved on from it Where are you working now| [person:kevin m 0-0][person:george m 4-4][person:george m 6-6][person:us g(kevin:george) 14-14][person:kevin m 16-16][person:george m 19-19][person:george m 26-26]
george| Right now I am just taking care of myself I am not in a position to go out and have a usual life like everyone else Do you have contact with any of our other friends| [person:george m 2-2][person:george m 8-8][person:george m 9-9][person:everyone g() 24-24][person:kevin m 27-27][person:our g(kevin:george) 33-33][person:friends g() 35-35]
kevin| Yes All of them are in touch with me and please don t make yourself feel like you re alone No we all there for you George| [person:them g() 3-3][person:kevin m 8-8][person:george m 14-14][person:george m 17-17][person:we g(kevin:george) 21-21][person:george m 25-25][person:george m 26-26]
george| I still remember the jokes cracked by Paul He was quite funny by that time I really miss Jack very much Do you remember them| [person:george m 0-0][person:paul m 7-7][person:paul m 8-8][person:george m 15-15][person:jack m 18-18][person:kevin m 22-22][person:them g() 24-24]
kevin| How will I not remember those idiots They still make me laugh by tagging in weird posts on social media You are not in touch with them| [person:kevin m 2-2][person:they g() 7-7][person:kevin m 10-10][person:george m 20-20][person:them g() 26-26]
george| No Absolutely not I would love to meet them in person Thinking about a get together after having a chat with you Can you make everyone available for that| [person:george m 3-3][person:them g() 8-8][person:kevin m 21-21][person:kevin m 23-23][person:everyone g() 25-25]
kevin| Yes Even I had a plan of meeting you all guys and unfortunately I lost your number and I couldn t contact you at that point Now since everything is fine we can catch up at our favorite bar in Hudson street What say| [person:kevin m 2-2][person:george m 8-8][person:kevin m 13-13][person:george m 15-15][person:george m 22-22][person:we g(kevin:george) 31-31][person:our g(kevin:george) 36-36]
george| Great Just decide the date according to everyone s convenience and let me know| [person:everyone g() 7-7][person:george m 12-12]

conv:people_chats_04182020_172:aug_0:chat_0:chataug_0| jane rita| [person:jane f 0-0][person:rita f 1-1]
jane| Hey Rita Can you drop me and John at Airport| [person:rita f 1-1][person:rita f 3-3][person:jane f 5-5][person:john m 7-7]
jane| My dad got engaged otherwise though he promised us| [person:jane f 0-0][person:dad m 1-1][person:dad m 6-6][person:us g(jane:john) 8-8]
rita| I am glad Jane But can u wait for few minutes| [person:rita f 0-0][person:jane f 3-3][person:jane f 6-6]
rita| I have to drop my kid| [person:rita f 0-0][person:rita f 4-4]
jane| Sure we can wait| [person:us g(jane:john) 1-1]
rita| Jane Can you try Adam He might be free| [person:jane f 0-0][person:jane f 2-2][person:adam m 4-4][person:adam m 5-5]
rita| You call him and suppose if it wont work I shall help you| [person:jane f 0-0][person:adam m 2-2][person:rita f 9-9][person:jane f 12-12]
jane| Oh I forgot him Anyway I shall make a call now itself| [person:jane f 1-1][person:adam m 3-3][person:jane f 5-5]
jane| Don t you have Uber there| [person:rita f 2-2]
jane| Everybody is using Uber| [person:everybody g() 0-0]
rita| Oh sorry Jane Why am I so forgetful My brain is not at all working nowadays I think| [person:jane f 2-2][person:rita f 5-5][person:rita f 8-8][person:rita f 16-16]
rita| Thanks Jane You are making my life easier| [person:jane f 1-1][person:jane f 2-2][person:rita f 5-5]
jane| Haha Did you call Adam| [person:rita f 2-2][person:adam m 4-4]
rita| Yes Jane He also suggested Uber I am really ashamed of my forgetfulness| [person:jane f 1-1][person:adam m 2-2][person:rita f 6-6][person:rita f 11-11]
rita| Thanks Jane Bye| [person:jane f 1-1]
jane| Take care Rita| [person:rita f 2-2]

conv:people_chats_04182020_173:aug_0:chat_0:chataug_0| patrick trevor| [person:patrick m 0-0][person:trevor m 1-1]
trevor| Hello Patrick are you busy| [person:patrick m 1-1][person:patrick m 3-3]
patrick| Hey Trevor no I m not busy Tell me what is the issue about| [person:trevor m 1-1][person:patrick m 3-3][person:patrick m 8-8]
trevor| We are thinking to rent an apartment but the price is too high and we can t even try for another because it s near to our college What shall we do now| [person:trevor_and_roommates g(trevor:patrick) 0-0][location:apartment s 6-6][person:trevor_and_roommates g(trevor:patrick) 14-14][person:trevor_and_roommates g(trevor:patrick) 26-26]
patrick| Yeah I m even thinking about the same thing| [person:patrick m 1-1]
trevor| Okay we shall advertise about the apartment so that somebody might approach us and they might share the apartment and price with us| [person:trevor_and_roommates g(trevor:patrick) 1-1][location:apartment s 6-6][person:trevor_and_roommates g(trevor:patrick) 12-12][person:future_roommates g() 14-14][location:apartment s 18-18][person:trevor_and_roommates g(trevor:patrick) 22-22]
patrick| Great idea I will do it and let you know who is willing to share with us| [person:patrick m 2-2][person:trevor m 8-8][person:trevor_and_roommates g(trevor:patrick) 16-16]
trevor| Okay do it and let me know without fail| [person:trevor m 5-5]
patrick| Pablo and Sabrina would like to share the apartment with us what do you say| [person:pablo m 0-0][person:sabrina f 2-2][location:apartment s 8-8][person:trevor_and_roommates g(trevor:patrick) 10-10][person:trevor m 13-13]
trevor| Wow I knew them earlier and they are good humans and we can stay with them| [person:trevor m 1-1][person:future_roommates g(pablo:sabrina) 3-3][person:future_roommates g(pablo:sabrina) 6-6][person:trevor_and_roommates g(trevor:patrick) 11-11][person:future_roommates g(pablo:sabrina) 15-15]
patrick| Cool I shall ask them to shift to the apartment as soon as possible| [person:patrick m 1-1][person:future_roommates g(pablo:sabrina) 4-4][location:apartment s 9-9]

conv:people_chats_04182020_176:aug_0:chat_0:chataug_0| betty jacoby| [person:betty f 0-0][person:jacoby m 1-1]
jacoby| Hey Betty I m so excited about Ray and Antonio s wedding aniversary| [person:betty f 1-1][person:jacoby m 2-2][person:ray m 7-7][person:antonio m 9-9]
betty| Me too Jacoby Don t forget to buy their anniversary cake| [person:betty f 0-0][person:jacoby m 2-2][person:their g(ray:antonio) 8-8]
jacoby| Yeah Betty I have an idea let s get their names printed on top of the cake| [person:betty f 1-1][person:jacoby m 2-2][person:their g(ray:antonio) 9-9]
betty| That s a good idea We could print Antonio s name on one side of the cake and Ray s on the other side| [person:we g(jacoby:betty) 5-5][person:antonio m 8-8][person:ray m 18-18]
jacoby| That s sounds great I ll do it| [person:jacoby m 4-4]
betty| Text me when the cake is ready| [person:betty f 1-1]
jacoby| I just got back from the store and their names are printed| [person:jacoby m 0-0][person:their g(ray:antonio) 8-8]
betty| Great how does it look|
jacoby| It looks amazing they will love it| [person:their g(ray:antonio) 3-3]
betty| I can t wait to surprise them| [person:betty f 0-0][person:their g(ray:antonio) 6-6]

conv:people_chats_04182020_177:aug_0:chat_0:chataug_0| andrea tiffany| [person:andrea f 0-0][person:tiffany f 1-1]
andrea| Tiffany have you planned anything regarding the body building class| [person:tiffany f 0-0][person:tiffany f 2-2][location:building s 8-8]
tiffany| No Andrea I don t have much idea about it| [person:andrea f 1-1][person:tiffany f 2-2][location:building s 9-9]
andrea| There is a gym near our home Why don t we ask the trainers if their gym is right for us| [location:gym s 3-3][person:andrea_and_tiffany g(andrea:tiffany) 5-5][location:home s 6-6][person:andrea_and_tiffany g(andrea:tiffany) 10-10][person:trainers g() 15-15][person:andrea_and_tiffany g(andrea:tiffany) 20-20]
tiffany| I know the gym trainers They are Julia and Carly| [person:tiffany f 0-0][location:gym s 3-3][person:trainers g() 5-5][person:julia f 7-7][person:carly f 9-9]
andrea| I suspect the trainers will say we are perfect for the class because we work on commission| [person:andrea f 0-0][person:andrea_and_tiffany g(andrea:tiffany) 6-6][person:andrea_and_tiffany g(andrea:tiffany) 13-13]
tiffany| We need to make a plan of how to talk to Julia and Carly| [person:andrea_and_tiffany g(andrea:tiffany) 0-0][person:julia f 11-11][person:carly f 13-13]
andrea| Tiffany you know the gym trainers can we just have a casual talk with them before we join| [person:tiffany f 0-0][person:tiffany f 1-1][location:gym s 4-4][person:andrea_and_tiffany g(andrea:tiffany) 7-7][person:trainers g(julia:carly) 14-14][person:andrea_and_tiffany g(andrea:tiffany) 16-16]
tiffany| Oh yes I can ask them to come to my place| [person:tiffany f 2-2][person:trainers g(julia:carly) 5-5][person:tiffany f 9-9][location:place s 10-10]
andrea| You tell them that its been long that you ve met just want to see them| [person:tiffany f 0-0][person:trainers g(julia:carly) 2-2][person:tiffany f 8-8][person:trainers g(julia:carly) 15-15]
tiffany| Don t worry Andrea I ll take care of that| [person:andrea f 3-3][person:tiffany f 4-4]

conv:people_chats_04182020_180:aug_0:chat_0:chataug_0| oliver patrick| [person:oliver m 0-0][person:patrick m 1-1]
patrick| Hi Oliver Do you know my friend Tracy who is working with me| [person:oliver m 1-1][person:oliver m 3-3][person:patrick m 5-5][person:tracy f 6-6][person:tracy f 7-7][person:patrick m 12-12]
oliver| Yes I know her because she stays near to my house| [person:oliver m 1-1][person:tracy f 3-3][person:tracy f 5-5][person:oliver m 9-9][location:house s 10-10]
patrick| I think I like her because of her humble nature and she is so cute| [person:patrick m 0-0][person:patrick m 2-2][person:tracy f 4-4][person:tracy f 7-7][person:tracy f 11-11]
oliver| Yeah I know that she is very pretty But she doesn t want to be in any relationship| [person:oliver m 1-1][person:tracy f 4-4][person:tracy f 9-9]
patrick| Oh Do you know why she doesn t like to be in a relationship| [person:patrick m 2-2][person:tracy f 5-5]
oliver| She is in the depression after her break up with Kenneth recently| [person:tracy f 0-0][person:tracy f 6-6][person:kenneth m 10-10]
patrick| Do you know what she likes the most and what she like to do| [person:patrick m 1-1][person:tracy f 4-4][person:tracy f 10-10]
oliver| I think she likes adventures things and also being independent| [person:oliver m 0-0][person:tracy f 2-2]
patrick| And finally do you know what she doesn t like| [person:patrick m 3-3][person:tracy f 6-6]
oliver| I think she doesn t wanted to be isolated in a single place| [person:oliver m 0-0][person:tracy f 2-2][location:place s 12-12]

conv:people_chats_04182020_181:aug_0:chat_0:chataug_0| adam rita| [person:adam m 0-0][person:rita f 1-1]
adam| I think I am going to ask John about the vigilante group you know| [person:adam m 0-0][person:adam m 2-2][person:john m 7-7][person:rita f 12-12]
rita| I don t think you should it could be really dangerous| [person:rita f 0-0][person:adam m 4-4]
adam| But what if they need help we could be the ones to help them| [person:they g(john) 3-3][person:we g(adam:rita) 6-6][person:them g(john) 13-13]
rita| I don t think they have any idea what they have gotten themselves into| [person:rita f 0-0][person:they g(john) 4-4][person:they g(john) 9-9][person:themselves g(john) 12-12]
adam| That s exactly why we need to help drugs are everywhere and they are going to make a difference by getting it off the streets| [person:we g(adam:rita) 4-4][person:they g(john) 12-12]
rita| But we could die Adam I have children and so does Jane it s too risky| [person:we g(adam:rita) 1-1][person:adam m 4-4][person:rita f 5-5][person:jane f 11-11]
adam| Not if we are clever we make plans we get backup and have protection| [person:we g(adam:rita:jane) 2-2][person:we g(adam:rita:jane) 5-5][person:we g(adam:rita:jane) 8-8]
rita| Please don t do this I can see all of this ending very badly| [person:rita f 5-5]
adam| It s the right thing to do Rita if you re not helping then please help us in a different way| [person:rita f 7-7][person:rita f 9-9][person:us g(adam:jane) 16-16]
rita| How can I do that| [person:rita f 2-2]
adam| Just watch and listen to police radio get information so we know all the options| [person:we g(adam:rita:jane) 10-10]
rita| If anything goes wrong or starts to I will phone the police without hesitation| [person:rita f 7-7]
adam| I expect nothing less I will go and speak with John now and see what the plan is| [person:adam m 0-0][person:adam m 4-4][person:john m 10-10]
rita| Please for the love of god be safe|

conv:people_chats_04182020_182:aug_0:chat_0:chataug_0| jean teresa| [person:jean f 0-0][person:teresa f 1-1]
teresa| Hi Jean Remember how we overheard Tracy and Jen in the library today| [person:jean f 1-1][person:we g(teresa:jean) 4-4][person:tracy f 6-6][person:jen f 8-8]
jean| Yes Teresa Tracy was telling Jen how she couldn t understand the algebra material| [person:teresa f 1-1][person:tracy f 2-2][person:jen f 5-5][person:tracy f 7-7]
teresa| Imagine if intelligent students like them are unable to understand the subject then how much of a hard time people like us will have| [person:them g(tracy:jen) 5-5][person:us g(teresa:jean) 21-21]
jean| That is exactly what I was thinking Teresa| [person:jean f 4-4][person:teresa f 7-7]
teresa| Professor Ellen has given us material that can t be understood for a difficult chapter like Algebra| [person:ellen f 1-1][person:us g(teresa:jean) 4-4]
jean| I don t know how we will write our exams if things go on like this| [person:jean f 0-0][person:we g(teresa:jean) 5-5][person:our g(teresa:jean) 8-8]
teresa| You re right Jean I ll definitely fail| [person:jean f 0-0][person:jean f 3-3][person:teresa f 4-4]
jean| I think 80 of the class will Professor Ellen will not be happy| [person:jean f 0-0][person:ellen f 8-8]
teresa| I think we should speak to Tracy and Jen and decide if it would be a good idea to ask Professor Ellen to give us simpler material for Algebra| [person:teresa f 0-0][person:we g(teresa:jean) 2-2][person:tracy f 6-6][person:jen f 8-8][person:ellen f 20-21][person:ellen f 21-21][person:us g(teresa:jean) 24-24]
jean| That s a good idea We ll do that tomorrow Bye Teresa| [person:we g(teresa:jean) 5-5][person:teresa f 11-11]

conv:people_chats_04182020_183:aug_0:chat_0:chataug_0| dany zack| [person:dany f 0-0][person:zack m 1-1]
zack| Hey Dany I want to go to church| [person:dany f 1-1][person:zack m 2-2][location:church s 7-7]
dany| Yeah even I want to go to church| [person:dany f 2-2][location:church s 7-7]
zack| What about kids We can t leave them at home alone| [person:kids g() 2-2][person:we g(zack:dany) 3-3][person:kids g() 7-7][location:home s 9-9]
dany| We can ask our neighbours Mr and Mrs Smith to look after our kids| [person:we g(zack:dany) 0-0][person:we g(zack:dany) 3-3][person:smith g() 8-8][person:we g(zack:dany) 12-12][person:kids g() 13-13]
zack| Okay you go and ask them to look after the kids until we return| [person:dany f 1-1][person:mrs_smith f 5-5][person:kids g() 10-10][person:we g(zack:dany) 12-12]
dany| I m little busy with my work now Can you please go and ask them| [person:dany f 0-0][person:dany f 5-5][person:zack m 9-9][person:smith g() 14-14]
zack| You know that I hate asking people for assistance| [person:dany f 0-0][person:zack m 3-3]
dany| Yeah I know but I m busy a lot That s why I asked you to go| [person:dany f 1-1][person:dany f 4-4][person:dany f 12-12][person:zack m 14-14]
