conv:chats_1127_159:aug_0:chat_0:chataug_0| aiden rusell| [person:aiden m 0-0][person:rusell m 1-1]
jane| That sounds really great we need to celebrate this occasion make it memorable Dan| [person:we g(jane:dan) 4-4][person:dan m 13-13]
dan| This week was hectic at work I really need a break to relax| [person:dan m 6-6]
jane| Ok then let s plan this weekend have you thought of any specific location to celebrate| [person:dan m 8-8][location:location s 13-13]
dan| I was planning to go to the newly opened steakhouse nearby our home as it is peaceful there| [person:dan m 0-0][location:location s 9-9][person:we g(jane:dan) 11-11][location:home s 12-12][location:location s 17-17]
jane| That is a great place in that case let s also invite Dan and Mimi also to join our celebration| [location:location s 4-4][person:dan m 12-12][person:mimi f 14-14][person:we g(jane:dan) 18-18]
dan| I would prefer to spend the evening with you Jane| [person:dan m 0-0][person:jane f 8-8][person:jane f 9-9]
jane| That s sweet but I want to meet Mimi and want to know her better| [person:jane f 4-4][person:mimi f 8-8][person:mimi f 13-13]
dan| I feel you are into expanding your circle than spend time with me But it s alright I ll ask my manager let you know| [person:dan m 0-0][person:jane f 2-2][person:jane f 6-6][person:dan m 12-12][person:dan m 17-17][person:dan m 20-20][person:alex m 21-21][person:jane f 23-23]

conv:long_chats_0223_89:aug_0:chat_0:chataug_0| dave velma| [person:dave m 0-0][person:velma f 1-1]
velma| Hey Dave what are you doing| [person:dave m 1-1][person:dave m 4-4]
dave| Hey Velma I am looking to fix my fridge but could not figure out what s wrong in it| [person:velma f 1-1][person:dave m 2-2][person:dave m 7-7]
dave| Do you have any idea about how to fix this| [person:velma f 1-1]
velma| I am so sorry can t help you about it I think you should hire an electrician| [person:velma f 0-0][person:dave m 7-7][person:velma f 10-10][person:dave m 12-12]
dave| But I don t know any electrician Can you suggest me some one| [person:dave m 1-1][person:velma f 8-8][person:dave m 10-10]
velma| I know someone who recently moved here from my hometown Yugoslavia| [person:velma f 0-0][person:steven m 2-2][location:here u 6-6][person:velma f 8-8][location:yugoslavia s 10-10]
velma| Steven is a registered electrician and highly skilled at his trade| [person:steven m 0-0][person:steven m 9-9]
dave| That will be great if you can send his contact details How much will he charge| [person:velma f 5-5][person:steven m 8-8][person:steven m 14-14]
velma| Well I don t know exactly but the issue is that he is not cheap Still you can contact with him once| [person:velma f 1-1][person:steven m 11-11][person:dave m 16-16][person:steven m 20-20]
dave| If he is too expensive then we can try someother Do you have any alternative plan| [person:steven m 1-1][person:we g(velma:dave) 6-6][person:velma f 11-11]
velma| Other option is that you only have to try and fixed it by yourself| [person:dave m 4-4][person:dave m 13-13]
dave| I remembers what happened when my friend Sandra tried to fix her faucet she electrocuted herself| [person:dave m 0-0][person:dave m 5-5][person:sandra f 6-6][person:sandra f 7-7][person:sandra f 11-11][person:sandra f 13-13][person:sandra f 15-15]
dave| Although I don t want to spend lot of money but also I doesn t want to have a devastating bathtub toaster accident| [person:dave m 1-1][person:dave m 12-12]
velma| I think spending money is better in all respect So contact Steven as soon as possible| [person:velma f 0-0][person:steven m 11-11]

conv:long_chats_0223_91:aug_0:chat_0:chataug_0| janna lucian| [person:janna f 0-0][person:lucian m 1-1]
lucian| Hey Janna Have you got an update regarding the meeting| [person:janna f 1-1][person:janna f 3-3]
janna| What is the update you are talking about| [person:lucian m 4-4]
lucian| Our meeting with the investors Fiora and James moved to tomorrow| [person:our g(lucian:janna) 0-0][person:fiora f 5-5][person:james m 7-7]
janna| Yeah just now I came to know about it| [person:janna f 3-3]
lucian| Okay where is the meeting location for tomorrow| [location:location s 5-5]
janna| The meeting will be held at the local coffee shop| [location:location s 8-9]
janna| But if we can suggest something better for them it can be arranged there| [person:our g(lucian:janna) 2-2][person:them g(fiora:james) 8-8][location:location s 13-13]
lucian| Yeah sure I think we can suggest a better place as the local coffee shop will be crowded tomorrow| [person:lucian m 2-2][person:our g(lucian:janna) 4-4][location:place s 9-9][location:location s 13-14]
janna| Do you have have any better options in your mind Then you may suggest| [person:lucian m 1-1][person:lucian m 8-8][person:lucian m 11-11]
lucian| I think either a fancy restaurant or an elegant bistro will be a better place for the meeting| [person:lucian m 0-0][location:restaurant s 5-5][location:bistro s 9-9][location:place s 14-14]
janna| I know both of them are very good but I think an elegant bistro would be better| [person:janna f 0-0][person:them g(fiora:james) 4-4][person:janna f 9-9][location:bistro s 13-13]
lucian| Yeah it will be good and affordable We can plan our meeting in that| [location:bistro s 1-1][person:our g(lucian:janna) 7-7][person:our g(lucian:janna) 10-10]
janna| That s cool I will inform them See you in the meeting| [person:janna f 3-3][person:them g(fiora:james) 6-6][person:lucian m 8-8]
lucian| Okay I will meet you tomorrow in the meeting| [person:lucian m 1-1][person:janna f 4-4]

conv:long_chats_0223_93:aug_0:chat_0:chataug_0| cameron charlotte| [person:cameron f 0-0][person:charlotte f 1-1]
charlotte| Hey Cameron are you free now I want to say something to you| [person:cameron f 1-1][person:cameron f 3-3][person:charlotte f 6-6][person:cameron f 12-12]
cameron| Yeah Charlotte I am free What do you want to say| [person:cameron f 2-2][person:charlotte f 7-7]
charlotte| I want to organize a charity project| [person:charlotte f 0-0]
charlotte| Can you help me with some suggestions| [person:cameron f 1-1][person:charlotte f 3-3]
cameron| Yeah sure As far as I know Pauline and Christina have a lot of experience in organizing charity projects| [person:cameron f 5-5][person:pauline f 7-7][person:christina f 9-9]
cameron| They succeeded in it and even they acquired amazing results| [person:they g(pauline:christina) 0-0][person:they g(pauline:christina) 6-6]
charlotte| I didn t know about it Thank you for the information| [person:charlotte f 0-0][person:cameron f 7-7]
charlotte| Would you help me with contacting them I think they might guide me even better| [person:cameron f 1-1][person:charlotte f 3-3][person:they g(pauline:christina) 6-6][person:charlotte f 7-7][person:they g(pauline:christina) 9-9][person:charlotte f 12-12]
cameron| Yeah sure They will definitely help you in guiding your project| [person:they g(pauline:christina) 2-2][person:charlotte f 6-6][person:charlotte f 9-9]
cameron| I will try to contact them and fix an appointment for you| [person:cameron f 0-0][person:they g(pauline:christina) 5-5][person:charlotte f 11-11]
charlotte| That would be a great thing I will be even happier if you too join the meeting| [person:charlotte f 6-6][person:cameron f 12-12]
cameron| Okay I will check my schedule and join you if I am free| [person:cameron f 1-1][person:cameron f 4-4][person:charlotte f 8-8][person:cameron f 10-10]
cameron| I have good news that they had given us an appointment this Saturday| [person:cameron f 0-0][person:they g(pauline:christina) 5-5][person:us g(charlotte:cameron) 8-8]
charlotte| Okay let s meet on Saturday at their place| [person:they g(pauline:christina) 7-7][location:place s 8-8]

conv:long_chats_0223_96:aug_0:chat_0:chataug_0| monty tina| [person:monty m 0-0][person:tina f 1-1]
tina| Hey Monty I want to share something with you| [person:monty m 1-1][person:tina f 2-2][person:monty m 8-8]
monty| Yeah tell me What is it Tina| [person:monty m 2-2][person:tina f 6-6]
tina| My friend Josie passed away suddenly while she was travelling back home with her family| [person:tina f 0-0][person:josie f 1-1][person:josie f 2-2][person:josie f 7-7][location:home s 11-11][person:josie f 13-13][person:family g() 14-14]
monty| Oh my God I m sorry to hear about it my condolences to her family| [person:monty m 1-1][person:monty m 3-3][person:monty m 10-10][person:josie f 13-13][person:family g() 14-14]
monty| Are you in contact with her family members| [person:tina f 1-1][person:josie f 5-5][person:family g() 6-6]
tina| Her whole family is suffering from corona virus and her husband Celo is still hospitalized| [person:josie f 0-0][person:family g() 2-2][person:josie f 9-9][person:celo m 10-10][person:celo m 11-11]
monty| Is he still suffering with that virus in the hospital| [person:celo m 1-1][location:hospital s 9-9]
tina| He survived the deadly virus but Josie couldnot survive it| [person:celo m 0-0][person:josie f 6-6]
monty| The family is also suffering with the virus| [person:family g() 1-1]
tina| Yeah Monty I think we should help them| [person:monty m 1-1][person:tina f 2-2][person:we g(tina:monty) 4-4][person:family g() 7-7]
monty| Yeah we should but How are we supposed to do that| [person:we g(tina:monty) 1-1][person:we g(tina:monty) 6-6]
tina| I think we should give financial support for their treatment| [person:tina f 0-0][person:we g(tina:monty) 2-2][person:family g() 8-8]
monty| That s a good idea that is the least we can do for them| [person:we g(tina:monty) 9-9][person:family g() 13-13]
tina| Yes let s go and console her family as well| [person:josie f 6-6][person:family g() 7-7]

conv:long_chats_0223_97:aug_0:chat_0:chataug_0| jillian tia| [person:jillian f 0-0][person:tia f 1-1]
jillian| Hey Tia weren t you planning to join a gym because of your growing weight concerns| [person:tia f 1-1][person:tia f 4-4][location:gym s 9-9][person:tia f 12-12]
tia| Yes I m planning to do the same I m worried about being overweight| [person:tia f 1-1][person:tia f 8-8]
jillian| Do you have any specific gym to join as per your preference or are you looking out for any particular time slot| [person:tia f 1-1][location:gym s 5-5][person:tia f 10-10][person:tia f 14-14]
tia| I don t have any specifications regarding the gym but it should be budget friendly and I m comfortable with the morning slot| [person:tia f 0-0][location:gym s 8-8][location:gym s 10-10][person:tia f 16-16]
jillian| There a gym which is near to my house the trainer is also a friend of mine| [location:there u 0-0][location:gym s 2-2][person:jillian f 7-7][location:house s 8-8][person:friend u 14-14][person:jillian f 16-16]
tia| Yeah I know about the gym but I found out to be a bit expensive after doing some research on it online| [person:tia f 1-1][location:gym s 5-5][person:tia f 7-7][location:gym s 20-20]
jillian| It is always overpriced when you check it online Because I know the management there I can get it done at a fair amount of discount| [person:tia f 5-5][person:jillian f 10-10][location:gym s 14-14][person:jillian f 15-15]
tia| Is that so I ll have to think about it then let s go and check it out| [person:tia f 3-3]
jillian| Let s not depend on the gym near my house only We ll try out some other options as well| [location:gym s 6-6][person:jillian f 8-8][location:house s 9-9][person:we g(jillian:tia) 11-11]
tia| Hey do you know remember our two friends John and Randy who are working as personal trainers at a gym nearby| [person:jillian f 2-2][person:we g(jillian:tia) 5-5][person:friends g() 7-7][person:john m 8-8][person:randy m 10-10][location:gym s 19-19]
jillian| I think they can help us out in all aspects If you wish I can talk to them post college hours| [person:jillian f 0-0][person:friends g(john:randy) 2-2][person:we g(jillian:tia) 5-5][person:tia f 11-11][person:jillian f 13-13][person:friends g(john:randy) 17-17]
tia| Yeah the boys are good and they can help us out and I know that the gym is not much expensive| [person:friends g(john:randy) 2-2][person:friends g(john:randy) 6-6][person:we g(jillian:tia) 9-9][person:tia f 12-12][location:gym s 16-16]
jillian| Tia I don t think you would be able to afford a personal trainer at this stage| [person:tia f 0-0][person:jillian f 1-1][person:tia f 5-5]
tia| Yes Jillian even I was thinking about the same thing because I m just focussing on reducing my weight| [person:jillian f 1-1][person:tia f 3-3][person:tia f 11-11][person:tia f 17-17]

conv:long_chats_0223_98:aug_0:chat_0:chataug_0| helen marisa| [person:helen f 0-0][person:marisa f 1-1]
marisa| Hey Helen do you know why Kayden and Alden haven t been to work lately| [person:helen f 1-1][person:helen f 3-3][person:kayden m 6-6][person:alden m 8-8]
helen| Hi Marisa They both aren t feeling well I heard they caught a cold| [person:marisa f 1-1][person:they g(kayden:alden) 2-2][person:helen f 8-8][person:they g(kayden:alden) 10-10]
marisa| Is it so I heard that a new kind of virus is affecting our city very badly Is it that kind| [person:marisa f 3-3][person:our g(marisa:helen:kayden:alden) 13-13][location:city s 14-14]
helen| I saw it on the news too I really hope that they didn t catch the virus| [person:helen f 0-0][person:helen f 7-7][person:they g(kayden:alden) 11-11]
marisa| Are they admitted into any hospital Because they should get themselves checked| [person:they g(kayden:alden) 1-1][location:hospital s 5-5][person:they g(kayden:alden) 7-7][person:they g(kayden:alden) 10-10]
helen| I m sure they must ve consulted a doctor We would have known by now if it was that bad| [person:helen f 0-0][person:they g(kayden:alden) 3-3][person:doctor u 8-8][person:we g(marisa:helen) 9-9]
marisa| Yeah I don t think they are that week and I hope they get better soon| [person:marisa f 1-1][person:they g(kayden:alden) 5-5][person:marisa f 10-10][person:they g(kayden:alden) 12-12]
helen| Yeah me too Will you have any free time this week| [person:helen f 1-1][person:marisa f 4-4]
marisa| No Helen I m busy on weekdays What do you have planned| [person:helen f 1-1][person:marisa f 2-2][person:helen f 9-9]
helen| I was thinking if it s a good idea to pay them a visit| [person:helen f 0-0][person:they g(kayden:alden) 11-11]
marisa| Yeah it s a good idea but I think it s better to wait till they get better and then let s visit them| [person:marisa f 7-7][person:they g(kayden:alden) 15-15][person:they g(kayden:alden) 23-23]
helen| That s true Marisa I just want to convey them get well soon wishes| [person:marisa f 3-3][person:helen f 4-4][person:they g(kayden:alden) 9-9]
marisa| In that case I know a florist who can deliver them flowers I will contact him| [person:marisa f 3-3][person:they g(kayden:alden) 10-10][person:marisa f 12-12][person:florist m 15-15]
helen| That sounds like a great idea It would let them know that we are hoping for their speedy recovery| [person:they g(kayden:alden) 9-9][person:we g(marisa:helen) 12-12][person:they g(kayden:alden) 16-16]

conv:long_chats_0223_99:aug_0:chat_0:chataug_0| joe vanessa| [person:joe m 0-0][person:vanessa f 1-1]
vanessa| What is your plan for the night We have completed our final exams| [person:joe m 2-2][person:we g(vanessa:joe) 7-7][person:we g(vanessa:joe) 10-10]
joe| I was planning to watch my favorite reality show Love Island as I couldn t watch it for a month due to exams What about you| [person:joe m 0-0][person:joe m 5-5][person:joe m 12-12][person:vanessa f 25-25]
vanessa| Previously I didn t have any plans but now even I am also want to watch it| [person:vanessa f 1-1][person:vanessa f 10-10]
joe| That s great so we can think of watching it together Can you come to my place tonight| [person:we g(vanessa:joe) 4-4][person:vanessa f 12-12][person:joe m 15-15][location:place s 16-16]
vanessa| You know any websites to watch the show because it is a British show and my satellite television package was canceled| [person:joe m 0-0][person:vanessa f 15-15]
joe| Even I also don t know the website Let me ask Gianna and Rick they also do not live in the UK but they watch the shows regularly| [person:joe m 1-1][person:joe m 9-9][person:gianna f 11-11][person:rick m 13-13][person:they g(gianna:rick) 14-14][location:uk s 21-21][person:they g(gianna:rick) 23-23]
vanessa| Hey that s a great idea I remember that they told me about the last season they watched| [person:vanessa f 6-6][person:they g(gianna:rick) 9-9][person:vanessa f 11-11][person:they g(gianna:rick) 16-16]
joe| Yeah you are right they even told me about the last season After watching a few of the episodes with them I got the interest to watch it| [person:joe m 1-1][person:they g(gianna:rick) 4-4][person:joe m 7-7][person:they g(gianna:rick) 20-20][person:joe m 21-21]
joe| Well last season was really great this time due to the exam I couldn t watch it| [person:joe m 12-12]
vanessa| Even me too my mom didn t allow me to spend time watching this Today I don t want to miss it| [person:vanessa f 1-1][person:vanessa f 3-3][person:mom f 4-4][person:vanessa f 8-8][person:vanessa f 15-15]
joe| Not to worry let me ask them I will get back to you after I come to know about the website| [person:joe m 4-4][person:they g(gianna:rick) 6-6][person:joe m 7-7][person:vanessa f 12-12][person:joe m 14-14]
vanessa| Please inform me as soon as possible as I am eagerly waiting for the website| [person:vanessa f 2-2][person:vanessa f 8-8]
vanessa| I am very excited to watch the show because as you said last season was awesome| [person:vanessa f 0-0][person:joe m 10-10]
joe| Even I am too excited to watch the episodes| [person:joe m 1-1]

conv:long_chats_0223_101:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| Hey John how you doing| [person:john m 1-1][person:john m 3-3]
john| Hey Adam I am fine What about you| [person:adam m 1-1][person:john m 2-2][person:adam m 7-7]
adam| Today I recalled the time we had at the fraternity house| [person:adam m 1-1][person:we g(adam:john) 5-5][location:fraternity_house s 9-10]
john| Yes we had a great time there I will never forget that time| [person:we g(adam:john) 1-1][location:fraternity_house s 6-6][person:john m 7-7]
john| It just remembered me all the guys who managed to get in trouble| [person:john m 3-3]
adam| I hope you remember the roguery used to irritate the dean| [person:adam m 0-0][person:john m 2-2][person:dean m 10-10]
john| Yeah that s the funny part in the fraternity house| [location:fraternity_house s 8-9]
john| Did you remember how Rita and Jane used to sneak into our dorm| [person:adam m 1-1][person:rita f 4-4][person:jane f 6-6][person:we g(adam:john) 11-11][location:dorm s 12-12]
adam| Yeah they sneak into our dorm after hours to smoke up| [person:they g(rita:jane) 1-1][person:we g(adam:john) 4-4][location:dorm s 5-5]
adam| Do they are in contact with you| [person:they g(rita:jane) 1-1][person:john m 6-6]
john| Yeah I think I have their contacts Do you want to speak to them| [person:john m 1-1][person:john m 3-3][person:they g(rita:jane) 5-5][person:adam m 8-8][person:they g(rita:jane) 13-13]
adam| Yeah we should try to contact and hang out with them| [person:we g(adam:john) 1-1][person:they g(rita:jane) 10-10]
john| Okay I will contact them and inform you about the location| [person:john m 1-1][person:they g(rita:jane) 4-4][person:adam m 7-7][location:location s 10-10]
adam| That s great I will wait for your response| [person:adam m 3-3][person:john m 7-7]

conv:long_chats_0223_102:aug_0:chat_0:chataug_0| fernando martina| [person:fernando m 0-0][person:martina f 1-1]
martina| Hey Fernando I have prepared the algorithm for our new saver app| [person:fernando m 1-1][person:martina f 2-2][person:our g(martina:fernando) 8-8]
fernando| Great I ve collected all the data required so that we can complete our project within this week| [person:fernando m 1-1][person:our g(martina:fernando) 10-10][person:our g(martina:fernando) 13-13]
martina| Are you ready with some memory too So that we can save the internet data and so use it when we are out of network or in an emergency| [person:fernando m 1-1][person:our g(martina:fernando) 9-9][person:our g(martina:fernando) 20-20]
fernando| Yeah I m all set with memory and other tools required for the project| [person:fernando m 1-1]
martina| I wanted us not to face any issues while testing the application| [person:martina f 0-0][person:our g(martina:fernando) 2-2]
fernando| Okay I ll forward all the collection to your mail Just check it once| [person:fernando m 1-1][person:martina f 8-8]
martina| Yeah It is all set and I think we need a network engineer| [person:martina f 6-6][person:our g(martina:fernando) 8-8]
fernando| Tasha and Tunisha were interested in being a part of the project We can use them as they are also network engineers| [person:tasha f 0-0][person:tunisha f 2-2][person:our g(martina:fernando) 12-12][person:them g(tasha:tunisha) 15-15][person:them g(tasha:tunisha) 17-17]
martina| I think this is not a good idea As we need a veteran to be a part in our project| [person:martina f 0-0][person:our g(martina:fernando) 9-9][person:our g(martina:fernando) 18-18]
fernando| Even though they re juniors they have good knowledge about networks| [person:them g(tasha:tunisha) 2-2][person:them g(tasha:tunisha) 5-5]
martina| I do not approve your suggestion because we need some who is an expert in networks| [person:martina f 0-0][person:fernando m 4-4][person:our g(martina:fernando) 7-7]
fernando| Why don t you just check their work and decide if they re really fit for the project| [person:martina f 3-3][person:them g(tasha:tunisha) 6-6][person:them g(tasha:tunisha) 11-11]
martina| As we do not have enough time to check their work test their skills and approve them will check if there are any other engineers who are capable for this| [person:our g(martina:fernando) 1-1][person:them g(tasha:tunisha) 9-9][person:them g(tasha:tunisha) 12-12][person:them g(tasha:tunisha) 16-16]
fernando| Okay we ll take them along with us so that they ll be useful for us in the next projects| [person:our g(martina:fernando) 1-1][person:them g(tasha:tunisha) 4-4][person:our g(martina:fernando) 7-7][person:them g(tasha:tunisha) 10-10][person:our g(martina:fernando) 15-15]

conv:long_chats_0223_103:aug_0:chat_0:chataug_0| jane john| [person:jane f 0-0][person:john m 1-1]
john| Hey Jane when are we meeting up for our plans that we are having at night| [person:jane f 1-1][person:we g(john:jane) 4-4][person:we g(john:jane) 8-8][person:we g(john:jane) 11-11]
jane| I think we have to cancel our plans for the night| [person:jane f 0-0][person:we g(john:jane) 2-2][person:we g(john:jane) 6-6]
john| What is the issue Is everything alright|
jane| My friend Rita had given birth to a baby| [person:jane f 0-0][person:rita f 1-1][person:rita f 2-2]
jane| I am going to meet her at her place for the night| [person:jane f 0-0][person:rita f 5-5][person:rita f 7-7][location:place s 8-8]
john| Wow that s great news When did you get the news| [person:jane f 7-7]
john| I had a conversation with Adam in the morning he didn t say anything| [person:john m 0-0][person:adam m 5-5][person:adam m 9-9]
jane| Just now I got the news so I cancelled the plan| [person:jane f 2-2][person:jane f 7-7]
jane| I suggest you to give him a call| [person:jane f 0-0][person:john m 2-2][person:adam m 5-5]
john| Yeah sure I will call and congratulate him Right now I am a bit busy I will talk to him later| [person:john m 2-2][person:adam m 7-7][person:john m 10-10][person:john m 15-15][person:adam m 19-19]
jane| Okay I think you should make yourself free and pay a visit with me| [person:jane f 1-1][person:john m 3-3][person:john m 6-6][person:jane f 13-13]
john| Yeah sure even I was also thinking of meeting them after the office| [person:john m 3-3][person:them g(rita:adam) 9-9][location:office s 12-12]
john| Be ready I will pick you up from your place| [person:john m 2-2][person:jane f 5-5][person:jane f 8-8][location:place s 9-9]
jane| Okay I will be waiting for you See you soon| [person:jane f 1-1][person:john m 6-6][person:john m 8-8]

conv:long_chats_0223_105:aug_0:chat_0:chataug_0| andrew stefan| [person:andrew m 0-0][person:stefan m 1-1]
andrew| Hey Stefan How are you doing| [person:stefan m 1-1][person:stefan m 4-4]
andrew| It s been a long time since we met each other| [person:we g(andrew:stefan) 7-7]
stefan| I am fine What about you| [person:stefan m 0-0][person:andrew m 5-5]
stefan| Yeah you are right I think we haven t met since high school| [person:andrew m 1-1][person:stefan m 4-4][person:we g(andrew:stefan) 6-6][location:high_school s 11-12]
andrew| Yeah I am fine Thanks for asking| [person:andrew m 1-1]
andrew| Shall we meet up once as it s been a long time| [person:we g(andrew:stefan) 1-1]
stefan| Great idea Andrew What about inviting Sonia and Amelia as well| [person:andrew m 2-2][person:sonia f 6-6][person:amelia f 8-8]
andrew| It will be great fun if they join us We all can go out for dinner together| [person:they g(sonia:amelia) 6-6][person:we g(andrew:stefan) 8-8][person:we g(andrew:stefan) 9-9]
stefan| We can go for a coffee instead of dinner| [person:we g(andrew:stefan) 0-0]
stefan| Then we can meet up early and plan something accordingly| [person:we g(andrew:stefan) 1-1]
andrew| I think we should consult our friends and ask about their opinion as they may have some busy schedules| [person:andrew m 0-0][person:we g(andrew:stefan) 2-2][person:we g(andrew:stefan) 5-5][person:they g(sonia:amelia) 6-6][person:they g(sonia:amelia) 10-10][person:they g(sonia:amelia) 13-13]
stefan| Yeah we also need to know whether they are available or not| [person:we g(andrew:stefan) 1-1][person:they g(sonia:amelia) 7-7]
andrew| I will consult them and get back to you| [person:andrew m 0-0][person:they g(sonia:amelia) 3-3][person:stefan m 8-8]
stefan| Cool I don t think we can finish all are topics in a day Anyways I am very excited to meet you all| [person:stefan m 1-1][person:we g(andrew:stefan) 5-5][person:stefan m 15-15][person:andrew m 21-21]

conv:long_chats_0223_106:aug_0:chat_0:chataug_0| sammy tucker| [person:sammy m 0-0][person:tucker m 1-1]
sammy| Hi Tucker Can you make some time for me today| [person:tucker m 1-1][person:tucker m 3-3][person:sammy m 8-8]
tucker| What happened Sammy Why do you want me to come over your place| [person:sammy m 2-2][person:sammy m 5-5][person:tucker m 7-7][person:sammy m 11-11][location:place s 12-12]
sammy| I have a plan for this weekend But whereas my car is on repair| [person:sammy m 0-0][person:sammy m 9-9]
sammy| I wanted you to be here by this evening So that you can fix my car| [person:sammy m 0-0][person:tucker m 2-2][location:place s 5-5][person:tucker m 11-11][person:sammy m 14-14]
tucker| I m afraid I can t come to your place Sammy| [person:tucker m 0-0][person:tucker m 3-3][person:sammy m 8-8][location:place s 9-9][person:sammy m 10-10]
tucker| I m busy this whole evening as I have to fix my niece Pam s car| [person:tucker m 0-0][person:tucker m 7-7][person:tucker m 11-11][person:pam f 13-13]
sammy| Okay If not today can you at least make it tomorrow| [person:tucker m 5-5]
tucker| No I won t be able to fix Pam s car by tomorrow| [person:tucker m 1-1][person:pam f 8-8]
sammy| What is wrong with her car and how long you need to fix it| [person:pam f 4-4][person:tucker m 9-9]
tucker| Her car is heavily damaged and I don t know how long will it take for me to fix it| [person:pam f 0-0][person:tucker m 6-6][person:tucker m 16-16]
tucker| Why don t you call your friend Mateo and ask him to come by| [person:sammy m 3-3][person:sammy m 5-5][person:mateo m 6-6][person:mateo m 7-7][person:mateo m 10-10]
sammy| Please try to reach me as soon as possible| [person:sammy m 4-4]
sammy| Because my friend Mateo does not have much knowledge regarding repairs| [person:sammy m 1-1][person:mateo m 2-2][person:mateo m 3-3]
tucker| Okay I ll be there once I m done with my niece s car| [person:tucker m 1-1][location:place s 4-4][person:tucker m 6-6][person:tucker m 10-10]

conv:long_chats_0223_107:aug_0:chat_0:chataug_0| adam john| [person:adam m 0-0][person:john m 1-1]
adam| Hey John How are you doing| [person:adam m 1-1][person:adam m 4-4]
john| Hey Adam Did you hear about Jane s death| [person:adam m 1-1][person:adam m 3-3][person:jane f 6-6]
adam| We met in the market a few weeks ago| [person:we g(adam:john:jane) 0-0]
adam| I was surprised to hear that she had passed away| [person:adam m 0-0][person:jane f 6-6]
john| I was even equally surprised to hear about her death| [person:john m 0-0][person:jane f 8-8]
adam| My girlfriend Rita was there with her last week They really had a good time| [person:john m 0-0][person:girlfriend f 1-1][person:rita f 2-2][person:rita f 6-6][person:they g(adam:john:jane:rita) 9-9]
john| This is sad to listen How is she holding up now| [person:jane f 7-7]
adam| She is just in shock It takes her some time to recover| [person:rita f 0-0][person:rita f 7-7]
john| I hope she recovers soon and everything goes well with her| [person:john m 0-0][person:rita f 2-2][person:rita f 10-10]
john| I suspect that Jane had faked her death and I think we should investigate it| [person:john m 0-0][person:jane f 3-3][person:jane f 6-6][person:john m 9-9][person:we g(adam:john:jane:girlfriend:rita) 11-11]
adam| Thank you for your concern about Rita I don t think this investigation will work out| [person:john m 1-1][person:john m 3-3][person:rita f 6-6][person:adam m 7-7]
john| I feel like there is some reason behind her sudden death we should investigate it| [person:john m 0-0][person:rita f 8-8][person:we g(adam:john:jane:girlfriend:rita) 11-11]
adam| Okay if it is in this way I will help you| [person:adam m 7-7][person:john m 10-10]
john| Thank you for your support We shall do it together and find the reason very soon| [person:john m 1-1][person:john m 3-3][person:we g(adam:john:jane:girlfriend:rita) 5-5]

conv:long_chats_0223_108:aug_0:chat_0:chataug_0| ivan ryza| [person:ivan m 0-0][person:ryza f 1-1]
ivan| Hey Ryza do you know that Marly and Jasper are coming over to stay at our home| [person:ryza f 1-1][person:ryza f 3-3][person:marly f 6-6][person:jasper m 8-8][person:ir g(ivan:ryza) 15-15][location:home s 16-16]
ryza| Hi Ivan Yes I heard about it too Do you know how many days are they visiting for| [person:ivan m 1-1][person:ryza f 3-3][person:ivan m 9-9][person:mj g(marly:jasper) 15-15]
ivan| I m not sure about it but they will stay for a few weeks Ryza| [person:ivan m 0-0][person:mj g(marly:jasper) 7-7][person:ryza f 14-14]
ryza| I don t like our cousins at all I m not happy about this news| [person:ryza f 0-0][person:mj g(marly:jasper) 4-4][person:mj g(marly:jasper) 5-5][person:ryza f 8-8]
ivan| Even I feel the same way Do you remember what happened last time| [person:ivan m 1-1][person:ryza f 7-7]
ryza| I can t forget that Their gossiping habit can ruin relations| [person:ryza f 0-0][person:mj g(marly:jasper) 5-5]
ivan| Yeah that s their worst habit I can t deal with that| [person:mj g(marly:jasper) 3-3][person:ivan m 6-6]
ivan| I even heard that we are going to share our room with them| [person:ivan m 0-0][person:ir g(ivan:ryza) 4-4][person:ir g(ivan:ryza) 9-9][location:room s 10-10][person:mj g(marly:jasper) 12-12]
ryza| That is a nightmare I cannot bear their presence in our room| [person:ryza f 4-4][person:mj g(marly:jasper) 7-7][person:ir g(ivan:ryza) 10-10][location:room s 11-11]
ryza| I m not going to let this happen Who did you hear this from| [person:ryza f 0-0][person:ivan m 10-10]
ivan| I heard it from our parents I don t think we can manage this| [person:ivan m 0-0][person:ir g(ivan:ryza) 4-4][person:parents g() 5-5][person:ivan m 6-6][person:ir g(ivan:ryza) 10-10]
ryza| Let s plan a way to avoid that Think of something to tell our parents Ivan| [person:ir g(ivan:ryza) 13-13][person:parents g() 14-14][person:ivan m 15-15]
ivan| I m a bit confused about whether to plan something or obey our parents Ryza| [person:ivan m 0-0][person:ir g(ivan:ryza) 12-12][person:parents g() 13-13][person:ryza f 14-14]
ryza| Okay Let s honestly tell them how we feel about the situation and they will understand| [person:parents g() 5-5][person:ir g(ivan:ryza) 7-7][person:parents g() 13-13]

conv:long_chats_0223_110:aug_0:chat_0:chataug_0| mario nina| [person:mario m 0-0][person:nina f 1-1]
nina| I don t want to give the custody of our kid to you Please do not start an argument| [person:nina f 0-0][person:our g(nina:mario) 9-9][person:mario m 12-12]
