conv:long_chats_0223_199:aug_0:chat_0:chataug_0| lilly sheila| [person:lilly f 0-0][person:sheila f 1-1]
serena| Thank you for checking I wonder who else could| [person:sasha f 1-1][person:serena f 4-4]
sasha| Ask Samantha or Cameron they are looking for more shits to pay for school| [person:samantha f 1-1][person:cameron f 3-3][person:they g(samantha:cameron) 4-4][location:school s 13-13]
serena| Really Awesome|
sasha| No problem|
serena| Samantha said she could Thanks for the help Sasha| [person:samantha f 0-0][person:samantha f 2-2][person:sasha f 8-8]
sasha| Of course|

conv:people_0610_100:aug_0:chat_0:chataug_0| josh sabrina| [person:josh m 0-0][person:sabrina f 1-1]
josh| Sabrina I think my Cab driver Christopher is drunk| [person:sabrina f 0-0][person:josh m 1-1][person:josh m 3-3][person:christopher m 6-6]
josh| Im not sure what I should do| [person:josh m 4-4]
sabrina| Dont worry Josh just act like you re going to be sick so that Christopher will pull over it wont be embarrassing| [person:josh m 2-2][person:josh m 6-6][person:christopher m 14-14]
sabrina| Im sure he will understand| [person:christopher m 2-2]
josh| Sabrina you know my acting skills are terrible| [person:sabrina f 0-0][person:sabrina f 1-1][person:josh m 3-3]
josh| It would never work|
josh| Can you please just report the driver| [person:sabrina f 1-1]
sabrina| Sure I can report him| [person:sabrina f 1-1][person:christopher m 4-4]
josh| Also my mom Cheryl is panicking about this| [person:josh m 1-1][person:cheryl f 2-2][person:cheryl f 3-3]
josh| Could you call her in order to talk about something else in order to divert her attention| [person:sabrina f 1-1][person:cheryl f 3-3][person:cheryl f 15-15]
sabrina| No problem Josh I can do that for you| [person:josh m 2-2][person:sabrina f 3-3]
sabrina| I know how she can get about scenarios like this| [person:sabrina f 0-0][person:cheryl f 3-3]

conv:people_0610_101:aug_0:chat_0:chataug_0| evan maddison| [person:evan m 0-0][person:maddison f 1-1]
evan| Hey Maddi wanna go out tonight I just can t face the thought of cooking| [person:evan m 6-6]
maddison| Sounds awesome I spent all day in HR training and I m ready for a drink| [person:maddison f 2-2][person:maddison f 10-10]
evan| Want to invite Brad and Stella You know they re always good for some lighthearted conversation| [person:brad m 3-3][person:stella f 5-5][person:maddison f 6-6][person:they g(brad:stella) 8-8]
maddison| Yeah let s ask them Where are we going anyway| [person:they g(brad:stella) 4-4][person:we g(evan:maddison) 7-7]
evan| Not sure|
evan| I think Brad is allergic to seafood though so let s skip Red Lobster unless you fancy a trip to the ER| [person:evan m 0-0][person:brad m 2-2][person:maddison f 15-15][location:trip s 18-18][location:trip s 21-21]
maddison| Yeah Brad s definitely allergic to seafood so that s right out How does Italian sound I could go for some eggplant parm| [person:brad m 1-1][person:maddison f 16-16]
evan| Carb loading is good for me but Stella was telling me about her new lowcarb diet last week so I think pasta is off the menu| [person:evan m 5-5][person:stella f 7-7][person:evan m 10-10][person:stella f 12-12][person:evan m 19-19]
evan| Brad Stella said yes just need a location| [person:brad m 0-0][person:stella f 1-1]
evan| How about that new steakhouse by the movie theater Low carb options more turf than surf and Mark said they have good drink specials| [location:steakhouse s 4-4][person:mark m 17-17]
maddison| Sounds perfect Is 45 minutes enough|
evan| See you then| [person:maddison f 1-1]
maddison| Can t wait super hungry now too|

conv:people_0610_102:aug_0:chat_0:chataug_0| tina wilson| [person:tina f 0-0][person:wilson m 1-1]
tina| Who do you think is the best rap artist| [person:wilson m 2-2]
tina| I think ti is Drake| [person:tina f 0-0]
wilson| No way he isn t that great I think Lil Wayne is better| [person:wayne m 2-2][person:wilson m 7-7][person:wayne m 10-10]
tina| Why That is crazy Drake can actually sing and not just rap|
wilson| Yeah but Lil Wayne taught Drake how to make music if it wasn t for him there would be no Drake| [person:wayne m 3-3][person:wayne m 15-15]
wilson| We should get Russels Opinion| [person:we g(tina:wilson:wayne) 0-0]
tina| i just asked Russel and he says niether Drake or Lil Wanye are the best rappers he said JayZ is the best| [person:tina f 0-0][person:wilson m 5-5][person:wilson m 16-16]
wilson| Err I dunno| [person:wilson m 1-1]
tina| He says that JayZ has been around longer than either Drake or Lil Wayne| [person:wayne m 0-0][person:wayne m 13-13]
wilson| But that doesn t make JayZ the best|
wilson| I disagree i am goin to talk to Travis and see what he thinks| [person:wilson m 0-0][person:wilson m 2-2][person:travis m 8-8][person:wayne m 12-12]
tina| Tarvis doesn t know anything|
tina| Myabe we just have to agree to disagree| [person:we g(tina:wilson:wayne) 1-1]

conv:people_0610_104:aug_0:chat_0:chataug_0| jack justin| [person:jack m 0-0][person:justin m 1-1]
jack| Hey I am so exited for the trip to mexico| [person:jack m 1-1][location:mexico s 7-7][location:mexico s 9-9]
justin| Yes Me too We have to decide which car we are driving| [person:justin m 1-1][person:we g(jack:justin) 3-3][person:we g(jack:justin) 9-9]
jack| I think we should take your car because it is bigger and can fit all 4 of us| [person:jack m 0-0][person:we g(jack:justin) 2-2][person:justin m 5-5][person:us g(jack:justin) 17-17]
justin| No I don t want my new car to get dirty Travis will get it dirty and ruin it| [person:justin m 1-1][person:justin m 5-5][person:travis m 11-11]
jack| Well then who s car should we take| [person:we g(jack:justin) 6-6]
justin| Idk maybe yours its pretty big too| [person:jack m 2-2]
jack| No I still think we should take your car| [person:jack m 1-1][person:us g(jack:justin:travis) 4-4][person:justin m 7-7]
justin| I know my car is the best but I don t want it to get ruined| [person:justin m 0-0][person:justin m 2-2][person:justin m 8-8]
jack| Well then maybe we can have Travis drive in his car| [person:we g(jack:justin) 3-3][person:travis m 6-6][person:travis m 9-9]
justin| Yea but his car is in under repair so thats a nogo| [person:travis m 2-2]
jack| I don t know then| [person:jack m 0-0]
justin| Ok I guess we can take my car because then I will just wash it afterward| [person:justin m 1-1][person:us g(jack:justin:travis) 3-3][person:justin m 6-6][person:justin m 10-10]
jack| Ok then|

conv:people_0610_106:aug_0:chat_0:chataug_0| jeffery zeek| [person:jeffery m 0-0][person:zeek m 1-1]
zeek| Hey What should we do this weekend| [person:we g(zeek:jeffery) 3-3]
jeffery| Hey I think we should go to the nearby beach| [person:jeffery m 1-1][person:we g(zeek:jeffery) 3-3][location:beach s 9-9]
zeek| That s a good idea|
jeffery| Should I invite my sister Mary and her friend Tanya| [person:jeffery m 1-1][person:jeffery m 3-3][person:mary f 4-4][person:mary f 5-5][person:mary f 7-7][person:tanya f 8-8][person:tanya f 9-9]
zeek| I don t like Tanya she used to bully me in middle school| [person:zeek m 0-0][person:tanya f 4-4][person:tanya f 5-5][person:zeek m 9-9][location:school s 12-12]
jeffery| I think you should give her another chance| [person:jeffery m 0-0][person:zeek m 2-2][person:tanya f 5-5]
jeffery| She changed a lot since middle school| [person:tanya f 0-0][location:school s 6-6]
zeek| I need time to think about it| [person:zeek m 0-0]
jeffery| Okay think about it over the week|
zeek| Okay I will| [person:zeek m 1-1]
jeffery| See you this weekend| [person:zeek m 1-1]
zeek| See you| [person:jeffery m 1-1]

conv:people_0610_107:aug_0:chat_0:chataug_0| brit sue| [person:brit f 0-0][person:sue f 1-1]
brit| Hello Brit Time again to discuss who will be driving for the upcoming road trip| [person:brit f 1-1][location:road s 13-13][location:road s 14-14]
sue| I think its better if you drive since your car is bigger You know that Judy and scarlett both being great players have very long legs| [person:sue f 0-0][person:brit f 5-5][person:brit f 8-8][person:brit f 12-12][person:judy f 15-15]
brit| Yes I know they do But your car gets better gas mileage| [person:brit f 1-1][person:they g(judy) 3-3][person:sue f 6-6]
sue| Is a few cents worth of savings worth hearing the both of them complain that they are all squished in my small car| [person:they g(judy) 12-12][person:they g(judy) 15-15][person:sue f 20-20]
brit| You ve got a point there Well perhaps if we all pitched in a few extra cents to pay for the difference in the gas I d be willing to take my car| [person:sue f 0-0][person:we g(brit:sue:judy) 9-9][person:brit f 25-25][person:brit f 31-31]
sue| That sounds like a really good compromise|
brit| Will you be the one to ask them for a little extra gas money| [person:sue f 1-1][person:they g(judy) 7-7]
sue| Since it will probably be such a small amount perhaps it would seem petty to ask them to contribute| [person:they g(judy) 16-16]
brit| You know that my finances are very limited It was your idea What s wrong with you asking them| [person:sue f 0-0][person:brit f 3-3][person:sue f 10-10][person:sue f 16-16][person:they g(judy) 18-18]
sue| It would probably be better if we both asked them This way they won t think you won t drive if they don t contribute| [person:we g(brit:sue) 6-6][person:they g(judy) 9-9][person:they g(judy) 12-12][person:brit f 16-16][person:they g(judy) 21-21]
brit| Let me think about this for a moment| [person:brit f 1-1]
sue| I ve got an idea I ve got Judy s email But I dont have Scarlett s Do you| [person:sue f 0-0][person:sue f 5-5][person:judy f 8-8][person:sue f 12-12][person:brit f 18-18]
brit| I don t have Scarlett s either I don t think she s online too much Too busy playing basketball| [person:brit f 0-0][person:brit f 7-7][person:scarlett f 11-11]
sue| They are both on facebook Why don t we message them both and go from there Does that sound like a plan| [person:they g(judy:scarlett) 0-0][person:we g(brit:sue) 8-8][person:they g(judy:scarlett) 10-10]
brit| Yup that sounds like a plan If you d contact them that would be great| [person:sue f 7-7][person:they g(judy:scarlett) 10-10]
sue| thanks Brit Can t wait for the trip It will sure to be loads of fun with plenty of legroom| [person:brit f 1-1][location:road s 7-7]

conv:people_0610_108:aug_0:chat_0:chataug_0| joann matt| [person:joann f 0-0][person:matt m 1-1]
matt| Yo is now a good time to talk about our Europe trip| [person:our g(matt:joann) 9-9][location:europe s 10-10][location:europe s 11-11]
joann| Yeah bro I m free right now What are you thinking about it| [person:joann f 2-2][person:matt m 9-9]
matt| I m wondering what countries we should go to| [person:matt m 0-0][location:countries g() 4-4][person:our g(matt:joann) 5-5]
matt| It s during the summer so the weather will be perfect There s just so many options and I want to make the most of it| [person:matt m 18-18]
joann| Yeah dude I ve been thinking about it it s hard to decide| [person:joann f 2-2]
matt| What if we ask my parents Susan and Grant have been to Europe a ton so they might have good suggetions| [person:our g(matt:joann) 2-2][person:matt m 4-4][person:parents g() 5-5][person:susan f 6-6][person:grant m 8-8][location:europe s 12-12][person:parents g(susan:grant) 16-16]
joann| Okay dude ask them and let me know what they say| [person:parents g(susan:grant) 3-3][person:joann f 6-6][person:parents g(susan:grant) 9-9]
matt| Okay I will| [person:matt m 1-1]
matt| Okay so they got back to me| [person:parents g(susan:grant) 2-2][person:matt m 6-6]
matt| They have friends in England and France we could stay with them to save some money| [person:parents g(susan:grant) 0-0][person:friends g() 2-2][location:england s 4-4][location:france s 6-6][person:our g(matt:joann) 7-7][person:friends g() 11-11]
joann| I think that sounds like a great idea| [person:joann f 0-0]
joann| England and France are two countries I really like too| [location:england s 0-0][location:france s 2-2][location:countries g() 5-5][person:joann f 6-6]

conv:people_0610_109:aug_0:chat_0:chataug_0| kimberly rodger| [person:kimberly f 0-0][person:rodger m 1-1]
kimberly| Hey Rodger I wanted to ask you a question about Ms Sabrina and Mr Raymond s class| [person:rodger m 1-1][person:kimberly f 2-2][person:rodger m 6-6][person:ms_sabrina f 11-11][person:mr__raymond m 14-14]
rodger| Yeah what is it|
kimberly| I was confused in today s lesson were you| [person:kimberly f 0-0][person:rodger m 8-8]
rodger| Yeah I was confused too| [person:rodger m 1-1]
kimberly| Maybe we should email the teachers| [person:kim_rodger g(kimberly:rodger) 1-1]
rodger| Yes lets do that|
rodger| I emailed them and they suggested to do some research online| [person:rodger m 0-0][person:s_r g() 2-2][person:s_r g() 4-4]
kimberly| Yes they said the same thing to me| [person:s_r g() 1-1][person:kimberly f 7-7]
rodger| I m not sure if I agree with them| [person:rodger m 0-0][person:rodger m 5-5][person:s_r g() 8-8]
kimberly| I think they have a point| [person:kimberly f 0-0][person:s_r g() 2-2]
rodger| But they re the teachers| [person:s_r g() 1-1]
kimberly| I still agree with them though| [person:kimberly f 0-0][person:s_r g() 4-4]

conv:people_0610_110:aug_0:chat_0:chataug_0| bella mellisa| [person:bella f 0-0][person:mellisa f 1-1]
mellisa| Yes we really would love that car but we need to stick within our budget| [person:we g(mellisa:bella) 1-1][person:we g(mellisa:bella) 8-8][person:we g(mellisa:bella) 13-13]
bella| Agreed We have figured out our month bills and even allowed ourselves some room We just need to stick with the plan| [person:we g(mellisa:bella) 1-1][person:we g(mellisa:bella) 5-5][person:we g(mellisa:bella) 14-14]
mellisa| I know Brandie and Rafael want us to really upgrade but we just can t| [person:mellisa f 0-0][person:brandie f 2-2][person:rafael m 4-4][person:we g(mellisa:bella) 6-6][person:we g(mellisa:bella) 11-11]
bella| It doesn t seem like they are really hearing us They just want to make a sale| [person:they g(brandie:rafael) 5-5][person:we g(mellisa:bella) 9-9][person:they g(brandie:rafael) 10-10]
mellisa| They will just have to be satisfied with a sale with a smaller commission| [person:they g(brandie:rafael) 0-0]
bella| I thought it was strange when Rafael said it s not much more than you re paying now| [person:bella f 0-0][person:rafael m 6-6][person:we g(mellisa:bella) 14-14]
mellisa| Yeah he thinks we have a car payment He doesn t realize we paid the old car off 2 years ago| [person:rafael m 1-1][person:we g(mellisa:bella) 3-3][person:rafael m 8-8][person:we g(mellisa:bella) 12-12]
bella| I guess most people buy new cars before they pay the old ones off| [person:bella f 0-0][person:people g() 3-3][person:people g() 8-8]
mellisa| I can t do that I have to have several years without a car payment| [person:mellisa f 0-0][person:mellisa f 5-5]
bella| Me too It s silly to trade in a perfectly good car just to get back in debt| [person:bella f 0-0]
mellisa| That s the truth We will just have to hold firm and be ready to walk out| [person:we g(mellisa:bella) 4-4]
bella| If they keep trying to upsell us we really should just walk away| [person:they g(brandie:rafael) 1-1][person:we g(mellisa:bella) 6-6][person:we g(mellisa:bella) 7-7]
mellisa| I agree Our old car is still in pretty good shape Maybe we should just keep it for awhile longer| [person:mellisa f 0-0][person:we g(mellisa:bella) 2-2][person:we g(mellisa:bella) 12-12]
mellisa| You know I think you re right I guess Brandie and Rafael will have to wait a few more months to be able to make a sale with us| [person:bella f 0-0][person:mellisa f 2-2][person:bella f 4-4][person:mellisa f 7-7][person:brandie f 9-9][person:rafael m 11-11][person:we g(mellisa:bella) 28-28]

conv:people_0610_111:aug_0:chat_0:chataug_0| matiaskova paige| [person:matiaskova f 0-0][person:paige f 1-1]
paige| Hey what game should play this week|
matiaskova| I m thinking Crib| [person:matiaskova f 0-0]
paige| You know I love that game But Derrick and Roger are going to veto that game| [person:matiaskova f 0-0][person:paige f 2-2][person:derrick m 7-7][person:roger m 9-9]
paige| You know how the boys always want to play a strategy game| [person:matiaskova f 0-0][person:boys g(derrick:roger) 4-4]
matiaskova| True What should be suggest then|
paige| Monopoly It is not my favorite but it might be a nice compromise| [person:paige f 4-4]
paige| unless you can think of a card based game| [person:matiaskova f 1-1]
matiaskova| What about spades That is strategy based|
paige| Great idea Ill text them and let you know| [person:boys g(derrick:roger) 4-4][person:matiaskova f 7-7]
paige| Derrick and Roger said yes but Roger has never played so we will have to explain the game to him| [person:derrick m 0-0][person:roger m 2-2][person:roger m 6-6][person:we g(paige:matiaskova) 11-11][person:roger m 19-19]
matiaskova| Awesome i can t wait Need me to bring a deck of cards| [person:matiaskova f 1-1][person:matiaskova f 6-6]
paige| That would be awesome See you Thursday night at 7pm| [person:matiaskova f 5-5]
matiaskova| See you then| [person:paige f 1-1]

conv:people_0610_113:aug_0:chat_0:chataug_0| jane john| [person:jane f 0-0][person:john m 1-1]
jane| Hi John you got the will I sent you| [person:john m 1-1][person:john m 2-2][person:jane f 6-6][person:john m 8-8]
john| I did and I m shocked| [person:john m 0-0][person:john m 3-3]
jane| I know me too But I m so happy for the kids| [person:jane f 0-0][person:jane f 2-2][person:jane f 5-5][person:kids g() 11-11]
john| They re going to be thrilled probably won t ever have to work| [person:kids g() 0-0]
jane| True Rita s so good at saving money she ll be alright We might have to help Adam with it| [person:rita f 1-1][person:rita f 8-8][person:john_jane g(jane:john) 12-12][person:adam m 17-17]
john| Well we can sure help them spend it| [person:john_jane g(jane:john) 1-1][person:kids g(rita:adam) 5-5]
jane| We raised them right they ll be generous| [person:john_jane g(jane:john) 0-0][person:kids g(rita:adam) 2-2][person:kids g(rita:adam) 4-4]
jane| But that amount of money it s crazy right|
john| They probably just saved it all They lived very frugally| [person:deceased g() 0-0][person:deceased g() 6-6]
jane| Maybe Or maybe there s something else to it|
jane| Why does nobody else in the family have that kind of money| [person:family g() 6-6]
john| It s your family you can t be thinking there s something weird about that| [person:jane f 2-2][person:family g() 3-3][person:jane f 4-4]
jane| I don t know it s just not sitting right I think I need to investigate further| [person:jane f 0-0][person:jane f 10-10][person:jane f 12-12]

conv:people_0610_115:aug_0:chat_0:chataug_0| andrew edwin| [person:andrew m 0-0][person:edwin m 1-1]
andrew| This weekend is going to be great Austin and Heather are gonna love it| [person:austin m 7-7][person:heather f 9-9]
edwin| It s their day after all birthdays come once in a year we will help them enjoy it| [person:their g(austin:heather) 2-2][person:we g(andrew:edwin) 12-12][person:their g(austin:heather) 15-15]
andrew| And you know there s no birthday without a cake right Austin told me he loves Ice cream cake what do you think if we buy it for them| [person:edwin m 1-1][person:austin m 11-11][person:andrew m 13-13][person:austin m 14-14][person:edwin m 21-21][person:we g(andrew:edwin) 24-24][person:their g(austin:heather) 28-28]
edwin| That s cool but Heather does t love ice cream cake she loves the chocolate one| [person:heather f 4-4][person:heather f 11-11]
andrew| We have a situation because each one of them has to enjoy| [person:we g(andrew:edwin) 0-0][person:their g(austin:heather) 8-8]
edwin| Yeah is there anything that Austin loves other than Ice cream| [person:austin m 5-5]
andrew| Not that I know of in any case we need to give them their first choices it s their birthday afterall| [person:andrew m 2-2][person:we g(andrew:edwin) 8-8][person:their g(austin:heather) 12-12][person:their g(austin:heather) 13-13][person:their g(austin:heather) 18-18]
edwin| I suggest we buy both the chocolate and the ice cream cakes one for each| [person:edwin m 0-0][person:we g(andrew:edwin) 2-2]
andrew| Wonderful idea do we have enough money for both cakes| [person:we g(andrew:edwin) 3-3]
edwin| We can buy two small ones with the money we have instead of one bigger one| [person:we g(andrew:edwin) 0-0][person:we g(andrew:edwin) 9-9]
andrew| I like this already Austin and Heather are gonna love it you re fab| [person:andrew m 0-0][person:austin m 4-4][person:heather f 6-6][person:edwin m 11-11]
edwin| Thanks now we can go and place an order right away| [person:we g(andrew:edwin) 2-2]
andrew| Let s go|

conv:people_0610_117:aug_0:chat_0:chataug_0| josh mia| [person:josh m 0-0][person:mia f 1-1]
josh| Hi Mia How d you like the car I showed you today| [person:mia f 1-1][person:mia f 4-4][person:josh m 8-8][person:mia f 10-10]
josh| I can describe a few more features if you d like to give you a better understanding of its capabilities| [person:josh m 0-0][person:mia f 8-8][person:mia f 13-13]
mia| That would be great What else can you tell me about it| [person:josh m 7-7][person:mia f 9-9]
mia| The things most important to me are the speed and it smoothness of the driving| [person:mia f 5-5]
mia| Plus I want it to look really nice| [person:mia f 1-1]
josh| Absolutely The car you re looking at has a horsepower of 500 and many of my customers say that it s the smoothest car they ve ever driven| [person:mia f 3-3][person:josh m 15-15][person:they g() 24-24]
josh| Appearancewise we can get you the car in any color you d like with the option of a metallic or matte finish There are also many addons you can explore when you come in to test drive it| [person:we g(josh) 1-1][person:mia f 4-4][person:mia f 10-10][person:mia f 27-27][person:mia f 31-31]
mia| Great The one worry I have is that my friends Gladis and Lory have a car the same brand as this one and they have told me it s hard to maintain at times| [person:mia f 4-4][person:mia f 8-8][person:friends g() 9-9][person:gladis f 10-10][person:lory f 12-12][person:friends g(gladis:lory) 23-23][person:mia f 26-26]
josh| Should I be worried about that and is there any advice you would give to help maintain this car if I were to purchase it| [person:josh m 1-1][person:mia f 11-11][person:josh m 20-20]
mia| Should I be worried about that and is there any advice you would give to help maintain this car if I were to purchase it| [person:mia f 1-1][person:josh m 11-11][person:mia f 20-20]
josh| I completely understand your concern but I can promise you that you shouldn| [person:josh m 0-0][person:mia f 3-3][person:josh m 6-6][person:mia f 9-9][person:mia f 11-11]
josh| t have any difficulty maintaining this car It s good as new and shouldn t give you any problems| [person:mia f 16-16]
mia| Great What s next in the steps for me to buy it| [person:mia f 8-8]
josh| I d recommend you come in and test it to see if you feel comfortable if in and if you decide you would like to buy it I ll give you the paperwork so you can take it home| [person:josh m 0-0][person:mia f 3-3][person:mia f 12-12][person:mia f 19-19][person:mia f 21-21][person:josh m 27-27][person:mia f 30-30]
mia| Awesome I ll come in this Tuesday to give it a test drive| [person:mia f 1-1]
josh| Great I ll be there See you soon| [person:josh m 1-1][location:home s 4-4][person:mia f 6-6]

conv:people_0610_122:aug_0:chat_0:chataug_0| arthur mellisa| [person:arthur m 0-0][person:mellisa f 1-1]
arthur| Happy Birthday|
mellisa| Thank you| [person:arthur m 1-1]
arthur| About the party at Dorothy s house on Saturday for Derrick s birthday| [person:dorothy f 4-4][person:derrick m 10-10]
mellisa| What about it|
arthur| You coming| [person:mellisa f 0-0]
mellisa| Wouldn t miss it|
arthur| I like Dorothy| [person:arthur m 0-0][person:dorothy f 2-2]
mellisa| What are you planning to do about that| [person:arthur m 2-2]
arthur| I m going to use the party as a way to hang out with her more| [person:arthur m 0-0][person:dorothy f 14-14]
mellisa| You sly dog you| [person:arthur m 0-0][person:arthur m 3-3]
arthur| If everything goes well I am going to ask her on a date| [person:arthur m 4-4][person:dorothy f 9-9]
mellisa| Good luck|
arthur| Thanks I need all the luck I can get| [person:arthur m 1-1][person:arthur m 6-6]
mellisa| You have any idea how you are going to charm her| [person:arthur m 0-0][person:arthur m 5-5][person:dorothy f 10-10]
arthur| No idea whatsoever|

conv:people_0610_124:aug_0:chat_0:chataug_0| fred tara| [person:fred m 0-0][person:tara f 1-1]
fred| Halo Tara When are you getting back to the dorms| [person:tara f 1-1][person:tara f 4-4][location:dorms s 9-9]
tara| Halo Fred I arrived yesterday I m already settled| [person:fred m 1-1][person:tara f 2-2][person:tara f 5-5]
fred| Okay Who else is around Are you the only one| [person:tara f 6-6]
tara| Olivia and Pablo are already here too Although I suspect that Pablo stayed over during the holiday break| [person:olivia f 0-0][person:pablo m 2-2][location:dorms s 5-5][person:tara f 8-8][person:pablo m 11-11]
fred| Nice But why would Pablo choose not to go home| [person:pablo m 4-4][location:home s 9-9]
tara| I have no idea| [person:tara f 0-0]
fred| When did Olivia get back| [person:olivia f 2-2]
tara| She arrived this morning I m helping her to unpack and settle| [person:olivia f 0-0][person:tara f 4-4][person:olivia f 7-7]
tara| When will you be back| [person:fred m 2-2]
fred| I cannot make it until tommorow because I have to attend my dad s birthday| [person:fred m 0-0][person:fred m 7-7][person:fred m 11-11][person:dad m 12-12]
tara| Well that s okay Wish your dad a happy birthday for me| [person:fred m 5-5][person:dad m 6-6][person:tara f 11-11]
fred| Thank you I really miss you| [person:tara f 1-1][person:fred m 2-2][person:tara f 5-5]
tara| That s so sweet I miss you too| [person:tara f 4-4][person:fred m 6-6]

conv:people_0610_126:aug_0:chat_0:chataug_0| claudia fred| [person:claudia f 0-0][person:fred m 1-1]
claudia| Fred what would you like to make for dinner| [person:fred m 0-0][person:fred m 3-3]
fred| I don t know do you have any good ideas| [person:fred m 0-0][person:claudia f 5-5]
claudia| Do you remember when we went to Jacquline s place last week| [person:fred m 1-1][person:we g(claudia:fred) 4-4][person:jacquline f 7-7][location:place s 9-9]
claudia| I think we had some sort of fish meal| [person:claudia f 0-0][person:we g(claudia:fred) 2-2]
fred| Oh yes And it was on the grill What was it again|
claudia| Oh yes that s right It was grilled trout|
fred| Oh yes DeAndre was very good at cooking the fish| [person:deandre m 2-2]
fred| If you remember I don t like grilled trout though| [person:claudia f 1-1][person:fred m 3-3]
claudia| At least they were excellent hosts|
claudia| I wanted to make that same dish Are you sure you don t like it| [person:claudia f 0-0][person:fred m 8-8][person:fred m 10-10]
fred| Yes I definitely don t like that dish| [person:fred m 1-1]
fred| Let s just go out and get something|

conv:people_0610_127:aug_0:chat_0:chataug_0| charles jill| [person:charles m 0-0][person:jill f 1-1]
jill| The delivery man will be late who should tell Michelle| [person:michelle f 9-9]
charles| Oh no that s not good news I feel like Kyle the delivery guy should tell her| [person:charles m 7-7][person:kyle m 10-10][person:michelle f 16-16]
jill| I m not sure if Michelle will like that| [person:jill f 0-0][person:michelle f 5-5]
charles| Unless you want to tell her yourself but I doubt you would wangt to do that| [person:jill f 1-1][person:michelle f 5-5][person:jill f 6-6][person:charles m 8-8][person:jill f 10-10]
jill| You re right I don t| [person:charles m 0-0][person:jill f 3-3]
charles| Ok I ll make sure to tell him that he should let her know he s being late| [person:charles m 1-1][person:kyle m 7-7][person:kyle m 9-9][person:michelle f 12-12][person:kyle m 14-14]
jill| Ok sounds good Hopefully she doesn t get upset| [person:michelle f 4-4]
charles| Yeah that would be really bad I just don t want to tell her myself| [person:charles m 6-6][person:michelle f 13-13][person:charles m 14-14]
jill| Yeah I know neither do I| [person:jill f 1-1][person:jill f 5-5]
charles| Ok I m telling him now| [person:charles m 1-1][person:kyle m 4-4]
jill| Ok|

conv:people_0610_128:aug_0:chat_0:chataug_0| elliott stuart| [person:elliott m 0-0][person:stuart m 1-1]
elliott| Hey Stuart have you decided on your costume for the Halloween party this weekend| [person:stuart m 1-1][person:stuart m 3-3][person:stuart m 6-6]
stuart| Not yet|
stuart| I was thinking maybe spiderman| [person:stuart m 0-0]
elliott| That would be cool He s the best superhero by far| [person:spiderman m 4-4]
elliott| But as another option would you be interested in doing a group costume with me| [person:stuart m 5-5][person:elliott m 14-14]
stuart| Oh that would be fun Do you have a costume idea yet| [person:elliott m 6-6]
elliott| Not yet I was wondering if maybe we could get Heather and Hannah involved too Then we could have more options| [person:elliott m 2-2][person:we g(elliott:stuart) 7-7][person:heather f 10-10][person:hannah f 12-12][person:we g(elliott:stuart) 16-16]
stuart| I talked to Heather yesterday and she said she and Hannah already had their costume picked out| [person:stuart m 0-0][person:heather f 3-3][person:heather f 6-6][person:heather f 8-8][person:hannah f 10-10][person:their g(heather:hannah) 13-13]
stuart| I m guessing she wouldn t want to change| [person:stuart m 0-0][person:heather f 3-3]
elliott| Oh ok Well maybe we can find someone else to join us| [person:we g(elliott:stuart) 4-4][person:someone u 7-7][person:we g(elliott:stuart) 11-11]
elliott| Or it could definitely still be just us two| [person:we g(elliott:stuart) 7-7]
stuart| Yeah either way would be fine with me Group costumes are just more fun than going alone| [person:stuart m 7-7]
elliott| Yes definitely Out of curiosity do you know what Heather and Hannah are planning to go as| [person:stuart m 6-6][person:heather f 9-9][person:hannah f 11-11]

conv:people_0610_129:aug_0:chat_0:chataug_0| jamie myra| [person:jamie m 0-0][person:myra f 1-1]
jamie| Hi myra| [person:myra f 1-1]
jamie| Did u complete your homework| [person:myra f 1-1][person:myra f 3-3]
myra| Not yet|
myra| I doesn t know the answer to question 5| [person:myra f 0-0]
jamie| You can ask Austin| [person:myra f 0-0][person:austin m 3-3]
jamie| he too doesn t know the answer| [person:austin m 0-0]
myra| You are mean to me| [person:jamie m 0-0][person:myra f 4-4]
myra| I don t want to talk to you| [person:myra f 0-0][person:jamie m 7-7]
myra| Lets email our teacher Wayne| [person:our g(jamie:myra) 2-2][person:wayne m 4-4]
myra| He knows answers to all the questions| [person:wayne m 0-0]
jamie| He s the teacher after all| [person:wayne m 0-0]
jamie| Let s discuss what we should do| [person:our g(jamie:myra) 4-4]

conv:people_0610_132:aug_0:chat_0:chataug_0| alexa jody| [person:alexa f 0-0][person:jody f 1-1]
jody| Hi so I have an idea for Russell and Luis Gift| [person:jody f 2-2][person:russell m 7-7][person:luis m 9-9]
alexa| Yes just like we said one each video game and accessories right| [person:we g(jody:alexa) 3-3]
jody| Yes I think that will work perfectly for both| [person:jody f 1-1]
jody| It probably would be cheaper too|
jody| Besides the price I think with both video games and accessories they can play together anyway| [person:jody f 3-3][person:they g(russell:luis) 11-11]
alexa| I totally agree it is a good idea| [person:alexa f 0-0]
alexa| Wat time should I pick you to go shopping| [person:alexa f 3-3][person:jody f 5-5]
jody| Tomorrow at 5pm should work for me is that ok with you| [person:jody f 6-6][person:alexa f 11-11]
alexa| That works for me we can check Walmart and Target| [person:alexa f 3-3][person:we g(jody:alexa) 4-4]
